Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_region_mean_value,Cell_Ed_region_variance,Cell_Ed_region_max_value,Cell_Ed_region_min_value,Cell_Ed_region_top_50_value,Cell_Ed_region_top_25_value,Cell_Ed_not_region_mean_value,Cell_Ed_not_region_variance,Cell_Ed_not_region_max_value,Cell_Ed_not_region_min_value,Cell_Ed_not_region_top_50_value,Cell_Ed_not_region_top_25_value,Fp_mito_ratio_mean,Fp_non_mito_ratio_mean,Fp_whole_cell_ratio_mean,Fp_mito_pixels,Fp_non_mito_pixels,Fp_whole_cell_pixels
MCF7,2,A199,17,2,40,6,0.06966102123260498,0.0019878766033798456,0.07635490596294403,0.001667784876190126,0.06110774725675583,0.0006190245039761066,0.15582115948200226,0,0.08090522,0.092834994,0.07257983833551407,0.0024215157609432936,0.3482818603515625,0,0.111435555,0.13715142,0.9508464,1.0039922,0.9904704,4539,13301,17840
MCF7,2,A199,17,2,40,7,0.06541883200407028,0.0023378252517431974,0.07915236055850983,0.001741569023579359,0.07796851545572281,0.0005273350980132818,0.17961518466472626,0.0010258890688419342,0.09615682,0.10699773,0.06220605969429016,0.0027506777551025152,0.3683665692806244,0,0.10419259,0.13203776,2.0460353,1.6471307,1.7284374,4807,18777,23584
MCF7,2,A199,17,2,40,8,0.09223129600286484,0.001627053483389318,0.09524399787187576,0.001393258455209434,0.09056675434112549,0.0003479039005469531,0.17641176283359528,0.009483536705374718,0.1052806,0.11418565,0.09258370846509933,0.0018971628742292523,0.44663572311401367,0,0.124517135,0.14774255,1.0866728,0.8720101,0.90951735,8932,42188,51120
MCF7,2,A199,18,2,40,1,0.07720009237527847,0.0007051874999888241,0.07766810804605484,0.0006731125176884234,0.09950178116559982,0.00023075801436789334,0.14584410190582275,0.05115891247987747,0.111709066,0.118312284,0.07367946952581406,0.0006891718949191272,0.2551339566707611,0,0.0940675,0.10654265,1.2155327,1.0038892,1.0327448,10159,64353,74512
MCF7,2,A199,18,2,40,2,0.14493562281131744,0.0009887071792036295,0.1449466049671173,0.000987188657745719,0.15322232246398926,0.000415443821111694,0.24421831965446472,0.0722183808684349,0.16932696,0.17919002,0.14196446537971497,0.0011607990600168705,0.3170628249645233,0,0.16888082,0.18481688,1.684168,1.3957506,1.4718693,6959,19409,26368
MCF7,2,A199,18,2,40,3,0.16335666179656982,0.0008184579783119261,0.16335666179656982,0.0008184579783119261,0.16652585566043854,0.0004938185447826982,0.23494571447372437,0.060195378959178925,0.18244007,0.19047451,0.16267059743404388,0.0008860912639647722,0.28295841813087463,0.06972701847553253,0.18665968,0.20035139,1.6495943,1.5816153,1.5937126,6657,30751,37408
MCF7,2,A199,18,2,40,4,0.10207345336675644,0.0007117688655853271,0.10207345336675644,0.0007117688655853271,0.12556028366088867,0.0004370042297523469,0.1901247650384903,0.04939917474985123,0.1417264,0.15054677,0.09726216644048691,0.0006319042295217514,0.21389637887477875,0.02095886319875717,0.1167147,0.13090415,1.2191956,1.0411888,1.0714273,5705,27879,33584
MCF7,2,A199,18,2,40,5,0.0921962782740593,0.0006819100235588849,0.0921962782740593,0.0006819100235588849,0.10462050884962082,0.0005623725592158735,0.17802801728248596,0.014168989844620228,0.122085266,0.131823,0.08937312662601471,0.0006660267827101052,0.1974250078201294,0.012467266991734505,0.10999016,0.1235924,0.856348,0.83334047,0.8376005,5137,22607,27744
MCF7,2,A199,19,2,40,1,0.11263756453990936,0.0002455210778862238,0.11263756453990936,0.0002455210778862238,0.11819695681333542,8.335467282449827e-05,0.16142286360263824,0.08016940951347351,0.12514132,0.12990907,0.11047842353582382,0.00029183743754401803,0.17977291345596313,0.055061910301446915,0.12393153,0.13278341,1.1775237,1.1811453,1.1801323,8862,22818,31680
MCF7,2,A199,19,2,40,2,0.09489687532186508,0.0006052826065570116,0.09489687532186508,0.0006052826065570116,0.12281625717878342,0.00019768164202105254,0.16980835795402527,0.0692373514175415,0.13383245,0.14035401,0.08733000606298447,0.0004472332075238228,0.16452370584011078,0.019621552899479866,0.10518789,0.115183346,1.1979249,0.9272715,0.9849839,8485,31307,39792
MCF7,2,A199,19,2,40,3,0.13130329549312592,0.00024218640464823693,0.13130329549312592,0.00024218640464823693,0.13868647813796997,0.00010341686720494181,0.19102229177951813,0.10686551034450531,0.14644709,0.15149254,0.1296970248222351,0.0002579375868663192,0.1964077651500702,0.07476173341274261,0.14251716,0.15093781,1.4331197,1.386821,1.395094,5352,24600,29952
