Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean_value,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var,Fp_cell_OCC
MCF7,2.0,A133,14,1,80.0,1,0.0870029404759407,0.0031324708834290504,0.10265150666236877,0.0020895348861813545,0.10346534103155136,0.0003992790589109063,0.18150106072425842,0.02820265106856823,0.11940773576498032,0.1291043758392334,0.08245410770177841,0.0037921196781098843,0.4850650727748871,0.0,0.13143726,0.16048342,3.1074554920196533,0.5096367597579956,0.7640290260314941,18210,64860,83151,0.9467495083808899,0.7955625057220459,0.9755368828773499,0.50726604,2.2103949,0.0,0.0524927,0.5710562467575073,0.9041878581047058,0.3306584060192108,0.00465549249202013,0.48927703,2.2103949,0.0,0.06451181,
MCF7,2.0,A133,14,1,80.0,2,0.14067919552326202,0.0015454089734703302,0.14087660610675812,0.0015197673346847296,0.14502966403961182,0.000578764476813376,0.253089964389801,0.05488026887178421,0.16389775276184082,0.17525748908519745,0.1397855132818222,0.0017392897279933095,0.49010637402534485,0.0,0.17137244,0.19234031,5.719942569732666,0.5093211531639099,0.8142974376678467,12006,57889,69935,0.8797334432601929,0.6543475389480591,0.9327115416526794,0.49717665,1.1693549,0.0,0.009656097,0.5753429532051086,0.9543812274932861,0.26634681224823,0.012279987335205078,0.4809115,1.1693549,0.0,0.0075741597,
MCF7,2.0,A133,14,1,80.0,3,0.135628342628479,0.0008785233367234468,0.13563120365142822,0.0008781537180766463,0.13214512169361115,0.0002538864209782332,0.19687381386756897,0.0639815554022789,0.14467670023441315,0.15228387713432312,0.136913001537323,0.0011027728905901313,0.30406150221824646,0.0,0.16298063,0.18019605,1.9543203115463257,0.5603895783424377,0.7627501487731934,12863,34484,47375,0.954982340335846,0.7771635055541992,0.9802944660186768,0.48155686,0.92248714,0.26202512,0.0035967822,0.4697464108467102,0.7953568696975708,0.3434445559978485,0.001932059065438807,0.4859718,0.92248714,0.26202512,0.004147445,
MCF7,2.0,A133,14,1,80.0,4,0.16094286739826202,0.0016921109054237604,0.16097815334796906,0.0016868021339178085,0.16647140681743622,0.0007685550372116268,0.2677924335002899,0.02993113361299038,0.18710686266422272,0.19908937811851501,0.16021540760993958,0.0018090837402269244,0.4538567364215851,0.0,0.19306271,0.21520315,3.150264263153076,0.3738769292831421,0.6950738430023193,9606,72492,82126,0.9385561347007751,0.8380393385887146,0.9744836688041687,0.69849133,2.4338474,0.0,0.01626799,0.8117051124572754,2.433847427368164,0.5144656300544739,0.016849098727107048,0.68344593,1.7932938,0.0,0.014261054,
MCF7,2.0,A133,14,1,80.0,5,0.1407286524772644,0.0048860604874789715,0.14796869456768036,0.004066131077706814,0.12566690146923065,0.0010227607563138008,0.2882416546344757,0.0,0.15107645094394684,0.1666170358657837,0.14574408531188965,0.0060718185268342495,0.488667756319046,0.0,0.20610428,0.24571577,3.6052024364471436,0.47673526406288147,0.7343235611915588,9209,27341,36623,0.9508538246154785,0.724103569984436,0.961414098739624,0.7153365,1.8386049,0.0,0.04623163,0.7746061682701111,1.348825216293335,0.461957186460495,0.009171818383038044,0.6952157,1.8386049,0.0,0.057215225,
MCF7,2.0,A133,15,1,80.0,1,0.1066538468003273,0.0021162028424441814,0.10800125449895859,0.0019974156748503447,0.09999240934848785,0.0006039693835191429,0.2328176349401474,0.0011768531985580921,0.11900491267442703,0.13150830566883087,0.10791264474391937,0.002391998888924718,0.43598663806915283,0.0,0.14469784,0.1706885,1.6810249090194702,0.5445406436920166,0.3744714558124542,6950,34519,41519,0.77681964635849,0.48461097478866577,0.9094025492668152,0.38213336,1.1009865,0.0,0.008014931,0.3768196105957031,1.0928500890731812,0.1907191127538681,0.006559683475643396,0.3832109,1.1009865,0.0,0.00830314,
MCF7,2.0,A133,15,1,80.0,2,0.1543492078781128,0.004077067133039236,0.15800973773002625,0.0035953575279563665,0.14580214023590088,0.0007739683496765792,0.24426937103271484,0.038784656673669815,0.16768430173397064,0.18166771531105042,0.15609164535999298,0.004732530564069748,0.5161920189857483,0.0,0.20787573,0.24494848,3.311439037322998,0.5520352125167847,0.7383635640144348,4802,23312,28143,0.862617552280426,0.8504873514175415,0.976530909538269,0.64174885,1.9503893,0.0,0.027926883,0.713195264339447,1.0099741220474243,0.46256569027900696,0.005669375415891409,0.6269434,1.9503893,0.0,0.03126217,
MCF7,2.0,A133,15,1,80.0,3,0.13667914271354675,0.005298432894051075,0.14813393354415894,0.004045641049742699,0.12948325276374817,0.0007579282973892987,0.2392113357782364,0.03282395005226135,0.15116174519062042,0.1645059436559677,0.13796165585517883,0.006096809636801481,0.49516749382019043,0.0,0.19839446,0.23686992,2.846318244934082,0.549641489982605,0.7669329643249512,3917,21760,25695,0.9603455662727356,0.8836100697517395,0.9853113889694214,1.0410765,3.101185,0.0,0.1260611,1.1813695430755615,1.5619938373565674,0.8262165784835815,0.009265379048883915,1.0157076,3.101185,0.0,0.1429784,
MCF7,2.0,A133,15,1,80.0,4,0.11127869039773941,0.004298691172152758,0.1217721551656723,0.0034262409899383783,0.09805680811405182,0.0006537663866765797,0.19888938963413239,0.0013484788360074162,0.11854911595582962,0.1308141052722931,0.11532033979892731,0.00534309446811676,0.47088438272476196,0.0,0.17199975,0.21022098,3.3353800773620605,0.6182010769844055,0.805666983127594,8401,27122,35567,0.9653918147087097,0.7981418371200562,0.9770059585571289,0.61296916,2.2043693,0.0,0.048356257,0.638358473777771,0.9215187430381775,0.40401098132133484,0.0038866004906594753,0.605064,2.2043693,0.0,0.06193911,
MCF7,2.0,A133,15,1,80.0,5,0.09095169603824615,0.0024219814222306013,0.09282819926738739,0.002297758823260665,0.07914585620164871,0.0005570930079557002,0.15369334816932678,0.0,0.09701187908649445,0.10631468147039413,0.0931040421128273,0.0027319295331835747,0.4805521070957184,0.0,0.13397047,0.16263394,2.793196678161621,0.8513696193695068,0.9908385276794434,3161,17314,20479,0.9467071294784546,0.8775017261505127,0.9887819290161133,0.2929098,0.683002,0.0,0.0031499795,0.31805992126464844,0.4382127821445465,0.21453790366649628,0.0007895586895756423,0.2883126,0.683002,0.0,0.003444686,
MCF7,2.0,A133,2,1,80.0,1,0.14447011053562164,0.0023547662422060966,0.14467018842697144,0.002329079667106271,0.1392950862646103,0.00043471483513712883,0.2030029594898224,0.045552074909210205,0.15583647787570953,0.16507896780967712,0.14590375125408173,0.0028772088699042797,0.5283467173576355,0.0,0.18810873,0.21500218,2.3850600719451904,0.7126527428627014,0.8257278203964233,5021,18104,23135,0.9294599294662476,0.8425679802894592,0.9748216271400452,0.50908494,1.2356004,0.0,0.009358493,0.5001845955848694,0.7352854609489441,0.3451075553894043,0.0036605268251150846,0.5115582,1.2356004,0.0,0.010913708,
MCF7,2.0,A133,2,1,80.0,2,0.12029848992824554,0.0026536029763519764,0.12163834273815155,0.0025201807729899883,0.1113099679350853,0.0004905066452920437,0.19135954976081848,0.03213998302817345,0.128838911652565,0.13961292803287506,0.1225409209728241,0.0031680618412792683,0.47736355662345886,0.0,0.16592906,0.19602948,2.776296615600586,0.6451146006584167,0.9006678462028503,5765,22902,28687,0.9481582045555115,0.7282922267913818,0.9687865376472473,0.32012728,0.92332816,0.0,0.006252728,0.3349263668060303,0.5173652768135071,0.1971958428621292,0.0015692926244810224,0.3163892,0.92332816,0.0,0.00736641,
MCF7,2.0,A133,2,1,80.0,3,0.14749617874622345,0.004697255324572325,0.15361693501472473,0.003951929043978453,0.13775339722633362,0.0004946273402310908,0.2161606252193451,0.059339895844459534,0.15544958412647247,0.16570216417312622,0.14946453273296356,0.005523265805095434,0.48896801471710205,0.0,0.20585482,0.24471906,2.565746307373047,0.4374240040779114,0.6401324272155762,4069,20062,24143,0.9017528891563416,0.6700743436813354,0.9710670709609985,1.2607605,2.9008048,0.0,0.11993587,1.4143257141113281,2.0205507278442383,0.9121541976928711,0.0611250102519989,1.2295239,2.9008048,0.0,0.12612598,
MCF7,2.0,A133,2,1,80.0,4,0.12964756786823273,0.0042733862064778805,0.13500156998634338,0.0037270640023052692,0.11744353920221329,0.0006289334851317108,0.20290476083755493,0.02644048072397709,0.13742731511592865,0.14978261291980743,0.1321149468421936,0.004974012263119221,0.4930185079574585,0.0,0.1850779,0.22413598,3.2204506397247314,0.5712702870368958,0.6749224662780762,4222,20499,24735,0.8412833213806152,0.8530473709106445,0.9760686159133911,1.0795738,2.5430856,0.0,0.086710915,1.2943649291992188,2.1742911338806152,0.7948259711265564,0.027271242812275887,1.0351906,2.5430856,0.0,0.0874902,
MCF7,2.0,A133,3,1,80.0,1,0.081955187022686,0.0017943346174433827,0.08556922525167465,0.001564210164360702,0.08776555955410004,0.0002460569958202541,0.147122323513031,0.0338236466050148,0.1002318486571312,0.10786636918783188,0.08103521168231964,0.0020332857966423035,0.37998875975608826,0.0,0.11536386,0.13853526,2.0494890213012695,0.716129720211029,0.6592211127281189,6058,37889,43966,0.9435130953788757,0.8166460394859314,0.9776954650878906,0.60027695,1.5525194,0.0,0.015254788,0.5800636410713196,1.085805058479309,0.4025321304798126,0.005998076405376196,0.6035188,1.5525194,0.0,0.016663354,
