ObjectNumber,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Rc,Region_Ed,Region_pixels_sum,Cell_Ed,Cell_pixels_sum
3,MCF7,2.0,A133,1,1,60.0,3,0.38,0.06341030448675156,58,0.06341030448675156,58
3,MCF7,2.0,A133,1,1,60.0,3,0.43,0.06259249895811081,28,0.06259249895811081,28
3,MCF7,2.0,A133,1,1,60.0,3,0.48,0.057921312749385834,10,0.057921312749385834,10
1,MCF7,2.0,A133,10,1,60.0,1,0.03,,0,0.04563992843031883,9529
1,MCF7,2.0,A133,10,1,60.0,1,0.08,0.0524580292403698,5168,0.049528818577528,22360
1,MCF7,2.0,A133,10,1,60.0,1,0.13,0.054023679345846176,481,0.053504522889852524,543
2,MCF7,2.0,A133,10,1,60.0,2,0.01,0.04064100980758667,6644,0.04133700951933861,33018
2,MCF7,2.0,A133,10,1,60.0,2,0.06,,4,0.07024886459112167,22
3,MCF7,2.0,A133,10,1,60.0,3,0.03,0.046737637370824814,7991,0.04533230885863304,24361
3,MCF7,2.0,A133,10,1,60.0,3,0.08,0.04584375023841858,478,0.04356260597705841,567
4,MCF7,2.0,A133,10,1,60.0,4,0.01,0.041268039494752884,5851,0.044022802263498306,31156
4,MCF7,2.0,A133,10,1,60.0,4,0.06,0.043489087373018265,1250,0.04259663075208664,3212
5,MCF7,2.0,A133,10,1,60.0,5,0.04,0.056816235184669495,1897,0.05259004235267639,13484
5,MCF7,2.0,A133,10,1,60.0,5,0.09,0.05969451367855072,6980,0.057035282254219055,15101
5,MCF7,2.0,A133,10,1,60.0,5,0.14,0.07437566667795181,1075,0.07427896559238434,1098
5,MCF7,2.0,A133,10,1,60.0,5,0.19,0.07544761896133423,13,0.07544761896133423,13
6,MCF7,2.0,A133,10,1,60.0,6,0.04,0.054437361657619476,12128,0.0562523752450943,25015
6,MCF7,2.0,A133,10,1,60.0,6,0.09,0.058018479496240616,4391,0.05894096568226814,5289
7,MCF7,2.0,A133,10,1,60.0,7,0.03,0.042555611580610275,58,0.04531652480363846,14559
7,MCF7,2.0,A133,10,1,60.0,7,0.08,0.0497782863676548,7085,0.0496940016746521,17687
7,MCF7,2.0,A133,10,1,60.0,7,0.13,0.053798966109752655,1931,0.05455814301967621,2008
8,MCF7,2.0,A133,10,1,60.0,8,0.02,0.04475381225347519,6051,0.04366976022720337,41705
8,MCF7,2.0,A133,10,1,60.0,8,0.07,0.04805321618914604,591,0.06162482127547264,1719
9,MCF7,2.0,A133,10,1,60.0,9,0.06,0.04593751206994057,980,0.04455678537487984,3866
9,MCF7,2.0,A133,10,1,60.0,9,0.11,0.056574881076812744,9414,0.05763806030154228,19266
9,MCF7,2.0,A133,10,1,60.0,9,0.16,0.06579369306564331,5504,0.06748545914888382,7149
9,MCF7,2.0,A133,10,1,60.0,9,0.21,0.07183021306991577,1493,0.07092929631471634,1571
9,MCF7,2.0,A133,10,1,60.0,9,0.26,0.07078638672828674,257,0.06979045271873474,269
9,MCF7,2.0,A133,10,1,60.0,9,0.31,0.07891982793807983,35,0.07820364832878113,36
10,MCF7,2.0,A133,10,1,60.0,10,0.02,0.04864267259836197,1056,0.04473574459552765,35717
10,MCF7,2.0,A133,10,1,60.0,10,0.07,0.04816708713769913,10868,0.045518334954977036,23561
10,MCF7,2.0,A133,10,1,60.0,10,0.12,0.04405977576971054,50,0.04405977576971054,50
1,MCF7,2.0,A133,2,1,60.0,1,0.09,0.05934185907244682,38,0.0629868283867836,145
1,MCF7,2.0,A133,2,1,60.0,1,0.14,0.05913901329040527,3013,0.06217105686664581,6700
1,MCF7,2.0,A133,2,1,60.0,1,0.19,0.061024442315101624,4185,0.06475196778774261,10925
1,MCF7,2.0,A133,2,1,60.0,1,0.24,0.06394868344068527,2685,0.06583632528781891,5510
1,MCF7,2.0,A133,2,1,60.0,1,0.29,0.06744187325239182,2446,0.06762838363647461,3724
1,MCF7,2.0,A133,2,1,60.0,1,0.34,0.07042478770017624,1966,0.07008996605873108,2573
1,MCF7,2.0,A133,2,1,60.0,1,0.39,0.07322536408901215,1304,0.07320446521043777,1586
1,MCF7,2.0,A133,2,1,60.0,1,0.44,0.07666173577308655,800,0.07650230079889297,878
1,MCF7,2.0,A133,2,1,60.0,1,0.49,0.07916656881570816,486,0.07904182374477386,516
1,MCF7,2.0,A133,2,1,60.0,1,0.54,0.08088257908821106,312,0.0808640718460083,330
1,MCF7,2.0,A133,2,1,60.0,1,0.59,0.08068561553955078,172,0.08117925375699997,182
1,MCF7,2.0,A133,2,1,60.0,1,0.64,0.08219114691019058,119,0.08193924278020859,120
1,MCF7,2.0,A133,2,1,60.0,1,0.69,0.08568289875984192,67,0.08450192958116531,72
1,MCF7,2.0,A133,2,1,60.0,1,0.74,0.08832178264856339,33,0.08756338804960251,34
1,MCF7,2.0,A133,2,1,60.0,1,0.79,0.08751585334539413,28,0.08751585334539413,28
1,MCF7,2.0,A133,2,1,60.0,1,0.84,0.08511330932378769,17,0.08511330932378769,17
1,MCF7,2.0,A133,2,1,60.0,1,0.89,0.10014472901821136,14,0.10014472901821136,14
2,MCF7,2.0,A133,2,1,60.0,2,0.02,0.04313085973262787,9588,0.04249757528305054,34133
2,MCF7,2.0,A133,2,1,60.0,2,0.07,0.045359622687101364,269,0.04528607055544853,507
3,MCF7,2.0,A133,2,1,60.0,3,0.03,0.04429414123296738,2298,0.04363538697361946,3875
3,MCF7,2.0,A133,2,1,60.0,3,0.08,0.04238882288336754,4261,0.04171392321586609,10504
3,MCF7,2.0,A133,2,1,60.0,3,0.13,0.04656028375029564,868,0.04625258594751358,1003
3,MCF7,2.0,A133,2,1,60.0,3,0.18,0.04420916736125946,9,0.04762020707130432,23
4,MCF7,2.0,A133,2,1,60.0,4,0.05,0.02963021583855152,267,0.032098762691020966,1158
4,MCF7,2.0,A133,2,1,60.0,4,0.1,0.04513823613524437,4679,0.04593941941857338,12868
4,MCF7,2.0,A133,2,1,60.0,4,0.15,0.049744464457035065,3386,0.04991830140352249,4169
4,MCF7,2.0,A133,2,1,60.0,4,0.2,0.05294327065348625,1582,0.053116921335458755,1707
4,MCF7,2.0,A133,2,1,60.0,4,0.25,0.05494867265224457,758,0.055305302143096924,804
4,MCF7,2.0,A133,2,1,60.0,4,0.3,0.05572344362735748,88,0.057074856013059616,100
4,MCF7,2.0,A133,2,1,60.0,4,0.35,0.055258858948946,10,0.055258858948946,10
1,MCF7,2.0,A133,3,1,60.0,1,0.0,,0,0.0,2106
1,MCF7,2.0,A133,3,1,60.0,1,0.05,,0,0.08091651648283005,27
1,MCF7,2.0,A133,3,1,60.0,1,0.1,0.07772140204906464,123,0.0937597006559372,1870
1,MCF7,2.0,A133,3,1,60.0,1,0.15,0.08045362681150436,1135,0.09552418440580368,6180
1,MCF7,2.0,A133,3,1,60.0,1,0.2,0.0822262242436409,2495,0.09524787217378616,7943
1,MCF7,2.0,A133,3,1,60.0,1,0.25,0.08413026481866837,2291,0.09609655290842056,5620
1,MCF7,2.0,A133,3,1,60.0,1,0.3,0.08765130490064621,1398,0.09779011458158493,2971
1,MCF7,2.0,A133,3,1,60.0,1,0.35,0.08987662196159363,1030,0.09670218080282211,1711
1,MCF7,2.0,A133,3,1,60.0,1,0.4,0.09415794163942337,722,0.09827111661434174,1018
1,MCF7,2.0,A133,3,1,60.0,1,0.45,0.09594297409057617,446,0.09986786544322968,604
1,MCF7,2.0,A133,3,1,60.0,1,0.5,0.09833820164203644,320,0.0998418927192688,407
1,MCF7,2.0,A133,3,1,60.0,1,0.55,0.10274562239646912,255,0.10424043983221054,325
1,MCF7,2.0,A133,3,1,60.0,1,0.6,0.10520622879266739,176,0.10545363277196884,218
1,MCF7,2.0,A133,3,1,60.0,1,0.65,0.1113036498427391,126,0.11050637811422348,156
1,MCF7,2.0,A133,3,1,60.0,1,0.7,0.11394468694925308,89,0.11204040050506592,109
1,MCF7,2.0,A133,3,1,60.0,1,0.75,0.1174861267209053,62,0.11568845808506012,73
1,MCF7,2.0,A133,3,1,60.0,1,0.8,0.12078315764665604,47,0.12054868787527084,60
1,MCF7,2.0,A133,3,1,60.0,1,0.85,0.13217781484127045,24,0.13315895199775696,26
1,MCF7,2.0,A133,3,1,60.0,1,0.9,0.1286143809556961,27,0.12829647958278656,29
1,MCF7,2.0,A133,3,1,60.0,1,0.95,0.13505229353904724,8,,8
1,MCF7,2.0,A133,3,1,60.0,1,1.0,0.10588039457798004,5,,7
2,MCF7,2.0,A133,3,1,60.0,2,0.0,,1,,8
2,MCF7,2.0,A133,3,1,60.0,2,0.05,0.046544838696718216,2753,0.05079270526766777,19036
2,MCF7,2.0,A133,3,1,60.0,2,0.1,0.05556580424308777,4384,0.05717672035098076,13449
2,MCF7,2.0,A133,3,1,60.0,2,0.15,0.06371960043907166,1091,0.06439332664012909,1729
2,MCF7,2.0,A133,3,1,60.0,2,0.2,0.0705222561955452,141,0.06940875202417374,252
2,MCF7,2.0,A133,3,1,60.0,2,0.25,0.08205287158489227,16,0.0710771232843399,38
3,MCF7,2.0,A133,3,1,60.0,3,0.06,0.015246141701936722,37,0.03235122561454773,49
3,MCF7,2.0,A133,3,1,60.0,3,0.11,0.04970556125044823,702,0.06151885911822319,3714
3,MCF7,2.0,A133,3,1,60.0,3,0.16,0.05482538789510727,2622,0.06138443946838379,13805
3,MCF7,2.0,A133,3,1,60.0,3,0.21,0.060170579701662064,2828,0.060990627855062485,7070
3,MCF7,2.0,A133,3,1,60.0,3,0.26,0.06921516358852386,2116,0.07001461833715439,2698
3,MCF7,2.0,A133,3,1,60.0,3,0.31,0.0769314169883728,1298,0.07642533630132675,1427
3,MCF7,2.0,A133,3,1,60.0,3,0.36,0.07772459089756012,729,0.07692131400108337,797
3,MCF7,2.0,A133,3,1,60.0,3,0.41,0.07681369036436081,379,0.07578955590724945,435
3,MCF7,2.0,A133,3,1,60.0,3,0.46,0.07513324171304703,250,0.07386952638626099,298
3,MCF7,2.0,A133,3,1,60.0,3,0.51,0.07749869674444199,143,0.07622352242469788,164
3,MCF7,2.0,A133,3,1,60.0,3,0.56,0.07572471350431442,102,0.07392937690019608,115
3,MCF7,2.0,A133,3,1,60.0,3,0.61,0.08268891274929047,67,0.08193289488554001,75
3,MCF7,2.0,A133,3,1,60.0,3,0.66,0.07536321878433228,33,0.07491830736398697,35
3,MCF7,2.0,A133,3,1,60.0,3,0.71,0.07410242408514023,11,0.07410242408514023,11
3,MCF7,2.0,A133,3,1,60.0,3,0.76,0.0706915408372879,8,,8
1,MCF7,2.0,A133,4,1,60.0,1,0.0,0.0,7,0.0,73
1,MCF7,2.0,A133,4,1,60.0,1,0.05,0.08588513731956482,623,0.08768142759799957,757
1,MCF7,2.0,A133,4,1,60.0,1,0.1,0.09138810634613037,12113,0.09183040261268616,16508
1,MCF7,2.0,A133,4,1,60.0,1,0.15,0.09421956539154053,11233,0.0950336903333664,23504
1,MCF7,2.0,A133,4,1,60.0,1,0.2,0.09485213458538055,1211,0.09731125086545944,8096
1,MCF7,2.0,A133,4,1,60.0,1,0.25,0.08913689106702805,22,0.09540846943855286,1847
1,MCF7,2.0,A133,4,1,60.0,1,0.3,,1,0.0956844612956047,513
1,MCF7,2.0,A133,4,1,60.0,1,0.35,,0,0.09512555599212646,176
1,MCF7,2.0,A133,4,1,60.0,1,0.4,,0,0.09624207764863968,77
1,MCF7,2.0,A133,4,1,60.0,1,0.45,,0,0.115580715239048,24
1,MCF7,2.0,A133,4,1,60.0,1,0.5,,0,,7
2,MCF7,2.0,A133,4,1,60.0,2,0.0,0.060578856617212296,96,0.012446295469999313,522
2,MCF7,2.0,A133,4,1,60.0,2,0.05,0.08091902732849121,19110,0.0804569199681282,33090
2,MCF7,2.0,A133,4,1,60.0,2,0.1,0.08408572524785995,1421,0.08100535720586777,7567
2,MCF7,2.0,A133,4,1,60.0,2,0.15,,0,0.08041553944349289,131
3,MCF7,2.0,A133,4,1,60.0,3,0.0,0.09172771871089935,5,0.028870949521660805,18
3,MCF7,2.0,A133,4,1,60.0,3,0.05,0.08669907599687576,19409,0.08568061888217926,26624
3,MCF7,2.0,A133,4,1,60.0,3,0.1,0.08977613598108292,2677,0.08608060330152512,12439
3,MCF7,2.0,A133,4,1,60.0,3,0.15,,0,0.088310606777668,1523
3,MCF7,2.0,A133,4,1,60.0,3,0.2,,0,0.08901170641183853,217
3,MCF7,2.0,A133,4,1,60.0,3,0.25,,0,,9
4,MCF7,2.0,A133,4,1,60.0,4,0.0,,0,0.0,64
4,MCF7,2.0,A133,4,1,60.0,4,0.05,0.09639067947864532,4775,0.09777455776929855,11040
4,MCF7,2.0,A133,4,1,60.0,4,0.1,0.09954674541950226,7263,0.10102750360965729,14883
4,MCF7,2.0,A133,4,1,60.0,4,0.15,0.10045206546783447,223,0.10218123346567154,569
1,MCF7,2.0,A133,5,1,60.0,1,0.01,0.04474803805351257,3215,0.043621983379125595,56342
1,MCF7,2.0,A133,5,1,60.0,1,0.06,0.048209644854068756,11711,0.04631313681602478,62673
1,MCF7,2.0,A133,5,1,60.0,1,0.11,0.05247657746076584,1652,0.05195407196879387,5113
1,MCF7,2.0,A133,5,1,60.0,1,0.16,0.05626840144395828,206,0.05481390655040741,649
1,MCF7,2.0,A133,5,1,60.0,1,0.21,0.06010119989514351,15,0.05766827613115311,23
2,MCF7,2.0,A133,5,1,60.0,2,0.02,0.0452239029109478,1983,0.04825575277209282,17729
2,MCF7,2.0,A133,5,1,60.0,2,0.07,0.04337107762694359,15118,0.046928200870752335,60009
2,MCF7,2.0,A133,5,1,60.0,2,0.12,0.0514812096953392,3019,0.05148790031671524,3023
2,MCF7,2.0,A133,5,1,60.0,2,0.17,0.06519011408090591,142,0.06519011408090591,142
3,MCF7,2.0,A133,5,1,60.0,3,0.1,,3,0.031071774661540985,129
3,MCF7,2.0,A133,5,1,60.0,3,0.15,0.04146340861916542,178,0.046416375786066055,4601
3,MCF7,2.0,A133,5,1,60.0,3,0.2,0.05289077013731003,1872,0.058905187994241714,6649
3,MCF7,2.0,A133,5,1,60.0,3,0.25,0.060731008648872375,2939,0.06543164700269699,4913
3,MCF7,2.0,A133,5,1,60.0,3,0.3,0.06625211983919144,1070,0.06981661915779114,1621
3,MCF7,2.0,A133,5,1,60.0,3,0.35,0.06920818239450455,219,0.0728021189570427,370
3,MCF7,2.0,A133,5,1,60.0,3,0.4,0.07552812993526459,69,0.07531026005744934,117
3,MCF7,2.0,A133,5,1,60.0,3,0.45,0.0828787311911583,23,0.08051878958940506,28
4,MCF7,2.0,A133,5,1,60.0,4,0.14,,1,0.05852574110031128,239
4,MCF7,2.0,A133,5,1,60.0,4,0.19,0.03463622182607651,145,0.060399554669857025,4825
4,MCF7,2.0,A133,5,1,60.0,4,0.24,0.045171935111284256,804,0.06333879381418228,4941
4,MCF7,2.0,A133,5,1,60.0,4,0.29,0.05929698050022125,1197,0.07184619456529617,2937
4,MCF7,2.0,A133,5,1,60.0,4,0.34,0.07427661120891571,1543,0.08040466904640198,2608
4,MCF7,2.0,A133,5,1,60.0,4,0.39,0.08188457041978836,1682,0.083518385887146,2111
4,MCF7,2.0,A133,5,1,60.0,4,0.44,0.08571244776248932,1088,0.0871470496058464,1283
4,MCF7,2.0,A133,5,1,60.0,4,0.49,0.08713313937187195,597,0.08876444399356842,705
4,MCF7,2.0,A133,5,1,60.0,4,0.54,0.09253401309251785,267,0.09340615570545197,331
4,MCF7,2.0,A133,5,1,60.0,4,0.59,0.09024058282375336,107,0.08954739570617676,125
4,MCF7,2.0,A133,5,1,60.0,4,0.64,0.09544272720813751,20,0.09436392039060593,23
1,MCF7,2.0,A133,6,1,60.0,1,0.01,0.04214617237448692,1883,0.03997356817126274,18604
1,MCF7,2.0,A133,6,1,60.0,1,0.06,0.045813433825969696,8047,0.04352002218365669,15073
1,MCF7,2.0,A133,6,1,60.0,1,0.11,0.048072535544633865,130,0.04817667976021767,131
2,MCF7,2.0,A133,6,1,60.0,2,0.01,0.03852818161249161,6586,0.03843153640627861,25198
2,MCF7,2.0,A133,6,1,60.0,2,0.06,0.04320693016052246,3420,0.043188244104385376,3616
3,MCF7,2.0,A133,6,1,60.0,3,0.02,0.046207718551158905,5933,0.044393472373485565,25113
3,MCF7,2.0,A133,6,1,60.0,3,0.07,0.04949488863348961,4086,0.04908893257379532,4327
4,MCF7,2.0,A133,6,1,60.0,4,0.01,0.03679418936371803,1400,0.04276646301150322,20273
4,MCF7,2.0,A133,6,1,60.0,4,0.06,0.0450437031686306,5046,0.046821676194667816,9889
4,MCF7,2.0,A133,6,1,60.0,4,0.11,0.05560995265841484,169,0.05560995265841484,169
5,MCF7,2.0,A133,6,1,60.0,5,0.02,0.033300768584012985,374,0.040589578449726105,15457
5,MCF7,2.0,A133,6,1,60.0,5,0.07,0.04867086932063103,6687,0.049291227012872696,66709
5,MCF7,2.0,A133,6,1,60.0,5,0.12,0.05117317661643028,1285,0.05201560631394386,4587
5,MCF7,2.0,A133,6,1,60.0,5,0.17,0.039834246039390564,196,0.04972219094634056,515
5,MCF7,2.0,A133,6,1,60.0,5,0.22,0.05469905957579613,7,0.06215739995241165,87
5,MCF7,2.0,A133,6,1,60.0,5,0.27,,0,0.07497002929449081,14
5,MCF7,2.0,A133,6,1,60.0,5,0.32,,0,,6
1,MCF7,2.0,A133,7,1,60.0,1,0.0,0.03146955743432045,5519,0.029533525928854942,47700
1,MCF7,2.0,A133,7,1,60.0,1,0.05,0.03486503288149834,6615,0.0346965491771698,10347
2,MCF7,2.0,A133,7,1,60.0,2,0.03,0.03699146956205368,1577,0.03936716541647911,2970
2,MCF7,2.0,A133,7,1,60.0,2,0.08,0.04038744047284126,5261,0.041437771171331406,13430
2,MCF7,2.0,A133,7,1,60.0,2,0.13,0.04610422998666763,4112,0.04523424804210663,4483
2,MCF7,2.0,A133,7,1,60.0,2,0.18,0.04882633686065674,2099,0.04862310737371445,2111
2,MCF7,2.0,A133,7,1,60.0,2,0.23,0.05164432153105736,902,0.05164432153105736,902
2,MCF7,2.0,A133,7,1,60.0,2,0.28,0.05439617484807968,279,0.05439617484807968,279
2,MCF7,2.0,A133,7,1,60.0,2,0.33,0.05490502342581749,33,0.05490502342581749,33
3,MCF7,2.0,A133,7,1,60.0,3,0.0,,0,0.0,174
3,MCF7,2.0,A133,7,1,60.0,3,0.05,0.031169524416327477,779,0.040487900376319885,4278
3,MCF7,2.0,A133,7,1,60.0,3,0.1,0.05122193694114685,803,0.0567564032971859,6636
3,MCF7,2.0,A133,7,1,60.0,3,0.15,,1,0.07328655570745468,789
3,MCF7,2.0,A133,7,1,60.0,3,0.2,,0,0.0857357308268547,73
4,MCF7,2.0,A133,7,1,60.0,4,0.1,0.0781189575791359,91,0.09022346138954163,290
4,MCF7,2.0,A133,7,1,60.0,4,0.15,0.0833585187792778,1248,0.09171624481678009,3352
4,MCF7,2.0,A133,7,1,60.0,4,0.2,0.08810162544250488,1465,0.09741246700286865,5288
4,MCF7,2.0,A133,7,1,60.0,4,0.25,0.09044409543275833,813,0.10322057455778122,3140
4,MCF7,2.0,A133,7,1,60.0,4,0.3,0.09965121001005173,757,0.10779641568660736,1465
4,MCF7,2.0,A133,7,1,60.0,4,0.35,0.10299398005008698,799,0.10652642697095871,958
4,MCF7,2.0,A133,7,1,60.0,4,0.4,0.10880239307880402,817,0.11012014001607895,860
4,MCF7,2.0,A133,7,1,60.0,4,0.45,0.11171146482229233,392,0.11206399649381638,401
4,MCF7,2.0,A133,7,1,60.0,4,0.5,0.11560197174549103,154,0.11586102098226547,155
4,MCF7,2.0,A133,7,1,60.0,4,0.55,0.11429372429847717,33,0.11429372429847717,33
5,MCF7,2.0,A133,7,1,60.0,5,0.0,0.02011287212371826,233,0.030595168471336365,7474
5,MCF7,2.0,A133,7,1,60.0,5,0.05,0.03651784360408783,3359,0.04235526919364929,44533
5,MCF7,2.0,A133,7,1,60.0,5,0.1,0.04955822229385376,7951,0.05055198818445206,20389
5,MCF7,2.0,A133,7,1,60.0,5,0.15,0.0527791753411293,3897,0.0551297627389431,4292
5,MCF7,2.0,A133,7,1,60.0,5,0.2,0.07072140276432037,557,0.07243015617132187,583
5,MCF7,2.0,A133,7,1,60.0,5,0.25,0.09288766235113144,102,0.09288766235113144,102
5,MCF7,2.0,A133,7,1,60.0,5,0.3,0.08672592788934708,19,0.08672592788934708,19
6,MCF7,2.0,A133,7,1,60.0,6,0.0,,0,0.01005104836076498,49
6,MCF7,2.0,A133,7,1,60.0,6,0.05,0.05202054604887962,5961,0.057180535048246384,16883
6,MCF7,2.0,A133,7,1,60.0,6,0.1,0.05394826456904411,4446,0.05573546513915062,5840
6,MCF7,2.0,A133,7,1,60.0,6,0.15,0.052786875516176224,350,0.052971698343753815,380
6,MCF7,2.0,A133,7,1,60.0,6,0.2,0.0488169901072979,16,0.0488169901072979,16
7,MCF7,2.0,A133,7,1,60.0,7,0.02,0.03397798910737038,92,0.037616293877363205,2805
7,MCF7,2.0,A133,7,1,60.0,7,0.07,0.04135442525148392,4963,0.04120398312807083,14632
7,MCF7,2.0,A133,7,1,60.0,7,0.12,0.04416496679186821,671,0.04451486095786095,796
7,MCF7,2.0,A133,7,1,60.0,7,0.17,0.052693311125040054,12,0.048856448382139206,23
8,MCF7,2.0,A133,7,1,60.0,8,0.01,0.03222871571779251,5518,0.03534501791000366,26120
8,MCF7,2.0,A133,7,1,60.0,8,0.06,0.03696533292531967,4996,0.03791628032922745,5368
9,MCF7,2.0,A133,7,1,60.0,9,0.0,0.031528837978839874,2503,0.013387159444391727,8511
9,MCF7,2.0,A133,7,1,60.0,9,0.05,0.04935350641608238,4249,0.05869969725608826,7864
9,MCF7,2.0,A133,7,1,60.0,9,0.1,0.051684845238924026,227,0.05845363810658455,432
9,MCF7,2.0,A133,7,1,60.0,9,0.15,,1,,9
1,MCF7,2.0,A133,8,1,60.0,1,0.05,,0,0.03734363615512848,1858
1,MCF7,2.0,A133,8,1,60.0,1,0.1,0.05822135880589485,26,0.043783996254205704,5838
1,MCF7,2.0,A133,8,1,60.0,1,0.15,0.0549030676484108,153,0.050515316426754,3036
1,MCF7,2.0,A133,8,1,60.0,1,0.2,0.06305188685655594,304,0.056140996515750885,1053
