Key,Hour,Treatment,Concentration,Edmax,Kd,R2,RMSE,N
2.0h-A133-60.0um,2.0,A133,60.0,0.1793445078282688,0.43815937021798856,0.04954881017496082,0.028386971689509093,326
2.0h-A199-70.0um,2.0,A199,70.0,0.12859138204266407,0.2868243658865179,-0.03757017008894925,0.03544547116346523,204
2.0h-control-0.0um,2.0,control,0.0,0.06001811446633827,0.021228750287584544,-0.46934830649675763,0.016879887859376698,160
4.0h-A199-70.0um,4.0,A199,70.0,0.10663648283552331,0.03176565908830917,0.28283502156824036,0.023738782044334616,766
6.0h-A133-60.0um,6.0,A133,60.0,0.09987227701522794,0.16183470011582252,0.43430267053410465,0.017433370838465974,661
