ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_cell,Metadata_cell,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_dish,Metadata_hour,Metadata_hour,Metadata_hour,Metadata_site,Metadata_site,Metadata_treatment,Metadata_treatment,Metadata_treatment
8,12,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,15,15,Alm,Alm,Alm
9,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,5,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,6,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,7,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,8,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,9,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,10,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,11,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,12,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,13,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,14,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,15,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
9,16,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,16,16,Alm,Alm,Alm
10,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,2,2,Alm,Alm,Alm
10,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,2,2,Alm,Alm,Alm
10,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,2,2,Alm,Alm,Alm
10,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,2,2,Alm,Alm,Alm
11,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,3,3,Alm,Alm,Alm
11,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,3,3,Alm,Alm,Alm
11,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,3,3,Alm,Alm,Alm
11,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,3,3,Alm,Alm,Alm
11,5,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,3,3,Alm,Alm,Alm
11,6,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,3,3,Alm,Alm,Alm
11,7,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,3,3,Alm,Alm,Alm
11,8,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,3,3,Alm,Alm,Alm
11,9,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,3,3,Alm,Alm,Alm
11,10,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,3,3,Alm,Alm,Alm
12,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,6,6,Alm,Alm,Alm
12,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,6,6,Alm,Alm,Alm
12,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,6,6,Alm,Alm,Alm
12,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,6,6,Alm,Alm,Alm
12,5,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,6,6,Alm,Alm,Alm
12,6,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,6,6,Alm,Alm,Alm
12,7,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,6,6,Alm,Alm,Alm
13,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,7,7,Alm,Alm,Alm
13,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,7,7,Alm,Alm,Alm
13,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,7,7,Alm,Alm,Alm
14,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,8,8,Alm,Alm,Alm
14,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,8,8,Alm,Alm,Alm
14,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,8,8,Alm,Alm,Alm
14,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,8,8,Alm,Alm,Alm
14,5,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,8,8,Alm,Alm,Alm
14,6,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,8,8,Alm,Alm,Alm
14,7,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,8,8,Alm,Alm,Alm
14,8,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,8,8,Alm,Alm,Alm
14,9,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,8,8,Alm,Alm,Alm
14,10,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,8,8,Alm,Alm,Alm
14,11,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,8,8,Alm,Alm,Alm
15,1,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,9,9,Alm,Alm,Alm
15,2,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,9,9,Alm,Alm,Alm
15,3,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,9,9,Alm,Alm,Alm
15,4,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,9,9,Alm,Alm,Alm
15,5,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,9,9,Alm,Alm,Alm
15,6,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,9,9,Alm,Alm,Alm
15,7,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,9,9,Alm,Alm,Alm
15,8,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,9,9,Alm,Alm,Alm
15,9,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,9,9,Alm,Alm,Alm
15,10,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,9,9,Alm,Alm,Alm
15,11,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,9,9,Alm,Alm,Alm
15,12,nan,0,0,H1975,H1975,H1975,9,1,1,2,2,2,9,9,Alm,Alm,Alm
