Key,Hour,Treatment,Concentration,Edmax,Kd,R2,RMSE,N
4.0h-A133-60.0um,4.0,A133,60.0,0.22777556945278013,0.9999999999999969,0.6524243505856402,0.03032854909445161,2456
6.0h-A199-70.0um,6.0,A199,70.0,0.15843173208846245,0.4409933266082279,0.5868942502985439,0.021835115678994408,532
6.0h-control-0.0um,6.0,control,0.0,0.15267293339205154,0.9999999999972796,0.39182534903299404,0.017880635403244315,178
