Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean_value,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
MCF7,4.0,A133,1,1,60.0,4,0.08422837406396866,0.0007991676102392375,0.08482185751199722,0.0007544580730609596,0.08925120532512665,0.0006008849595673382,0.22181947529315948,0.0,0.10718867,0.117107466,0.08078328520059586,0.0009059940348379314,0.20394161343574524,0.0,0.10422564,0.11764321,0.31044388,0.1120734,0.19278471,5175,7544,12719,0.6802573,0.7908609,0.8819308,0.93430054,0.90342176,0.33971053,2.5562367,0.034262933,0.073285304,0.5818757,2.5562367,0.078210466,0.06436764,0.17361325,0.71220064,0.034262933,0.011590517
MCF7,4.0,A133,1,1,60.0,5,0.08590160310268402,0.0006071078241802752,0.08590160310268402,0.0006071078241802752,0.0845084935426712,0.000448065489763394,0.14957544207572937,0.026923682540655136,0.101566195,0.11215101,0.08655388653278351,0.0006802376010455191,0.19453123211860657,0.005799641367048025,0.10708432,0.120029055,0.4500855,0.3413458,0.3760265,2643,5644,8287,0.5559221,0.55695826,0.8062772,0.9046151,0.9023813,0.21051651,0.8826545,0.05161345,0.011573212,0.29617944,0.8826545,0.08282095,0.017805282,0.17040898,0.43888703,0.05161345,0.003611002
MCF7,4.0,A133,10,1,60.0,1,0.14070546627044678,0.001494513126090169,0.14070546627044678,0.001494513126090169,0.15015806257724762,0.0015869827475398779,0.31386521458625793,0.05634348839521408,0.18185109,0.2040656,0.13294842839241028,0.0012851346982643008,0.26543867588043213,0.010191856883466244,0.16169278,0.17819297,0.6170509,0.5341508,0.5718899,4195,5020,9215,0.81951326,0.61809886,0.879547,0.9600567,0.956577,1.7879183,3.4369738,1.0007057,0.15221938,1.8783438,3.4171216,1.094802,0.1435041,1.7123688,3.4369738,1.0007057,0.14696157
MCF7,4.0,A133,10,1,60.0,2,0.03300824761390686,0.00013197853695601225,0.033121056854724884,0.00012869320926256478,0.03352482616901398,8.22346773929894e-05,0.0703180581331253,0.006058658938854933,0.040749736,0.04524775,0.03261948376893997,0.00016906253586057574,0.08906583487987518,0.0,0.042957924,0.04935456,0.64911145,0.9880135,0.842473,5043,6700,11743,0.49474505,-0.063139066,0.59209716,0.9018299,0.89713866,0.054631226,0.15728034,0.01748284,0.00032941345,0.04863065,0.12330231,0.01748284,0.000334321,0.059147112,0.15728034,0.022641923,0.00027822907
MCF7,4.0,A133,10,1,60.0,3,0.04813676327466965,0.0002914492506533861,0.04828639701008797,0.00028512984863482416,0.045958902686834335,0.00013672442582901567,0.09722504764795303,0.004813948180526495,0.055301316,0.061070357,0.049645040184259415,0.0003930441162083298,0.15159589052200317,0.0,0.06517385,0.07513675,0.85464096,1.1826485,1.048432,14128,20399,34527,0.85228884,0.22004136,0.8150329,0.95670027,0.9492819,0.20562175,0.41228667,0.059430618,0.0027450158,0.17690447,0.34911364,0.059430618,0.0020653876,0.22550987,0.41228667,0.083237305,0.0022490215
MCF7,4.0,A133,10,1,60.0,4,0.10047078132629395,0.0014315993757918477,0.10052873939275742,0.0014265984063968062,0.09263373911380768,0.0010573331965133548,0.4406753480434418,0.0,0.1161293,0.1330064,0.10964145511388779,0.0017135825473815203,0.4495214521884918,0.0,0.1414597,0.16345099,0.13004513,0.15584938,0.14195408,9339,8004,17343,0.009714,0.24446484,0.35915658,0.7436695,0.75833684,0.67911273,6.4195933,0.28298637,0.09202735,0.65471214,6.4195933,0.28298637,0.11790663,0.70757955,2.2990036,0.29534188,0.060330447
MCF7,4.0,A133,10,1,60.0,5,0.05007827281951904,0.0003411274228710681,0.050146665424108505,0.00033816357608884573,0.05128512158989906,0.0002685732615645975,0.20878536999225616,0.0008550703641958535,0.06376938,0.07286543,0.047961682081222534,0.0004613388446159661,0.1271664798259735,0.0,0.065260485,0.07676142,0.12634024,0.08078454,0.1097984,18678,10649,29327,0.32367295,0.5301858,0.59489906,0.7866663,0.7804562,0.12088417,1.5579153,0.017957494,0.010614523,0.14866702,1.5579153,0.026345246,0.01407208,0.07215854,0.21284801,0.017957494,0.00082272384
MCF7,4.0,A133,10,1,60.0,6,0.07182598859071732,0.002354892436414957,0.07316645979881287,0.0023007632698863745,0.07565054297447205,0.0027271865401417017,0.3582886755466461,0.0,0.11204493,0.15005626,0.06959472596645355,0.002124182879924774,0.33022740483283997,0.0,0.10273021,0.12923433,0.2074523,0.06632217,0.12212123,6819,10428,17247,0.19723952,0.46612677,0.5639925,0.66306156,0.643473,0.54576266,5.3500514,0.055068914,0.5159175,0.91836077,5.3500514,0.069299504,1.0136272,0.30213934,1.4367886,0.055068914,0.040364172
MCF7,4.0,A133,10,1,60.0,7,0.057611338794231415,0.0008175616385415196,0.059713248163461685,0.0007218780228868127,0.05542921647429466,0.0004377534205559641,0.1465744525194168,0.0,0.071687825,0.082271926,0.05982601270079613,0.0011932954657822847,0.1615641713142395,0.0,0.08786975,0.10254821,0.26253906,0.39626282,0.32889938,5037,4962,9999,0.08958734,0.18364689,0.36210752,0.7711043,0.7216924,0.10922301,0.8953802,0.0287476,0.009735894,0.10626913,0.80385786,0.036826387,0.0074755903,0.112220936,0.8953802,0.0287476,0.012012057
MCF7,4.0,A133,10,1,60.0,8,0.05197489634156227,0.0005491413176059723,0.05232726410031319,0.0005344254896044731,0.056966863572597504,0.0005555744282901287,0.19084466993808746,0.0,0.07446611,0.089523554,0.04688916355371475,0.0004913349403068423,0.17062677443027496,0.0,0.06422374,0.07586345,0.25172418,0.085902564,0.16958697,18660,18315,36975,0.24193446,-0.044729285,0.43386814,0.6597692,0.64338505,0.1519472,1.7550336,0.0,0.0375652,0.2341733,1.7550336,0.015635414,0.059824076,0.06817677,0.38836408,0.0,0.0009826715
