ObjectNumber,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Rc,Region_Ed,Region_pixels_sum,Cell_Ed,Cell_pixels_sum
1,MCF7,4.0,A133,0,1,60.0,1,0.0,0.03094014711678028,1567,0.022524788975715637,6193
1,MCF7,4.0,A133,0,1,60.0,1,0.05,0.03426523506641388,2694,0.03448883444070816,9403
1,MCF7,4.0,A133,0,1,60.0,1,0.1,0.03814807906746864,1671,0.042663756757974625,3014
1,MCF7,4.0,A133,0,1,60.0,1,0.15,0.04238567128777504,1147,0.044053755700588226,1358
1,MCF7,4.0,A133,0,1,60.0,1,0.2,0.0459425114095211,872,0.0460079163312912,875
1,MCF7,4.0,A133,0,1,60.0,1,0.25,0.04835199564695358,597,0.04835199564695358,597
1,MCF7,4.0,A133,0,1,60.0,1,0.3,0.05094437301158905,315,0.05094437301158905,315
1,MCF7,4.0,A133,0,1,60.0,1,0.35,0.04956374689936638,154,0.04956374689936638,154
1,MCF7,4.0,A133,0,1,60.0,1,0.4,0.05412740632891655,96,0.05412740632891655,96
1,MCF7,4.0,A133,0,1,60.0,1,0.45,0.05585427209734917,80,0.05585427209734917,80
1,MCF7,4.0,A133,0,1,60.0,1,0.5,0.05334082990884781,59,0.05334082990884781,59
1,MCF7,4.0,A133,0,1,60.0,1,0.55,0.051565490663051605,47,0.051565490663051605,47
1,MCF7,4.0,A133,0,1,60.0,1,0.6,0.06375297158956528,28,0.06375297158956528,28
1,MCF7,4.0,A133,0,1,60.0,1,0.65,0.0605497844517231,28,0.0605497844517231,28
1,MCF7,4.0,A133,0,1,60.0,1,0.7,0.07298918813467026,24,0.07298918813467026,24
1,MCF7,4.0,A133,0,1,60.0,1,0.75,0.07380782067775726,13,0.07380782067775726,13
1,MCF7,4.0,A133,0,1,60.0,1,0.8,0.07619651407003403,15,0.07619651407003403,15
1,MCF7,4.0,A133,0,1,60.0,1,0.85,0.05635477975010872,6,,6
1,MCF7,4.0,A133,0,1,60.0,1,1.1,0.0972544476389885,6,,6
