Key,Hour,Treatment,Concentration,BestModel,R2,RMSE,N,Edmax_nl,Kd_nl,R2_nl,RMSE_nl,a_l,R2_l,RMSE_l
2.0h-AFA-25.0um,2.0,AFA,25.0,linear,0.6597255752212323,0.08757047293173774,2482,0.43753758907735935,0.9999999999999999,0.4232498977847228,0.1140084079240849,0.08264693202091844,0.6597255752212323,0.08757047293173774
2.0h-DAC-22.0um,2.0,DAC,22.0,nonlinear,0.4917268043235895,0.10117384818620136,3690,0.46390763986156774,0.9999999999999997,0.4917268043235895,0.10117384818620136,0.07545035970939366,0.4847228571054386,0.10186854526195484
2.0h-GEF-81.0um,2.0,GEF,81.0,nonlinear,0.5524423607079432,0.0769560223248829,1810,0.4821536602206366,0.9999999999999999,0.5524423607079432,0.0769560223248829,0.08992328528291552,0.44220880455285827,0.08591202428436656
2.0h-control-0.0um,2.0,control,0.0,nonlinear,0.4362991131021662,0.07733282079073851,1116,0.4449475861028414,0.9999999999999951,0.4362991131021662,0.07733282079073851,0.08884383212794651,-0.5926235140300424,0.12998584282592082
4.0h-AFA-25.0um,4.0,AFA,25.0,linear,0.5771089642408684,0.07754909672509677,2299,0.43552299282319573,0.9999999999999999,0.5706540930763506,0.07813869746632558,0.08176330829805856,0.5771089642408684,0.07754909672509677
4.0h-DAC-22.0um,4.0,DAC,22.0,nonlinear,0.5316719733955941,0.08185483469919508,2400,0.41915902686856793,0.9999999999999999,0.5316719733955941,0.08185483469919508,0.08138813522145766,0.5182077048466878,0.08302314613598323
4.0h-GEF-81.0um,4.0,GEF,81.0,nonlinear,0.5804109315739985,0.07804175515373814,1512,0.38303461763133617,0.9999999999999999,0.5804109315739985,0.07804175515373814,0.07296498798179404,0.5127630844983562,0.08409787811508193
6.0h-AFA-25.0um,6.0,AFA,25.0,nonlinear,0.5550536587953898,0.05809124164372956,1893,0.34211596098828473,0.9999999999999986,0.5550536587953898,0.05809124164372956,0.05675411411120793,-0.17044796410804453,0.09421778597197
6.0h-DAC-22.0um,6.0,DAC,22.0,linear,0.4935081186624892,0.10861412082912826,2581,0.37390209603425345,0.9999999999999999,0.32084672057581853,0.12577199450425564,0.05323329329966963,0.4935081186624892,0.10861412082912826
6.0h-GEF-81.0um,6.0,GEF,81.0,linear,0.793700182030253,0.06784557628425678,1342,0.433109041851217,0.9999999999999999,0.5914464018900616,0.09547653144357739,0.08391678548205167,0.793700182030253,0.06784557628425678
