Key,Hour,Treatment,Concentration,BestModel,R2,RMSE,N,Edmax_nl,Kd_nl,R2_nl,RMSE_nl,a_l,R2_l,RMSE_l
2.0h-ALM-6.0um,2.0,ALM,6.0,linear,0.47742335096509636,0.045415773006112756,749,0.3027336479303754,0.9999999999999996,0.4740422324137732,0.04556245821745269,0.11043015792888684,0.47742335096509636,0.045415773006112756
2.0h-OSI-12.0um,2.0,OSI,12.0,linear,0.504896903701002,0.03812507735633884,1154,0.24532858882068007,0.9999999999999959,0.4120666752122315,0.04154578324844943,0.08571293507738802,0.504896903701002,0.03812507735633884
2.0h-VIN-40.0um,2.0,VIN,40.0,nonlinear,0.25475002076873976,0.04707468730783376,1472,0.2928561369370833,0.9999999999999823,0.25475002076873976,0.04707468730783376,0.0998654168324071,0.1395893176536388,0.050581226324261194
2.0h-control-0.0um,2.0,control,0.0,nonlinear,0.25927416929753955,0.05041035687910827,905,0.3139529070325835,0.9999999999999979,0.25927416929753955,0.05041035687910827,0.1051769095530695,0.11556403651335045,0.05508384202276562
4.0h-ALM-6.0um,4.0,ALM,6.0,linear,0.5132302419346005,0.032262709717598315,1622,0.24340428409986542,0.9999999999999959,0.5001464986860701,0.032693424655531655,0.08487396485317757,0.5132302419346005,0.032262709717598315
4.0h-OSI-12.0um,4.0,OSI,12.0,linear,0.340617109515039,0.04161657562019221,1459,0.2342465656177832,0.9999999999999999,0.32408124093147095,0.04213517041332274,0.0802316344559593,0.340617109515039,0.04161657562019221
4.0h-VIN-40.0um,4.0,VIN,40.0,nonlinear,0.3364062361065505,0.05145062628489361,1281,0.2918204663508624,0.9999999999999999,0.3364062361065505,0.05145062628489361,0.10127976339557958,0.29071990271637815,0.05319225529194783
6.0h-ALM-6.0um,6.0,ALM,6.0,linear,0.485834293185471,0.03721454897261671,1337,0.2435033763123184,0.9999999999999999,0.3851486272708122,0.04069548978458172,0.08353365645899571,0.485834293185471,0.03721454897261671
6.0h-OSI-12.0um,6.0,OSI,12.0,linear,0.4111452535210688,0.0384198158248414,1309,0.21154825074336372,0.9999999999999996,0.3514533545553531,0.04032011826283544,0.07339347594575724,0.4111452535210688,0.0384198158248414
6.0h-VIN-40.0um,6.0,VIN,40.0,nonlinear,0.3122127645227645,0.05964827284506531,1726,0.31802297756629033,0.9999999999999971,0.3122127645227645,0.05964827284506531,0.11056811739445534,0.2625007483623971,0.06176630321737653
