Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
A549,2.0,control,0,1,0.0,1,0.13675151765346527,0.00827637780457735,0.15188558399677277,0.006893663201481104,0.0719919204711914,0.0010594686027616262,0.160076305270195,0.0,0.09848697483539581,0.11416726559400558,1.194695234298706,2.7855809,2.7713435,499.0,55260.0,55759.0,0.70931953,-0.10658066719770432,0.16744292,0.9843797087669373,0.8607632,1.1432737,4.449089,0.0,0.4872344,0.5512294769287109,0.857150137424469,0.3026290833950043,0.009143213741481304,1.1486199,4.449089,0.0,0.48835784
A549,2.0,control,0,1,0.0,2,0.08493977785110474,0.0037558891344815493,0.09335663914680481,0.003342298325151205,0.08710411936044693,0.0008505459991283715,0.1361551582813263,0.03388151153922081,0.11131442338228226,0.12268292158842087,0.6011855602264404,1.0083046,1.0027399,1193.0,86086.0,87279.0,0.6853605,0.021436676383018494,0.3641222,0.9318482279777527,0.8990055,0.47508872,3.2896044,0.0,0.095869415,0.2996302545070648,0.6847898960113525,0.11480274051427841,0.011838587000966072,0.47752026,3.2896044,0.0,0.09660138
A549,2.0,control,1,1,0.0,1,0.147323876619339,0.0023862156085669994,0.14749163389205933,0.002364190062507987,0.1803322732448578,0.00230225152336061,0.3264499604701996,0.0445760153234005,0.2190631628036499,0.23983241617679596,0.886509895324707,0.8618566,0.86255705,999.0,34168.0,35167.0,0.98784524,0.8659645915031433,0.8409896,0.9836062788963318,0.95828176,0.90602547,2.1643848,0.0,0.06223949,0.900122880935669,1.3019107580184937,0.5418339967727661,0.021563397720456123,0.90619814,2.1643848,0.0,0.063427694
A549,2.0,control,1,1,0.0,2,0.13254399597644806,0.0031721347477287054,0.13395144045352936,0.003017287002876401,0.16069923341274261,0.0027853529900312424,0.30472829937934875,0.03278447687625885,0.2039540857076645,0.227873757481575,0.9772979021072388,1.0483185,1.0473093,967.0,67079.0,68046.0,0.9693224,0.6700303554534912,0.7753854,0.9496906995773315,0.9496847,0.63285756,1.972073,0.0,0.038784113,0.5886202454566956,1.2073777914047241,0.27299433946609497,0.032312337309122086,0.63349533,1.972073,0.0,0.038848784
A549,2.0,control,10,1,0.0,1,0.2670253813266754,0.03842270001769066,0.3775331974029541,0.01260347105562687,0.2842575013637543,0.002428743289783597,0.3995056748390198,0.11991693079471588,0.3235810399055481,0.34892380237579346,1.3573812246322632,1.8399154,1.8310372,1005.0,53618.0,54623.0,0.82986665,0.5334648489952087,0.4608319,0.9787850975990295,0.9071395,3.3547869,10.946022,0.0,5.935354,3.436669111251831,6.20375394821167,2.011728286743164,0.5556438565254211,3.3532522,10.946022,0.0,6.03606
A549,2.0,control,10,1,0.0,2,0.3767450153827667,0.013157596811652184,0.38868460059165955,0.008933858014643192,0.3538559079170227,0.00245330180041492,0.4908958375453949,0.21315625309944153,0.3942590653896332,0.4172587990760803,1.3985601663589478,1.8997521,1.8898239,670.0,33153.0,33823.0,0.94137937,0.5460246205329895,0.6344923,0.9870986342430115,0.94609207,3.5676858,7.6157455,0.0,1.1391754,2.4698104858398438,4.00993537902832,1.7426179647445679,0.11239522695541382,3.5898726,7.6157455,0.0,1.1350749
A549,2.0,control,10,1,0.0,3,0.3258538246154785,0.018591448664665222,0.35447680950164795,0.010078325867652893,0.2587241530418396,0.003389637917280197,0.4489123523235321,0.10579459369182587,0.30498069524765015,0.3351716697216034,1.0681331157684326,2.0559745,2.0305464,773.0,29257.0,30030.0,0.840324,0.27022767066955566,0.17307627,0.981482744216919,0.9026975,2.7515543,8.053034,0.0,1.5636584,1.8389252424240112,2.91650652885437,0.9889938235282898,0.07383579760789871,2.7756653,8.053034,0.0,1.5804328
A549,2.0,control,10,1,0.0,4,0.19489441812038422,0.00717548793181777,0.19861993193626404,0.0065726907923817635,0.17403946816921234,0.002489435952156782,0.33084627985954285,0.06794634461402893,0.2140021026134491,0.24420730769634247,0.6351074576377869,1.1559438,1.146856,1000.0,56311.0,57311.0,0.9070589,0.7563236355781555,0.50167346,0.9587985277175903,0.89437884,1.1779183,4.6268563,0.0,0.36354762,0.6295086741447449,1.2329626083374023,0.37074190378189087,0.018872445449233055,1.187657,4.6268563,0.0,0.36423278
A549,2.0,control,10,1,0.0,5,0.23188909888267517,0.004876669030636549,0.23253391683101654,0.004740285221487284,0.21027939021587372,0.0020092895720154047,0.3359859585762024,0.03663555905222893,0.24597561359405518,0.2657133638858795,0.8651171326637268,1.1857414,1.1789019,1600.0,73407.0,75007.0,0.9658154,0.7691181898117065,0.7419396,0.9847025871276855,0.94284123,1.9088007,5.1346235,0.0,0.3626966,1.3468512296676636,2.0686659812927246,0.890404462814331,0.037403594702482224,1.9210491,5.1346235,0.0,0.36275375
A549,2.0,control,10,1,0.0,6,0.1946699470281601,0.004882303532212973,0.19678036868572235,0.004519944079220295,0.21801850199699402,0.0021586655639111996,0.3587034046649933,0.0982772707939148,0.25516167283058167,0.2792888879776001,0.8316547274589539,0.9671556,0.9654344,591.0,45936.0,46527.0,0.9429612,0.9049978256225586,0.7449694,0.9923945069313049,0.93992674,2.5449202,9.886367,0.0,1.129535,2.005140781402588,2.5919578075408936,1.6192052364349365,0.027813829481601715,2.5518646,9.886367,0.0,1.1399125
