ObjectNumber,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Rc,Region_Ed,Region_pixels_sum,Cell_Ed,Cell_pixels_sum
1,MCF7,2.0,A199,0,1,90.0,1,0.5,,0,0.11932102590799332,14
1,MCF7,2.0,A199,0,1,90.0,1,0.55,,2,0.11551360785961151,215
1,MCF7,2.0,A199,0,1,90.0,1,0.6,0.128175750374794,136,0.12154741585254669,1736
1,MCF7,2.0,A199,0,1,90.0,1,0.65,0.13274335861206055,1648,0.12619419395923615,6370
1,MCF7,2.0,A199,0,1,90.0,1,0.7,0.13356198370456696,3844,0.1265672892332077,9243
1,MCF7,2.0,A199,0,1,90.0,1,0.75,0.13447660207748413,2629,0.12754404544830322,5793
1,MCF7,2.0,A199,0,1,90.0,1,0.8,0.1386488676071167,315,0.12890560925006866,1076
1,MCF7,2.0,A199,0,1,90.0,1,0.85,,3,0.12806172668933868,105
1,MCF7,2.0,A199,0,1,90.0,1,0.9,,0,,8
2,MCF7,2.0,A199,0,1,90.0,2,0.06,0.02357831969857216,894,0.023442467674613,945
2,MCF7,2.0,A199,0,1,90.0,2,0.11,0.02864944189786911,4568,0.029347822070121765,9560
2,MCF7,2.0,A199,0,1,90.0,2,0.16,0.023557255044579506,40,0.037316471338272095,5146
2,MCF7,2.0,A199,0,1,90.0,2,0.21,,1,0.044946424663066864,979
2,MCF7,2.0,A199,0,1,90.0,2,0.26,,0,0.04888804629445076,42
3,MCF7,2.0,A199,0,1,90.0,3,0.07,,2,0.013185768388211727,1202
3,MCF7,2.0,A199,0,1,90.0,3,0.12,0.018004348501563072,417,0.0193493589758873,2538
3,MCF7,2.0,A199,0,1,90.0,3,0.17,0.03866387531161308,2412,0.04152730479836464,3825
3,MCF7,2.0,A199,0,1,90.0,3,0.22,0.0468035526573658,414,0.05677767097949982,827
3,MCF7,2.0,A199,0,1,90.0,3,0.27,0.05030588433146477,82,0.05460488051176071,134
3,MCF7,2.0,A199,0,1,90.0,3,0.32,0.055687446147203445,41,0.05780734866857529,60
3,MCF7,2.0,A199,0,1,90.0,3,0.37,0.06553397327661514,25,0.06592608243227005,30
3,MCF7,2.0,A199,0,1,90.0,3,0.42,0.06453295052051544,15,0.06425495445728302,16
