Key,Hour,Treatment,Concentration,Edmax,Kd,R2,RMSE,N
2.0h-A133-60.0um,2.0,A133,60.0,0.0653276838644177,1.0293514560983187e-12,-0.008808374425514742,0.11927057002020253,65
2.0h-A199-70.0um,2.0,A199,70.0,0.22093055108592477,0.23664212016707434,0.14299532057190412,0.045200087982945794,130
2.0h-control-0.0um,2.0,control,0.0,0.18802108888794453,0.9999999882349019,-3.6868450880651817,0.032308299693038584,98
4.0h-A133-60.0um,4.0,A133,60.0,0.11836675383184425,0.10252683079304536,-0.40490183685998704,0.034490289925343406,141
4.0h-A199-70.0um,4.0,A199,70.0,0.172629315531853,3.864874951545815e-09,-0.3461853541062707,0.1292934293031079,312
6.0h-A133-60.0um,6.0,A133,60.0,0.2719696369064249,0.0729430683725286,-0.29206371814031606,0.15396241043773087,97
6.0h-A199-70.0um,6.0,A199,70.0,0.1883963235695959,0.4144792287966916,0.38288422936099453,0.027406095865539343,451
