ObjectNumber,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Rc,Region_Ed,Region_pixels_sum,Cell_Ed,Cell_pixels_sum
1,MCF7,2.0,A133,1,1,60.0,1,0.02,0.041227664798498154,1360,0.03737656772136688,2492
1,MCF7,2.0,A133,1,1,60.0,1,0.07,0.05016566067934036,35064,0.04544668272137642,113305
1,MCF7,2.0,A133,1,1,60.0,1,0.12,0.07522324472665787,662,0.05142901465296745,8723
1,MCF7,2.0,A133,1,1,60.0,1,0.17,0.09152575582265854,15,0.08408328145742416,40
2,MCF7,2.0,A133,1,1,60.0,2,0.0,0.03613946959376335,6334,0.03258511424064636,53623
2,MCF7,2.0,A133,1,1,60.0,2,0.05,0.04341532289981842,13207,0.03653544560074806,67113
3,MCF7,2.0,A133,1,1,60.0,3,0.02,0.03887741640210152,16949,0.038733430206775665,49845
3,MCF7,2.0,A133,1,1,60.0,3,0.07,0.045836303383111954,6659,0.04335104674100876,26347
4,MCF7,2.0,A133,1,1,60.0,4,0.01,0.033640168607234955,6718,0.03221586346626282,43550
4,MCF7,2.0,A133,1,1,60.0,4,0.06,0.03686955198645592,7656,0.03498787060379982,23538
1,MCF7,2.0,A133,2,1,60.0,1,0.0,0.03421591594815254,23936,0.03346053510904312,133527
1,MCF7,2.0,A133,2,1,60.0,1,0.05,1.0,1236,1.0,1236
1,MCF7,2.0,A133,3,1,60.0,1,0.06,0.061737317591905594,6293,0.06172887608408928,6353
1,MCF7,2.0,A133,3,1,60.0,1,0.11,0.06580033153295517,15415,0.06383102387189865,33139
1,MCF7,2.0,A133,3,1,60.0,1,0.16,,0,0.0657009556889534,20512
1,MCF7,2.0,A133,3,1,60.0,1,0.21,,0,0.06717430055141449,12138
1,MCF7,2.0,A133,3,1,60.0,1,0.26,,0,0.06989865750074387,6131
1,MCF7,2.0,A133,3,1,60.0,1,0.31,,0,0.07484457641839981,2318
1,MCF7,2.0,A133,3,1,60.0,1,0.36,,0,0.08497564494609833,876
1,MCF7,2.0,A133,3,1,60.0,1,0.41,,0,0.09218591451644897,409
1,MCF7,2.0,A133,3,1,60.0,1,0.46,,0,0.09866639971733093,107
1,MCF7,2.0,A133,4,1,60.0,1,0.06,0.03442468121647835,9,0.03294958919286728,237
1,MCF7,2.0,A133,4,1,60.0,1,0.11,0.053330786526203156,1666,0.03917795047163963,10898
1,MCF7,2.0,A133,4,1,60.0,1,0.16,0.06303054094314575,15924,0.05007663369178772,47116
1,MCF7,2.0,A133,4,1,60.0,1,0.21,0.07330861687660217,17719,0.05551213026046753,53266
1,MCF7,2.0,A133,4,1,60.0,1,0.26,0.07868142426013947,1243,0.04175112023949623,8319
1,MCF7,2.0,A133,4,1,60.0,1,0.31,,0,0.027542438358068466,1082
1,MCF7,2.0,A133,4,1,60.0,1,0.36,,0,0.02767687849700451,83
1,MCF7,2.0,A133,4,1,60.0,1,0.41,,0,,7
2,MCF7,2.0,A133,4,1,60.0,2,0.1,0.026476917788386345,733,0.024728015065193176,912
2,MCF7,2.0,A133,4,1,60.0,2,0.15,0.02684929221868515,21266,0.023978786543011665,30100
2,MCF7,2.0,A133,4,1,60.0,2,0.2,0.025965049862861633,8896,0.018734565004706383,22427
2,MCF7,2.0,A133,4,1,60.0,2,0.25,0.027761906385421753,48,0.009866381995379925,2328
2,MCF7,2.0,A133,4,1,60.0,2,0.3,,0,0.009119483642280102,73
3,MCF7,2.0,A133,4,1,60.0,3,0.02,0.042445968836545944,14924,0.03815959393978119,34199
3,MCF7,2.0,A133,4,1,60.0,3,0.07,0.0593235082924366,1838,0.043696414679288864,16697
4,MCF7,2.0,A133,4,1,60.0,4,0.08,0.0446186400949955,5766,0.044262949377298355,5975
4,MCF7,2.0,A133,4,1,60.0,4,0.13,0.045993294566869736,19019,0.045726798474788666,27141
4,MCF7,2.0,A133,4,1,60.0,4,0.18,0.05696758255362511,1715,0.05955648794770241,6875
4,MCF7,2.0,A133,4,1,60.0,4,0.23,,0,,9
5,MCF7,2.0,A133,4,1,60.0,5,0.02,0.03913436830043793,6167,0.03844605013728142,11992
5,MCF7,2.0,A133,4,1,60.0,5,0.07,0.04452715814113617,14933,0.03561712056398392,64791
5,MCF7,2.0,A133,4,1,60.0,5,0.12,,0,0.03047950379550457,3425
1,MCF7,2.0,A133,5,1,60.0,1,0.05,,1,0.012442031875252724,10
1,MCF7,2.0,A133,5,1,60.0,1,0.1,0.03215474262833595,5530,0.029596569016575813,6844
1,MCF7,2.0,A133,5,1,60.0,1,0.15,0.031560152769088745,23811,0.028734102845191956,38005
1,MCF7,2.0,A133,5,1,60.0,1,0.2,0.025235146284103394,5905,0.024923192337155342,24182
