Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,outer_intensity_mean,inner_intensity_mean,intensity_ratio
PC9,4.0,alm,19,2,2.41,3,574.8946963028169,527.7455257270693,1.089340730100536
PC9,4.0,alm,19,2,2.41,4,508.44707612872236,512.984778121775,0.991154314539962
PC9,4.0,alm,19,2,2.41,5,599.8316243928764,654.1515055668016,0.9169613144483116
PC9,4.0,alm,19,2,2.41,6,406.99035989717225,402.7688643292683,1.010481186461456
PC9,4.0,alm,19,2,2.41,7,424.82149950347565,431.48629594423323,0.9845538630000454
PC9,4.0,alm,19,2,2.41,8,1077.7719558189656,1067.0147702407003,1.0100815713880311
PC9,4.0,alm,19,2,2.41,9,481.2054935370153,467.65774559193954,1.0289693650383736
PC9,4.0,alm,2,2,2.41,1,865.4622379288437,983.4731303837118,0.8800059820558341
PC9,4.0,alm,2,2,2.41,2,2322.6711290322582,3676.796042319749,0.6317106258542554
PC9,4.0,alm,2,2,2.41,3,708.9184706703911,759.4852393617022,0.9334196820812356
PC9,4.0,alm,2,2,2.41,4,3695.222392638037,6437.707780458383,0.5739966023084891
PC9,4.0,alm,20,2,2.41,1,407.13081311380705,425.9205479452055,0.9558844133675942
PC9,4.0,alm,20,2,2.41,2,507.8961949783013,501.1137323943662,1.0135347769288379
PC9,4.0,alm,20,2,2.41,3,434.50054684651843,440.32298519736844,0.9867768920847042
PC9,4.0,alm,20,2,2.41,4,577.1302631578948,664.1408002991773,0.8689878153817886
PC9,4.0,alm,20,2,2.41,5,1513.2111013986014,2873.3264496717725,0.5266408561308651
PC9,4.0,alm,21,2,2.41,1,496.1300458715596,511.66046626984127,0.96964701902513
PC9,4.0,alm,21,2,2.41,2,447.7663415919873,513.6344260326609,0.8717607677712685
PC9,4.0,alm,21,2,2.41,3,548.7578642384105,514.2905853517877,1.067019074173886
PC9,4.0,alm,21,2,2.41,4,383.51295356703565,379.60249805598755,1.0103014483073063
PC9,4.0,alm,21,2,2.41,5,2008.9125,2570.7520798668884,0.7814493337311702
PC9,4.0,alm,21,2,2.41,6,843.1492657593124,737.4345833333333,1.143354657911662
PC9,4.0,alm,22,2,2.41,1,440.01253623188404,438.3285537870472,1.0038418269361822
PC9,4.0,alm,22,2,2.41,2,552.1060810810811,522.7777140672783,1.0561010276922944
PC9,4.0,alm,22,2,2.41,3,797.5614559819413,1183.5823598130842,0.6738537875031319
PC9,4.0,alm,22,2,2.41,4,579.7014827327328,648.8594047619048,0.8934161676294896
PC9,4.0,alm,23,2,2.41,1,480.0518528761062,478.14718309859154,1.0039834382483894
PC9,4.0,alm,23,2,2.41,2,859.1870699881376,823.5900072150072,1.0432218245258984
PC9,4.0,alm,23,2,2.41,3,1170.406210815047,1182.40625,0.9898511707080768
PC9,4.0,alm,23,2,2.41,4,483.94799228675134,480.30464886251235,1.0075854844063397
PC9,4.0,alm,24,2,2.41,1,1533.7165242165242,2480.6796028880867,0.6182646571652874
PC9,4.0,alm,24,2,2.41,2,397.20689273049646,403.44022464412814,0.9845495527394919
PC9,4.0,alm,24,2,2.41,3,691.3705729166667,677.1689406099518,1.0209720668728883
PC9,4.0,alm,24,2,2.41,4,472.7050187307184,461.86155741216794,1.023477730814634
PC9,4.0,alm,24,2,2.41,5,496.9247901872176,627.7426851851852,0.7916058632218452
PC9,4.0,alm,24,2,2.41,6,659.1727142857143,776.852809706258,0.8485168696692483
PC9,4.0,alm,24,2,2.41,7,627.7118338771071,581.3260550213676,1.0797930497954966
PC9,4.0,alm,24,2,2.41,8,680.4184782608696,625.1644489247312,1.0883831917044773
PC9,4.0,alm,3,2,2.41,1,1456.2638815324858,1975.8987898789878,0.7370133981516702
PC9,4.0,alm,3,2,2.41,2,1203.3816605227883,1839.366590909091,0.6542369892279207
PC9,4.0,alm,3,2,2.41,3,562.0239703277236,564.5471893491124,0.995530543648091
PC9,4.0,alm,4,2,2.41,1,1134.5618429521562,3257.651375112714,0.3482760161568549
PC9,4.0,alm,5,2,2.41,1,397.7560590094837,384.7790590405904,1.0337258477663784
PC9,4.0,alm,5,2,2.41,2,818.6642657992566,1897.144992795389,0.4315243531244168
PC9,4.0,alm,5,2,2.41,3,417.9599820143885,417.8544717573222,1.0002525047934094
PC9,4.0,alm,5,2,2.41,4,1385.7358621755254,2230.8562170474515,0.6211677164965625
PC9,4.0,alm,5,2,2.41,5,420.4371056782334,413.9507042253521,1.0156695021573152
PC9,4.0,alm,5,2,2.41,6,455.8943,454.4383086876155,1.0032039361219112
PC9,4.0,alm,6,2,2.41,1,4769.247045305318,8230.122901364113,0.579486734580213
PC9,4.0,alm,6,2,2.41,2,1813.325571895425,2543.4850663716816,0.7129295138666414
PC9,4.0,alm,6,2,2.41,3,2044.2259174311926,2142.408013322884,0.9541720833374728
PC9,4.0,alm,6,2,2.41,4,1050.4311183144246,1896.4679836512262,0.5538881369840232
PC9,4.0,alm,6,2,2.41,5,952.9568389592124,1236.299107142857,0.770814144775643
PC9,4.0,alm,6,2,2.41,6,1106.115085891813,1246.1362645348838,0.8876357404658844
PC9,4.0,alm,6,2,2.41,7,719.684965380811,714.6144697720515,1.0070954281269688
PC9,4.0,alm,7,2,2.41,1,1162.5785,1043.8591741645243,1.1137311706155146
PC9,4.0,alm,7,2,2.41,2,2287.5964427750773,2335.2937788018435,0.979575445085441
PC9,4.0,alm,7,2,2.41,3,777.010659967409,751.0999835958005,1.034496973688595
PC9,4.0,alm,7,2,2.41,4,890.0367794906166,884.8786549707602,1.005829188545662
PC9,4.0,alm,8,2,2.41,1,1263.3480775366943,1768.451486013986,0.7143809640965763
PC9,4.0,alm,8,2,2.41,2,1141.8305527888447,1687.3800820256777,0.6766884147512824
PC9,4.0,alm,8,2,2.41,3,4195.289077212806,3721.5282909930716,1.1273027501541077
PC9,4.0,alm,8,2,2.41,4,3613.521012160229,3485.1462857142856,1.0368348172276598
PC9,4.0,alm,8,2,2.41,5,617.4023403324585,654.4166981845689,0.9434391604694796
PC9,4.0,alm,9,2,2.41,1,381.19372406639,375.6648288973384,1.0147176279059187
PC9,4.0,alm,9,2,2.41,2,581.6396373581848,516.2254484820608,1.1267163195237115
PC9,4.0,alm,9,2,2.41,3,411.4424421407907,411.3437849162011,1.0002398412914144
PC9,4.0,alm,9,2,2.41,4,426.49701303403333,416.7081096625767,1.0234910315985524
PC9,4.0,alm,9,2,2.41,5,383.7577804377565,385.3124039200615,0.9959652908484421
PC9,4.0,alm,9,2,2.41,6,1501.338867961935,1254.5503943908852,1.196714675372504
PC9,4.0,control,1,3,0.0,1,222.4950752148997,221.31770833333334,1.0053198042327147
PC9,4.0,control,1,3,0.0,2,499.86887527839644,536.757776826484,0.9312745839171837
PC9,4.0,control,1,3,0.0,3,745.1708633093525,702.4925,1.0607527671958812
PC9,4.0,control,10,3,0.0,1,1257.2760909720619,2028.8463460031348,0.6197000051033531
PC9,4.0,control,10,3,0.0,2,3518.0974648300116,4806.668312757201,0.7319201650533611
PC9,4.0,control,10,3,0.0,3,751.4025832452431,815.3873214285715,0.921528411710859
PC9,4.0,control,10,3,0.0,4,397.72345796943233,460.7482425307557,0.86321209992002
PC9,4.0,control,10,3,0.0,5,377.6017973192526,390.45183634020617,0.9670893108317792
PC9,4.0,control,11,3,0.0,1,304.1481866002215,304.3674019607843,0.9992797672840436
PC9,4.0,control,11,3,0.0,2,302.2928082191781,313.11907262905163,0.9654244491752846
PC9,4.0,control,11,3,0.0,3,289.2884378422782,291.9826230628988,0.9907727891736892
PC9,4.0,control,11,3,0.0,4,512.3472546728972,618.987915407855,0.8277177016215388
PC9,4.0,control,11,3,0.0,5,846.6812033582089,816.4832202111614,1.0369854301956598
PC9,4.0,control,11,3,0.0,6,480.4042452830189,562.6053870292887,0.85389201091672
PC9,4.0,control,11,3,0.0,7,823.1318988663485,808.9556107954545,1.0175241853591377
PC9,4.0,control,12,3,0.0,1,3289.4244186046512,4882.589317640048,0.67370491446423
PC9,4.0,control,12,3,0.0,2,327.4730222734255,324.9483243639922,1.0077695366313237
PC9,4.0,control,12,3,0.0,3,1075.536865234375,1019.228956935123,1.055245593167381
PC9,4.0,control,12,3,0.0,4,452.56204963971174,453.3273292824074,0.9983118607830085
PC9,4.0,control,12,3,0.0,5,500.1935461956522,487.3321917808219,1.0263913499492656
PC9,4.0,control,12,3,0.0,6,380.8933333333333,416.2790404040404,0.9149952228285101
PC9,4.0,control,13,3,0.0,1,717.9638324071735,859.8131067961165,0.8350231308783956
PC9,4.0,control,13,3,0.0,2,1095.2232142857142,1026.5097493036212,1.06693893071031
PC9,4.0,control,14,3,0.0,1,450.51145241477275,493.25635103926095,0.913341412564831
PC9,4.0,control,14,3,0.0,2,3336.568389392794,5972.799004907307,0.558627267827268
PC9,4.0,control,14,3,0.0,3,783.9566458982347,738.6584659913169,1.0613249316057392
PC9,4.0,control,14,3,0.0,4,328.3809665871122,334.766065830721,0.9809266831518176
PC9,4.0,control,15,3,0.0,1,3518.198800078044,4594.616610738255,0.7657219520461243
PC9,4.0,control,15,3,0.0,2,939.7630559299191,858.7696684005201,1.0943132838869951
PC9,4.0,control,16,3,0.0,1,281.9846710526316,282.4652397260274,0.9982986626111521
PC9,4.0,control,16,3,0.0,2,1437.2293332381496,1739.546535326087,0.8262091896085628
PC9,4.0,control,16,3,0.0,3,5588.53721451876,1558.118898809524,3.5867206403751766
PC9,4.0,control,16,3,0.0,4,375.25703335579516,412.94942748091603,0.9087239462830765
PC9,4.0,control,17,3,0.0,1,601.233505480607,581.4007947198276,1.0341119429847645
