Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,outer_intensity_mean,inner_intensity_mean,intensity_ratio
PC9,8.0,afa,0,1,11.16,1,623.4278926774734,852.3364218328841,0.7314340637196279
PC9,8.0,afa,0,1,11.16,2,275.68383137673425,270.8323220064725,1.0179133322578306
PC9,8.0,afa,0,1,11.16,3,278.66808739255015,268.7669585987261,1.0368390848542013
PC9,8.0,afa,0,1,11.16,4,496.72874649859943,820.9546552835052,0.6050623421181053
PC9,8.0,afa,0,1,11.16,5,485.50805310235506,725.0670289855072,0.6696043726904309
PC9,8.0,afa,0,1,11.16,6,304.1502130681818,296.52420442286945,1.0257179971535713
PC9,8.0,afa,0,1,11.16,7,266.3679078014184,259.8140531809145,1.0252251736973608
PC9,8.0,afa,0,1,11.16,8,287.50037537537537,283.310168997669,1.014790172878478
PC9,8.0,afa,0,1,11.16,9,289.7635498046875,283.7890144863916,1.021052736410917
PC9,8.0,afa,0,1,11.16,10,262.54168401332225,264.8463785046729,0.9912979950703386
PC9,8.0,afa,0,1,11.16,11,274.92796920821115,268.8194818304172,1.0227233805236164
PC9,8.0,afa,0,1,11.16,12,292.8694982394366,308.43796875,0.9495247923799479
PC9,8.0,afa,0,1,11.16,13,253.52276490066225,257.425,0.9848412737716316
PC9,8.0,afa,0,1,11.16,14,1284.0361707566462,3176.0866678470256,0.40428247243865545
PC9,8.0,afa,0,1,11.16,15,330.5946736453202,367.5250228519196,0.8995160957476381
PC9,8.0,afa,0,1,11.16,16,264.91743827160496,254.36328125,1.0414924550813285
PC9,8.0,afa,0,1,11.16,17,345.5053341384863,287.5718272620447,1.2014575190762715
PC9,8.0,afa,1,1,11.16,1,600.2199748743718,609.1119858611826,0.9854016811469587
PC9,8.0,afa,1,1,11.16,2,584.8479508196722,585.8958333333334,0.9982114866601808
PC9,8.0,afa,1,1,11.16,3,582.2972132826214,588.2324328107503,0.9899100777225618
PC9,8.0,afa,1,1,11.16,4,595.5283608490566,588.1629977029096,1.012522656431827
PC9,8.0,afa,1,1,11.16,5,682.7652517564403,870.5247093023256,0.784314614462393
PC9,8.0,afa,1,1,11.16,6,545.2348333333333,563.8004285714286,0.9670706258859412
PC9,8.0,afa,1,1,11.16,7,588.5931603773585,579.4740707434053,1.0157368380991652
PC9,8.0,afa,1,1,11.16,8,618.4669156883672,589.7225699558173,1.0487421496089313
PC9,8.0,afa,1,1,11.16,9,629.74706284153,656.8822780203784,0.9586909008100739
PC9,8.0,afa,1,1,11.16,10,613.7116527942925,603.2881392045455,1.017277836099166
PC9,8.0,afa,1,1,11.16,11,626.9130976095618,619.7731907894737,1.0115201930741682
PC9,8.0,afa,1,1,11.16,12,598.3921407731583,688.037321215733,0.8697088403806709
PC9,8.0,afa,1,1,11.16,13,616.0709459459459,657.6023882113822,0.9368441431935824
PC9,8.0,afa,1,1,11.16,14,591.0708841463414,587.2753415300547,1.0064629694929776
PC9,8.0,afa,1,1,11.16,15,599.0120104735884,608.144850127551,0.9849824599319601
PC9,8.0,afa,1,1,11.16,16,588.5764632405425,571.3720205850487,1.0301107545271073
PC9,8.0,afa,1,1,11.16,17,583.3953378378378,590.3729005167959,0.9881810925385462
PC9,8.0,afa,1,1,11.16,18,609.5415679304897,603.0059757053292,1.0108383539939483
PC9,8.0,afa,1,1,11.16,19,696.1434577194107,612.7910714285714,1.1360208889736656
PC9,8.0,afa,1,1,11.16,20,630.9506264916467,623.3684375,1.0121632545626706
PC9,8.0,afa,1,1,11.16,21,600.786636257764,602.9023203592815,0.9964908343688963
PC9,8.0,afa,1,1,11.16,22,614.6946839080459,604.7141487730062,1.0165045503818468
PC9,8.0,afa,1,1,11.16,23,661.6033364661654,627.3157311669129,1.054657652591418
PC9,8.0,afa,1,1,11.16,24,606.7678928095872,623.0245114555256,0.973906935687074
PC9,8.0,afa,1,1,11.16,25,600.2422550432277,583.0698529411765,1.029451706370049
PC9,8.0,afa,1,1,11.16,26,1126.9398280802293,1212.029308769793,0.929795855534278
PC9,8.0,afa,1,1,11.16,27,621.8174234135668,653.9898182957394,0.9508059697840372
PC9,8.0,afa,1,1,11.16,28,722.982693687231,716.1666998407643,1.0095173286442698
PC9,8.0,afa,1,1,11.16,29,755.6699856046065,753.7241027732464,1.0025816911310126
PC9,8.0,afa,1,1,11.16,30,625.1951295986622,606.7269483024692,1.030439032497014
PC9,8.0,afa,1,1,11.16,31,624.2819470260223,621.4475537909836,1.0045609532417468
PC9,8.0,afa,1,1,11.16,32,606.5630367366413,589.3658088235294,1.0291792086606455
PC9,8.0,afa,1,1,11.16,33,722.7961489497136,1040.7580574912893,0.6944900822502286
PC9,8.0,afa,1,1,11.16,34,648.2333784596872,657.8011752136753,0.9854548804190261
PC9,8.0,afa,1,1,11.16,35,600.0040352852853,632.8698799435028,0.948068559272956
PC9,8.0,afa,1,1,11.16,36,596.5607506361323,615.5439580318379,0.9691602733679604
PC9,8.0,afa,1,1,11.16,37,602.3323863636364,593.6063550420168,1.0147000301588784
PC9,8.0,afa,1,1,11.16,38,605.8829471982758,638.8820164075993,0.9483487273677298
PC9,8.0,afa,1,1,11.16,39,733.4296169582393,1102.3240683229815,0.6653484560797452
PC9,8.0,afa,1,1,11.16,40,602.0847602739726,607.4676846590909,0.9911387477539004
PC9,8.0,afa,1,1,11.16,41,590.5222402597402,594.1082010582011,0.9939641284330469
PC9,8.0,afa,1,1,11.16,42,616.2263530927835,604.1006822183099,1.020072268135747
PC9,8.0,afa,10,1,11.16,1,206.02518494342908,202.98243464052288,1.0149902148345735
