Metadata_treatment,Metadata_hour,Metadata_concentration,S_BF,S_Nulcei,S_Mit,S,E
control,24,0,0,0,0,0,0
afa,24,25.84,0.616237319,0.904877353,0.885147122,0.802087265,
gef,24,85.79,0.334458042,0.903809996,0.934621633,0.724296557,
