ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_std,E_Ed_diff,E_Fp,E
1,0,80,2,VIN,0.7576951527586215,False,0.4998215383245779,0.0210828874260187,0.1429613083600998,0.3739115595817566,0.48117918,True,0.032173582629439,0.0138557633262874,0.6507207072883446,0.0138557633262874,0.51882082,0.5847707636441724
2,0,80,2,VIN,0.7186695278670413,False,0.4607959134329976,0.1774533838033676,2.182255744934082,-0.1535421460866928,0.8231999,True,0.1394010707989488,0.1129576893083024,0.0,0.1129576893083024,0.17680010000000002,0.08840005000000001
1,1,80,2,VIN,0.5215804622172591,True,0.2637068477832154,0.1563472300767898,0.7175625562667847,0.0592470355331897,0.5322778,False,0.1537428839157579,0.0,0.0,0.0,0.4677222,0.2338611
2,1,80,2,VIN,0.805538636575956,False,0.5476650221419124,0.245120108127594,1.7830157279968262,0.5270419716835022,0.9837436,False,0.2357693423368178,0.0,0.28573469944422863,0.0,0.01625639999999995,0.1509955497221143
3,1,80,2,VIN,0.7010924149336489,False,0.4432188004996052,0.1007295250892639,0.6479499936103821,0.6464663743972778,0.9851396,True,0.0897484137911186,0.0549438393556083,0.17560242471108806,0.0549438393556083,0.014860399999999996,0.09523141235554403
1,10,80,2,VIN,0.745259871515674,False,0.4873862570816303,0.1673819571733474,1.7040140628814695,0.3035238981246948,0.39318937,True,0.1308227401736592,0.1010832930635165,0.0,0.1010832930635165,0.60681063,0.303405315
2,10,80,2,VIN,0.6663167168639761,False,0.4084431024299324,,,,0.7559901,False,,,,,0.2440099,
1,11,80,2,VIN,0.5332529831683341,True,0.2753793687342905,,,,0.50683,False,,,,,0.49317,
2,11,80,2,VIN,0.7957779638260967,False,0.537904349392053,0.1148470863699913,0.5333585143089294,0.2396030724048614,-0.19852144,False,0.1280039413053677,0.0,0.09138654734739475,0.0,0.8014785600000001,0.4464325536736974
3,11,80,2,VIN,0.7034548534255757,False,0.445581238991532,0.0633839666843414,0.38796466588974,-0.3023136556148529,0.44444603,True,0.0670019369402555,0.0358616305237637,0.3983809134434956,0.0358616305237637,0.5555539700000001,0.4769674417217478
1,12,80,2,VIN,0.7359508553144896,True,0.4780772408804459,0.1860113143920898,2.241891860961914,0.417707234621048,0.25315925,True,0.1402728643351532,0.1142131704301121,0.0,0.1142131704301121,0.74684075,0.373420375
2,12,80,2,VIN,0.7292294607770581,False,0.4713558463430144,,,,0.011125179,False,,,,,0.988874821,
3,12,80,2,VIN,0.7148553388585466,False,0.4569817244245029,0.1160046905279159,0.300297200679779,0.2063009440898895,0.4409172,False,0.084987778019045,0.0,0.08448105936254242,0.0,0.5590828,0.32178192968127123
4,12,80,2,VIN,0.6936763939911924,False,0.4358027795571487,,,,0.73997164,False,,,,,0.26002835999999996,
1,13,80,2,VIN,0.6900578128486037,True,0.43218419841456,0.1788942664861679,1.294023513793945,0.0680242329835891,0.59297055,False,0.2075831612940238,0.0,0.0,0.0,0.40702945,0.203514725
2,13,80,2,VIN,0.7596732105966383,False,0.5017995961625946,0.1433108448982238,1.1528128385543823,-0.0539482049643993,0.5318521,True,0.1153375362003252,0.0817233122814626,0.0,0.0817233122814626,0.46814789999999995,0.23407394999999998
1,14,80,2,VIN,0.7188029232735685,False,0.4609293088395249,0.1416660249233245,0.4130483567714691,0.78288733959198,0.8105769,False,0.1075701298993009,0.0,0.0,0.0,0.18942309999999996,0.09471154999999998
2,14,80,2,VIN,0.6499138661260584,False,0.3920402516920147,0.2496609538793563,2.137989521026612,-0.0864957720041275,0.38269347,False,0.2507274605175843,0.0,0.3128223317451354,0.0,0.61730653,0.4650644308725677
1,15,80,2,VIN,0.8182198930228891,True,0.5603462785888454,0.0402763299643993,0.3847862780094147,0.1487300395965576,0.2340724,True,0.0666541649345169,0.0356008563320224,0.5362255355757929,0.0356008563320224,0.7659275999999999,0.6510765677878965
2,15,80,2,VIN,0.7803033907235688,False,0.5224297762895251,0.029049115255475,0.1060678511857986,0.4671950936317444,0.55070496,True,0.025012375225435,0.0102774753877323,0.6031995488817163,0.0102774753877323,0.44929504,0.5262472944408582
1,16,80,2,VIN,0.8377291902938924,True,0.5798555758598487,0.0348304212093353,0.4830861985683441,0.4490706026554107,0.44492722,True,0.076519013925046,0.0433497578596024,0.5687121651522791,0.0433497578596024,0.5550727799999999,0.5618924725761395
2,16,80,2,VIN,0.7778599099451109,True,0.5199862955110672,0.063908502459526,0.2055773735046386,0.5445938110351562,0.59420305,False,0.0627520681064075,0.0,0.3952518857284807,0.0,0.40579695000000005,0.40052441786424037
3,16,80,2,VIN,0.732117737022981,True,0.4742441225889373,0.0295144449919462,0.1828767657279968,0.2651744484901428,0.16416606,True,0.0392197535113694,0.0176742964334564,0.6004237045810553,0.0176742964334564,0.83583394,0.7181288222905277
1,17,80,2,VIN,0.6426580304881886,True,0.3847844160541449,0.0286846365779638,0.127143457531929,0.5930225849151611,0.3063562,True,0.0291849149680512,0.0123260320716466,0.6053737835810807,0.0123260320716466,0.6936438,0.6495087917905404
2,17,80,2,VIN,0.7092017484011862,False,0.4513281339671425,0.049744788557291,0.2053801417350769,0.7422888875007629,0.604869,True,0.0429074306290744,0.0197946909188343,0.4797430785971404,0.0197946909188343,0.395131,0.4374370392985702
1,18,80,2,VIN,0.6249480941402255,False,0.3670744797061818,0.0682453736662864,0.4983055591583252,0.3583684861660003,-0.056228418,True,0.0778973428731842,0.0444918751667431,0.3693810284020624,0.0444918751667431,0.943771582,0.6565763052010312
2,18,80,2,VIN,0.6733295259389644,False,0.4154559115049208,0.0413591340184211,0.2978587746620178,0.5900435447692871,0.3464395,True,0.0562529382863521,0.0282031144179701,0.5297662547121146,0.0282031144179701,0.6535605,0.5916633773560573
1,19,80,2,VIN,0.7632355437934639,False,0.5053619293594203,0.0674640387296676,0.6145488023757935,0.4546290338039398,0.47818053,True,0.0873434634971309,0.0527290811924495,0.374041947231725,0.0527290811924495,0.5218194700000001,0.44793070861586254
2,19,80,2,VIN,0.7834941609931491,True,0.5256205465591054,0.0766404792666435,0.686760663986206,-0.1063990145921707,-0.25843847,True,0.0923936093302137,0.0574367310037072,0.3193014736095437,0.0574367310037072,0.74156153,0.5304315018047718
1,2,80,2,VIN,0.6837702791871406,False,0.4258966647530969,0.1042261570692062,0.7609655857086182,0.3240123093128204,0.122418255,True,0.0970503961025084,0.0619733450843951,0.15474386959995945,0.0619733450843951,0.877581745,0.5161628072999798
2,2,80,2,VIN,0.7418440301228129,False,0.4839704156887692,0.0666293129324913,0.5254698395729065,0.2019691169261932,0.9060421,True,0.080269889815646,0.0464929578962229,0.3790213600332318,0.0464929578962229,0.09395790000000004,0.2364896300166159
3,2,80,2,VIN,0.7107818404697058,False,0.4529082260356621,0.0910285115242004,0.888662576675415,0.2937853634357452,0.32427275,True,0.1040229186491035,0.0691302068775403,0.2334721482740531,0.0691302068775403,0.67572725,0.4545996991370266
1,20,80,2,VIN,0.6961031204021073,False,0.4382295059680636,0.0555928833782672,0.2196971774101257,0.9070030450820924,0.67348236,True,0.0451559819522251,0.0211297837151169,0.44485727739811026,0.0211297837151169,0.32651764000000005,0.3856874586990552
2,20,80,2,VIN,0.7631061721968289,False,0.5052325577627852,,,,0.93175375,False,,,,,0.06824624999999995,
1,3,80,2,VIN,0.7037702312610227,False,0.445896616826979,0.1352368593215942,0.829046905040741,-0.3266726434230804,0.111554205,False,0.1668023166678697,0.0,0.0,0.0,0.888445795,0.4442228975
1,4,80,2,VIN,0.7533162085247957,True,0.4954425940907521,,,,0.41515273,False,,,,,0.58484727,
2,4,80,2,VIN,0.6781937062804676,True,0.4203200918464239,0.2150692343711853,1.3754688501358032,-0.0428601428866386,-0.1539568,False,0.2130832137921059,0.0,0.10647139407459547,0.0,0.8460432,0.47625729703729774
1,5,80,2,VIN,0.7644494339767688,False,0.5065758195427251,0.1145780980587005,0.5965075492858887,0.7653892040252686,0.43539205,False,0.1374968619693624,0.0,0.09299115073359414,0.0,0.5646079500000001,0.3287995503667971
2,5,80,2,VIN,0.721611383668762,True,0.4637377692347183,0.1505555510520935,0.672307550907135,0.4706395864486694,0.13152674,False,0.1479447836013296,0.0,0.0,0.0,0.86847326,0.43423663
3,5,80,2,VIN,0.7544844177998,False,0.4966108033657563,0.1106335818767547,0.2170249968767166,0.3108120560646057,0.24026628,False,0.0656233019499121,0.0,0.11652148181785456,0.0,0.7597337200000001,0.43812760090892733
1,6,80,2,VIN,0.7556308189646603,False,0.4977572045306166,0.2518264949321747,0.6199164390563965,0.260488212108612,0.30287406,False,0.1408277884417541,0.0,0.3257404934661093,0.0,0.69712594,0.5114332167330546
1,7,80,2,VIN,0.7466940680895641,True,0.4888204536555204,0.1693117916584015,1.1764439344406128,-0.1092250868678093,0.4043097,False,0.1989168482694763,0.0,0.0,0.0,0.5956903,0.29784515
1,8,80,2,VIN,0.4223306312341047,True,0.164457016800061,0.1164232566952705,0.6029758453369141,0.7466310858726501,0.98840433,False,0.1384269836189243,0.0,0.0819841750694565,0.0,0.011595669999999947,0.046789922534728225
2,8,80,2,VIN,0.6946175513541801,False,0.4367439369201364,0.0952298566699028,0.2320315986871719,-0.0954089984297752,0.49261189,False,0.0693063622782618,0.0,0.2084097482945298,0.0,0.50738811,0.35789892914726484
1,9,80,2,VIN,0.6652962054093996,False,0.4074225909753559,0.0561633519828319,0.2977540493011474,-0.2475720793008804,0.42958808,True,0.0562392750512618,0.0281938963973871,0.4414542453101643,0.0281938963973871,0.57041192,0.5059330826550821
2,9,80,2,VIN,0.5348174341638445,False,0.2769438197298008,0.1238167732954025,0.4669572114944458,0.8321939706802368,0.38983715,False,0.1171406040227279,0.0,0.037879426742055154,0.0,0.61016285,0.3240211383710276
3,9,80,2,VIN,0.6449688006954223,False,0.3870951862613786,0.1083461791276931,0.584411084651947,0.7086328268051147,0.941472,True,0.0850631618809684,0.050673883406846,0.13016658847372745,0.050673883406846,0.058528000000000024,0.09434729423686374
1,0,0,2,control,0.3479909226940737,False,0.09011730826003,0.109763316810131,0.4360150396823883,-0.1483051925897598,0.7970923,False,0.1117352744708073,0.0,0.12171289800279723,0.0,0.20290770000000002,0.16231029900139862
2,0,0,2,control,0.294911364695097,False,0.0370377502610533,0.1123567372560501,0.5749599933624268,0.4296046495437622,0.77317536,False,0.1343432712253558,0.0,0.1062422955465376,0.0,0.22682464000000002,0.1665334677732688
3,0,0,2,control,0.2094541896122068,False,-0.0484194248218368,0.2239713817834854,1.2820463180541992,0.0485613867640495,0.6527049,False,0.2067412222580225,0.0,0.15957561936110035,0.0,0.34729509999999997,0.25343535968055014
4,0,0,2,control,0.3389215902782462,True,0.0810479758442025,0.1386391371488571,1.0471683740615845,0.9903518557548524,0.96838063,True,0.1112312087784881,0.0770082963532331,0.0,0.0770082963532331,0.031619370000000036,0.015809685000000018
1,1,0,2,control,0.0909262685557381,False,-0.1669473458783054,0.2260804027318954,1.925522327423096,0.5481303930282593,0.6215776,False,0.2422104968571039,0.0,0.1721566201456497,0.0,0.37842240000000005,0.2752895100728249
2,1,0,2,control,0.1730666956887433,False,-0.0848069187453003,0.1895101964473724,0.5087724328041077,0.5986912250518799,0.87970114,False,0.1240931045670957,0.0,0.0,0.0,0.12029886000000001,0.060149430000000004
1,10,0,2,control,0.605911098962355,True,0.3480374845283113,0.1833215206861496,1.4153176546096802,0.6134706139564514,0.7015428,False,0.2156390882591923,0.0,0.0,0.0,0.2984572,0.1492286
2,10,0,2,control,0.4982756877341946,False,0.240402073300151,0.2934730052947998,1.7479865550994873,0.3059645891189575,0.8544498,False,0.234083769836102,0.0,0.5741755694386579,0.0,0.14555019999999996,0.3598628847193289
3,10,0,2,control,0.3662992197078233,False,0.1084256052737797,0.1089347675442695,0.8528454303741455,0.5649943947792053,0.9134033,True,0.1021855882060158,0.0672009743386592,0.1266554657718372,0.0672009743386592,0.08659669999999997,0.10662608288591859
