Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_agg_mean_value,Cell_Ed_agg_variance,Cell_Ed_agg_max_value,Cell_Ed_agg_min_value,Cell_Ed_agg_top_50_value,Cell_Ed_agg_top_25_value,Nuclei_Ed_mean_value,Nuclei_Ed_variance,Nuclei_Ed_not_zero_mean_value,Nuclei_Ed_not_zero_variance,Nuclei_Ed_agg_mean_value,Nuclei_Ed_agg_variance,Nuclei_Ed_agg_max_value,Nuclei_Ed_agg_min_value,Nuclei_Ed_agg_top_50_value,Nuclei_Ed_agg_top_25_value,Mit_Ed_mean_value,Mit_Ed_variance,Mit_Ed_not_zero_mean_value,Mit_Ed_not_zero_variance,Mit_Ed_agg_mean_value,Mit_Ed_agg_variance,Mit_Ed_agg_max_value,Mit_Ed_agg_min_value,Mit_Ed_agg_top_50_value,Mit_Ed_agg_top_25_value,ObjectNumber
H1975,2.0,control,11,1,0.0,0.11598864942789078,0.007697798311710358,0.16230520606040955,0.0032542634289711714,0.1583063006401062,0.001457307836972177,0.25550615787506104,0.029587389901280403,0.18741074204444885,0.2000775784254074,0.0011515012010931969,0.00018038571579381824,0.12767069041728973,0.0038471620064228773,0.07615254074335098,0.0013198796659708023,0.1599477231502533,0.0011472348123788834,0.10470683872699738,0.12224572896957397,0.10301189869642258,0.008330075070261955,0.1634829193353653,0.0033340961672365665,0.1531611680984497,0.0017771597485989332,0.25550615787506104,0.029587389901280403,0.18644322454929352,0.20015542209148407,1
H1975,2.0,control,11,1,0.0,,,,,,,,,,,0.15982851386070251,0.0030994899570941925,0.16011719405651093,0.0030588661320507526,0.15346018970012665,0.0009363549179397523,0.2386939972639084,0.07444697618484497,0.17793846130371094,0.1922759711742401,,,,,,,,,,,2
H1975,2.0,control,12,1,0.0,0.1460648477077484,0.02290309965610504,0.2690943479537964,0.009087682701647282,0.24649004638195038,0.006490780506283045,0.4707260727882385,0.0,0.3099862337112427,0.34164202213287354,0.12000284343957901,0.019901324063539505,0.2542728781700134,0.00802749302238226,0.24809731543064117,0.008574039675295353,0.48641908168792725,0.0,0.3209024667739868,0.3596912622451782,0.150372713804245,0.02326844073832035,0.2711794674396515,0.009201578795909882,0.2363731414079666,0.007789728231728077,0.4707260727882385,0.0,0.30615460872650146,0.3409077823162079,1
H1975,2.0,control,12,1,0.0,0.1375913769006729,0.024386536329984665,0.2919192910194397,0.006688139401376247,0.2602328658103943,0.008802050724625587,0.42437154054641724,0.029185356572270393,0.33719927072525024,0.37394317984580994,0.051507435739040375,0.013496965169906616,0.2896866500377655,0.006911908276379108,0.30579668283462524,0.007541796658188105,0.4746471643447876,0.02284345217049122,0.37761181592941284,0.4174202084541321,0.15886704623699188,0.024793749675154686,0.2920997142791748,0.006669624242931604,0.26080846786499023,0.0075548128224909306,0.42437154054641724,0.029185356572270393,0.3323372006416321,0.36868590116500854,2
H1975,2.0,control,13,1,0.0,0.048880428075790405,0.0024789427407085896,0.07818949222564697,0.0016736735124140978,0.060803551226854324,0.00035070921876467764,0.10865502804517746,0.018338153138756752,0.07621973752975464,0.08486626297235489,0.041795410215854645,0.0028536724857985973,0.08005763590335846,0.0024029251653701067,0.06030569225549698,0.0002613872929941863,0.09888190776109695,0.01804242841899395,0.0734383836388588,0.08212577551603317,0.054060980677604675,0.002128956373780966,0.07701632380485535,0.0012650162680074573,0.060803551226854324,0.00035070921876467764,0.10865502804517746,0.018338153138756752,0.07621973752975464,0.08486626297235489,1
H1975,2.0,control,13,1,0.0,0.056446414440870285,0.0030038158874958754,0.09073445945978165,0.0017173589440062642,0.06798258423805237,0.0005960313719697297,0.1361502707004547,0.0,0.08779501914978027,0.09889686852693558,0.08050670474767685,0.0005909341853111982,0.080513134598732,0.0005904639256186783,0.07118009775876999,0.0004951765877194703,0.1361502707004547,0.007258106023073196,0.08904197812080383,0.09916215389966965,0.04879434034228325,0.003526482731103897,0.097230464220047,0.0023176094982773066,0.08022627234458923,0.0007095788605511189,0.14396315813064575,0.0,0.1004960685968399,0.11199522018432617,2
H1975,2.0,control,14,1,0.0,0.11811481416225433,0.011683663353323936,0.1794908195734024,0.0067384145222604275,0.19220511615276337,0.006134486757218838,0.4734250605106354,0.007674047257751226,0.25147342681884766,0.2816692590713501,0.09542844444513321,0.011219966225326061,0.1688983291387558,0.0074492208659648895,0.1871054321527481,0.005647377576678991,0.3623230457305908,0.005702920723706484,0.24953095614910126,0.2876911163330078,0.12362935394048691,0.011640861630439758,0.18162809312343597,0.006567788776010275,0.18423354625701904,0.006260398775339127,0.4734250605106354,0.0,0.24637751281261444,0.27755290269851685,1
H1975,2.0,control,14,1,0.0,0.23738625645637512,0.005454519297927618,0.24065065383911133,0.004743952304124832,0.25849974155426025,0.0012832224601879716,0.3194824755191803,0.16406817734241486,0.28693339228630066,0.30232474207878113,0.25614258646965027,0.004537347238510847,0.2562987506389618,0.004500097129493952,0.2672645151615143,0.004347465466707945,0.5168377757072449,0.12057860195636749,0.3196588456630707,0.35542041063308716,0.22794365882873535,0.005649983882904053,0.23261623084545135,0.0046788835898041725,0.24936014413833618,0.0018397236708551645,0.3194824755191803,0.11182890087366104,0.28193360567092896,0.29756033420562744,2
H1975,2.0,control,14,1,0.0,0.1524614840745926,0.013375592418015003,0.22078150510787964,0.004285580478608608,0.22423963248729706,0.0018954393453896046,0.3186798095703125,0.09762708842754364,0.2588202655315399,0.2817798852920532,0.17500872910022736,0.013696662150323391,0.23939667642116547,0.0033215805888175964,0.22378641366958618,0.002197379246354103,0.3283679187297821,0.04756631702184677,0.26161065697669983,0.28116336464881897,0.14226509630680084,0.012896530330181122,0.21162699162960052,0.004505434539169073,0.21830984950065613,0.0033453714568167925,0.42890989780426025,0.09762708842754364,0.2624375820159912,0.30023282766342163,3
H1975,2.0,control,15,1,0.0,0.23706918954849243,0.013588624075055122,0.27957883477211,0.004140445496886969,0.24858832359313965,0.0024403214920312166,0.43530046939849854,0.1351081281900406,0.28710079193115234,0.31431853771209717,0.2607080936431885,0.01227738056331873,0.2976974546909332,0.0030076622497290373,0.27348247170448303,0.0028405864723026752,0.43530046939849854,0.17988990247249603,0.31489479541778564,0.3452796936035156,0.22119106352329254,0.013841923326253891,0.2667267322540283,0.004545926582068205,0.2313442826271057,0.0014815139584243298,0.3446806073188782,0.1351081281900406,0.2620241045951843,0.28077250719070435,1
