Metadata_hour,Metadata_treatment,Ed
8,osi,1.381229465
8,osi,1.219692314
8,osi,1.19179054
8,osi,1.18599725
8,osi,1.184831144
8,osi,1.093199026
8,osi,1.086767316
8,osi,1.051753183
8,osi,1.024208785
8,osi,1.020773813
8,osi,1.007245019
8,osi,0.995842922
8,osi,0.994268089
8,osi,0.993145108
8,osi,0.963825091
8,osi,0.961325518
8,osi,0.95610212
8,osi,0.938685027
8,osi,0.937348308
8,osi,0.937005531
8,osi,0.928349383
8,osi,0.922506838
8,osi,0.918524366
8,osi,0.876966834
8,osi,0.872225226
8,osi,0.856027145
8,osi,0.851086329
8,osi,0.839766006
8,osi,0.839068991
8,osi,0.820265713
8,osi,0.81670585
8,osi,0.812752857
8,osi,0.803392143
8,osi,0.801560851
8,osi,0.793234906
8,osi,0.786007127
8,osi,0.775564959
8,osi,0.771508912
8,osi,0.76872757
8,osi,0.759453816
8,osi,0.751594375
8,osi,0.722058047
8,osi,0.707627318
8,osi,0.687726787
8,osi,0.654661093
8,osi,0.652916858
8,osi,0.633670764
8,osi,0.613549761
8,osi,0.603929596
8,osi,0.596063917
8,alm,2.309499229
8,alm,1.665762234
8,alm,1.474475984
8,alm,1.46466784
8,alm,1.421226654
8,alm,1.414609945
8,alm,1.323464983
8,alm,1.315308034
8,alm,1.260823973
8,alm,1.227975929
8,alm,1.195693887
8,alm,1.012653134
8,alm,1.000545069
8,alm,1.000196134
8,alm,0.986238316
8,alm,0.964448905
8,alm,0.963335351
8,alm,0.959886643
8,alm,0.955077649
8,alm,0.954872184
8,alm,0.951306868
8,alm,0.948782272
8,alm,0.948000245
8,alm,0.943817062
8,alm,0.940939923
8,alm,0.933184428
8,alm,0.922301952
8,alm,0.90907927
8,alm,0.902472967
8,alm,0.900750822
8,alm,0.899728728
8,alm,0.888299088
8,alm,0.887510783
8,alm,0.866612205
8,alm,0.865819388
8,alm,0.865742172
8,alm,0.864747461
8,alm,0.861636889
8,alm,0.858959698
8,alm,0.857933443
8,alm,0.84997688
8,alm,0.845781935
8,alm,0.844337743
8,alm,0.838595519
8,alm,0.828754559
8,alm,0.822078209
8,alm,0.809728383
8,alm,0.806829126
8,alm,0.806187398
8,alm,0.80412658
8,alm,0.801592792
8,alm,0.800080253
8,alm,0.799496614
8,alm,0.793698261
8,alm,0.782319584
8,alm,0.778970448
8,alm,0.774096608
8,alm,0.773369557
8,alm,0.772231415
8,alm,0.771920501
8,alm,0.760455753
8,alm,0.756351117
8,alm,0.746766752
8,alm,0.745911631
8,alm,0.7397676
8,alm,0.722227777
8,alm,0.709639711
8,alm,0.701605631
8,alm,0.700907106
8,alm,0.689474715
8,alm,0.66303304
8,alm,0.638362802
8,alm,0.628760329
8,alm,0.622286261
8,vin,1.995007083
8,vin,1.344809669
8,vin,1.294472162
8,vin,1.13382961
8,vin,1.129869817
8,vin,1.122821396
8,vin,1.021456724
8,vin,1.007869864
8,vin,0.986664369
8,vin,0.981997667
8,vin,0.964182289
8,vin,0.961950186
8,vin,0.950897227
8,vin,0.95055941
8,vin,0.94087815
8,vin,0.939264048
8,vin,0.9384503
8,vin,0.937374031
8,vin,0.934588314
8,vin,0.933695927
8,vin,0.93056123
8,vin,0.910796806
8,vin,0.903955318
8,vin,0.902408322
8,vin,0.889564162
8,vin,0.88541846
8,vin,0.879086045
8,vin,0.874765777
8,vin,0.859447189
8,vin,0.853443877
8,vin,0.848721604
8,vin,0.848516652
8,vin,0.841614489
8,vin,0.831869056
8,vin,0.83143916
8,vin,0.82269801
8,vin,0.809858181
8,vin,0.807312008
8,vin,0.806815884
8,vin,0.797146211
8,vin,0.796760784
8,vin,0.793881457
8,vin,0.777509932
8,vin,0.774138121
8,vin,0.756748475
8,vin,0.755138112
8,vin,0.751980177
8,vin,0.746314046
8,vin,0.739948188
8,vin,0.738386687
8,vin,0.73631047
8,vin,0.734119172
8,vin,0.731344355
8,vin,0.728480251
8,vin,0.708008764
8,vin,0.700549699
8,vin,0.696826459
8,vin,0.635760177
8,vin,0.626732717
8,vin,0.595560782
8,vin,0.589343802
8,vin,0.521596831
