Metadata_hour,Metadata_treatment,Ed
4,gef,0.126597612
4,gef,0.130953195
4,gef,0.145877913
4,gef,0.150050605
4,gef,0.119729623
4,gef,0.145099317
4,gef,0.158763895
4,gef,0.165947939
4,gef,0.180721539
4,gef,0.131780932
4,gef,0.155322008
4,gef,0.127993173
4,gef,0.103735104
4,gef,0.09772721
4,gef,0.244887201
4,gef,0.258363889
4,gef,0.244965558
4,gef,0.069739114
4,gef,0.076105572
4,gef,0.066417373
4,gef,0.078790755
4,gef,0.090802492
4,gef,0.084195204
4,gef,0.201576194
4,gef,0.077482824
4,gef,0.101400705
4,gef,0.103995344
4,gef,0.112442193
4,gef,0.119581566
4,gef,0.105284329
4,gef,0.101448638
4,gef,0.125750442
4,gef,0.134667933
4,gef,0.144625558
4,gef,0.170002157
4,gef,0.044586393
4,gef,0.038734712
4,gef,0.028366021
4,gef,0.043655861
4,gef,0.096840712
4,gef,0.091792897
4,gef,0.124366234
4,gef,0.060775938
4,gef,0.055917675
4,gef,0.068797384
4,gef,0.062333277
4,gef,0.047203509
4,gef,0.057063628
4,gef,0.039194428
4,gef,0.079979183
4,gef,0.054552634
4,gef,0.188774378
4,gef,0.068612763
4,gef,0.132803463
4,gef,0.0980044
4,gef,0.129699566
4,gef,0.075355013
4,gef,0.087773559
4,gef,0.082183488
4,gef,0.06948768
4,gef,0.069793029
4,gef,0.081859408
4,gef,0.061277292
4,gef,0.069759748
4,gef,0.071474942
4,gef,0.067268444
4,gef,0.184684839
4,gef,0.188009944
4,gef,0.166302892
4,gef,0.087545439
4,gef,0.089334197
4,gef,0.083346615
4,gef,0.220975708
4,gef,0.319445104
4,gef,0.291852287
4,gef,0.31753678
4,afa,0.04508437
4,afa,0.033378679
4,afa,0.032658991
4,afa,0.041339113
4,afa,0.047314815
4,afa,0.033188563
4,afa,0.046517332
4,afa,0.328007853
4,afa,0.02154704
4,afa,0.032535943
4,afa,0.036315439
4,afa,0.02339329
4,afa,0.019971399
4,afa,0.020584652
4,afa,0.017829998
4,afa,0.01758888
4,afa,0.019702383
4,afa,0.04682883
4,afa,0.071439965
4,afa,0.097166947
4,afa,0.126403961
4,afa,0.179471508
4,afa,0.094628387
4,afa,0.069182132
4,afa,0.110388496
4,afa,0.120729407
4,afa,0.122662794
4,afa,0.136803636
4,afa,0.116374448
4,afa,0.12568618
4,afa,0.179109968
4,afa,0.16057061
4,afa,0.038435932
4,afa,0.03139634
4,afa,0.035559657
4,afa,0.043922348
4,afa,0.052938278
4,afa,0.025600085
4,afa,0.03194022
4,afa,0.00924015
4,afa,0.009406928
4,afa,0.010986948
4,afa,0.007716977
4,afa,0.009955439
4,afa,0.038079838
4,afa,0.057510079
4,afa,0.199095683
4,afa,0.205387576
4,afa,0.172142819
4,afa,0.173748126
4,afa,0.130586596
4,afa,0.043058093
