Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff
H1975,2.0,control,6,1,0.0,3,0.0747182518243789,0.2853578329086303,-0.1015287339687347,0.7200634,False,0.08169840321643779,0.0
H1975,2.0,control,6,1,0.0,4,0.128719076514244,0.6404983401298523,0.7952183485031128,0.9498024,False,0.1436779199356756,0.0
H1975,2.0,control,7,1,0.0,1,0.2640293836593628,1.464656114578247,0.4175948798656463,0.75289863,False,0.21868910919324244,0.0
H1975,2.0,control,7,1,0.0,2,0.0877067446708679,0.3762056231498718,0.8753834962844849,0.8417406,False,0.10059809885261312,0.0
H1975,2.0,control,7,1,0.0,3,0.0828654393553733,1.1504042148590088,-0.1114512681961059,0.7067602,True,0.11524923771744554,0.08162014532358057
H1975,2.0,control,7,1,0.0,4,0.1387872248888015,0.9904580116271972,0.401795744895935,0.88745046,True,0.1088107749138599,0.0743071537988586
H1975,2.0,control,8,1,0.0,1,0.2872968316078186,1.4075870513916016,0.4755978584289551,0.84102273,False,0.21514986742128656,0.0
H1975,2.0,control,8,1,0.0,2,0.1203009188175201,0.7733300924301147,0.3389189839363098,0.56584597,True,0.09777964784222058,0.06270117590802403
H1975,2.0,control,8,1,0.0,3,0.1290757358074188,1.035752534866333,0.6011256575584412,0.8477772,True,0.11075694737845973,0.07647451926728227
H1975,2.0,control,8,1,0.0,4,0.2026468962430954,2.002288341522217,0.3222491443157196,0.6621005,False,0.24542682975832458,0.0
H1975,2.0,control,9,1,0.0,1,0.2228979915380478,1.2088688611984253,0.9563212394714355,0.8491194,False,0.20139889186525042,0.0
H1975,2.0,control,9,1,0.0,2,0.1898846626281738,1.4309457540512085,0.7967588901519775,0.9713078,False,0.2166185883059207,0.0
H1975,2.0,GEF,0,2,60.0,1,0.1718927025794983,0.9582142233848572,0.532418429851532,0.62168545,False,0.18007367630907295,0.0
H1975,2.0,GEF,1,2,60.0,1,0.1537320017814636,0.6716563701629639,0.7843625545501709,0.8807927,False,0.1478590628024078,0.0
H1975,2.0,GEF,1,2,60.0,2,0.2416303902864456,1.7878013849258425,0.8816988468170166,0.93673396,False,0.23599633503669093,0.0
H1975,2.0,GEF,10,2,60.0,1,0.2075710743665695,0.8345198631286621,0.7105695605278015,0.2060759,False,0.1674025535529507,0.0
H1975,2.0,GEF,10,2,60.0,2,0.2530434727668762,1.343801736831665,0.4879134893417358,0.5212055,False,0.21099013256238136,0.0
H1975,2.0,GEF,11,2,60.0,1,,,,0.6048117,False,,
H1975,2.0,GEF,11,2,60.0,2,0.2564319670200348,1.7057268619537354,-0.1031384468078613,0.6232708,False,0.23199218443864775,0.0
H1975,2.0,GEF,11,2,60.0,3,,,,0.5098553,False,,
H1975,2.0,GEF,11,2,60.0,4,0.19336798787117,1.1600837707519531,-0.1458816826343536,0.79649454,False,0.1976362368058094,0.0
H1975,2.0,GEF,11,2,60.0,5,0.1602311730384826,1.0805068016052246,-0.5606907606124878,0.56131667,False,0.19112002070069278,0.0
H1975,2.0,GEF,12,2,60.0,1,0.3315942883491516,1.6041910648345947,0.6263889074325562,0.7425423,False,0.2266893239250963,0.0
H1975,2.0,GEF,12,2,60.0,2,,,,0.23390213,False,,
H1975,2.0,GEF,12,2,60.0,3,,,,0.49815598,False,,
H1975,2.0,GEF,13,2,60.0,1,0.2122750878334045,0.9883512258529664,0.6340507864952087,0.6716317,False,0.1829220342889196,0.0
H1975,2.0,GEF,13,2,60.0,2,,,,0.3204127,False,,
H1975,2.0,GEF,13,2,60.0,3,0.2335382848978042,1.1068756580352783,0.2903419137001037,0.6227086,False,0.19333378341692434,0.0
H1975,2.0,GEF,13,2,60.0,4,0.2258476018905639,1.4164620637893677,0.081557348370552,0.5503994,False,0.215711244668612,0.0
H1975,2.0,GEF,14,2,60.0,1,0.295063704252243,1.5167254209518433,0.300168365240097,0.1992496,False,0.22177824814086403,0.0
H1975,2.0,GEF,14,2,60.0,2,0.2964105010032654,1.7157163619995115,0.6185728311538696,0.5340834,False,0.23249247603713255,0.0
H1975,2.0,GEF,14,2,60.0,3,,,,0.19145948,False,,
H1975,2.0,GEF,14,2,60.0,4,0.2120907306671142,1.8194150924682615,0.2031723260879516,0.7295777,False,0.23747647369021005,0.0
H1975,2.0,GEF,16,2,60.0,1,0.2338363379240036,0.7041351199150085,0.9277840852737428,0.90063995,False,0.15205468222592966,0.0
H1975,2.0,GEF,16,2,60.0,2,0.3118284940719604,1.8404661417007449,0.3687797486782074,0.66237545,False,0.23844379984066352,0.0
H1975,2.0,GEF,16,2,60.0,3,0.1683381646871566,0.5935119390487671,0.0660949498414993,0.33997202,False,0.1370635438729914,0.0
H1975,2.0,GEF,17,2,60.0,1,0.1333086043596267,0.6396140456199646,0.5474262237548828,0.5482799,False,0.14355693610757447,0.0
H1975,2.0,GEF,17,2,60.0,2,0.2593939006328583,1.0894296169281006,0.9133190512657166,0.92882496,False,0.1918753787069233,0.0
H1975,2.0,GEF,17,2,60.0,3,,,,0.6737064,False,,
H1975,2.0,GEF,17,2,60.0,4,0.1053088158369064,0.6291923522949219,0.0916494280099868,0.9585687,True,0.0884131054768652,0.053708102812858316
H1975,2.0,GEF,17,2,60.0,5,,,,0.44949934,False,,
H1975,2.0,GEF,18,2,60.0,1,0.35910165309906,1.192151665687561,0.733383059501648,0.9472216,False,0.2001284034494128,0.0
H1975,2.0,GEF,18,2,60.0,2,0.2794946134090423,1.0715930461883545,0.9133936166763306,0.95056206,False,0.19035893257263786,0.0
H1975,2.0,GEF,18,2,60.0,3,0.1005802527070045,0.7599688768386841,0.352415382862091,0.91865474,True,0.09699105968242008,0.06191433367827723
H1975,2.0,GEF,19,2,60.0,1,0.1828855574131012,1.1888538599014282,0.8257550597190857,0.9222305,False,0.19987548207692024,0.0
H1975,2.0,GEF,3,2,60.0,1,0.2543569505214691,1.2050762176513672,0.5713707208633423,0.96988606,False,0.20111234457375907,0.0
H1975,2.0,GEF,3,2,60.0,2,0.2345450967550277,1.0915871858596802,-0.1050128787755966,0.8450216,False,0.1920570594006841,0.0
H1975,2.0,GEF,3,2,60.0,3,,,,0.35514578,False,,
H1975,2.0,GEF,4,2,60.0,1,0.2982946038246155,1.5039916038513184,-0.0434531792998313,0.14513856,False,0.22103465098126143,0.0
H1975,2.0,GEF,4,2,60.0,2,0.2530464231967926,1.161668062210083,0.5155458450317383,0.92320895,False,0.19776109679681445,0.0
H1975,2.0,GEF,4,2,60.0,3,0.1548129469156265,0.711674153804779,-0.7163748741149902,-0.3055921,False,0.1530058089724644,0.0
H1975,2.0,GEF,4,2,60.0,4,0.0731106773018837,0.2974386215209961,0.0091091096401214,-0.097023726,False,0.08436423188282224,0.0
