Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Rc,Ed,cell_Ed
MCF7,2.0,A199,0,1,90.0,0.69,0.10381093621253967,0.09929300844669342
MCF7,2.0,A199,0,1,90.0,0.7,0.1038115993142128,0.09923814982175827
MCF7,2.0,A199,0,1,90.0,0.71,0.10458866506814957,0.10111658275127411
MCF7,2.0,A199,0,1,90.0,0.72,0.10795578360557556,0.10197103768587112
MCF7,2.0,A199,0,1,90.0,0.73,0.10929039120674133,0.10253671556711197
MCF7,2.0,A199,0,1,90.0,0.74,0.11150332540273666,0.103682741522789
MCF7,2.0,A199,0,1,90.0,0.75,0.11315137892961502,0.10389123857021332
MCF7,2.0,A199,0,1,90.0,0.76,0.11621655523777008,0.10496481508016586
MCF7,2.0,A199,0,1,90.0,0.77,0.1217833086848259,0.10610347986221313
MCF7,2.0,A199,0,1,90.0,0.78,0.12285648286342621,0.10558830946683884
MCF7,2.0,A199,0,1,90.0,0.79,0.11840393394231796,0.10737884044647217
MCF7,2.0,A199,0,1,90.0,0.8,0.12662602961063385,0.10619768500328064
MCF7,2.0,A199,0,1,90.0,0.81,0.13103720545768738,0.10884812474250793
MCF7,2.0,A199,0,1,90.0,0.82,0.12925684452056885,0.10950348526239395
MCF7,2.0,A199,0,1,90.0,0.83,0.13925279676914215,0.11018547415733337
MCF7,2.0,A199,0,1,90.0,0.84,0.1356651484966278,0.10822218656539917
MCF7,2.0,A199,0,1,90.0,0.85,0.13745921850204468,0.10965747386217117
MCF7,2.0,A199,0,1,90.0,0.86,,0.11018248647451401
MCF7,2.0,A199,0,1,90.0,0.87,,0.1101304367184639
MCF7,2.0,A199,0,1,90.0,0.88,,0.10803832113742828
MCF7,2.0,A199,0,1,90.0,0.89,,0.10930328816175461
MCF7,2.0,A199,0,1,90.0,0.9,,0.11194087564945221
MCF7,2.0,A199,0,1,90.0,0.91,,0.10796188563108444
MCF7,2.0,A199,0,1,90.0,0.92,,0.10883890092372894
MCF7,2.0,A199,0,1,90.0,0.93,,0.11378981918096542
MCF7,2.0,A199,0,1,90.0,0.94,,0.11362239718437195
MCF7,2.0,A199,0,1,90.0,0.95,,0.11062612384557724
MCF7,2.0,A199,0,1,90.0,0.96,,0.10977005958557129
MCF7,2.0,A199,0,1,90.0,0.97,,0.11003042012453079
MCF7,2.0,A199,0,1,90.0,0.98,,0.11029663681983948
MCF7,2.0,A199,0,1,90.0,0.99,,0.1132122203707695
MCF7,2.0,A199,0,1,90.0,1.0,,0.11221746355295181
MCF7,2.0,A199,0,1,90.0,1.01,,0.11522509902715683
MCF7,2.0,A199,0,1,90.0,1.02,,0.10922186821699142
MCF7,2.0,A199,0,1,90.0,1.03,,0.11248482763767242
MCF7,2.0,A199,0,1,90.0,1.04,,0.1332041323184967
MCF7,2.0,A199,0,1,90.0,1.05,,0.11367124319076538
MCF7,2.0,A199,0,1,90.0,1.06,,0.11965087056159973
MCF7,2.0,A199,0,1,90.0,1.07,,0.11973099410533905
