Key,Hour,Treatment,Concentration,BestModel,R2,RMSE,N,Edmax_nl,Kd_nl,R2_nl,RMSE_nl,a_l,R2_l,RMSE_l
2.0h-DAC-15.0um,2.0,DAC,15.0,linear,0.6478785139321498,0.03570168648904563,526,0.2586036176164041,0.9999999999999999,0.5549020443126361,0.040139343835497,0.09189356899471063,0.6478785139321498,0.03570168648904563
2.0h-DAC-28.0um,2.0,DAC,28.0,nonlinear,0.5157237227383189,0.043975145717988294,812,0.3061007791789588,0.9999999999999999,0.5157237227383189,0.043975145717988294,0.11382072084557272,0.22804937682245152,0.05552076617754701
4.0h-ALM-3.0um,4.0,ALM,3.0,nonlinear,0.3986780853790993,0.04799060257279808,603,0.32811337706750077,0.9999999999999982,0.3986780853790993,0.04799060257279808,0.11954531332178224,0.011118032020389523,0.06154246906907599
4.0h-ALM-9.0um,4.0,ALM,9.0,nonlinear,0.5259869846465294,0.037379764562826455,897,0.26777151106439306,0.974368672452774,0.5259869846465294,0.037379764562826455,0.09668689676622814,0.2880287664463108,0.04581130376364313
4.0h-DAC-15.0um,4.0,DAC,15.0,nonlinear,0.41213672947973845,0.04952291548251475,788,0.29126653213825754,0.9999999999999999,0.41213672947973845,0.04952291548251475,0.10568553932315462,0.26581483384901616,0.05534403812165488
4.0h-DAC-28.0um,4.0,DAC,28.0,linear,0.32851852379022406,0.06105784670342454,488,0.23087548615520692,0.9999999999999999,0.21868730804220493,0.06586230193295355,0.08577379068890764,0.32851852379022406,0.06105784670342454
4.0h-control-0.0um,4.0,control,0.0,nonlinear,0.5013159816817447,0.04371385034434903,519,0.31780373639117543,0.9999999999999999,0.5013159816817447,0.04371385034434903,0.10907172783016177,0.3980486304113041,0.048027174735963025
6.0h-ALM-3.0um,6.0,ALM,3.0,linear,0.6626406327807757,0.047710868239752464,1087,0.3370149845099516,0.9999999999999999,0.5532820268093328,0.05490193436767051,0.12073014369024788,0.6626406327807757,0.047710868239752464
6.0h-ALM-9.0um,6.0,ALM,9.0,nonlinear,0.5014561703493581,0.04732585432735908,797,0.2627667913280579,0.9999999999999973,0.5014561703493581,0.04732585432735908,0.09516652556445405,0.4767238636601545,0.0484855419810428
6.0h-DAC-15.0um,6.0,DAC,15.0,linear,0.5519236975077414,0.058834642886629825,785,0.33535713286833463,0.9999999999999977,0.4799325964037311,0.06338506658681207,0.12644862855239156,0.5519236975077414,0.058834642886629825
6.0h-DAC-28.0um,6.0,DAC,28.0,nonlinear,0.6797707535524387,0.040021439917839116,621,0.31605816585133195,0.9999999999999862,0.6797707535524387,0.040021439917839116,0.1122966659895491,0.6660469467310993,0.040870026797335465
