Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var,FRET_Judge,Near_Ed,Ed_diff
A549,4,ALM,12,1,9,1,0.0466724038124084,0.0074996901676058,0.1863407790660858,0.0039167939685285,0.1487809866666793,0.0017809992423281,0.2720539271831512,0.0267079528421163,0.1826648265123367,0.2035885751247406,0.7864797,1.3025578,1.2973418,907,88836,89743,0.62045956,0.73840976,0.25075808,0.991729,0.8836631,0.64048165,5.8709455,0.0,1.367221,1.838748,2.601692,1.1563852,0.06857285,0.6282477,5.8709455,0.0,1.3656706,ALM,0.17498725854858876,0.11321954390496736
A549,4,ALM,12,1,9,2,0.0403396040201187,0.0055603687651455,0.1569247990846634,0.0033352416940033,0.1056463941931724,0.0010538081405684,0.2451562732458114,0.0,0.130836620926857,0.1465076655149459,0.6318392,1.3146281,1.3093809,977,126158,127135,0.7442441,0.77058864,0.26629096,0.9918749,0.8229694,0.5063902,6.5561357,0.0,0.8645495,1.1885929,1.8503461,0.8039147,0.03035292,0.5011071,6.5561357,0.0,0.86737746,ALM,0.11311425660357857,0.12853029123077472
A549,4,ALM,13,1,9,1,0.0238206908106803,0.0020948324818164,0.090924322605133,0.0018946897471323,,,,,,,0.36318856,1.0545005,1.0412804,1200,61551,62751,0.6469909,-0.03408923,0.1526672,0.9703518,0.8279764,0.06931467,1.7757455,0.0,0.018486071,0.16013408,0.34338304,0.0,0.001424538,0.06754407,1.7757455,0.0,0.01865476,,,
A549,4,ALM,13,1,9,2,0.0479370094835758,0.0092924125492572,0.2198073267936706,0.0048304847441613,0.1622539311647415,0.0029452643357217,0.3582639396190643,0.0,0.2039128690958023,0.2374793291091919,0.74778634,1.2856982,1.2808666,555,61236,61791,0.79311246,0.92192733,0.39360562,0.98692775,0.86110586,0.42611355,4.8900805,0.0,0.746635,1.1777451,2.5926588,0.0,0.17701308,0.4193014,4.8900805,0.0,0.74663097,ALM,0.1120819091675605,0.12854994406882128
A549,4,ALM,13,1,9,3,0.0618161410093307,0.0058330139145255,0.1339706927537918,0.0029749700333923,0.1174501851201057,0.0017570474883541,0.2531579136848449,0.0316906198859214,0.1502250581979751,0.1710717678070068,1.003177,3.3343818,3.3097126,800,74799,75599,0.5330241,0.7063174,0.16437626,0.9435051,0.77215767,0.46999156,3.6810963,0.0,0.42059726,0.37930787,0.7684177,0.17868473,0.015911186,0.47096148,3.6810963,0.0,0.42483664,control,0.12236000737551826,0.0
A549,4,ALM,14,1,9,1,0.0267065465450286,0.002661945996806,0.1049056872725486,0.0022528250701725,,,,,,,0.67017436,2.0652103,2.0490463,1200,102367,103567,0.38503617,0.5184454,0.110995956,0.98139435,0.7964638,0.116356276,1.8845633,0.0,0.055684533,0.2119826,0.6572873,0.0,0.003807817,0.115235336,1.8845633,0.0,0.056184206,,,
A549,4,ALM,14,1,9,2,0.0330396927893161,0.0042462316341698,0.1409194767475128,0.0029084822162985,0.1099972948431968,0.0011246210196986,0.203125,0.0,0.1367256194353103,0.1529548019170761,0.75426435,0.92858106,0.9268016,400,38783,39183,0.4584279,0.038844302,0.12574573,0.9940715,0.8747259,0.45103127,4.594167,0.0,0.72371614,1.4977658,1.9074864,1.0550674,0.028991077,0.4402357,4.594167,0.0,0.7194646,ALM,0.14253716729526497,0.12427218579035706
A549,4,ALM,15,1,9,1,0.0868866741657257,0.006841184105724,0.1392823010683059,0.0036688712425529,0.0906552672386169,0.0009423742885701,0.2055089473724365,0.0105183785781264,0.1148002818226814,0.1300806105136871,1.2931584,3.0588634,3.0312514,2406,151449,153855,0.7846169,-0.11159961,0.34992808,0.9352494,0.8613514,0.82709223,3.582588,0.0,0.6051317,0.6049408,1.2973549,0.25455567,0.042061266,0.8306214,3.582588,0.0,0.6132803,ALM,0.05757011410818128,0.11014133586874109
A549,4,ALM,16,1,9,1,0.038586001843214,0.0044616861268877,0.1362621486186981,0.0024463839363306,0.100166916847229,0.001148767885752,0.2141574323177337,0.0,0.1268311589956283,0.1451049894094467,0.93852586,1.5116862,1.5048397,723,59804,60527,0.7931165,-0.11363256,0.3432338,0.96199405,0.86718756,0.30549607,2.9667647,0.0,0.2781322,0.70956194,1.3938669,0.36610276,0.040281374,0.30061123,2.9667647,0.0,0.27900997,ALM,0.06752654450257362,0.11715110010704444
A549,4,ALM,17,1,9,1,0.0615494139492511,0.0104656536132097,0.2069639861583709,0.0050958725623786,0.117066316306591,0.0015102106845006,0.269278883934021,0.0289677232503891,0.1457471549510955,0.1685951799154281,0.6759818,2.35319,2.340286,800,103183,103983,0.8846275,0.8548608,0.21527818,0.99008226,0.78225785,0.4117246,4.447378,0.0,0.50403845,0.59115934,1.320781,0.4041198,0.017067961,0.4103334,4.447378,0.0,0.5075625,control,0.16531023306261017,0.0
A549,4,ALM,18,1,9,1,0.1273751407861709,0.0207109414041042,0.2726829051971435,0.0047147520817816,0.2088398933410644,0.0012342585250735,0.3347930014133453,0.1036520823836326,0.2367604970932006,0.2549460530281067,0.83418804,1.0988288,1.09547,1400,108903,110303,0.7873779,0.32325107,0.64167,0.9790077,0.9193049,1.3040187,6.0719705,0.0,2.2487698,1.9656994,3.1747289,1.2395363,0.10964393,1.2955127,6.0719705,0.0,2.2705684,ALM,0.187068782202132,0.10784755457623593
A549,4,ALM,19,1,9,1,0.2647540867328644,0.0082233641296625,0.2710523009300232,0.0067118522711098,0.1567566841840744,0.0016278509283438,0.2724867165088653,0.0308387111872434,0.1898785382509231,0.207349345088005,1.041162,2.6785731,2.6402931,1813,75738,77551,0.86551267,-0.19952267,0.51336217,0.9395409,0.8718001,2.1592624,5.8170238,0.0,0.72598755,1.1101968,2.0079744,0.46009767,0.1068509,2.1843746,5.8170238,0.0,0.7138334,ALM,0.10565357214877509,0.1284380472959606
