Metadata_treatment,Metadata_hour,Metadata_concentration,S_BF,S_FS,S,E
control,2,0,0,0,0,0
control,4,0,0,0,0,0
control,6,0,0,0,0,0
osimertinib,2,4,0.0373,0.2007,0.238,0.4701
osimertinib,4,4,0.2942,0.0767,0.3709,0.6897
osimertinib,6,4,0.3274,0.1234,0.4508,0.5945
gefitinib,2,50,0.2539,0.2446,0.4985,0.0615
gefitinib,4,50,0.1311,0.4305,0.5616,0.1766
gefitinib,6,50,0.1840 ,0.2453,0.4293,0.1802
