ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,current_Metadata_concentration
3,0.1522709280252456,0.0039512682706117,0.0868520513176918,0.1665526181459427,0.026155585423111916,0.1074778363108635,0.12229983508586884,A549,4.0,afa,4,1,0.0
4,0.1737308651208877,0.0303903259336948,0.1766098290681839,0.3737347722053528,0.002592771779745817,0.24050891399383545,0.28096655011177063,A549,4.0,afa,4,1,0.0
1,0.0311378296464681,0.0077234054915606,0.25728118419647217,0.47944316267967224,0.11347325891256332,0.30893540382385254,0.34359729290008545,A549,4.0,afa,5,1,0.0
2,0.1923210173845291,0.0096878530457615,0.07807175070047379,0.1309337466955185,0.014584134332835674,0.09524302929639816,0.10689634084701538,A549,4.0,afa,5,1,0.0
1,0.0022641087416559,0.0005725444061681,0.24357354640960693,0.2919639050960541,0.20983317494392395,0.28467613458633423,0.2919639050960541,A549,4.0,afa,6,1,0.0
2,0.0001459894265281,3.608609040384181e-05,0.0,0.0,0.0,0.0,0.0,A549,4.0,afa,6,1,0.0
3,0.1391443312168121,0.0082973111420869,0.12016722559928894,0.2812386155128479,0.004305119626224041,0.16240492463111877,0.18952767550945282,A549,4.0,afa,6,1,0.0
4,0.140693187713623,0.0072062211111187,0.093994140625,0.23882770538330078,0.0010255873203277588,0.12778601050376892,0.15001650154590607,A549,4.0,afa,6,1,0.0
5,0.0799811780452728,0.0107469903305172,0.09380972385406494,0.2007930874824524,0.012914392165839672,0.13191673159599304,0.15795157849788666,A549,4.0,afa,6,1,0.0
6,0.0915250107645988,0.0129739148542284,0.16349628567695618,0.34708118438720703,0.0329684317111969,0.20347550511360168,0.2291451245546341,A549,4.0,afa,6,1,0.0
1,0.1773644983768463,0.0100881569087505,0.10331999510526657,0.23169972002506256,0.02334846556186676,0.12798701226711273,0.144907608628273,A549,4.0,afa,7,1,0.0
2,0.2264944165945053,0.012183342128992,0.1795949935913086,0.31760236620903015,0.04734368622303009,0.22529597580432892,0.2533172070980072,A549,4.0,afa,7,1,0.0
1,0.0081723723560571,0.0018476700643077,0.213156595826149,0.33432537317276,0.0345112644135952,0.2793063521385193,0.305148720741272,A549,4.0,afa,8,1,0.0
2,0.0780093967914581,0.0013812866527587,0.041855718940496445,0.09949749708175659,0.0021260271314531565,0.05675366893410683,0.06798063218593597,A549,4.0,afa,8,1,0.0
3,0.1642430871725082,0.0076186205260455,0.035093534737825394,0.08478109538555145,0.0030538132414221764,0.04957718774676323,0.05747516080737114,A549,4.0,afa,8,1,0.0
4,0.2988665997982025,0.0140420356765389,0.20779116451740265,0.3869401812553406,0.10633013397455215,0.2580489218235016,0.3059461712837219,A549,4.0,afa,8,1,0.0
1,0.1758793145418167,0.0052923150360584,0.11238681524991989,0.2433745265007019,0.0036545414477586746,0.14827410876750946,0.17174017429351807,A549,4.0,afa,9,1,0.0
2,0.1255410462617874,0.0081080496311187,0.09688246995210648,0.20428411662578583,0.0056788320653140545,0.1289728432893753,0.1499059647321701,A549,4.0,afa,9,1,0.0
3,0.11037278175354,0.0252596084028482,0.24105271697044373,0.3922775983810425,0.13148236274719238,0.2844754755496979,0.31586799025535583,A549,4.0,afa,9,1,0.0
4,0.0235035922378301,0.0058404854498803,0.25935566425323486,0.358990341424942,0.1788208931684494,0.2964596450328827,0.32317739725112915,A549,4.0,afa,9,1,0.0
5,0.0172723699361085,0.0051043601706624,0.30252400040626526,0.47085118293762207,0.14959760010242462,0.3584909439086914,0.3907879590988159,A549,4.0,afa,9,1,0.0
1,0.1148590072989463,0.0036857693921774,0.08116763085126877,0.173698291182518,0.003770273644477129,0.10770026594400406,0.12261843681335449,A549,4.0,alm,0,2,0.0
2,0.0829047113656997,0.0061259758658707,0.10256309807300568,0.24313436448574066,0.0006952297990210354,0.14292801916599274,0.17047204077243805,A549,4.0,alm,0,2,0.0
3,0.0022929299157112,0.0005153120728209,0.22564509510993958,0.27514293789863586,0.1840309053659439,0.2583670914173126,0.27514293789863586,A549,4.0,alm,0,2,0.0
4,0.0018294123001396,0.0002568604541011,0.06642715632915497,0.06642715632915497,0.06642715632915497,0.06642715632915497,0.06642715632915497,A549,4.0,alm,0,2,0.0
5,0.0089968116953969,0.0010615559294819,0.05853988230228424,0.14797812700271606,0.011596756055951118,0.08289751410484314,0.10082127153873444,A549,4.0,alm,0,2,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A549,4.0,alm,0,2,0.0
7,0.0085159353911876,0.0011729415273293,0.04515349492430687,0.1343643218278885,0.0007939108763821423,0.07053788006305695,0.08476033806800842,A549,4.0,alm,0,2,0.0
8,2.40149147430202e-05,4.507492576522054e-06,0.0,0.0,0.0,0.0,0.0,A549,4.0,alm,0,2,0.0
9,0.0009444706956855,0.0001914414606289,0.1884666532278061,0.2446659505367279,0.12327468395233154,0.2158125638961792,0.22990186512470245,A549,4.0,alm,0,2,0.0
10,0.0001264634920516,3.120665132883005e-05,0.0,0.0,0.0,0.0,0.0,A549,4.0,alm,0,2,0.0
1,0.0205459967255592,0.0067612091079354,0.26640617847442627,0.3594852089881897,0.15071897208690643,0.311708003282547,0.3278561532497406,A549,4.0,alm,1,2,0.0
2,0.4296495914459228,0.0219927579164505,0.3658388555049896,0.45846912264823914,0.2604297697544098,0.40796247124671936,0.4261125922203064,A549,4.0,alm,1,2,0.0
3,0.1663468480110168,0.0023327697999775,0.09446123242378235,0.18518973886966705,0.01714481972157955,0.12281783670186996,0.14333993196487427,A549,4.0,alm,1,2,0.0
4,0.1235479041934013,0.0019117854535579,0.061327189207077026,0.1300058513879776,0.0022089590784162283,0.08131158351898193,0.09323041886091232,A549,4.0,alm,1,2,0.0
5,0.1285189241170883,0.0016737267142161,0.06710789352655411,0.13765065371990204,0.011340540833771229,0.08548600226640701,0.09522919356822968,A549,4.0,alm,1,2,0.0
6,0.2367499768733978,0.0090162167325615,0.1434837132692337,0.2565433979034424,0.02762211114168167,0.18431252241134644,0.20900805294513702,A549,4.0,alm,1,2,0.0
7,0.004639069084078,0.000677955977153,0.05948895588517189,0.1752038300037384,0.004357319790869951,0.08843971788883209,0.10878503322601318,A549,4.0,alm,1,2,0.0
8,0.193558394908905,0.0089403679594397,0.15272122621536255,0.2699662148952484,0.0027691239956766367,0.18588602542877197,0.20439477264881134,A549,4.0,alm,1,2,0.0
1,0.0885370075702667,0.002885490655899,0.0884057879447937,0.17349041998386383,0.006151613313704729,0.11502818763256073,0.12842905521392822,A549,4.0,alm,10,2,0.0
2,0.112705297768116,0.0174263920634984,0.11988740414381027,0.30841636657714844,0.004513463471084833,0.16991041600704193,0.20876359939575195,A549,4.0,alm,10,2,0.0
3,0.1073219701647758,0.0061435597017407,0.07615109533071518,0.18102221190929413,2.5041596018127166e-05,0.10740821808576584,0.12501958012580872,A549,4.0,alm,10,2,0.0
4,0.0010045525850728,0.0002296997554367,0.23863805830478668,0.32699859142303467,0.14995892345905304,0.2793256938457489,0.3097666800022125,A549,4.0,alm,10,2,0.0
5,0.3667089939117431,0.0062963422387838,0.34341439604759216,0.4709419012069702,0.15524724125862122,0.39299410581588745,0.41537782549858093,A549,4.0,alm,10,2,0.0
1,0.2072107195854187,0.0085627054795622,0.10441567748785019,0.1875113993883133,0.04897040128707886,0.12451460212469101,0.13822509348392487,A549,4.0,alm,12,2,0.0
2,1.6215650248341262e-05,2.5872409423755016e-06,0.0,0.0,0.0,0.0,0.0,A549,4.0,alm,12,2,0.0
