Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_region_mean_value,Rc_region_mean,Fp_region_PCC,FRET_Judge,Near_Ed
MCF7,2.0,A133,0,2,40.0,2,0.0994864478707313,0.5238716,0.54428244,True,0.08013329955071245
MCF7,2.0,A133,0,2,40.0,3,0.0671674534678459,0.48197323,0.7657304,True,0.07641678393995126
MCF7,2.0,A133,10,2,40.0,1,,0.26825002,0.9636315,False,0.0778363933004314
MCF7,2.0,A133,10,2,40.0,2,,0.25729525,0.87597656,False,0.07530820783741926
MCF7,2.0,A133,10,2,40.0,3,0.1613339483737945,0.6494368,0.9616062,False,0.14489354329914308
MCF7,2.0,A133,11,2,40.0,1,0.150473266839981,0.42381832,0.955994,False,0.10954005828496434
MCF7,2.0,A133,12,2,40.0,1,0.1012888252735138,0.3524376,0.7853601,False,0.0958987215380584
MCF7,2.0,A133,13,2,40.0,1,,0.21131477,0.9036149,False,0.06419787596579872
MCF7,2.0,A133,14,2,40.0,1,,0.17967053,0.78470373,False,0.05604849265836961
MCF7,2.0,A133,14,2,40.0,2,,0.3736322,0.88214195,False,0.10009713633678652
MCF7,2.0,A133,14,2,40.0,3,,0.25279745,0.9806893,False,0.07425738422440115
MCF7,2.0,A133,14,2,40.0,4,,0.26151666,0.94109285,False,0.07628764163923131
MCF7,2.0,A133,14,2,40.0,5,,0.18560688,0.9028931,False,0.057610438158051176
MCF7,2.0,A133,2,2,40.0,1,,0.22955206,0.89575195,False,0.06870401085741745
MCF7,2.0,A133,2,2,40.0,2,,0.29950422,0.9019688,False,0.08481507890755445
MCF7,2.0,A133,2,2,40.0,3,,0.218483,0.92023605,False,0.06598511756011369
MCF7,2.0,A133,5,2,40.0,1,,0.3386196,0.8888147,False,0.09308993593101432
MCF7,2.0,A133,5,2,40.0,2,,0.3692767,0.9273911,False,0.09924497042854816
MCF7,2.0,A133,6,2,40.0,1,0.0914537534117698,0.5059289,0.5326008,True,0.07857427946834304
MCF7,2.0,A133,7,2,40.0,1,,0.22837211,0.9267096,False,0.06841651303854497
MCF7,2.0,A133,7,2,40.0,2,0.0821554586291313,0.4096047,0.9072875,True,0.06931507037786698
MCF7,2.0,A133,8,2,40.0,1,0.1112224385142326,0.42288858,0.8285423,False,0.10937117609026
MCF7,2.0,A133,9,2,40.0,1,,0.29193157,0.95478916,False,0.08315519200448054
MCF7,4.0,A133,0,1,80.0,1,,0.3451001,0.96884,False,0.09441441332135803
MCF7,4.0,A133,0,1,80.0,2,0.126571387052536,0.45858485,0.9658109,False,0.11570065656447755
MCF7,4.0,A133,1,1,80.0,1,,0.37893274,0.91347754,False,0.10112693989701049
MCF7,4.0,A133,1,1,80.0,2,0.1130513474345207,0.71959865,0.9356592,True,0.09451593763558076
MCF7,4.0,A133,1,1,80.0,3,0.1050604730844497,0.46208152,0.95966077,False,0.11630404805335343
MCF7,4.0,A133,1,1,80.0,4,0.1051250845193862,0.597704,0.9284346,True,0.08608235413347859
MCF7,4.0,A133,10,1,80.0,1,,0.25191244,0.9094662,False,0.07404972980378725
MCF7,4.0,A133,10,1,80.0,2,0.1116394773125648,0.46971855,0.94843405,False,0.11761192399728507
MCF7,4.0,A133,2,1,80.0,1,0.1558014154434204,0.8728133,0.81524885,False,0.171504172038932
MCF7,4.0,A133,2,1,80.0,2,,0.30572343,0.9749678,False,0.08616389937951868
MCF7,4.0,A133,2,1,80.0,3,,0.37762156,0.5732653,False,0.10087293790611117
MCF7,4.0,A133,2,1,80.0,4,,0.3475072,0.9895533,False,0.09490312897771531
MCF7,4.0,A133,2,1,80.0,5,0.1814798563718795,1.4879543,0.95820993,False,0.22008731526941633
MCF7,4.0,A133,3,1,80.0,1,0.1174437180161476,0.37595573,0.80591464,False,0.10054953486039844
MCF7,4.0,A133,3,1,80.0,2,0.0844736620783805,0.55472577,0.36240903,True,0.08270695590552977
MCF7,4.0,A133,3,1,80.0,3,0.111596830189228,0.38713726,0.42358693,False,0.10270541768880175
MCF7,4.0,A133,3,1,80.0,4,0.0707445666193962,0.51316637,0.73653966,True,0.07920884726052894
MCF7,4.0,A133,3,1,80.0,5,0.1448205858469009,0.4627145,0.9048703,False,0.11641296780745662
MCF7,4.0,A133,4,1,80.0,1,0.1104579791426658,0.44561085,0.64841187,False,0.1134363323296861
MCF7,4.0,A133,4,1,80.0,2,0.122069701552391,0.7782244,0.81899303,True,0.09806486011597726
MCF7,4.0,A133,5,1,80.0,1,0.110256977379322,0.87727946,0.8914231,True,0.10344824231874578
MCF7,4.0,A133,5,1,80.0,2,0.0942811965942382,0.6680877,0.9622438,True,0.09114014823295581
MCF7,4.0,A133,7,1,80.0,1,,0.3476136,0.95123565,False,0.09492469117260319
MCF7,4.0,A133,8,1,80.0,1,0.089092269539833,0.24486572,0.32021677,False,0.07238578708714062
MCF7,4.0,A133,8,1,80.0,2,0.1217765510082244,0.47218728,0.94125354,False,0.11803180301897459
MCF7,4.0,A133,8,1,80.0,3,,0.2715723,0.9159516,False,0.07859451357976263
MCF7,4.0,A133,9,1,80.0,1,0.1190420761704444,0.83628386,0.056936413,True,0.10130638600097899
MCF7,4.0,A133,9,1,80.0,2,,0.20937578,0.87923855,False,0.0637107905699914
MCF7,4.0,A133,9,1,80.0,3,0.1156827881932258,0.4400398,0.9488965,False,0.11245150752083378
MCF7,4.0,A133,0,2,40.0,1,0.3232305347919464,2.020003,0.9518245,False,0.24614581641144065
MCF7,4.0,A133,0,2,40.0,2,,0.2374169,0.8765118,False,0.07060629218818654
MCF7,4.0,A133,0,2,40.0,3,,0.34231803,0.8327943,False,0.09384738357421898
MCF7,4.0,A133,10,2,40.0,1,0.1297181695699691,0.43307105,0.9096045,False,0.1112088241542525
MCF7,4.0,A133,10,2,40.0,2,0.131189227104187,0.6424109,0.8812038,False,0.14393913922514762
MCF7,4.0,A133,2,2,40.0,1,0.0839357748627662,0.78057444,0.3951099,True,0.09820112086357928
MCF7,4.0,A133,2,2,40.0,2,,0.24536838,0.9282048,False,0.07250510394362189
MCF7,4.0,A133,2,2,40.0,3,,0.22401337,0.9541378,False,0.0673496892930181
MCF7,4.0,A133,3,2,40.0,1,0.183836430311203,0.794565,0.8183444,False,0.1629363773393552
MCF7,4.0,A133,3,2,40.0,2,0.1221204325556755,0.6411189,0.87849176,False,0.14376274333322225
MCF7,4.0,A133,3,2,40.0,3,0.1383285522460937,0.40324563,0.8640587,False,0.10575083126394628
MCF7,4.0,A133,4,2,40.0,1,,0.19219212,0.9260448,False,0.0593249183361487
MCF7,4.0,A133,4,2,40.0,2,,0.4062504,0.9689977,False,0.10631118554704054
MCF7,4.0,A133,4,2,40.0,3,,0.27971026,0.89465743,False,0.08043490694526431
MCF7,4.0,A133,5,2,40.0,1,0.1323709338903427,0.6031188,0.7963438,False,0.13844745529776084
MCF7,4.0,A133,5,2,40.0,2,0.1438949704170227,0.726311,0.5780882,False,0.15482867687224378
MCF7,4.0,A133,5,2,40.0,3,0.2350104302167892,0.92833835,0.9278333,False,0.177162121367342
MCF7,4.0,A133,6,2,40.0,1,0.1022211238741874,0.8550163,0.96226573,True,0.10229941293795246
MCF7,4.0,A133,6,2,40.0,2,0.074377529323101,0.57428586,0.9743449,True,0.08427217613953744
MCF7,4.0,A133,6,2,40.0,3,,0.42445102,0.9587196,False,0.10965485872585495
MCF7,4.0,A133,7,2,40.0,1,,0.31699568,0.94140685,False,0.08857615253529152
MCF7,4.0,A133,7,2,40.0,2,,0.25623828,0.9313192,False,0.0750619436943125
MCF7,4.0,A133,7,2,40.0,3,0.0833228453993797,0.453763,0.84791076,True,0.07375767914764406
MCF7,4.0,A133,7,2,40.0,4,0.0653575211763382,0.16796832,0.28599975,False,0.05292296092414562
MCF7,4.0,A133,8,2,40.0,1,0.1066760495305061,0.5497442,0.8771246,False,0.1305414568417162
MCF7,4.0,A133,8,2,40.0,2,,0.3159058,0.8928088,False,0.08834472376366151
MCF7,4.0,A133,8,2,40.0,3,0.0980821475386619,1.0155512,0.6099619,True,0.10990191355427537
