ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
2,A549,32,1,2,10,AFA,0.1849983192487022,-0.0576399928930884,0.0906501188874244,0.959614396095276,0.1158053427934646,0.25384426,AFA,0.0833096765653338,0.1345791642101395,0.1345791642101395,0.2694956464669319,0.9344724111961863,0.8841946572065353,0.9093335342013609
3,A549,32,1,2,10,AFA,0.1549962149388118,-0.0876420972029788,0.0767753645777702,0.3735647201538086,0.5490895509719849,0.2204373,control,0.121011203947498,0.0,0.0,0.3330765443598396,0.675988018435693,0.45091044902801514,0.5634492337318541
4,A549,32,1,2,10,AFA,0.5600854120850906,0.3174470999432998,0.19743512570858,1.5201164484024048,0.5957448482513428,0.27085096,AFA,0.1319701019215167,0.1364191404647435,0.1364191404647435,0.0,0.6008530229904286,0.4042551517486572,0.5025540873695429
5,A549,32,1,2,10,AFA,0.6865240299790244,0.4438857178372336,,,,-0.031375222,,,,,,,,
6,A549,32,1,2,10,AFA,0.5373840685238244,0.2947457563820336,0.1253969818353653,1.4819049835205078,0.1292996406555175,0.3371544,AFA,0.1286527436228586,0.137018202537185,0.137018202537185,0.11026855704346912,0.6235970709093804,0.8707003593444825,0.7471487151269315
1,A549,32,1,2,11,AFA,0.0201159960486408,-0.2225223160931499,0.3001399934291839,2.1892411708831787,0.8912067413330078,0.40163976,control,0.3054323966699819,0.0,0.0,0.29048923150454736,0.18841698908102683,0.10879325866699219,0.1486051238740095
2,A549,32,1,2,11,AFA,0.113761405594423,-0.1288769065473677,,,,0.33340213,,,,,,,,
3,A549,32,1,2,11,AFA,0.2449179641205473,0.0022796519787566,,,,0.3567835,,,,,,,,
4,A549,32,1,2,11,AFA,0.5214633048147614,0.2788249926729707,0.1958613395690918,2.022930383682251,0.2872017323970794,-0.028089348,AFA,0.1756222881446043,0.1221344832095203,0.1221344832095203,0.0,0.30157048374028916,0.7127982676029205,0.5071843756716048
5,A549,32,1,2,11,AFA,0.2489866329578915,0.0063483208161007,0.1391496658325195,1.6320505142211914,0.4416736960411072,0.4696362,AFA,0.1416877456521137,0.1342100506770314,0.1342100506770314,0.047247044917084,0.5342281562229754,0.5583263039588928,0.5462772300909341
6,A549,32,1,2,11,AFA,0.6645316703454872,0.4218933582036964,0.1302868872880935,1.6450598239898682,0.6515039205551147,0.63334835,AFA,0.1428171590848183,0.1339120819857839,0.1339120819857839,0.08786062301039191,0.5264848162153156,0.34849607944488525,0.43749044783010044
7,A549,32,1,2,11,AFA,0.4243620984888271,0.1817237863470363,0.1100857332348823,0.8296009302139282,0.0954370200634002,0.537765,AFA,0.0720224555359426,0.1297313396395978,0.1297313396395978,0.18043217307253717,1.0,0.9045629799365998,0.9522814899682999
1,A549,32,1,2,12,AFA,0.8890339825802194,0.6463956704384286,0.2209626138210296,1.753939867019653,-0.045209825,0.3028892,control,0.2833799384459704,0.0,0.0,0.0,0.0372237439074532,0.954790175,0.4960069594537266
2,A549,32,1,2,12,AFA,0.1940439405933406,-0.04859437154845,,,,0.32320434,,,,,,,,
3,A549,32,1,2,12,AFA,0.668288867895936,0.4256505557541452,0.118602268397808,0.3260553479194641,0.2170459628105163,0.37838653,control,0.1094053428616757,0.0,0.0,0.14140525118905828,0.7555586396686838,0.7829540371894836,0.7692563384290837
4,A549,32,1,2,12,AFA,0.4661675977690677,0.223529285627277,,,,0.37649047,,,,,,,,
5,A549,32,1,2,12,AFA,0.6876545814533557,0.4450162693115649,0.2064543962478637,1.9194339513778689,-0.113216266,0.5085692,AFA,0.1666371641864515,0.1259015668049934,0.1259015668049934,0.0,0.3631731420797923,0.886783734,0.6249784380398962
6,A549,32,1,2,12,AFA,0.94685041823216,0.7042121060903693,0.2186296582221985,1.7982592582702637,0.0959072411060333,-0.010175578,AFA,0.156117288148977,0.1298215910987731,0.1298215910987731,0.0,0.4352981714426257,0.9040927588939667,0.6696954651682963
1,A549,32,1,2,13,AFA,0.279961331523799,0.0373230193820083,,,,0.15124092,,,,,,,,
2,A549,32,1,2,13,AFA,0.1006336439846264,-0.1420046681571643,0.1272329092025756,1.9134927988052368,0.6364242434501648,0.20655337,AFA,0.1661213783653286,0.1261065626828535,0.1261065626828535,0.10185544154835932,0.3667094068951668,0.3635757565498352,0.365142581722501
3,A549,32,1,2,13,AFA,0.5485017247776114,0.3058634126358206,0.1953423023223877,1.9374419450759888,0.6855096220970154,0.37384203,AFA,0.168200542285702,0.1252725314957286,0.1252725314957286,0.0,0.35245450899780756,0.3144903779029846,0.33347244345039606
4,A549,32,1,2,13,AFA,0.7984955863413915,0.5558572741996007,0.2181116789579391,2.0315752029418945,0.2793635129928589,0.26318562,AFA,0.176372794910048,0.1218037047717617,0.1218037047717617,0.0,0.29642495519016104,0.7206364870071411,0.508530721098651
5,A549,32,1,2,13,AFA,0.1364705410755329,-0.1061677710662578,0.102674975991249,2.0376460552215576,0.3687982261180877,0.18738593,AFA,0.1768998407129795,0.1215699866206993,0.1215699866206993,0.21439188068975393,0.29281149112684124,0.6312017738819122,0.46200663250437674
1,A549,32,1,2,14,AFA,0.0976533844460485,-0.1449849276957421,,,,0.4507029,,,,,,,,
2,A549,32,1,2,14,AFA,0.6311929210370327,0.3885546088952419,0.2075905054807663,1.5330737829208374,-0.382310987,0.5506625,control,0.269292384464861,0.0,0.0,0.0,0.0,0.617689013,0.3088445065
1,A549,32,1,2,15,AFA,0.1538302271740458,-0.0888080849677448,0.0787178725004196,0.3666076362133026,0.9043248891830444,0.73375577,control,0.1193621186194787,0.0,0.0,0.3241750247271497,0.6872942664638557,0.09567511081695557,0.39148468864040564
2,A549,32,1,2,15,AFA,0.0336469190301734,-0.2089913931116173,0.1123052015900611,0.9044032096862792,0.5611377358436584,0.5179412,AFA,0.0785164741068901,0.1327896311164165,0.1327896311164165,0.1702614855260937,0.967334953190574,0.43886226415634155,0.7030986086734579
3,A549,32,1,2,15,AFA,0.4471711453047083,0.2045328331629176,0.2043656408786773,1.8494439125061035,0.3456170260906219,0.11583501,AFA,0.1605609240582,0.1282342337936472,0.1282342337936472,0.0,0.40483228293892515,0.654382973909378,0.5296076284241515
4,A549,32,1,2,15,AFA,0.460570895426817,0.2179325832850262,0.1113765686750412,1.1854592561721802,-0.356514156,0.0740848,AFA,0.1029165752566305,0.138436464369895,0.138436464369895,0.17451693490070283,0.8000460986820166,0.643485844,0.7217659713410083
5,A549,32,1,2,15,AFA,0.6784040218483466,0.4357657097065558,0.0833930522203445,0.7399569749832153,0.3164431750774383,0.6192249,AFA,0.0642399452414988,0.1249843140778549,0.1249843140778549,0.30275106883074104,1.0,0.6835568249225616,0.8417784124612808
1,A549,32,1,2,16,AFA,0.2011503052472693,-0.0414880068945214,,,,0.43432269,,,,,,,,
2,A549,32,1,2,16,AFA,0.372587513754826,0.1299492016130352,0.1649451106786728,1.0644915103912354,0.852724552154541,0.53481114,control,0.2294235290344155,0.0,0.0,0.0,0.0,0.14727544784545898,0.07363772392272949
3,A549,32,1,2,16,AFA,0.6205610291138239,0.3779227169720331,0.256637305021286,1.968917727470398,0.6634947061538696,0.7183299,control,0.2950789716963555,0.0,0.0,0.09113867523524007,0.11743316022519115,0.33650529384613037,0.22696922703566075
4,A549,32,1,2,16,AFA,0.1351090990347747,-0.107529213107016,0.284917801618576,2.1710989475250244,0.5268410444259644,0.47291565,control,0.3046342141564651,0.0,0.0,0.22073371716415408,0.1829445921612128,0.47315895557403564,0.32805177386762424
1,A549,32,1,2,17,AFA,0.2701937179667688,0.027555405824978,0.1340134739875793,1.7548054456710815,0.2867380082607269,0.40269503,AFA,0.1523448113208897,0.1310858927814333,0.1310858927814333,0.0707835834361338,0.46116254484656605,0.7132619917392731,0.5872122682929195
2,A549,32,1,2,17,AFA,0.416218462645962,0.1735801505041712,0.1146554127335548,1.9521909952163696,0.1346363574266433,0.63585365,AFA,0.1694809926435133,0.1247488428721136,0.1247488428721136,0.15949167069504674,0.34367564893084407,0.8653636425733567,0.6045196457521004
3,A549,32,1,2,17,AFA,0.1533339062743619,-0.0893044058674287,0.1412881314754486,1.2773200273513794,0.1771103590726852,0.19598538,AFA,0.1108915401666207,0.1386739385648933,0.1386739385648933,0.037447551343640306,0.7453691636828189,0.8228896409273148,0.7841294023050669
4,A549,32,1,2,17,AFA,0.7580450526447156,0.5154067405029248,,,,0.42187846,,,,,,,,
1,A549,32,1,2,18,AFA,0.9271995654284986,0.6845612532867078,0.1600633412599563,1.7466760873794556,0.5729372501373291,0.52028316,AFA,0.1516390547037371,0.1313136066435768,0.1313136066435768,0.0,0.4660012631502625,0.4270627498626709,0.44653200650646674
