Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,outer_intensity_mean,inner_intensity_mean,intensity_ratio
A549,6.0,afa,0,1,25.84,1,600.6975,663.597980349345,0.9052129719921215
A549,6.0,afa,0,1,25.84,2,615.5056104833648,860.8495433017591,0.7149978939671779
A549,6.0,afa,0,1,25.84,3,897.7825890707752,1064.401451096892,0.8434623873779842
A549,6.0,afa,0,1,25.84,4,944.7873860811931,985.9557739557739,0.9582451982512276
A549,6.0,afa,0,1,25.84,5,802.9658656145385,645.810851793249,1.243345266473784
A549,6.0,afa,0,1,25.84,6,697.0225938967136,787.2999125874126,0.8853330004902349
A549,6.0,afa,1,1,25.84,1,777.4018574297189,951.313900862069,0.8171875305566826
A549,6.0,afa,1,1,25.84,2,691.6743353783231,723.7263113367175,0.9557125733080029
A549,6.0,afa,1,1,25.84,3,665.3938706015891,731.9941704892966,0.909015259174552
A549,6.0,afa,1,1,25.84,4,662.5540254237288,703.0930538366337,0.9423418732532035
A549,6.0,afa,1,1,25.84,5,680.5491763565891,826.1588510253317,0.8237509959639978
A549,6.0,afa,1,1,25.84,6,599.1666666666666,617.4569729477612,0.97037800675604
A549,6.0,afa,10,1,25.84,1,830.178007518797,935.4809067505721,0.8874344751753954
A549,6.0,afa,10,1,25.84,2,830.2220824265506,1121.188017384106,0.7404842627230168
A549,6.0,afa,11,1,25.84,1,884.171781951443,930.9506133671742,0.9497515434824884
A549,6.0,afa,11,1,25.84,2,1524.1441999027238,2385.8373751783165,0.6388298782471751
A549,6.0,afa,11,1,25.84,3,1351.5559429873306,1710.3390932521088,0.7902268902814042
A549,6.0,afa,11,1,25.84,4,771.2508389261745,863.9185332369942,0.8927356101927743
A549,6.0,afa,12,1,25.84,1,831.1428251789977,825.2538590604026,1.0071359449628021
A549,6.0,afa,12,1,25.84,2,718.2279411764706,723.469118610747,0.9927554925297422
A549,6.0,afa,12,1,25.84,3,3194.1420814690528,9394.20922208281,0.34001181003725534
A549,6.0,afa,12,1,25.84,4,1245.5626994074748,1826.2168583535108,0.6820453407326746
A549,6.0,afa,13,1,25.84,1,1072.219968947483,1122.5485714285714,0.9551657685359312
A549,6.0,afa,13,1,25.84,2,746.6627411575563,818.2245949926362,0.9125400846258797
A549,6.0,afa,13,1,25.84,3,721.1430084745763,714.3298863636363,1.0095377811302602
A549,6.0,afa,13,1,25.84,4,702.425,725.6528167040359,0.9679904547059595
A549,6.0,afa,13,1,25.84,5,825.6905241935484,918.9415591174022,0.8985234327486322
A549,6.0,afa,14,1,25.84,1,1054.6498520710059,1335.877538071066,0.7894809381957739
A549,6.0,afa,14,1,25.84,2,1637.5603634361235,2244.550658632287,0.7295715768936879
A549,6.0,afa,14,1,25.84,3,1579.6835166704468,2354.2425429726995,0.6709943805007372
A549,6.0,afa,14,1,25.84,4,1464.6011412377452,2068.4590384615385,0.7080638842754529
A549,6.0,afa,15,1,25.84,1,1320.713019913008,1390.9968550955414,0.9494723263211794
A549,6.0,afa,15,1,25.84,2,1114.2534733917144,1109.917133905013,1.0039069038167243
A549,6.0,afa,15,1,25.84,3,940.3251670378619,1252.0442688855646,0.7510318847390582
A549,6.0,afa,2,1,25.84,1,701.375,716.0914512922466,0.9794489219698272
A549,6.0,afa,2,1,25.84,2,781.9017857142857,851.2443075117371,0.9185398114436197
A549,6.0,afa,2,1,25.84,3,916.9137432391827,1013.8964350180505,0.9043465501709342
A549,6.0,afa,2,1,25.84,4,943.5178613327076,1032.4752038043478,0.9138406984072255
A549,6.0,afa,2,1,25.84,5,804.2500962031811,837.2798678532902,0.960551097765202
A549,6.0,afa,2,1,25.84,6,1978.481761090326,2001.674837360595,0.9884131648970264
A549,6.0,afa,3,1,25.84,1,834.1464516350645,949.6462247109827,0.8783759993243067
A549,6.0,afa,3,1,25.84,2,843.8127098723976,1003.3613040123457,0.8409859005904169
A549,6.0,afa,3,1,25.84,3,811.2163461538462,880.6402681231381,0.9211665370273705
A549,6.0,afa,4,1,25.84,1,1162.6900612920545,1380.3232142857144,0.8423317446658461
A549,6.0,afa,4,1,25.84,2,950.2980769230769,1021.8639527845037,0.9299653582393086
A549,6.0,afa,4,1,25.84,3,780.3591216909501,905.4347014925373,0.8618612920452353
A549,6.0,afa,5,1,25.84,1,2585.283464039786,6152.319912609239,0.42021278164375403
A549,6.0,afa,6,1,25.84,1,702.6062702640111,791.5227122015915,0.8876640675410784
A549,6.0,afa,6,1,25.84,2,1155.753924904489,1358.8199740034663,0.8505570620214776
A549,6.0,afa,6,1,25.84,3,1080.4906096320162,1335.124528047465,0.8092807726423581
A549,6.0,afa,6,1,25.84,4,741.078125,758.3022214854111,0.9772859738539715
A549,6.0,afa,7,1,25.84,1,861.2720238095238,925.3206958970234,0.9307821900326032
A549,6.0,afa,7,1,25.84,2,908.0367654457638,938.5158227848101,0.9675241944791007
A549,6.0,afa,7,1,25.84,3,675.5379215020802,735.1415372670807,0.9189222581727874
A549,6.0,afa,7,1,25.84,4,798.8852122835943,1017.1265901548672,0.7854334160725819
A549,6.0,afa,8,1,25.84,1,790.3086057201226,936.3036750483559,0.8440729506688166
A549,6.0,afa,8,1,25.84,2,835.6603129042691,990.725622406639,0.843483093608006
A549,6.0,afa,8,1,25.84,3,867.1489978902954,1038.426170532646,0.8350608088445071
A549,6.0,afa,8,1,25.84,4,733.9646226415094,763.6554192229039,0.9611201651503922
A549,6.0,afa,9,1,25.84,1,3142.118038648813,4894.563835470086,0.6419607843049077
A549,6.0,afa,9,1,25.84,2,874.6372779943687,961.711254409171,0.9094593351012655
A549,6.0,afa,9,1,25.84,3,968.6785246533128,,
A549,6.0,afa,9,1,25.84,4,1004.0761303191489,1199.9345956210902,0.83677571592928
A549,6.0,afa,9,1,25.84,5,694.2456896551724,733.1285366419295,0.946963124413546
A549,8.0,afa,0,1,25.84,1,847.5658101436265,1033.465625,0.8201199823589939
A549,8.0,afa,0,1,25.84,2,764.1439614531337,945.0114155251141,0.8086081807049094
A549,8.0,afa,0,1,25.84,3,693.0498188405797,745.7773740310078,0.9292985319393241
A549,8.0,afa,0,1,25.84,4,652.2439024390244,644.839423076923,1.011482671649897
A549,8.0,afa,0,1,25.84,5,832.2798274596182,994.5030537459284,0.8368801124589063
A549,8.0,afa,0,1,25.84,6,927.7450631595779,1566.2192769131,0.5923468551530622
A549,8.0,afa,0,1,25.84,7,698.3053604868913,673.1802869372226,1.0373229490482863
A549,8.0,afa,1,1,25.84,1,1388.5552800466744,1980.643047112462,0.7010628604033523
A549,8.0,afa,1,1,25.84,2,880.4857125486382,1126.8220880681818,0.7813884036104923
A549,8.0,afa,1,1,25.84,3,981.0245931067496,1203.4577448210923,0.8151716147313424
A549,8.0,afa,10,1,25.84,1,738.7730724299065,840.9237704918032,0.8785256147508409
A549,8.0,afa,10,1,25.84,2,683.9116379310345,720.6371376811594,0.949037458896028
A549,8.0,afa,10,1,25.84,3,3119.0066041347627,,
A549,8.0,afa,10,1,25.84,4,1397.8692555147059,1600.5191468253968,0.8733849003227212
A549,8.0,afa,10,1,25.84,5,1596.2872274964839,4070.43817294751,0.39216594373194247
A549,8.0,afa,10,1,25.84,6,910.9047073342737,634.9257224861441,1.4346634182144862
A549,8.0,afa,10,1,25.84,7,772.128125,811.2357036564625,0.9517925820076779
A549,8.0,afa,10,1,25.84,8,672.3266129032259,708.5530303030303,0.9488726801657862
A549,8.0,afa,11,1,25.84,1,1324.7932960893854,1679.4280865314988,0.7888359773864828
A549,8.0,afa,11,1,25.84,2,2856.808875835309,3311.257508833922,0.8627564809483362
A549,8.0,afa,11,1,25.84,3,1167.169829842932,1095.3720898997135,1.0655464390641831
A549,8.0,afa,11,1,25.84,4,1492.3081516095535,1616.964527027027,0.922907167514263
A549,8.0,afa,11,1,25.84,5,791.125,854.8306305398872,0.9254757278647672
A549,8.0,afa,11,1,25.84,6,2459.099429347826,3544.435496300863,0.6937915591676745
A549,8.0,afa,11,1,25.84,7,980.4885983581636,1521.7176884288747,0.6443301578300552
A549,8.0,afa,11,1,25.84,8,876.1547619047619,998.3220580933465,0.8776273696467182
A549,8.0,afa,11,1,25.84,9,2157.7953173676015,6925.490578556263,0.31157291933208153
A549,8.0,afa,12,1,25.84,1,990.4802380474086,1299.4024390243903,0.7622582567961587
A549,8.0,afa,12,1,25.84,2,1119.401059540151,899.2811627906976,1.2447731653428227
A549,8.0,afa,12,1,25.84,3,796.8125,836.3851068773234,0.9526861411663948
A549,8.0,afa,12,1,25.84,4,16169.952474340176,1153.8484059856864,14.01393145794298
A549,8.0,afa,13,1,25.84,1,1358.3001893939395,2390.5426651554403,0.5681974261294428
A549,8.0,afa,13,1,25.84,2,1440.3027058721334,2845.3362012987013,0.5061977228612681
A549,8.0,afa,13,1,25.84,3,960.4017094017094,1094.2007001836548,0.8777198819563101
A549,8.0,afa,13,1,25.84,4,1243.5886479591836,1684.9936887716653,0.73803757025686
A549,8.0,afa,13,1,25.84,5,847.7944444444445,983.3336247086247,0.8621635863368932
A549,8.0,afa,14,1,25.84,1,1000.671245786766,1310.3065476190477,0.7636924715098778
A549,8.0,afa,14,1,25.84,2,894.0055072756669,1385.1227199570815,0.6454341513532953
A549,8.0,afa,14,1,25.84,3,1004.0792634635692,1204.7138422818791,0.8334587254029696
A549,8.0,afa,14,1,25.84,4,901.5662964458804,1285.044727233677,0.7015835926479286
A549,8.0,afa,14,1,25.84,5,1060.0527080525605,1943.8858410942958,0.5453266265141434
A549,8.0,afa,14,1,25.84,6,1017.0671758357676,1571.141919299744,0.6473426514449269
A549,8.0,afa,14,1,25.84,7,824.3423402255639,1034.7602222222222,0.7966505887279174
A549,8.0,afa,15,1,25.84,1,761.3779761904761,925.0469703574543,0.8230695311571762
A549,8.0,afa,15,1,25.84,2,656.5273279352226,670.2530952380953,0.9795215159759958
A549,8.0,afa,15,1,25.84,3,986.8208799448768,2290.2240141187926,0.4308839981859045
A549,8.0,afa,15,1,25.84,4,695.4361921806168,672.6258833922261,1.033912326824761
A549,8.0,afa,15,1,25.84,5,678.3393366887019,679.5220238095238,0.9982595308475926
A549,8.0,afa,15,1,25.84,6,793.3013059701492,915.5400789962825,0.8664845200877004
A549,8.0,afa,15,1,25.84,7,700.0358942065491,670.2312904530744,1.044469132041458
A549,8.0,afa,15,1,25.84,8,682.3455674760022,685.3238559892328,0.9956541881809563
