Metadata_treatment,Metadata_hour,Metadata_concentration,S_BF,S_Nulcei,S_Mit,S,E
control,4,0,0,0,0,0,0
afa,4,25.84,0.0601172857116048,0.06230961509440792,0.2820554344480956,0.134827445,0.6187
alm,4,5.66,-0.010276285,0.2874730243597485,0.26914379397892974,0.182113511,0.803
dac,4,20.55,0.04412783532439141,0.007272460923691368,0.20577832763744944,0.085726208,0.8684
gef,4,85.79,0.0441389921634125,0.21394838638223795,0.2222537843139124,0.160113721,0.7697
osi,4,11.75,0.010444631319374625,0.02535814232013553,0.12763946539071655,0.054480746,0.5984
vin,4,39.29,0.05388455583992019,0.18448012660199026,0.190830636688113,0.143065106,0.639
