ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site
9,0.1926108598709106,0.0085887070745229,0.13024379312992096,0.33650898933410645,0.009052167646586895,0.17898431420326233,0.21812692284584045,A549,8.0,AFA,10
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,10
11,0.0300263203680515,0.0065275658853352,0.1967533677816391,0.2899368405342102,0.09233900904655457,0.23806703090667725,0.27414649724960327,A549,8.0,AFA,10
1,0.1544071435928344,0.0141709418967366,0.1259044110774994,0.27534714341163635,7.494922465411946e-05,0.1798015534877777,0.2080272138118744,A549,8.0,AFA,11
2,0.2487764805555343,0.037041813135147,0.30961817502975464,0.5765213370323181,0.0014736701268702745,0.4011791944503784,0.45189785957336426,A549,8.0,AFA,11
3,0.2687546908855438,0.0083594406023621,0.20411108434200287,0.31104540824890137,0.09448737651109695,0.23748715221881866,0.2607409358024597,A549,8.0,AFA,11
4,0.1277566999197006,0.0200176388025283,0.2048284411430359,0.4540368914604187,0.0010916691971942782,0.2819164991378784,0.33296439051628113,A549,8.0,AFA,11
5,0.2711639106273651,0.0087377326563,0.20858833193778992,0.38947629928588867,0.02377791702747345,0.25812241435050964,0.2861661911010742,A549,8.0,AFA,11
6,0.0511192567646503,0.0109360544010996,0.18131838738918304,0.41780176758766174,0.006008268799632788,0.25047510862350464,0.2948860824108124,A549,8.0,AFA,11
7,0.0365086831152439,0.0093165393918752,0.1992121785879135,0.380874365568161,0.026570070534944534,0.27736204862594604,0.31450843811035156,A549,8.0,AFA,11
8,0.0809780582785606,0.0054694632999598,0.06672907620668411,0.2657119035720825,0.0005537524702958763,0.0996948704123497,0.1251947581768036,A549,8.0,AFA,11
9,0.1084760650992393,0.0244884137064218,0.27102410793304443,0.529519259929657,0.0022911846172064543,0.3630983829498291,0.42191141843795776,A549,8.0,AFA,11
10,0.1229416206479072,0.0144088175147771,0.123534195125103,0.3627117872238159,0.0006261829403229058,0.18186305463314056,0.22064043581485748,A549,8.0,AFA,11
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,11
1,0.2505216300487518,0.0092123197391629,0.21743598580360413,0.3615787625312805,0.06688155978918076,0.26408520340919495,0.2896910309791565,A549,8.0,AFA,12
2,0.257889062166214,0.0038890175055712,0.1836411952972412,0.2547607123851776,0.05453979969024658,0.21473754942417145,0.23021478950977325,A549,8.0,AFA,12
3,0.2305388003587722,0.0058287405408918,0.18778099119663239,0.3665844798088074,0.02340000867843628,0.23712481558322906,0.2601577341556549,A549,8.0,AFA,12
4,0.2230075001716613,0.0064483336172997,0.18457311391830444,0.335958868265152,0.019317107275128365,0.23119860887527466,0.2524186968803406,A549,8.0,AFA,12
5,0.3098077178001404,0.0087830862030386,0.2524794638156891,0.44550374150276184,0.1022467315196991,0.3109290301799774,0.3493434488773346,A549,8.0,AFA,12
6,0.2031091153621673,0.0200901888310909,0.22748368978500366,0.5494765639305115,0.0057492745108902454,0.31404751539230347,0.3640425503253937,A549,8.0,AFA,12
1,0.1233706846833229,0.0117476964369416,0.13131442666053772,0.2965257167816162,0.022053197026252747,0.1744987964630127,0.20670151710510254,A549,8.0,AFA,13
2,0.1117437332868576,0.0018928309436887,0.08579587191343307,0.19335894286632538,0.010284126736223698,0.1094394326210022,0.12381158024072647,A549,8.0,AFA,13
3,0.1425643414258957,0.0058626914396882,0.11782699078321457,0.3055386245250702,0.00036808737786486745,0.16494353115558624,0.1923171430826187,A549,8.0,AFA,13
4,0.0030809778254479,0.0010735176037997,0.36885684728622437,0.47036680579185486,0.25021883845329285,0.4272693991661072,0.4526233971118927,A549,8.0,AFA,13
5,0.1734924614429474,0.0143766859546303,0.18367615342140198,0.4696733355522156,0.0009326635044999421,0.25864821672439575,0.30832961201667786,A549,8.0,AFA,13
1,0.043516170233488,0.0067393146455287,0.12263546884059906,0.3427117168903351,0.001525839907117188,0.18478339910507202,0.2352456897497177,A549,8.0,AFA,14
2,0.3175993859767914,0.0099271219223737,0.24298685789108276,0.4329665005207062,0.04580380395054817,0.2990456819534302,0.3301883041858673,A549,8.0,AFA,14
3,0.1165517196059227,0.032772347331047,0.32834944128990173,0.5972355604171753,0.01892705261707306,0.4155919849872589,0.4576086401939392,A549,8.0,AFA,14
4,0.1711845844984054,0.00428550504148,0.14466820657253265,0.254099577665329,0.019115999341011047,0.17712610960006714,0.19527561962604523,A549,8.0,AFA,14
5,0.1964436620473861,0.0054104062728583,0.14727693796157837,0.3023822009563446,0.01291641779243946,0.1881531924009323,0.21612577140331268,A549,8.0,AFA,14
6,0.2406991422176361,0.0130144944414496,0.1899348646402359,0.3638215661048889,0.019527701660990715,0.24077588319778442,0.26822856068611145,A549,8.0,AFA,14
1,0.0008454943308606,0.0002543917507864,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,15
2,0.0807382240891456,0.004925980232656,0.06277409940958023,0.21314364671707153,0.00014059498789720237,0.0913645327091217,0.11124283075332642,A549,8.0,AFA,15
3,0.0429605655372142,0.0096903424710035,0.24180781841278076,0.51036536693573,0.09618249535560608,0.2949468195438385,0.32707417011260986,A549,8.0,AFA,15
4,0.0484567284584045,0.011231324635446,0.22039666771888733,0.4445885717868805,0.09172506630420685,0.2851819097995758,0.3348131477832794,A549,8.0,AFA,15
5,0.0521243400871753,0.0115340575575828,0.20021726191043854,0.35971155762672424,0.08920706063508987,0.24401821196079254,0.27842962741851807,A549,8.0,AFA,15
6,0.0049313055351376,0.0015574463177472,0.3024841845035553,0.47967472672462463,0.19134123623371124,0.35521942377090454,0.38447025418281555,A549,8.0,AFA,15
7,0.0031421640887856,0.0008991743670776,0.32797771692276,0.3587750792503357,0.27961909770965576,0.3516767919063568,0.3587750792503357,A549,8.0,AFA,15
8,0.1443565636873245,0.0094068581238389,0.10918894410133362,0.32341468334198,0.0008303858921863139,0.15321482717990875,0.18567200005054474,A549,8.0,AFA,15
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,15
10,0.095126673579216,0.0095136193558573,0.10814499109983444,0.3923527002334595,2.2610171072301455e-05,0.16018207371234894,0.1963176727294922,A549,8.0,AFA,15
11,3.4185090044047683e-05,1.0191755791311152e-05,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,15
1,0.2526271641254425,0.0116817550733685,0.1985730677843094,0.3419919013977051,0.0023575657978653908,0.26421087980270386,0.2917318046092987,A549,8.0,AFA,16
2,0.1739570051431656,0.0122840115800499,0.12727738916873932,0.31873786449432373,0.030699200928211212,0.18183502554893494,0.22845526039600372,A549,8.0,AFA,16
3,0.0954131335020065,0.0165028553456068,0.16317549347877502,0.3131035268306732,0.02369679883122444,0.22528086602687836,0.25269606709480286,A549,8.0,AFA,16
4,0.1071120277047157,0.0052232746966183,0.09692325443029404,0.3009601831436157,5.3618845413438976e-05,0.1433642953634262,0.17813311517238617,A549,8.0,AFA,16
5,0.0665755718946456,0.0054409634321928,0.03364504128694534,0.09652497619390488,0.002038423204794526,0.0498986579477787,0.06602104008197784,A549,8.0,AFA,16
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,16
1,0.0161694269627332,0.0043567544780671,0.21575507521629333,0.4015176594257355,0.06641917675733566,0.28334563970565796,0.3343086540699005,A549,8.0,AFA,17
2,0.0918668881058693,0.018055448308587,0.223788321018219,0.47209432721138,0.061471838504076004,0.28530067205429077,0.3258255124092102,A549,8.0,AFA,17
3,0.0254503283649683,0.00736247561872,0.2841565012931824,0.42150646448135376,0.14343610405921936,0.33600351214408875,0.37118396162986755,A549,8.0,AFA,17
4,0.0779468640685081,0.0160789769142866,0.2283521592617035,0.47494369745254517,0.010831323452293873,0.28804242610931396,0.3308198153972626,A549,8.0,AFA,17
5,0.0881510227918624,0.0040858290158212,0.06078644469380379,0.18721583485603333,0.0008201223681680858,0.08924275636672974,0.10752562433481216,A549,8.0,AFA,17
1,0.1659586131572723,0.004001734778285,0.1330689787864685,0.246646910905838,0.0050409091636538506,0.16328923404216766,0.18096083402633667,A549,8.0,AFA,18
2,0.1773662567138672,0.0042905183508992,0.14605438709259033,0.25354474782943726,0.03659047931432724,0.1796533465385437,0.19914282858371735,A549,8.0,AFA,18
3,0.166767418384552,0.0040519977919757,0.11533409357070923,0.22278738021850586,0.0025038556195795536,0.15293802320957184,0.17484676837921143,A549,8.0,AFA,18
4,0.1304644048213958,0.0032349580433219,0.08206608146429062,0.17794835567474365,0.00030639220494776964,0.11306143552064896,0.13154016435146332,A549,8.0,AFA,18
1,0.2969798445701599,0.0083739571273326,0.20933789014816284,0.3127257525920868,0.07776548713445663,0.25149717926979065,0.26767727732658386,A549,8.0,AFA,19
2,0.3568075895309448,0.006531739141792,0.30449819564819336,0.46443817019462585,0.18539975583553314,0.355167955160141,0.38839325308799744,A549,8.0,AFA,19
3,0.1610778719186782,0.0075569404289126,0.1271117478609085,0.3244149386882782,0.010515128262341022,0.1772271692752838,0.21458034217357635,A549,8.0,AFA,19
4,0.1633434891700744,0.0053577497601509,0.09954079240560532,0.17223410308361053,0.002157720271497965,0.13098834455013275,0.14467521011829376,A549,8.0,AFA,19
1,0.0705471262335777,0.0015474954852834,0.050322964787483215,0.12447638809680939,0.002246966352686286,0.06739532947540283,0.07895819842815399,A549,8.0,AFA,2
2,0.1217180863022804,0.0069891735911369,0.09571301192045212,0.2378954440355301,0.0030864954460412264,0.13451409339904785,0.16147039830684662,A549,8.0,AFA,2
3,0.0428215712308883,0.0020857395138591,0.03748646378517151,0.15334786474704742,2.1352176190703176e-05,0.06174421310424805,0.08938110619783401,A549,8.0,AFA,2
4,0.1200164258480072,0.0025727609172463,0.07932654023170471,0.15208350121974945,0.012263738550245762,0.10126877576112747,0.11584379523992538,A549,8.0,AFA,2
5,0.1624025404453277,0.0235372129827737,0.15914590656757355,0.4352759122848511,0.0016914120642468333,0.2323368489742279,0.2834734320640564,A549,8.0,AFA,2
6,0.007253470364958,0.0016386767383664,0.2737092673778534,0.42468369007110596,0.04490910843014717,0.354021281003952,0.42468369007110596,A549,8.0,AFA,2
7,0.2738521993160248,0.0079028885811567,0.2009718418121338,0.32333701848983765,0.03998781740665436,0.24375906586647034,0.26292771100997925,A549,8.0,AFA,2
8,0.2629627287387848,0.0210464745759964,0.19291925430297852,0.3996482789516449,0.0043068514205515385,0.2543855905532837,0.2836923599243164,A549,8.0,AFA,2
9,3.451740121818148e-05,7.608446139784064e-06,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,2
1,0.1473905444145202,0.0050926436670124,0.11531215906143188,0.2487262636423111,0.0011587567860260606,0.1459585577249527,0.16318374872207642,A549,8.0,AFA,21
2,0.1336264908313751,0.0060887020081281,0.11623813211917877,0.2952088713645935,0.000189834667253308,0.15848296880722046,0.1859721690416336,A549,8.0,AFA,21
3,0.0407316163182258,0.0173191837966442,0.44386306405067444,0.6403198838233948,0.09870624542236328,0.5190158486366272,0.5515389442443848,A549,8.0,AFA,21
4,0.125860333442688,0.0073003149591386,0.0844920352101326,0.28807350993156433,0.0009627664112485945,0.11950799822807312,0.14524535834789276,A549,8.0,AFA,21
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,21
1,0.074088267982006,0.0106452945619821,0.08508539944887161,0.2942561209201813,0.0011423846008256078,0.1272650957107544,0.16746355593204498,A549,8.0,AFA,22
2,0.162054643034935,0.0168843530118465,0.14574891328811646,0.3152426481246948,0.00012208767293486744,0.20176278054714203,0.230189710855484,A549,8.0,AFA,22
3,0.0651666298508644,0.007098491769284,0.0760076642036438,0.29931169748306274,0.00028269155882298946,0.1166546493768692,0.14833246171474457,A549,8.0,AFA,22
4,0.0164539236575365,0.0069147483445703,0.426902711391449,0.6237044334411621,0.09497653692960739,0.515034556388855,0.564602792263031,A549,8.0,AFA,22
5,0.1510058343410492,0.0046129412949085,0.09598778188228607,0.2144358605146408,0.012404787354171276,0.12503600120544434,0.14655621349811554,A549,8.0,AFA,22
6,0.2726301550865173,0.0237038284540176,0.25331035256385803,0.567534863948822,0.001237740507349372,0.33629027009010315,0.3835592567920685,A549,8.0,AFA,22
7,0.1592263728380203,0.0493980608880519,0.40394097566604614,0.6775592565536499,0.014663889072835445,0.5047180652618408,0.5587891340255737,A549,8.0,AFA,22
8,0.1181578934192657,0.0076229935511946,0.0761897936463356,0.22524283826351166,0.0033456983510404825,0.11403252184391022,0.13892000913619995,A549,8.0,AFA,22
9,0.2852733731269836,0.0248545911163091,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,22
10,0.0985324531793594,0.010511883534491,0.06889735907316208,0.21052303910255432,0.0005133766098879278,0.0976049154996872,0.12028901278972626,A549,8.0,AFA,22
11,0.000199318586965,4.076462937518954e-05,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,22
1,0.1282768994569778,0.0050026196986436,0.11560551822185516,0.21240702271461487,0.04156026244163513,0.14602312445640564,0.16433532536029816,A549,8.0,AFA,23
2,1.120759316108888e-05,3.2957586881821044e-06,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,23
3,0.1452159583568573,0.0057860831730067,0.11041394621133804,0.1837383508682251,0.0144887063652277,0.1345798522233963,0.14916741847991943,A549,8.0,AFA,23
4,0.1400061100721359,0.0049580512568354,0.0859132781624794,0.17276081442832947,0.0006122589693404734,0.11809398978948593,0.13896359503269196,A549,8.0,AFA,23
5,0.0756960734724998,0.0026631876826286,0.058215998113155365,0.16694660484790802,0.0003433279925957322,0.08644016087055206,0.1085364893078804,A549,8.0,AFA,23
6,0.1106889694929122,0.0052985185757279,0.047680921852588654,0.11330986768007278,0.0007851184927858412,0.07096196711063385,0.08544573187828064,A549,8.0,AFA,23
1,0.220121294260025,0.0080563584342598,0.187906876206398,0.29721325635910034,0.08747465908527374,0.23325514793395996,0.25327184796333313,A549,8.0,AFA,24
2,0.0038766497746109,0.0010996204800903,0.3208490014076233,0.3876611888408661,0.25690507888793945,0.38068103790283203,0.3876611888408661,A549,8.0,AFA,24
3,0.0135638136416673,0.0033504562452435,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,24
4,0.2120880782604217,0.0206942744553089,0.17782244086265564,0.29934415221214294,0.007414116989821196,0.2310492992401123,0.2533436715602875,A549,8.0,AFA,24
5,0.0499123260378837,0.0116512486711144,0.24562451243400574,0.38177692890167236,0.14213818311691284,0.29761582612991333,0.3313439190387726,A549,8.0,AFA,24
6,0.2442505657672882,0.0123214060440659,0.2270045131444931,0.48876190185546875,0.04899962246417999,0.28964751958847046,0.3333697021007538,A549,8.0,AFA,24
7,0.2838993668556213,0.0115876561030745,0.21404722332954407,0.4182908236980438,0.04518980160355568,0.2822607159614563,0.327650785446167,A549,8.0,AFA,24
8,0.013439567759633,0.0037906966172158,0.2945983409881592,0.4010416567325592,0.20654530823230743,0.33121928572654724,0.3569820821285248,A549,8.0,AFA,24
9,0.0979488343000412,0.0083163920789957,0.09432220458984375,0.18292909860610962,0.0013376992428675294,0.13208410143852234,0.15407325327396393,A549,8.0,AFA,24
1,0.1227053627371788,0.0098191034048795,0.11687223613262177,0.22685737907886505,0.010357115417718887,0.16146649420261383,0.1874573826789856,A549,8.0,AFA,25
2,0.1724496632814407,0.0171432383358478,0.18470576405525208,0.3979354202747345,0.015996098518371582,0.2525261342525482,0.29628846049308777,A549,8.0,AFA,25
3,0.4258386492729187,0.0193034820258617,0.37959980964660645,0.6252533793449402,0.09492752701044083,0.4792383015155792,0.5352187752723694,A549,8.0,AFA,25
4,0.15767402946949,0.004349032882601,0.11111793667078018,0.201330304145813,0.0068659428507089615,0.13860994577407837,0.15681332349777222,A549,8.0,AFA,25
5,0.3170110881328583,0.0446588173508644,0.3331429064273834,0.5609033703804016,0.11949899792671204,0.4012591242790222,0.4382173717021942,A549,8.0,AFA,25
1,0.3679885268211365,0.0227289013564586,0.3035376965999603,0.3916501998901367,0.1955924928188324,0.34710216522216797,0.3650795817375183,A549,8.0,AFA,26
2,0.0631472021341323,0.0057641267776489,0.08430467545986176,0.2975110113620758,6.575351289939135e-05,0.12512384355068207,0.15665219724178314,A549,8.0,AFA,26
3,0.1231991276144981,0.008687574416399,0.08973754942417145,0.23577813804149628,0.0010619953973218799,0.13071206212043762,0.15539458394050598,A549,8.0,AFA,26
4,0.2747122347354889,0.0112493783235549,0.2104077935218811,0.44396692514419556,0.0158890001475811,0.262535035610199,0.2929062247276306,A549,8.0,AFA,26
5,0.1648153364658355,0.021441688761115,0.2203461080789566,0.5213685035705566,0.03891565650701523,0.2862623333930969,0.3282664716243744,A549,8.0,AFA,26
6,1.9053077267017212e-05,5.618820068775676e-06,0.0,0.0,0.0,0.0,0.0,A549,8.0,AFA,26
1,0.1462278813123703,0.0093809198588132,0.10885395854711533,0.24541762471199036,0.00019198919471818954,0.15188197791576385,0.18003447353839874,A549,8.0,AFA,27
2,0.1185679510235786,0.0066961064003407,0.1005895808339119,0.28448963165283203,0.0009650890133343637,0.14194436371326447,0.17284058034420013,A549,8.0,AFA,27
3,0.1751924157142639,0.0098493285477161,0.18150784075260162,0.3570983111858368,0.008419136516749859,0.2439633309841156,0.2814478278160095,A549,8.0,AFA,27
