Key,Hour,Treatment,Concentration,BestModel,R2,RMSE,N,Edmax_nl,Kd_nl,R2_nl,RMSE_nl,a_l,R2_l,RMSE_l
2h-AFA-20um,2,AFA,20,nonlinear,0.5929002891049128,0.03501946474461428,946,0.2945140643299524,0.9999999999999999,0.5929002891049128,0.03501946474461428,0.10693851840228658,0.4937533833022123,0.039051720626531124
2h-AFA-32um,2,AFA,32,nonlinear,0.4359952214631674,0.03888620987327578,1514,0.2660407162892789,0.9999999999999996,0.4359952214631674,0.03888620987327578,0.09260648072241642,0.3047820414106208,0.04317324724656422
2h-control-0um,2,control,0,nonlinear,0.4926456660901125,0.05230273845711128,979,0.39324781739346226,0.9999999999999999,0.4926456660901125,0.05230273845711128,0.14034705247831364,0.2805728338524397,0.0622819436777139
4h-AFA-20um,4,AFA,20,nonlinear,0.49018231353082553,0.0370868687325298,1580,0.281896887436727,0.999999999999931,0.49018231353082553,0.0370868687325298,0.10020157793508766,0.34107677690616,0.042162866106113174
4h-AFA-32um,4,AFA,32,nonlinear,0.396480545197503,0.03740993549323412,2045,0.24466313975993897,0.9999999999999942,0.396480545197503,0.03740993549323412,0.08681578444875934,0.1849851993407029,0.04347344632584542
4h-GEF-62um,4,GEF,62,nonlinear,0.40895651678460443,0.04203953630759269,1761,0.26537790093530284,0.9999999999999998,0.40895651678460443,0.04203953630759269,0.0934974120887155,0.31641769156259847,0.04521094739125081
4h-GEF-90um,4,GEF,90,nonlinear,0.33475980853878395,0.04696831861843929,1277,0.2640257826114248,0.9999999999999999,0.33475980853878395,0.04696831861843929,0.09310420785005083,0.23648106258888812,0.05031826757068587
6h-AFA-20um,6,AFA,20,nonlinear,0.46086943595719776,0.03855285479100423,1602,0.285950871152301,0.9999999999999999,0.46086943595719776,0.03855285479100423,0.1044047847191914,0.18397674627406602,0.04743084188022731
6h-AFA-32um,6,AFA,32,nonlinear,0.5492312163400148,0.036639156698551424,1191,0.29357744481872605,0.9999999999999988,0.5492312163400148,0.036639156698551424,0.10603938341008724,0.2757847439173824,0.046441088187478316
6h-GEF-62um,6,GEF,62,nonlinear,0.4645851772600592,0.042633995830500065,1463,0.27079432262440967,0.9999999999999999,0.4645851772600592,0.042633995830500065,0.09732478686161065,0.421271102681702,0.04432496765750939
6h-GEF-90um,6,GEF,90,nonlinear,0.4470903966769134,0.04182948273707294,1195,0.28559576532775,0.9999999999999999,0.4470903966769134,0.04182948273707294,0.10314818592190451,0.283743585114568,0.0476090691067325
