ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,current_Metadata_concentration
1,0.0463153794407844,0.0038382390048354,0.026599973440170288,0.09115402400493622,0.00037259358214214444,0.03984677791595459,0.04956997558474541,H1975,2.0,Alm,0,1,9.0
1,0.1146017163991928,0.0029823810327798,0.06591267883777618,0.08719106018543243,0.04263950139284134,0.07307684421539307,0.07642895728349686,H1975,2.0,Alm,1,1,9.0
1,0.253458708524704,0.0275597367435693,0.2840804159641266,0.44611459970474243,0.1278892159461975,0.3425140082836151,0.37390562891960144,H1975,2.0,Alm,10,1,9.0
2,0.0437892489135265,0.0006924221524968,0.02856096252799034,0.057561058551073074,0.000495726359076798,0.03987826779484749,0.04668257012963295,H1975,2.0,Alm,10,1,9.0
3,0.0004376808647066,5.938058529864065e-05,0.09148318320512772,0.24483811855316162,0.01697881519794464,0.15452595055103302,0.18874631822109222,H1975,2.0,Alm,10,1,9.0
1,0.2003287076950073,0.0071524549275636,0.08000963926315308,0.10122478753328323,0.04937152937054634,0.09160549938678741,0.09716901183128357,H1975,2.0,Alm,11,1,9.0
1,0.0712736770510673,0.0019378507276996,0.045727577060461044,0.09465527534484863,0.010088046081364155,0.05695727467536926,0.06419221311807632,H1975,2.0,Alm,12,1,9.0
1,0.1317919939756393,0.0114431791007518,0.06840210407972336,0.16122715175151825,0.007849535904824734,0.08796823769807816,0.10102114081382751,H1975,2.0,Alm,13,1,9.0
2,0.1092839390039444,0.0046882699243724,0.06694433838129044,0.16509631276130676,0.0012059577275067568,0.09448502957820892,0.113601453602314,H1975,2.0,Alm,13,1,9.0
1,0.0020037742797285,0.0003120100009255,0.0,0.0,0.0,0.0,0.0,H1975,2.0,Alm,14,1,9.0
2,0.0031743964646011,0.0006151307607069,0.0,0.0,0.0,0.0,0.0,H1975,2.0,Alm,14,1,9.0
3,0.0724843367934227,0.0026330351829528,0.039590928703546524,0.10756989568471909,0.008841777220368385,0.05297743156552315,0.06069876253604889,H1975,2.0,Alm,14,1,9.0
4,0.0500179566442966,0.0126948878169059,0.0,0.0,0.0,0.0,0.0,H1975,2.0,Alm,14,1,9.0
1,0.0046672830358147,0.000816797139123,0.15213051438331604,0.3226006031036377,0.043443579226732254,0.2158682644367218,0.2496783286333084,H1975,2.0,Alm,15,1,9.0
2,0.001099572982639,0.0001663281582295,0.0,0.0,0.0,0.0,0.0,H1975,2.0,Alm,15,1,9.0
3,0.1007720232009887,0.0040060803294181,0.02301947958767414,0.0596117228269577,0.0002525869640521705,0.03394193574786186,0.04191921651363373,H1975,2.0,Alm,15,1,9.0
1,0.0053013446740806,0.00079938583076,0.0730072483420372,0.2096754014492035,0.004483340308070183,0.11201436817646027,0.14161096513271332,H1975,2.0,Alm,16,1,9.0
2,0.0004169938911218,6.407032196875662e-05,0.1275252103805542,0.19575782120227814,0.07013668119907379,0.15987683832645416,0.19575782120227814,H1975,2.0,Alm,16,1,9.0
3,0.0771106928586959,0.002058801241219,0.04386438801884651,0.10489793866872787,0.0045560747385025024,0.06049196049571037,0.07252092659473419,H1975,2.0,Alm,16,1,9.0
1,0.0822228267788887,0.0031663598492741,0.04124319180846214,0.07501976937055588,0.010298262350261211,0.05224783718585968,0.058029644191265106,H1975,2.0,Alm,2,1,9.0
2,0.0542787946760654,0.0040802238509058,0.03608109429478645,0.11862754821777344,4.452727080206387e-05,0.0549214743077755,0.07024179399013519,H1975,2.0,Alm,2,1,9.0
1,0.1214696690440177,0.0116079980507493,0.1460469514131546,0.3884124159812927,0.0041343942284584045,0.20245453715324402,0.23969174921512604,H1975,2.0,Alm,3,1,9.0
2,0.0781867876648902,0.0109033547341823,0.12547700107097626,0.296237587928772,0.002607032423838973,0.17721323668956757,0.20609192550182343,H1975,2.0,Alm,3,1,9.0
3,0.0041857147589325,0.0006766152218915,0.12071222066879272,0.27918142080307007,0.00030937118572182953,0.18685951828956604,0.23100031912326813,H1975,2.0,Alm,3,1,9.0
4,0.0068546985276043,0.0011670856038108,0.0,0.0,0.0,0.0,0.0,H1975,2.0,Alm,3,1,9.0
1,0.0011453818297013,0.0001709342614049,0.0,0.0,0.0,0.0,0.0,H1975,2.0,Alm,6,1,9.0
2,0.1057385951280593,0.0038121093530207,0.0456753708422184,0.10225251317024231,0.00461198017001152,0.06082508713006973,0.07064501941204071,H1975,2.0,Alm,6,1,9.0
3,0.0010558753274381,0.0001859367766883,0.0,0.0,0.0,0.0,0.0,H1975,2.0,Alm,6,1,9.0
1,0.1328657269477844,0.0017988890176638,0.08355273306369781,0.12093976885080338,0.04000484198331833,0.09982237964868546,0.11054088175296783,H1975,2.0,Alm,7,1,9.0
2,0.0723543241620063,0.0160184577107429,0.12833069264888763,0.2776520550251007,0.0003386078751645982,0.17804235219955444,0.21422719955444336,H1975,2.0,Alm,7,1,9.0
1,0.1186253875494003,0.0045379986986517,0.044825468212366104,0.11302955448627472,0.0004028551047667861,0.05987284705042839,0.06908503919839859,H1975,2.0,Alm,8,1,9.0
2,0.0404887869954109,0.0045722294598817,0.039915114641189575,0.15572012960910797,6.586584640899673e-05,0.06450960040092468,0.083064004778862,H1975,2.0,Alm,8,1,9.0
1,0.0446700900793075,0.0067704990506172,0.03758394345641136,0.08826989680528641,0.0007020460325293243,0.056955162435770035,0.0674368292093277,H1975,2.0,Alm,9,1,9.0
2,0.1078696176409721,0.0058101657778024,0.04847761616110802,0.11163077503442764,0.0037859431467950344,0.06432618945837021,0.07436364889144897,H1975,2.0,Alm,9,1,9.0
3,0.0574645027518272,0.0038916722405701,0.022794196382164955,0.05449351668357849,0.0013794259866699576,0.03208305314183235,0.04061746969819069,H1975,2.0,Alm,9,1,9.0
1,0.0578436553478241,0.0175542067736387,0.3195982873439789,0.870032787322998,0.023691846057772636,0.44766342639923096,0.5638619661331177,H1975,2.0,control,0,1,0.0
2,0.0286319516599178,0.0094505036249756,0.36641982197761536,0.5261780023574829,0.18054760992527008,0.4471479654312134,0.4856167733669281,H1975,2.0,control,0,1,0.0
3,0.1477237194776535,0.003307556733489,0.0,0.0,0.0,0.0,0.0,H1975,2.0,control,0,1,0.0
4,0.034862145781517,0.0058161793276667,0.0,0.0,0.0,0.0,0.0,H1975,2.0,control,0,1,0.0
5,0.1782834976911544,0.0127985710278153,0.0,0.0,0.0,0.0,0.0,H1975,2.0,control,0,1,0.0
6,0.1341327875852584,0.0159394703805446,0.23000755906105042,0.37509146332740784,0.13454900681972504,0.2805832028388977,0.31872597336769104,H1975,2.0,control,0,1,0.0
1,0.0080074863508343,0.0018625416560098,0.0,0.0,0.0,0.0,0.0,H1975,2.0,control,1,1,0.0
2,0.0106168584898114,0.0035585900768637,0.0,0.0,0.0,0.0,0.0,H1975,2.0,control,1,1,0.0
3,0.31180539727211,0.0023811550345271,0.29741257429122925,0.37562987208366394,0.2361205816268921,0.3174223005771637,0.33277541399002075,H1975,2.0,control,1,1,0.0
4,0.2884300947189331,0.0041627958416938,0.2532733678817749,0.36889344453811646,0.13920147716999054,0.2823130786418915,0.3016733229160309,H1975,2.0,control,1,1,0.0
1,0.1982322037220001,0.0051716701127588,0.1683986783027649,0.293567955493927,0.10794620215892792,0.2007288634777069,0.22338612377643585,H1975,2.0,control,10,1,0.0
1,0.1454175263643264,0.0046053621917963,0.18740883469581604,0.22106951475143433,0.15719206631183624,0.20366710424423218,0.2118658572435379,H1975,2.0,control,11,1,0.0
1,0.3178142011165619,0.0048916013911366,0.0,0.0,0.0,0.0,0.0,H1975,2.0,control,12,1,0.0
1,0.2399433404207229,0.0145876929163932,0.2588026821613312,0.40456846356391907,0.11665011942386627,0.2987559139728546,0.3249472379684448,H1975,2.0,control,13,1,0.0
2,0.2664984762668609,0.0203169602900743,0.2594602704048157,0.3245772421360016,0.15662293136119843,0.2853512465953827,0.30073297023773193,H1975,2.0,control,13,1,0.0
3,0.037890687584877,0.007240321021527,0.17096465826034546,0.40645623207092285,0.011351000517606735,0.24457713961601257,0.286266952753067,H1975,2.0,control,13,1,0.0
1,0.2149602174758911,0.0245622601360082,0.2864353656768799,0.3798586130142212,0.20139403641223907,0.3323744535446167,0.3498000502586365,H1975,2.0,control,14,1,0.0
2,0.1766237467527389,0.0086805392056703,0.17887744307518005,0.21500372886657715,0.13337527215480804,0.19448961317539215,0.20531001687049866,H1975,2.0,control,14,1,0.0
3,0.0624817796051502,0.0134257413446903,0.26982590556144714,0.4539532959461212,0.11337868124246597,0.3364271819591522,0.38034215569496155,H1975,2.0,control,14,1,0.0
1,0.3505946695804596,0.0063428017310798,0.32705065608024597,0.43288472294807434,0.2355184555053711,0.3603668212890625,0.3837524652481079,H1975,2.0,control,15,1,0.0
1,0.0750370919704437,0.0048726964741945,0.12927967309951782,0.18305198848247528,0.07782797515392303,0.15011505782604218,0.16586372256278992,H1975,2.0,control,2,1,0.0
1,0.0001296200498472,1.7946054867934436e-05,0.12348446249961853,0.12348446249961853,0.12348446249961853,0.12348446249961853,0.12348446249961853,H1975,2.0,control,3,1,0.0
2,0.0019611108582466,0.0003404381277505,0.0,0.0,0.0,0.0,0.0,H1975,2.0,control,3,1,0.0
3,0.1948847472667694,0.0037746066227555,0.15229783952236176,0.1924123913049698,0.10648126155138016,0.1685752272605896,0.17705127596855164,H1975,2.0,control,3,1,0.0
1,0.1220646873116493,0.0068057696335017,0.0,0.0,0.0,0.0,0.0,H1975,2.0,control,4,1,0.0
2,0.3109850883483886,0.0276699587702751,0.29715102910995483,0.3544853627681732,0.24010655283927917,0.32966041564941406,0.34245142340660095,H1975,2.0,control,4,1,0.0
1,0.0539237596094608,0.003025927580893,0.06726541370153427,0.14151504635810852,0.005773821379989386,0.08852964639663696,0.10056668519973755,H1975,2.0,control,5,1,0.0
2,0.08964504301548,0.0098439594730734,0.14690613746643066,0.25268614292144775,0.01952614076435566,0.18570344150066376,0.20965522527694702,H1975,2.0,control,5,1,0.0
3,0.2131713479757309,0.0024567989166826,0.22980161011219025,0.27556076645851135,0.18640762567520142,0.2441326081752777,0.2539207637310028,H1975,2.0,control,5,1,0.0
1,0.3007570207118988,0.002303977496922,0.3130819797515869,0.4290655553340912,0.1931886225938797,0.34872835874557495,0.37016645073890686,H1975,2.0,control,6,1,0.0
1,0.0311677120625972,0.0037539158947765,0.09315329045057297,0.2106413096189499,0.009615490213036537,0.13394221663475037,0.15921850502490997,H1975,2.0,control,7,1,0.0
2,0.1780561506748199,0.0113388560712337,0.17944952845573425,0.2149479240179062,0.11116870492696762,0.19591526687145233,0.2012733519077301,H1975,2.0,control,7,1,0.0
3,0.010675873607397,0.0026321928016841,0.28031831979751587,0.4639706611633301,0.009477612562477589,0.3606868386268616,0.3970794081687927,H1975,2.0,control,7,1,0.0
1,0.1274451911449432,0.000610367511399,0.13587725162506104,0.1726660132408142,0.0906515046954155,0.1464507132768631,0.15279805660247803,H1975,2.0,control,8,1,0.0
1,0.2547515332698822,0.0189292859286069,0.3052026331424713,0.3962988555431366,0.22259145975112915,0.3390972912311554,0.35852116346359253,H1975,2.0,control,9,1,0.0
1,0.2268440723419189,0.0289506055414676,0.1289837807416916,0.2402525246143341,0.0398184135556221,0.15918169915676117,0.1777796596288681,H1975,2.0,Dac,0,1,7.0
1,0.1247669085860252,0.0022989115677773,0.0654677078127861,0.08647224307060242,0.04558027535676956,0.07402504980564117,0.08016839623451233,H1975,2.0,Dac,1,1,7.0
1,0.1149052381515502,0.0038616890087723,0.0701843723654747,0.18277905881404877,0.002276190323755145,0.09522053599357605,0.10993491858243942,H1975,2.0,Dac,10,1,7.0
2,0.1188490614295005,0.0209577251225709,0.11802825331687927,0.19742527604103088,0.051045093685388565,0.14556065201759338,0.16332115232944489,H1975,2.0,Dac,10,1,7.0
1,0.0375807955861091,0.0079284198582172,0.1432361751794815,0.39729592204093933,0.012758835218846798,0.21169473230838776,0.2601172924041748,H1975,2.0,Dac,11,1,7.0
2,0.0654239878058433,0.001446011592634,0.03779884800314903,0.09571564197540283,0.004069197457283735,0.050620194524526596,0.0589250773191452,H1975,2.0,Dac,11,1,7.0
3,0.0672939196228981,0.0111396126449108,0.17523379623889923,0.37725499272346497,0.005091427359730005,0.23089420795440674,0.2574060559272766,H1975,2.0,Dac,11,1,7.0
1,0.1111974492669105,0.0070719602517783,0.048180755227804184,0.14892233908176422,0.00034240956301800907,0.0673336610198021,0.07951309531927109,H1975,2.0,Dac,12,1,7.0
2,0.0024046443868428,0.0003954416315536,0.0,0.0,0.0,0.0,0.0,H1975,2.0,Dac,12,1,7.0
3,0.0129330363124609,0.0026826942339539,0.15280626714229584,0.4167606830596924,0.004585274960845709,0.2231898307800293,0.27736496925354004,H1975,2.0,Dac,12,1,7.0
1,0.2507951259613037,0.0324880890548229,0.15502303838729858,0.3177993595600128,0.017161889001727104,0.19022582471370697,0.21507628262043,H1975,2.0,Dac,13,1,7.0
2,0.0880954265594482,0.0184601880609989,0.21891237795352936,0.48473653197288513,0.008938506245613098,0.2943665385246277,0.34574320912361145,H1975,2.0,Dac,13,1,7.0
1,0.0995978266000747,0.0035682115703821,0.05387619882822037,0.12088947743177414,0.0008643330074846745,0.07388701289892197,0.08491552621126175,H1975,2.0,Dac,14,1,7.0
2,0.1377986967563629,0.0063539477996528,0.05214643478393555,0.12983915209770203,0.0003742357948794961,0.07351180166006088,0.08849189430475235,H1975,2.0,Dac,14,1,7.0
