ObjectNumber,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Rc,Region_Ed,Region_pixels_sum,Cell_Ed,Cell_pixels_sum
2,MCF7,2.0,A133,13,2,40.0,2,0.09,0.06987973302602768,3393,0.07634415477514267,21236
2,MCF7,2.0,A133,13,2,40.0,2,0.14,0.08554326742887497,2783,0.08566942811012268,5272
2,MCF7,2.0,A133,13,2,40.0,2,0.19,0.10005111247301102,1747,0.10003609210252762,1751
2,MCF7,2.0,A133,13,2,40.0,2,0.24,0.10952140390872955,346,0.10952140390872955,346
1,MCF7,2.0,A133,14,2,40.0,1,0.09,0.059378355741500854,1255,0.06701091676950455,5221
1,MCF7,2.0,A133,14,2,40.0,1,0.14,0.07527077198028564,5910,0.08139236271381378,29301
1,MCF7,2.0,A133,14,2,40.0,1,0.19,0.0877077504992485,3836,0.08840232342481613,4550
1,MCF7,2.0,A133,14,2,40.0,1,0.24,0.09513958543539047,20,0.10009574890136719,48
2,MCF7,2.0,A133,14,2,40.0,2,0.0,,0,0.0,12
2,MCF7,2.0,A133,14,2,40.0,2,0.15,0.05377137288451195,102,0.057620398700237274,124
2,MCF7,2.0,A133,14,2,40.0,2,0.2,0.06412207335233688,3569,0.06808017939329147,4043
2,MCF7,2.0,A133,14,2,40.0,2,0.25,0.07282360643148422,7551,0.08229143172502518,10513
2,MCF7,2.0,A133,14,2,40.0,2,0.3,0.07996004074811935,4983,0.09489733725786209,9499
2,MCF7,2.0,A133,14,2,40.0,2,0.35,0.08529292792081833,2919,0.1019163578748703,8155
2,MCF7,2.0,A133,14,2,40.0,2,0.4,0.09207066893577576,400,0.11311452090740204,6191
2,MCF7,2.0,A133,14,2,40.0,2,0.45,,1,0.12430433928966522,4621
2,MCF7,2.0,A133,14,2,40.0,2,0.5,,0,0.1297452598810196,4288
2,MCF7,2.0,A133,14,2,40.0,2,0.55,,0,0.14450085163116455,3151
2,MCF7,2.0,A133,14,2,40.0,2,0.6,,0,0.16068485379219055,2304
2,MCF7,2.0,A133,14,2,40.0,2,0.65,,0,0.1714741736650467,1894
2,MCF7,2.0,A133,14,2,40.0,2,0.7,,0,0.18235738575458527,1193
2,MCF7,2.0,A133,14,2,40.0,2,0.75,,0,0.19749414920806885,685
2,MCF7,2.0,A133,14,2,40.0,2,0.8,,0,0.21139968931674957,290
2,MCF7,2.0,A133,14,2,40.0,2,0.85,,0,0.22415101528167725,84
2,MCF7,2.0,A133,14,2,40.0,2,0.9,,0,0.24053500592708588,31
2,MCF7,2.0,A133,14,2,40.0,2,0.95,,0,,8
3,MCF7,2.0,A133,14,2,40.0,3,0.0,,0,0.0,638
3,MCF7,2.0,A133,14,2,40.0,3,0.05,,3,0.12071140855550766,118
3,MCF7,2.0,A133,14,2,40.0,3,0.1,0.0558442659676075,10131,0.07110250741243362,13511
3,MCF7,2.0,A133,14,2,40.0,3,0.15,0.06262961030006409,3707,0.09637471288442612,16172
3,MCF7,2.0,A133,14,2,40.0,3,0.2,0.06569398194551468,41,0.10967233777046204,13872
3,MCF7,2.0,A133,14,2,40.0,3,0.25,,0,0.12793698906898499,5047
3,MCF7,2.0,A133,14,2,40.0,3,0.3,,0,0.15042054653167725,1586
3,MCF7,2.0,A133,14,2,40.0,3,0.35,,0,0.17336980998516083,611
3,MCF7,2.0,A133,14,2,40.0,3,0.4,,0,0.19430987536907196,147
3,MCF7,2.0,A133,14,2,40.0,3,0.45,,0,0.20833607017993927,38
4,MCF7,2.0,A133,14,2,40.0,4,0.0,,0,,9
4,MCF7,2.0,A133,14,2,40.0,4,0.05,0.03750064596533775,7215,0.04548298567533493,9005
4,MCF7,2.0,A133,14,2,40.0,4,0.1,0.04400758445262909,6561,0.0649433508515358,16754
4,MCF7,2.0,A133,14,2,40.0,4,0.15,0.051358312368392944,50,0.08005909621715546,13306
4,MCF7,2.0,A133,14,2,40.0,4,0.2,,0,0.0924481675028801,5907
4,MCF7,2.0,A133,14,2,40.0,4,0.25,,0,0.11065154522657394,1557
4,MCF7,2.0,A133,14,2,40.0,4,0.3,,0,0.13743709027767181,178
1,MCF7,2.0,A133,15,2,40.0,1,0.04,0.046935323625802994,3043,0.047869425266981125,13006
1,MCF7,2.0,A133,15,2,40.0,1,0.09,0.06466478109359741,4021,0.06772623211145401,19506
1,MCF7,2.0,A133,15,2,40.0,1,0.14,0.0885058343410492,2587,0.0885058343410492,2587
2,MCF7,2.0,A133,15,2,40.0,2,0.08,0.0609123632311821,3440,0.06098370626568794,3544
2,MCF7,2.0,A133,15,2,40.0,2,0.13,0.06925870478153229,5456,0.07368355244398117,17009
2,MCF7,2.0,A133,15,2,40.0,2,0.18,0.09337712079286575,716,0.08226806670427322,13865
2,MCF7,2.0,A133,15,2,40.0,2,0.23,,0,0.08557794988155365,1278
1,MCF7,2.0,A133,16,2,40.0,1,0.0,,0,,8
1,MCF7,2.0,A133,16,2,40.0,1,0.1,0.020818345248699188,689,0.020818345248699188,689
1,MCF7,2.0,A133,16,2,40.0,1,0.15,0.02383367344737053,8241,0.023552319034934044,8857
1,MCF7,2.0,A133,16,2,40.0,1,0.2,0.02507057785987854,955,0.02551843412220478,6353
1,MCF7,2.0,A133,16,2,40.0,1,0.25,,0,0.02680259197950363,7791
1,MCF7,2.0,A133,16,2,40.0,1,0.3,,0,0.02865435928106308,5872
1,MCF7,2.0,A133,16,2,40.0,1,0.35,,0,0.03133396804332733,3231
1,MCF7,2.0,A133,16,2,40.0,1,0.4,,0,0.033552225679159164,1199
1,MCF7,2.0,A133,16,2,40.0,1,0.45,,0,0.031734198331832886,219
1,MCF7,2.0,A133,16,2,40.0,1,0.5,,0,0.03258436545729637,36
2,MCF7,2.0,A133,16,2,40.0,2,0.09,0.04235396906733513,646,0.044148027896881104,860
2,MCF7,2.0,A133,16,2,40.0,2,0.14,0.05043758451938629,2986,0.053358424454927444,4988
2,MCF7,2.0,A133,16,2,40.0,2,0.19,0.06601067632436752,4034,0.05887124314904213,9816
