ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
1,A549,81,3,2,0,GEF,0.42051708905845,0.0188113449597464,0.1552620977163314,0.6547157764434814,0.165545642375946,0.64087427,control,0.1760509015863152,0.0,0.0,0.0,0.29863187904964617,0.834454357624054,0.5665431183368501
2,A549,81,3,2,0,GEF,0.4437337727474591,0.0420280286487555,0.275877445936203,1.8814725875854488,0.2353755235671997,0.64289606,control,0.2905308520968141,0.0,0.0,0.1793063939317292,0.08625092399977734,0.7646244764328003,0.4254377002162888
3,A549,81,3,2,0,GEF,0.4025379597278465,0.0008322156291429,0.1500802785158157,0.454533576965332,0.258114218711853,0.68306416,control,0.1390436226954387,0.0,0.0,0.0,0.5523564540479475,0.741885781288147,0.6471211176680473
4,A549,81,3,2,0,GEF,0.473273564427115,0.0715678203284114,0.1466937959194183,1.2950055599212646,-0.314143002,0.60464895,GEF,0.1205704668178808,0.1305006451390302,0.1305006451390302,0.012676157819488942,0.6790097440056233,0.685856998,0.6824333710028117
5,A549,81,3,2,0,GEF,0.2927735467044715,-0.108932197394232,0.3580152690410614,2.852279663085937,0.1879313886165619,0.74470425,control,0.3294451758374329,0.0,0.0,0.555701999030258,0.35305033612485925,0.8120686113834381,0.5825594737541486
1,A549,81,3,2,1,GEF,0.2469586826991461,-0.1547470613995574,0.1484245508909225,0.6605345010757446,0.5345237851142883,0.7205037,control,0.1769931498568068,0.0,0.0,0.0047449935866000995,0.2921717569023703,0.46547621488571167,0.378823985894041
1,A549,81,3,2,10,GEF,0.6692460770532092,0.2675403329545056,0.3328518569469452,3.4952633380889893,-0.105157234,0.8194319,GEF,0.3254237243200997,0.0205424334128531,0.0205424334128531,0.44039096005352274,0.32547897428222494,0.894842766,0.6101608701411125
2,A549,81,3,2,10,GEF,0.6277928509620828,0.2260871068633792,0.295267641544342,2.541139602661133,0.3577364385128021,0.6629951,control,0.3192966273638898,0.0,0.0,0.2681617364891656,0.28347115534012496,0.6422635614871979,0.46286735841366144
3,A549,81,3,2,10,GEF,0.5138087550057391,0.1121030109070355,0.2344255596399307,1.3408453464508057,0.2689113020896911,0.5454178,control,0.2548677131298268,0.0,0.0,0.0,0.0,0.7310886979103088,0.3655443489551544
4,A549,81,3,2,10,GEF,0.6404255429849094,0.2387197988862058,0.2704580128192901,1.6435445547103882,0.0721399560570716,0.59593916,control,0.2766328189807917,0.0,0.0,0.15447190562629493,0.0,0.9278600439429284,0.4639300219714642
5,A549,81,3,2,10,GEF,0.6344986556380265,0.2327929115393229,0.2436798065900802,1.5244697332382202,0.2913839817047119,0.6983503,control,0.2686937058346504,0.0,0.0,0.03176109158110903,0.0,0.7086160182952881,0.35430800914764404
1,A549,81,3,2,11,GEF,0.5780572338695077,0.1763514897708041,0.1897805482149124,1.336405634880066,-0.417322874,0.7004483,control,0.2545065173687806,0.0,0.0,0.0,0.0,0.582677126,0.291338563
2,A549,81,3,2,11,GEF,0.6021973043859212,0.2004915602872176,0.2585075497627258,1.7898333072662354,0.0445736572146415,0.60175693,control,0.2854586356540969,0.0,0.0,0.09970904969278913,0.05147544199196359,0.9554263427853585,0.503450892388661
1,A549,81,3,2,12,GEF,0.6000726151877165,0.1983668710890129,,0.3059683442115783,-0.15257591,0.5836581,,,,,,,0.84742409,
2,A549,81,3,2,12,GEF,0.5266186818506021,0.1249129377518985,0.1554786264896392,0.7643514275550842,-0.115668997,0.5810024,control,0.1927599668146484,0.0,0.0,0.0,0.18407332190258416,0.884331003,0.534202162451292
3,A549,81,3,2,12,GEF,0.5017896823845563,0.1000839382858527,0.24229796230793,0.5741997361183167,-0.141520619,0.55329347,control,0.162297566607857,0.0,0.0,0.02542880646481276,0.3929257362799564,0.858479381,0.6257025586399783
1,A549,81,3,2,13,GEF,0.4736078613491395,0.0719021172504359,,0.3018603026866913,0.3404194116592407,0.5967021,,,,,,,0.6595805883407593,
2,A549,81,3,2,13,GEF,0.5845172243348463,0.1828114802361427,0.3133741021156311,1.856476068496704,0.2216247022151947,0.24551961,control,0.2891795784482186,0.0,0.0,0.35113437838914197,0.0769864943396755,0.7783752977848053,0.4276808960622404
3,A549,81,3,2,13,GEF,0.5723311234669884,0.1706253793682848,0.1519286632537841,0.3211522102355957,0.4417412877082824,0.24588433,control,0.1081600587796303,0.0,0.0,0.0,0.7640963972109445,0.5582587122917175,0.661177554751331
4,A549,81,3,2,13,GEF,0.4696865691912122,0.0679808250925086,0.2163656502962112,2.5779733657836914,0.1593676805496215,0.4041608,GEF,0.2400201680798199,0.0805699841869025,0.0805699841869025,0.0,0.0,0.8406323194503785,0.42031615972518926
5,A549,81,3,2,13,GEF,0.4556495015777544,0.0539437574790508,0.1215341836214065,0.6651110053062439,-0.241094917,0.27564758,control,0.1777296140367643,0.0,0.0,0.12796978427541578,0.2871225053318299,0.758905083,0.523013794165915
1,A549,81,3,2,14,GEF,0.4406893094472889,0.0389835653485853,0.1669871211051941,0.2198459208011627,0.8418939709663391,0.23509775,control,0.0801903831516592,0.0,0.0,0.0,0.9558585119687754,0.1581060290336609,0.5569822705012182
2,A549,81,3,2,14,GEF,0.3124404732495435,-0.08926527084916,0.1863105595111847,1.5703985691070557,-0.280245125,0.4942705,GEF,0.1462107147855657,0.125632360814294,0.125632360814294,0.0,0.5032183534082524,0.719754875,0.6114866142041262
