Key,Metadata_hour,Metadata_treatment,Metadata_concentration,Best_Model,Nonlin_Edmax,Nonlin_Kd,Nonlin_R2,Nonlin_RMSE,Lin_Slope,Lin_R2,Lin_RMSE,Data_points
2.0h-A133-40.0um,2.0,A133,40.0,nonlinear,0.22225907196842504,0.9999999999999998,0.5479531704866796,0.03470217538498756,,0.4831681121186827,0.037105615263318584,2404
2.0h-A133-80.0um,2.0,A133,80.0,nonlinear,0.19753100494384238,0.44181009723453285,0.48134722734128443,0.02643774612525084,,-0.47989220140484745,0.04465818995672243,2186
2.0h-control-0.0um,2.0,control,0.0,nonlinear,0.22893822666999053,0.4857035083336428,0.3406649244169536,0.045177394513924315,,-0.48158972445043835,0.06772235766778058,1391
4.0h-A133-40.0um,4.0,A133,40.0,linear,,,0.6222461585646674,0.04346595738918411,0.09409235681997742,0.6576458025107129,0.04137925179908276,3186
4.0h-A133-80.0um,4.0,A133,80.0,nonlinear,0.14215043974627528,0.33069861102228143,0.3085032384969224,0.026094488028893328,,-1.505762548663669,0.04967337426193925,2409
6.0h-A133-40.0um,6.0,A133,40.0,nonlinear,0.26394748890340286,0.9999999999999999,0.6334102913594976,0.025876696047446877,,0.3078538488343059,0.03555638453011557,2384
6.0h-A133-80.0um,6.0,A133,80.0,nonlinear,0.2568668013423503,0.9999999999999999,0.7481612319184591,0.021596260010125903,,0.5043901476406062,0.030296134491971098,2239
