Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Rc,Ed,cell_Ed
MCF7,2.0,A133,0,1,80.0,0.77,0.09882273524999619,0.10426495224237442
MCF7,2.0,A133,0,1,80.0,0.78,0.0967487022280693,0.10791273415088654
MCF7,2.0,A133,0,1,80.0,0.79,0.09524674713611603,0.10747706890106201
MCF7,2.0,A133,0,1,80.0,0.8,0.09509164094924927,0.1063421443104744
MCF7,2.0,A133,0,1,80.0,0.81,0.09986992925405502,0.11398466676473618
MCF7,2.0,A133,0,1,80.0,0.82,0.09942541271448135,0.11483633518218994
MCF7,2.0,A133,0,1,80.0,0.83,0.0929267406463623,0.11615018546581268
MCF7,2.0,A133,0,1,80.0,0.84,0.08844590187072754,0.11786194145679474
MCF7,2.0,A133,0,1,80.0,0.85,0.09310010820627213,0.11610588431358337
MCF7,2.0,A133,0,1,80.0,0.86,0.08831415325403214,0.10759793221950531
MCF7,2.0,A133,0,1,80.0,0.87,0.08871857821941376,0.1266057938337326
MCF7,2.0,A133,0,1,80.0,0.88,0.09723872691392899,0.12441930919885635
MCF7,2.0,A133,0,1,80.0,0.89,0.09836619347333908,0.11977718025445938
MCF7,2.0,A133,0,1,80.0,0.9,0.07652077823877335,0.1185591071844101
MCF7,2.0,A133,0,1,80.0,0.91,0.08159858733415604,0.11653933674097061
MCF7,2.0,A133,0,1,80.0,0.92,0.10549996048212051,0.11693515628576279
MCF7,2.0,A133,0,1,80.0,0.93,0.0789354145526886,0.11492924392223358
MCF7,2.0,A133,0,1,80.0,0.94,0.10572493076324463,0.12101816385984421
MCF7,2.0,A133,0,1,80.0,0.95,0.10065426677465439,0.13157926499843597
MCF7,2.0,A133,0,1,80.0,0.96,0.11064012348651886,0.11346179246902466
MCF7,2.0,A133,0,1,80.0,0.97,0.0998789444565773,0.12011750042438507
MCF7,2.0,A133,0,1,80.0,0.98,0.10076562315225601,0.12651440501213074
MCF7,2.0,A133,0,1,80.0,0.99,0.09119608998298645,0.11920425295829773
MCF7,2.0,A133,0,1,80.0,1.0,0.11037768423557281,0.11908181756734848
MCF7,2.0,A133,0,1,80.0,1.01,0.0857069343328476,0.12331060320138931
MCF7,2.0,A133,0,1,80.0,1.02,0.09744739532470703,0.11191168427467346
MCF7,2.0,A133,0,1,80.0,1.03,0.11017748713493347,0.1296117901802063
MCF7,2.0,A133,0,1,80.0,1.04,0.09989848732948303,0.1227802187204361
MCF7,2.0,A133,0,1,80.0,1.05,0.10694602876901627,0.11734087020158768
MCF7,2.0,A133,0,1,80.0,1.06,0.09519631415605545,0.12209811061620712
MCF7,2.0,A133,0,1,80.0,1.07,0.12071088701486588,0.12902937829494476
MCF7,2.0,A133,0,1,80.0,1.08,0.11217928677797318,0.12895303964614868
MCF7,2.0,A133,0,1,80.0,1.09,0.12060179561376572,0.12371532618999481
MCF7,2.0,A133,0,1,80.0,1.1,0.1241087093949318,0.13154438138008118
MCF7,2.0,A133,0,1,80.0,1.11,0.11687790602445602,0.12229158729314804
MCF7,2.0,A133,0,1,80.0,1.12,0.11289497464895248,0.12778642773628235
MCF7,2.0,A133,0,1,80.0,1.13,0.1160484254360199,0.13444894552230835
MCF7,2.0,A133,0,1,80.0,1.14,0.12128958851099014,0.12428994476795197
MCF7,2.0,A133,0,1,80.0,1.15,0.11350749433040619,0.12438291311264038
MCF7,2.0,A133,0,1,80.0,1.16,0.132527694106102,0.1228121742606163
MCF7,2.0,A133,0,1,80.0,1.17,0.11870301514863968,0.13048222661018372
MCF7,2.0,A133,0,1,80.0,1.18,0.1330193281173706,0.12422212213277817
MCF7,2.0,A133,0,1,80.0,1.19,0.11884912848472595,0.1298520267009735
MCF7,2.0,A133,0,1,80.0,1.2,0.11493109166622162,0.13003244996070862
MCF7,2.0,A133,0,1,80.0,1.21,0.11902299523353577,0.13149534165859222
MCF7,2.0,A133,0,1,80.0,1.22,0.12831319868564606,0.134055495262146
MCF7,2.0,A133,0,1,80.0,1.23,0.10994350910186768,0.1311333179473877
MCF7,2.0,A133,0,1,80.0,1.24,0.13083292543888092,0.12627391517162323
MCF7,2.0,A133,0,1,80.0,1.25,0.1099303662776947,0.12549065053462982
MCF7,2.0,A133,0,1,80.0,1.26,0.1274498701095581,0.13408339023590088
