Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean_value,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
MCF7,2.0,A133,10,1,80.0,2,0.09337101876735687,0.001138414372690022,0.0941963791847229,0.001070731203071773,0.11233536154031754,0.0004283808229956776,0.16608835756778717,0.01303110271692276,0.12706073,0.1340209,0.0887565165758133,0.0012023786548525095,0.3259931206703186,0.0,0.11555386,0.13133197,1.0008233,0.7249503,0.7280664,223,19520,19743,0.8508022,0.85369575,0.9738175,0.9974261,0.9832639,0.5705271,1.0073444,0.0,0.01708349,0.80530304,0.9894067,0.59458774,0.0030458237,0.5678451,1.0073444,0.0,0.016606994
MCF7,2.0,A133,10,1,80.0,3,0.07500606775283813,0.0006319617386907339,0.07518952339887619,0.0006197138573043048,0.06872681528329849,0.00011600885045481846,0.10754634439945221,0.03229433298110962,0.07732338,0.08238348,0.07636650651693344,0.0007333526737056673,0.2513803541660309,0.0,0.096975885,0.11143871,0.91013074,0.98826593,0.9743045,5346,24573,29919,0.9475087,0.9243827,0.9903228,0.9963957,0.99486303,0.34365147,0.64883304,0.17451002,0.0026948133,0.33203337,0.41303524,0.2355572,0.0007437162,0.34617892,0.64883304,0.17451002,0.003083516
MCF7,2.0,A133,10,1,80.0,4,0.07823163270950317,0.0026676757261157036,0.08588315546512604,0.002271452220156789,0.07247801870107651,0.0007468260009773076,0.1922564059495926,0.0,0.09410693,0.10746603,0.07962380349636078,0.003122506896033883,0.43378937244415283,0.0,0.12326214,0.15303932,0.8580195,0.95795536,0.9374903,7716,29963,37679,0.88918185,0.7264522,0.928228,0.98874795,0.9831688,0.30230683,0.9698804,0.0,0.010220565,0.32069957,0.5104976,0.14793432,0.002269406,0.2975705,0.9698804,0.0,0.012158513
MCF7,2.0,A133,10,1,80.0,5,0.10342211276292801,0.0025260515976697206,0.10641618818044662,0.0022805628832429647,0.09792222827672958,0.0008457069634459913,0.224069282412529,0.012768921442329884,0.12106065,0.13614489,0.10451748222112656,0.0028534859884530306,0.365419864654541,0.0,0.14586401,0.17408656,0.9758406,0.90955156,0.92081237,2427,11860,14287,0.81754434,0.79012084,0.946879,0.98902756,0.98227644,0.44449922,1.0470862,0.0,0.01064098,0.4613534,0.7364279,0.25873494,0.0038053964,0.4410505,1.0470862,0.0,0.01196966
MCF7,2.0,A133,10,1,80.0,6,0.11993174254894257,0.0038864545058459044,0.12832185626029968,0.0030817065853625536,0.12308070063591003,0.0013754275860264897,0.3081420660018921,0.0,0.15262027,0.17056589,0.11845473945140839,0.005057399161159992,0.4796481430530548,0.0,0.17461413,0.20925103,0.45088047,0.30682117,0.35408956,7738,15845,23583,0.88257986,0.5846525,0.89411044,0.9710376,0.9559337,1.0973164,4.30478,0.0,0.17177868,1.2701693,3.9518025,0.6399537,0.07418517,1.0129081,4.30478,0.0,0.19772106
MCF7,2.0,A133,10,1,80.0,7,0.10791771113872528,0.004705192521214485,0.12097129970788956,0.003695216728374362,0.10279224812984467,0.0015589786926284432,0.26838788390159607,0.0,0.13413084,0.15326071,0.1091841608285904,0.00547448918223381,0.46191996335983276,0.0,0.16864787,0.20568867,0.8169531,0.7323805,0.7506831,3684,13339,17023,0.8036721,0.5749231,0.86739665,0.9790442,0.9659134,0.45658037,1.218408,0.0,0.03785011,0.53358704,1.132477,0.18873462,0.010616981,0.4353141,1.218408,0.0,0.04328096
MCF7,2.0,A133,10,1,80.0,8,0.12111587077379227,0.0033804650884121656,0.12410975247621536,0.0030924580059945583,0.109807088971138,0.001053410116583109,0.24893970787525177,0.022352024912834167,0.1355777,0.15197235,0.12375921756029129,0.0038875166792422533,0.45947667956352234,0.0,0.17208707,0.2049541,0.78693426,0.6244535,0.65595186,2475,10292,12767,0.9411485,0.69733196,0.9588639,0.9881795,0.9815477,0.6185341,1.4508197,0.0,0.020270873,0.6440002,1.0908053,0.43267912,0.0068598306,0.6124106,1.4508197,0.0,0.023302186
MCF7,2.0,A133,10,1,80.0,9,0.06508535891771317,0.001773921074345708,0.07070008665323257,0.0015299904625862837,0.06182984262704849,0.0005956708919256926,0.1517615020275116,0.0,0.08129802,0.09315762,0.06584680825471878,0.002046449575573206,0.32368630170822144,0.0,0.101443015,0.12548311,0.9361915,1.0124768,0.9973362,5303,21416,26719,0.92097586,0.76332337,0.9521377,0.99264574,0.9880133,0.36767372,0.8789575,0.0,0.00842422,0.38112977,0.60889673,0.23285629,0.0019104946,0.36434194,0.8789575,0.0,0.009981128
MCF7,2.0,A133,10,1,80.0,10,0.052052322775125504,0.0010625239228829741,0.055086974054574966,0.0009572992566972971,0.04656936973333359,0.000425646168878302,0.11919141560792923,0.0,0.06317679,0.07319213,0.053777243942022324,0.0012504501501098275,0.30324798822402954,0.0,0.0816324,0.10062938,0.9378626,1.0539117,1.0248042,3519,10511,14030,0.9254442,0.7312083,0.939261,0.99138594,0.98697996,0.22298352,0.5100528,0.0,0.0016475504,0.2212573,0.32370868,0.13812791,0.0007141049,0.22356136,0.5100528,0.0,0.0019586699
MCF7,2.0,A133,11,1,80.0,1,0.07718686759471893,0.0032906443811953068,0.092564657330513,0.002522793598473072,0.08802063763141632,0.0005235728458501399,0.16754239797592163,0.012061350047588348,0.106187336,0.117264226,0.07577069103717804,0.003635002998635173,0.47545745968818665,0.0,0.123747185,0.15563071,0.9291728,0.8205226,0.8333851,3163,23555,26718,0.91110754,0.88670844,0.9779054,0.9938045,0.9882621,0.5454492,1.5053071,0.0,0.06078918,0.69256186,0.9966379,0.44038767,0.006234599,0.52569634,1.5053071,0.0,0.06481816
MCF7,2.0,A133,11,1,80.0,2,0.09534666687250137,0.002628464251756668,0.09974290430545807,0.0023111640475690365,0.09654933959245682,0.0004052056756336242,0.18821029365062714,0.019694173708558083,0.11249094,0.122298904,0.0951438918709755,0.0030030389316380024,0.4717482626438141,0.0,0.13653798,0.16580568,0.83250225,0.65674704,0.68266827,5163,29844,35007,0.9283102,0.90845275,0.98257965,0.9949815,0.9886989,0.5346568,1.9049969,0.0,0.017354826,0.5513824,0.903825,0.3728542,0.0025344773,0.53176343,1.9049969,0.0,0.019861888
MCF7,2.0,A133,11,1,80.0,3,0.11775799095630646,0.004175972193479538,0.12475361675024033,0.0035513245966285467,0.10846643894910812,0.001478588324971497,0.24433624744415283,0.0,0.13915691,0.15752357,0.12133277207612991,0.005167752970010042,0.44360753893852234,0.0,0.17809905,0.21429265,0.6566597,0.479966,0.53126276,3660,8947,12607,0.79051715,0.48190513,0.8629643,0.9710801,0.9541704,0.4669043,1.4295493,0.0,0.028224396,0.5283384,1.2398424,0.21035159,0.01466423,0.4417759,1.4295493,0.0,0.031595733
MCF7,2.0,A133,11,1,80.0,4,0.12435208261013031,0.004174995236098766,0.12999233603477478,0.0036311717703938484,0.11729245632886887,0.0014044904382899404,0.2674695551395416,0.0,0.14658038,0.16477068,0.12590816617012024,0.004772264510393143,0.44260042905807495,0.0,0.1800945,0.2152928,0.7623233,0.5919787,0.6231245,2229,9962,12191,0.84388584,0.61160845,0.9310292,0.97609735,0.9656382,0.51071906,1.718064,0.0,0.028404085,0.6307124,1.161054,0.31469336,0.016766192,0.48387325,1.718064,0.0,0.027065787
MCF7,2.0,A133,11,1,80.0,5,0.0867626816034317,0.006224045529961586,0.12266561388969421,0.004395537544041872,0.09681695699691772,0.0020397810731083155,0.2523573935031891,0.0,0.13290717,0.1551087,0.08480783551931381,0.007014111615717411,0.4763265550136566,0.0,0.15551588,0.20151444,0.93489265,0.95943356,0.95511156,7174,33561,40735,0.7825623,0.67543983,0.8825743,0.98462397,0.9779713,0.34388304,1.5077264,0.0,0.056054007,0.46597692,0.82745767,0.0,0.0077087567,0.317785,1.5077264,0.0,0.06252046
MCF7,2.0,A133,11,1,80.0,6,0.09729345142841339,0.004690856207162142,0.11286638677120209,0.003684021532535553,0.08988150954246521,0.0008891293546184897,0.19600093364715576,0.0,0.11355546,0.12794697,0.098920077085495,0.005510478280484676,0.43937867879867554,0.0,0.15819778,0.19780956,0.7751506,0.932213,0.9035535,7579,33956,41535,0.9589264,0.75407064,0.9610077,0.99047554,0.9853623,0.35745913,1.1474992,0.0,0.026350658,0.40133607,0.6839079,0.19751361,0.0029010605,0.34766597,1.1474992,0.0,0.031058872
MCF7,2.0,A133,12,1,80.0,1,0.14354170858860016,0.0027711610309779644,0.14424297213554382,0.0026835480239242315,0.13761498034000397,0.001531986752524972,0.28910601139068604,0.0,0.1689109,0.18788505,0.14536061882972717,0.003137375693768263,0.469858855009079,0.0,0.18908152,0.21721171,0.5259803,0.46094057,0.47745165,10861,31922,42783,0.51295996,0.112560324,0.6634641,0.9282798,0.917303,0.9323189,3.8725584,0.0,0.1051789,1.0178093,3.8725584,0.36435288,0.119017735,0.90323305,3.5378306,0.0,0.097138025
MCF7,2.0,A133,12,1,80.0,2,0.13649596273899078,0.002466419944539666,0.1370990127325058,0.0023946380242705345,0.12293805927038193,0.0008191769593395293,0.22191222012043,0.014491930603981018,0.14576837,0.15940642,0.14277459681034088,0.0031047093216329813,0.4976557791233063,0.0,0.18531457,0.21399163,0.5702365,0.61847776,0.6026324,10379,21220,31599,0.932604,0.48996302,0.8739908,0.98063827,0.9749256,0.6436232,2.085123,0.0,0.019575374,0.61121804,1.7874894,0.35094506,0.010950346,0.6594722,2.085123,0.0,0.023029014
MCF7,2.0,A133,12,1,80.0,3,0.1282545030117035,0.0008171675726771355,0.1282545030117035,0.0008171675726771355,0.12297367304563522,0.0003266319981776178,0.18695908784866333,0.05419977754354477,0.13724993,0.14585555,0.12989497184753418,0.0009581956546753645,0.28086400032043457,0.00698857894167304,0.15396577,0.16865326,1.0056411,1.1367637,1.1049407,3514,10965,14479,0.9900411,0.6012472,0.88009775,0.99244225,0.97811127,0.8945345,1.8640523,0.4829033,0.025705993,0.8307381,1.2230998,0.57219136,0.0074690026,0.9149778,1.8640523,0.4829033,0.029827813
MCF7,2.0,A133,12,1,80.0,4,0.13021984696388245,0.0008039941312745214,0.13021984696388245,0.0008039941312745214,0.12474460154771805,0.0003654247266240418,0.1912665218114853,0.04646269232034683,0.13985382,0.14885408,0.13242089748382568,0.0009634025045670569,0.291119784116745,0.022195203229784966,0.15618823,0.17235368,1.0152218,0.9699369,0.9831524,5855,14208,20063,0.9396403,0.608058,0.95583916,0.9918872,0.98963153,0.646094,1.4009211,0.34932417,0.008298391,0.66655433,1.0440824,0.43141386,0.0056825425,0.63766307,1.4009211,0.34932417,0.009132705
MCF7,2.0,A133,12,1,80.0,5,0.13879676163196564,0.0009044361650012434,0.13879676163196564,0.0009044361650012434,0.14024893939495087,0.00039542504237033427,0.20995715260505676,0.06208852678537369,0.15609224,0.1650375,0.13810202479362488,0.0011464508716017008,0.34038838744163513,0.03405102714896202,0.16452317,0.18285048,0.90281343,0.61898935,0.7110539,3861,8042,11903,0.7808756,0.5701329,0.93355274,0.98567873,0.97138083,0.76265544,1.5581071,0.40376952,0.03262435,0.91777843,1.3558754,0.4773526,0.021286895,0.68818945,1.5581071,0.40376952,0.02097027
MCF7,2.0,A133,12,1,80.0,6,0.16481155157089233,0.004336485173553228,0.16702900826931,0.004024450201541185,0.14826615154743195,0.0014724241336807609,0.30086734890937805,0.008851340971887112,0.17891668,0.197487,0.17071963846683502,0.005226532928645611,0.5110775232315063,0.0,0.22713785,0.26302597,0.74608237,0.67196,0.6921418,10808,28887,39695,0.78001624,0.19658327,0.8227959,0.95761824,0.9478581,0.8919571,2.6042159,0.0,0.07081175,0.92593384,2.1867678,0.35762784,0.05827498,0.8792452,2.6042159,0.0,0.07490869
MCF7,2.0,A133,13,1,80.0,1,0.09095929563045502,0.006419977638870478,0.13231782615184784,0.0038666247855871916,0.11455346643924713,0.0004519319045357406,0.2120819389820099,0.029167991131544113,0.13130742,0.14159507,0.08810120820999146,0.007067317608743906,0.4624576270580292,0.0,0.15892152,0.20193517,0.9550387,0.8271295,0.8410954,4708,38411,43119,0.9462856,0.89528537,0.9812984,0.99333537,0.98804045,0.4403639,1.6981906,0.0,0.100456506,0.64079046,0.95448077,0.41360468,0.0055590356,0.41579846,1.6981906,0.0,0.10656067
MCF7,2.0,A133,13,1,80.0,2,0.08078670501708984,0.006386623252183199,0.12773607671260834,0.004101095255464315,0.10126850754022598,0.0009773909114301205,0.22814258933067322,0.0,0.12611789,0.14093783,0.07562237977981567,0.007618074305355549,0.5621859431266785,0.0,0.14899978,0.20101812,0.9330369,0.818586,0.8418468,13394,52509,65903,0.94201344,0.902726,0.9751745,0.99214435,0.9874324,0.21250851,0.95672464,0.0,0.029891333,0.34386674,0.58809483,0.16735509,0.0021118496,0.1790023,0.95672464,0.0,0.031453203
MCF7,2.0,A133,13,1,80.0,3,0.07911545038223267,0.0042090704664587975,0.09748551994562149,0.0033955725375562906,0.07048097252845764,0.0007084753597155213,0.17955103516578674,0.0,0.09165143,0.10409474,0.08124653249979019,0.005050110165029764,0.4684237539768219,0.0,0.13807236,0.17832506,0.89417523,1.9365206,1.7257093,6462,25489,31951,0.8807136,0.68048334,0.9438573,0.9900679,0.9553729,0.19027703,0.86569774,0.0,0.013058115,0.17585364,0.29579043,0.07135994,0.0008193922,0.19393349,0.86569774,0.0,0.016094659
MCF7,2.0,A133,13,1,80.0,4,0.0821804627776146,0.0061013526283204556,0.116188645362854,0.004674868192523718,0.0705566257238388,0.0016886955127120018,0.21441060304641724,0.0,0.103688,0.12299452,0.08355152606964111,0.006604018621146679,0.45508918166160583,0.0,0.15064558,0.19667712,0.9872925,1.4195975,1.3678479,2708,19914,22622,0.81733567,0.6740278,0.8753339,0.98539335,0.968445,0.20336376,0.81706446,0.0,0.019548839,0.25103453,0.4472035,0.07015996,0.0023492267,0.19688194,0.81706446,0.0,0.02153648
