Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
H1975,2.0,AFA,12,1,10.0,1,0.12358452379703522,0.0007651480264030397,0.12358452379703522,0.0007651480264030397,0.10819466412067413,0.0003914478875230998,0.1657368689775467,0.03911956399679184,0.12376382201910019,0.13236591219902039,1.060913324356079,1.3909403,1.3837008,929.0,41422.0,42351.0,0.897534,0.3034916818141937,0.7711153,0.9776407480239868,0.9558121,1.276106,2.4318562,0.48203656,0.12085279,1.0912500619888306,1.6399800777435303,0.6162893772125244,0.04229889065027237,1.2802517,2.4318562,0.48203656,0.12183096
H1975,2.0,AFA,12,1,10.0,2,0.5004802942276001,0.01228307094424963,0.5004802942276001,0.01228307094424963,0.3069727122783661,0.0005216397112235427,0.3559495508670807,0.23708456754684448,0.3248386085033417,0.3360179364681244,0.45421120524406433,1.5962914,1.59224,97.0,27246.0,27343.0,0.06847894,0.3014387786388397,-0.1124915,0.9977120161056519,0.8254637,4.312774,7.582777,1.7221035,1.2547199,2.342515468597412,2.4897077083587646,2.055209159851074,0.010051076300442219,4.3197885,7.582777,1.7221035,1.2452819
H1975,2.0,AFA,13,1,10.0,1,0.319980263710022,0.02051158808171749,0.35762789845466614,0.009461057372391224,0.2794850170612335,0.001641897251829505,0.3658614456653595,0.1636836975812912,0.31275084614753723,0.3309069573879242,0.8150738477706909,1.1420326,1.1417105,50.0,50685.0,50735.0,0.8209567,0.27612462639808655,0.5746123,0.996442973613739,0.9537559,3.0256112,8.076986,0.0,1.6798483,2.3003311157226562,2.4987404346466064,1.9177948236465454,0.017841000109910965,3.0263267,8.076986,0.0,1.6809686
H1975,2.0,AFA,13,1,10.0,2,0.09121542423963547,0.001435316982679069,0.09199810773134232,0.001375627121888101,0.07206924259662628,0.0003290011081844568,0.1277671754360199,0.02472025342285633,0.086463563144207,0.09522977471351624,0.9339742064476013,1.5427831,1.5382982,400.0,53902.0,54302.0,0.8092699,-0.275790810585022,0.6008766,0.9906100630760193,0.93614966,1.1861207,2.758017,0.25763065,0.13257234,0.85980623960495,1.1527482271194458,0.6293258666992188,0.009121065959334373,1.1885422,2.758017,0.25763065,0.13269238
H1975,2.0,AFA,13,1,10.0,3,0.08329272270202637,0.003084899391978979,0.09181595593690872,0.002618004335090518,0.057212114334106445,0.0010252242209389806,0.1578388661146164,0.0,0.082489013671875,0.09911783039569855,0.7048929929733276,1.1979645,1.194475,469.0,65801.0,66270.0,0.83475924,0.1386621594429016,0.4884357,0.9864334464073181,0.9177843,1.5031403,4.9902077,0.0,0.49023017,0.9336429238319397,1.394153356552124,0.6076258420944214,0.0216533076018095,1.5071995,4.9902077,0.0,0.4912418
H1975,2.0,AFA,14,1,10.0,1,0.08513873815536499,0.002077300101518631,0.08574093133211136,0.0020403610542416573,0.04023456946015358,0.0001652136561460793,0.07904238253831863,0.0,0.05038328096270561,0.05749357119202614,0.5621373057365417,2.0304363,2.0197496,400.0,54559.0,54959.0,0.28047708,-0.6361363530158997,-0.14877573,0.9823312759399414,0.756091,0.9444382,3.069738,0.17997594,0.31195095,0.3398449718952179,0.5088918805122375,0.2393961399793625,0.003449666779488325,0.94887066,3.069738,0.17997594,0.3115132
H1975,2.0,AFA,15,1,10.0,1,0.3628509044647217,0.013633640483021736,0.3628509044647217,0.013633640483021736,0.22506384551525116,0.0015904030296951532,0.32917314767837524,0.1335979700088501,0.25878432393074036,0.2789042890071869,0.46225690841674805,1.8050905,1.7797993,986.0,51365.0,52351.0,0.14341787,-0.35798490047454834,-0.30884853,0.9550514817237854,0.75953084,3.3329928,7.445888,1.1018748,1.8220202,1.6964213848114014,2.4887285232543945,1.1191829442977905,0.0982784852385521,3.3644078,7.445888,1.1018748,1.8027086
H1975,2.0,AFA,16,1,10.0,1,0.08427932113409042,0.0005367989069782197,0.08427932113409042,0.0005367989069782197,0.058556925505399704,0.00017400123761035502,0.10008157789707184,0.029835371300578117,0.06864053755998611,0.07667936384677887,0.6691704392433167,3.1061175,3.0611427,600.0,31911.0,32511.0,0.28034648,-0.17564742267131805,-0.11144079,0.9792405962944031,0.7614013,0.35949016,0.96164304,0.08558518,0.032553528,0.13532617688179016,0.19738589227199554,0.08558517694473267,0.0005076451925560832,0.3637048,0.96164304,0.09414021,0.0321935
H1975,2.0,AFA,16,1,10.0,2,0.10643424093723297,0.0012969084782525897,0.1065560132265091,0.0012854166561737657,0.08138354122638702,0.0006866678013466299,0.14125804603099823,0.0,0.10242301225662231,0.11295676976442337,1.0280684232711792,0.8730213,0.87403554,166.0,25209.0,25375.0,0.6161363,-0.05866511911153793,0.72185415,0.9868221879005432,0.9588824,0.80387074,1.6988617,0.34573793,0.024362963,0.911512553691864,1.262225866317749,0.6792196035385132,0.014967354945838451,0.80316186,1.6988617,0.34573793,0.024348034
H1975,2.0,AFA,16,1,10.0,3,0.09448977559804916,0.001278015784919262,0.0946340337395668,0.0012663152301684022,0.07330009341239929,0.000540401553735137,0.16281238198280334,0.012936659157276154,0.09191974997520447,0.10316360741853714,0.5654750466346741,1.1845573,1.1645995,719.0,21584.0,22303.0,0.22371684,0.5608400106430054,-0.11784502,0.9790589809417725,0.8504565,0.48574606,1.7306926,0.17391895,0.043642975,0.30666276812553406,0.4540223479270935,0.18949414789676666,0.0018495942931622267,0.49171132,1.7306926,0.17391895,0.04393125
