ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,130,4,0,VIN,0.6432907020958352,0.39573269850829773
2,A549,130,4,0,VIN,0.8139811748392702,0.5664231712517328
3,A549,130,4,0,VIN,0.310630164048873,0.0630721604613356
1,A549,130,4,1,VIN,0.8117638028472378,0.5642057992597004
2,A549,130,4,1,VIN,0.4663379912826371,0.21877998769509968
3,A549,130,4,1,VIN,0.8119244114277949,0.5643664078402575
4,A549,130,4,1,VIN,0.36921274935517295,0.12165474576763555
5,A549,130,4,1,VIN,0.8241549582452837,0.5765969546577463
6,A549,130,4,1,VIN,0.6978285020321613,0.45027049844462386
1,A549,130,4,10,VIN,0.296341649127292,0.04878364553975459
2,A549,130,4,10,VIN,0.20250310024756413,-0.04505490333997328
3,A549,130,4,10,VIN,0.48738166163535707,0.23982365804781966
4,A549,130,4,10,VIN,0.7130418653301208,0.4654838617425834
1,A549,130,4,11,VIN,0.7298815857820967,0.4823235821945593
2,A549,130,4,11,VIN,0.25538279611879505,0.007824792531257646
3,A549,130,4,11,VIN,0.06982305144419554,-0.17773495214334187
4,A549,130,4,11,VIN,0.5506846631381892,0.30312665955065177
5,A549,130,4,11,VIN,0.6827958027226441,0.43523779913510663
1,A549,130,4,12,VIN,0.8489789316253432,0.6014209280378058
2,A549,130,4,12,VIN,0.8030579385739731,0.5554999349864357
3,A549,130,4,12,VIN,0.6698513202812564,0.42229331669371895
4,A549,130,4,12,VIN,0.8430745469426884,0.5955165433551509
1,A549,130,4,13,VIN,0.5934397462577718,0.3458817426702344
2,A549,130,4,13,VIN,0.4286180716960299,0.18106006810849248
3,A549,130,4,13,VIN,0.5988811036479879,0.3513231000604504
1,A549,130,4,14,VIN,0.8503100111857664,0.602752007598229
2,A549,130,4,14,VIN,0.9595661078428817,0.7120081042553442
3,A549,130,4,14,VIN,0.9297636480103317,0.6822056444227943
1,A549,130,4,15,VIN,0.7837290893517185,0.536171085764181
2,A549,130,4,15,VIN,0.7164773287341794,0.4689193251466419
3,A549,130,4,15,VIN,0.3819059312786061,0.1343479276910687
4,A549,130,4,15,VIN,0.8156780132179542,0.5681200096304168
1,A549,130,4,16,VIN,0.8098728014624526,0.5623147978749151
2,A549,130,4,16,VIN,0.9636499028462715,0.7160918992587341
3,A549,130,4,16,VIN,0.5384466396465764,0.2908886360590389
4,A549,130,4,16,VIN,0.932250940912476,0.6846929373249385
5,A549,130,4,16,VIN,0.6924913347079411,0.4449333311204037
6,A549,130,4,16,VIN,0.7549436781559168,0.5073856745683794
1,A549,130,4,17,VIN,0.538436073443424,0.2908780698558866
2,A549,130,4,17,VIN,0.08503342158161813,-0.1625245820059193
1,A549,130,4,18,VIN,0.7177080460631602,0.47015004247562275
2,A549,130,4,18,VIN,0.7594578030266592,0.5118997994391218
1,A549,130,4,19,VIN,0.9672743194430563,0.7197163158555189
2,A549,130,4,19,VIN,0.9366201979236672,0.6890621943361298
3,A549,130,4,19,VIN,0.8172849429112532,0.5697269393237158
4,A549,130,4,19,VIN,0.5933531847053551,0.3457951811178177
1,A549,130,4,2,VIN,0.6325887273522282,0.3850307237646907
2,A549,130,4,2,VIN,0.8550070956302565,0.607449092042719
3,A549,130,4,2,VIN,0.36088465657093305,0.11332665298339564
1,A549,130,4,20,VIN,0.8287638443461507,0.5812058407586133
2,A549,130,4,20,VIN,0.9047016270406358,0.6571436234530984
1,A549,130,4,3,VIN,0.8454145585672315,0.597856554979694
2,A549,130,4,3,VIN,0.8708490364031919,0.6232910328156545
3,A549,130,4,3,VIN,0.848029112037928,0.6004711084503905
1,A549,130,4,4,VIN,0.7375459849218948,0.4899879813343574
2,A549,130,4,4,VIN,0.7806721173310557,0.5331141137435182
3,A549,130,4,4,VIN,0.684742434917976,0.4371844313304386
1,A549,130,4,5,VIN,0.25651599253854773,0.008957988951010326
1,A549,130,4,6,VIN,0.7645556791581758,0.5169976755706384
2,A549,130,4,6,VIN,0.8409580030966248,0.5933999995090874
3,A549,130,4,6,VIN,0.8023967833009955,0.5548387797134581
1,A549,130,4,7,VIN,0.8286289441647495,0.5810709405772121
2,A549,130,4,7,VIN,0.8558480236641797,0.6082900200766422
3,A549,130,4,7,VIN,0.9353924213137859,0.6878344177262484
4,A549,130,4,7,VIN,0.7928034808378991,0.5452454772503617
5,A549,130,4,7,VIN,0.3814828257445642,0.1339248221570268
1,A549,130,4,8,VIN,0.8165765822988152,0.5690185787112778
2,A549,130,4,8,VIN,0.7895058991712964,0.541947895583759
1,A549,130,4,9,VIN,0.8791363101772796,0.6315783065897421
2,A549,130,4,9,VIN,0.6254464249350935,0.37788842134755607
3,A549,130,4,9,VIN,0.47089459188935745,0.22333658830182004
4,A549,130,4,9,VIN,0.7069980612181592,0.4594400576306218
5,A549,130,4,9,VIN,0.868343411505348,0.6207854079178106
1,A549,0,2,0,control,0.3186362904906683,0.07107828690313087
2,A549,0,2,0,control,0.5136636895014294,0.26610568591389194
1,A549,0,2,1,control,0.4792706216776571,0.2317126180901197
2,A549,0,2,1,control,0.13596382297857443,-0.11159418060896298
1,A549,0,2,10,control,0.2511611542018332,0.003603150614295808
2,A549,0,2,10,control,0.4066045595063471,0.1590465559188097
3,A549,0,2,10,control,0.19864275557260075,-0.04891524801493666
4,A549,0,2,10,control,0.12956567635688118,-0.11799232723065622
5,A549,0,2,10,control,0.15747870675067493,-0.09007929683686247
6,A549,0,2,10,control,0.1675333853842756,-0.08002461820326182
1,A549,0,2,11,control,0.6718191143851376,0.4242611107976002
1,A549,0,2,12,control,0.12753761762141036,-0.12002038596612705
2,A549,0,2,12,control,0.28729747589298743,0.039739472305450024
3,A549,0,2,12,control,0.1691804595428887,-0.0783775440446487
1,A549,0,2,13,control,0.0937008991083312,-0.1538571044792062
2,A549,0,2,13,control,0.18296763259700038,-0.06459037099053702
3,A549,0,2,13,control,0.1392551948391338,-0.10830280874840362
4,A549,0,2,13,control,0.20271598445084082,-0.04484201913669658
5,A549,0,2,13,control,0.5029545362497412,0.25539653266220375
6,A549,0,2,13,control,0.5497835360069985,0.30222553241946104
1,A549,0,2,14,control,0.7905544391199149,0.5429964355323774
2,A549,0,2,14,control,0.13005353899926214,-0.11750446458827526
3,A549,0,2,14,control,0.14507108438462973,-0.10248691920290767
4,A549,0,2,14,control,0.279932175936262,0.03237417234872461
5,A549,0,2,14,control,0.4063684506674442,0.1588104470799068
1,A549,0,2,15,control,0.19115446458295554,-0.056403539004581865
2,A549,0,2,15,control,0.21892729381258302,-0.028630709774954383
3,A549,0,2,15,control,0.0881695329170604,-0.159388470670477
4,A549,0,2,15,control,0.17944011118153583,-0.06811789240600158
5,A549,0,2,15,control,0.26503617800870616,0.017478174421168752
1,A549,0,2,16,control,0.08862724223029128,-0.15893076135724613
2,A549,0,2,16,control,0.08828854033614028,-0.15926946325139713
1,A549,0,2,17,control,0.2381403754028991,-0.009417628184638316
2,A549,0,2,17,control,0.22106137968636935,-0.026496623901168054
3,A549,0,2,17,control,0.06869519693716417,-0.17886280665037324
4,A549,0,2,17,control,0.060857725181553524,-0.18670027840598388
1,A549,0,2,18,control,0.4440270694021248,0.19646906581458737
1,A549,0,2,19,control,0.3194509843315389,0.0718929807440015
2,A549,0,2,19,control,0.23353712240693075,-0.014020881180606654
3,A549,0,2,19,control,0.2522658133196808,0.004707809732143381
4,A549,0,2,19,control,0.31980596819006113,0.07224796460252372
1,A549,0,2,2,control,0.20193221184934879,-0.04562579173818862
2,A549,0,2,2,control,0.1332588520462252,-0.1142991515413122
3,A549,0,2,2,control,0.21275719717732589,-0.03480080641021152
4,A549,0,2,2,control,0.3711779864065586,0.12361998281902117
5,A549,0,2,2,control,0.11920607906877152,-0.12835192451876587
1,A549,0,2,3,control,0.10847351077664728,-0.13908449281089014
2,A549,0,2,3,control,0.2311748174029181,-0.016383186184619314
3,A549,0,2,3,control,0.1325571822122163,-0.11500082137532111
4,A549,0,2,3,control,0.20017781911519233,-0.04738018447234507
1,A549,0,2,4,control,0.13020343709305815,-0.11735456649447926
2,A549,0,2,4,control,0.439014823307189,0.1914568197196516
3,A549,0,2,4,control,0.07076099989654956,-0.17679700369098783
1,A549,0,2,5,control,0.20430840941907044,-0.043249594168466965
2,A549,0,2,5,control,0.06513878292560141,-0.182419220661936
1,A549,0,2,6,control,0.20372558958450818,-0.04383241400302923
1,A549,0,2,7,control,0.2860300178873102,0.03847201429977279
2,A549,0,2,7,control,0.3633190665266914,0.11576106293915397
1,A549,0,2,8,control,0.22269330873162968,-0.024864694855907726
2,A549,0,2,8,control,0.08812760195281244,-0.15943040163472497
1,A549,0,2,9,control,0.7658678497326392,0.5183098461451018
2,A549,0,2,9,control,0.18647039021633194,-0.06108761337120547
3,A549,0,2,9,control,0.14458049253574073,-0.10297751105179667
