ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,16,4,0,OSI,0.6209593721209682,0.29844223983449497
2,A549,16,4,0,OSI,0.445408679201342,0.12289154691486875
3,A549,16,4,0,OSI,0.4143685705462521,0.09185143825977887
1,A549,16,4,1,OSI,0.4474113453236515,0.12489421303717829
2,A549,16,4,1,OSI,0.45897474439759717,0.13645761211112395
3,A549,16,4,1,OSI,0.7202938363458444,0.3977767040593712
1,A549,16,4,10,OSI,0.745617239997637,0.42310010771116374
2,A549,16,4,10,OSI,0.7956875446056397,0.4731704123191665
3,A549,16,4,10,OSI,0.9158840681221114,0.5933669358356382
4,A549,16,4,10,OSI,0.6136968075835096,0.2911796752970364
5,A549,16,4,10,OSI,0.7521052184818352,0.429588086195362
1,A549,16,4,11,OSI,0.5460318987798898,0.22351476649341656
2,A549,16,4,11,OSI,0.6437231814520062,0.321206049165533
3,A549,16,4,11,OSI,0.8635420058814572,0.5410248735949841
4,A549,16,4,11,OSI,0.6367629382978812,0.314245806011408
5,A549,16,4,11,OSI,0.6063483991975536,0.28383126691108035
6,A549,16,4,11,OSI,0.5189198559822039,0.1964027236957307
1,A549,16,4,12,OSI,0.544675241217272,0.22215810893079874
2,A549,16,4,12,OSI,0.6802071617965996,0.35769002951012635
3,A549,16,4,12,OSI,0.6988516846037365,0.37633455231726326
4,A549,16,4,12,OSI,0.7585516135954745,0.4360344813090013
5,A549,16,4,12,OSI,0.7765612542585307,0.4540441219720575
6,A549,16,4,12,OSI,0.5747965725314392,0.252279440244966
7,A549,16,4,12,OSI,0.6764384069583922,0.353921274671919
8,A549,16,4,12,OSI,0.8221782071876719,0.49966107490119865
1,A549,16,4,13,OSI,0.8984166552663442,0.5758995229798709
2,A549,16,4,13,OSI,0.9280354155009931,0.6055182832145198
3,A549,16,4,13,OSI,0.5943365871910712,0.27181945490459797
4,A549,16,4,13,OSI,0.9386344157120089,0.6161172834255357
5,A549,16,4,13,OSI,0.8809467637496027,0.5584296314631294
1,A549,16,4,14,OSI,0.6175616826804146,0.29504455039394134
2,A549,16,4,14,OSI,0.7848183876245242,0.46230125533805094
1,A549,16,4,15,OSI,0.29953745784709074,-0.02297967443938248
2,A549,16,4,15,OSI,0.1566137874876622,-0.16590334479881103
3,A549,16,4,15,OSI,0.17450029022336827,-0.14801684206310495
4,A549,16,4,15,OSI,0.39395786026396146,0.07144072797748824
1,A549,16,4,16,OSI,0.6850495889443307,0.36253245665785744
2,A549,16,4,16,OSI,0.48994362302464917,0.16742649073817595
3,A549,16,4,16,OSI,0.41159106233314147,0.08907393004666825
4,A549,16,4,16,OSI,0.9209004810049679,0.5983833487184946
1,A549,16,4,17,OSI,0.7034753269281466,0.3809581946416734
2,A549,16,4,17,OSI,0.8484092023861342,0.525892070099661
3,A549,16,4,17,OSI,0.8302640150502867,0.5077468827638134
1,A549,16,4,18,OSI,0.5902903047116888,0.26777317242521553
2,A549,16,4,18,OSI,0.5228120006775152,0.200294868391042
3,A549,16,4,18,OSI,0.7048419662462226,0.3823248339597494
4,A549,16,4,18,OSI,0.7132160278270826,0.3906988955406094
5,A549,16,4,18,OSI,0.5056299125098628,0.18311278022338956
6,A549,16,4,18,OSI,0.4291244049816668,0.1066072726951936
1,A549,16,4,19,OSI,0.5823414539936534,0.25982432170718023
2,A549,16,4,19,OSI,0.5829575641051687,0.26044043181869553
3,A549,16,4,19,OSI,0.6673345369467114,0.3448174046602382
4,A549,16,4,19,OSI,0.5903489024530024,0.2678317701665292
5,A549,16,4,19,OSI,0.6113078018184308,0.2887906695319576
1,A549,16,4,2,OSI,0.4278231407871796,0.10530600850070637
2,A549,16,4,2,OSI,0.32531262235288044,0.0027954900664072246
3,A549,16,4,2,OSI,0.27381528944595585,-0.04870184284051737
4,A549,16,4,2,OSI,0.2164883161503813,-0.10602881613609191
5,A549,16,4,2,OSI,0.4212363699818319,0.09871923769535867
6,A549,16,4,2,OSI,0.21305478039100922,-0.109462351895464
1,A549,16,4,3,OSI,0.7112530385834506,0.38873590629697735
