ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,9,6,0,OSI,0.5613714163709408,0.23885428408446757
2,A549,9,6,0,OSI,0.41109531064602284,0.08857817835954962
3,A549,9,6,0,OSI,0.8697617355179708,0.5472446032314975
4,A549,9,6,0,OSI,0.7341478836783255,0.4116307513918523
1,A549,9,6,1,OSI,0.7612761937265845,0.4387590614401113
1,A549,9,6,10,OSI,0.380524859293348,0.05800772700687479
2,A549,9,6,10,OSI,0.8192748711145723,0.4967577388280991
3,A549,9,6,10,OSI,0.5870257501236218,0.2645086178371486
1,A549,9,6,11,OSI,0.3593757495816333,0.0368586172951601
2,A549,9,6,11,OSI,0.6239928204418177,0.3014756881553445
3,A549,9,6,11,OSI,0.39736253070158434,0.07484539841511112
1,A549,9,6,12,OSI,0.7098347828309426,0.38731765054446937
2,A549,9,6,12,OSI,0.8020361529831268,0.4795190206966536
1,A549,9,6,13,OSI,0.4383971476555688,0.11588001536909559
2,A549,9,6,13,OSI,0.6030522327284453,0.2805351004419721
1,A549,9,6,14,OSI,0.5568186631842501,0.2343015308977769
2,A549,9,6,14,OSI,0.7339395731442491,0.41142244085777585
3,A549,9,6,14,OSI,0.7383264388532259,0.4158093065667527
4,A549,9,6,14,OSI,0.5994778470763595,0.2769607147898863
1,A549,9,6,15,OSI,0.8666801782806122,0.5441630459941389
2,A549,9,6,15,OSI,0.7931621363231942,0.470645004036721
3,A549,9,6,15,OSI,0.6865218728123927,0.3640047405259195
1,A549,9,6,16,OSI,0.3032939075159978,-0.019223224770475444
2,A549,9,6,16,OSI,0.5085087474654826,0.18599161517900936
1,A549,9,6,17,OSI,0.3832476783612634,0.06073054607479017
2,A549,9,6,17,OSI,0.4010383374783024,0.0785212051918292
1,A549,9,6,18,OSI,0.33466162620890194,0.012144493922428723
2,A549,9,6,18,OSI,0.456184674652647,0.13366754236617379
1,A549,9,6,19,OSI,0.5160333821617169,0.19351624987524368
2,A549,9,6,19,OSI,0.4111431544271106,0.08862602214063736
3,A549,9,6,19,OSI,0.5506367572514131,0.22811962496493993
4,A549,9,6,19,OSI,0.49822735153658354,0.17571021925011032
1,A549,9,6,2,OSI,0.16698367806904818,-0.15553345421742504
2,A549,9,6,2,OSI,0.27978542754335173,-0.04273170474312149
3,A549,9,6,2,OSI,0.23372309816170236,-0.08879403412477085
1,A549,9,6,3,OSI,0.4461988129076497,0.12368168062117646
2,A549,9,6,3,OSI,0.4378416990297242,0.11532456674325098
1,A549,9,6,4,OSI,0.6436312229819584,0.3211140906954852
2,A549,9,6,4,OSI,0.9329990850664112,0.6104819527799379
3,A549,9,6,4,OSI,0.9536967230034701,0.6311795907169968
1,A549,9,6,5,OSI,0.8128674199339436,0.4903502876474704
2,A549,9,6,5,OSI,0.9752633491011362,0.6527462168146629
1,A549,9,6,6,OSI,0.6270430214757815,0.3045258891893083
2,A549,9,6,6,OSI,0.8444692803700702,0.5219521480835969
3,A549,9,6,6,OSI,0.7841829425671969,0.4616658102807237
4,A549,9,6,6,OSI,0.5573882226998639,0.23487109041339066
1,A549,9,6,7,OSI,0.7037804406404689,0.38126330835399563
2,A549,9,6,7,OSI,0.9353930666822645,0.6128759343957912
3,A549,9,6,7,OSI,0.6643149540505802,0.34179782176410695
4,A549,9,6,7,OSI,0.7669581294303526,0.44444099714387936
5,A549,9,6,7,OSI,0.820929257442956,0.49841212515648275
6,A549,9,6,7,OSI,0.8121262488452213,0.4896091165587481
7,A549,9,6,7,OSI,0.7604181542671193,0.4379010219806461
1,A549,9,6,8,OSI,0.8482636865014076,0.5257465542149344
2,A549,9,6,8,OSI,0.8031756029974636,0.4806584707109904
3,A549,9,6,8,OSI,0.7860159332589791,0.4634988009725059
4,A549,9,6,8,OSI,0.6503354662264054,0.32781833393993215
5,A549,9,6,8,OSI,0.87129961111927,0.5487824788327968
6,A549,9,6,8,OSI,0.7788071056839905,0.45628997339751726
1,A549,9,6,9,OSI,0.7383225939511014,0.41580546166462823
2,A549,9,6,9,OSI,0.7536789438768561,0.43116181159038286
3,A549,9,6,9,OSI,0.8649323966004105,0.5424152643139373
1,A549,0,2,0,control,0.5065056435963584,0.1839885113098852
2,A549,0,2,0,control,0.5580164093172288,0.23549927703075563
1,A549,0,2,1,control,0.18305615908016185,-0.13946097320631137
2,A549,0,2,1,control,0.19094072149579283,-0.1315764107906804
1,A549,0,2,10,control,0.2915742868506033,-0.030942845435869892
2,A549,0,2,10,control,0.2595049216347835,-0.06301221065168972
3,A549,0,2,10,control,0.2858044845360263,-0.036712647750446914
4,A549,0,2,10,control,0.22169318433795637,-0.10082394794851685
5,A549,0,2,10,control,0.37222550635187607,0.04970837406540285
6,A549,0,2,10,control,0.5612562345070319,0.23873910222055866
1,A549,0,2,11,control,0.620961665086684,0.2984445328002108
1,A549,0,2,12,control,0.21390280893300567,-0.10861432335346755
2,A549,0,2,12,control,0.19489291436721706,-0.12762421791925616
3,A549,0,2,12,control,0.1782491851929722,-0.14426794709350102
1,A549,0,2,13,control,0.34669495556216673,0.02417782327569351
2,A549,0,2,13,control,0.21898544971930312,-0.1035316825671701
3,A549,0,2,13,control,0.3066688215268686,-0.015848310759604634
4,A549,0,2,13,control,0.26821534712656403,-0.05430178515990919
5,A549,0,2,13,control,0.34533663135604525,0.022819499069572036
6,A549,0,2,13,control,0.22135376794073824,-0.10116336434573497
1,A549,0,2,14,control,0.5085208721728518,0.18600373988637858
2,A549,0,2,14,control,0.7649198551811316,0.4424027228946584
3,A549,0,2,14,control,0.41895625913252843,0.09643912684605521
4,A549,0,2,14,control,0.2532826692325014,-0.0692344630539718
5,A549,0,2,14,control,0.34884411303558177,0.026326980749108553
1,A549,0,2,15,control,0.1604227939993722,-0.16209433828710101
2,A549,0,2,15,control,0.18869403088505135,-0.13382310140142187
3,A549,0,2,15,control,0.1969756716238725,-0.12554146066260072
4,A549,0,2,15,control,0.17715729978509423,-0.145359832501379
5,A549,0,2,15,control,0.15218545891060845,-0.17033167337586477
1,A549,0,2,16,control,0.1298841059303615,-0.1926330263561117
2,A549,0,2,16,control,0.22964946085032628,-0.09286767143614694
1,A549,0,2,17,control,0.2406722137202074,-0.08184491856626583
2,A549,0,2,17,control,0.29180193669239995,-0.030715195594073263
3,A549,0,2,17,control,0.24614771387498874,-0.07636941841148448
4,A549,0,2,17,control,0.35066730189987033,0.028150169613397114
1,A549,0,2,18,control,0.476350420508277,0.15383328822180375
1,A549,0,2,19,control,0.1945325514126254,-0.12798458087384781
2,A549,0,2,19,control,0.3600118726807303,0.0374947403942571
3,A549,0,2,19,control,0.35381088464980226,0.03129375236332904
4,A549,0,2,19,control,0.43067667139569094,0.10815953910921772
1,A549,0,2,2,control,0.36375488724168603,0.04123775495521281
2,A549,0,2,2,control,0.20344583480283526,-0.11907129748363796
3,A549,0,2,2,control,0.25892511513509203,-0.06359201715138119
4,A549,0,2,2,control,0.49000614356402317,0.16748901127754995
5,A549,0,2,2,control,0.2429426866961565,-0.0795744455903167
1,A549,0,2,3,control,0.15565527951505626,-0.16686185277141696
2,A549,0,2,3,control,0.2134896701298163,-0.10902746215665693
3,A549,0,2,3,control,0.3358288833744604,0.013311751087987156
4,A549,0,2,3,control,0.2926348460610039,-0.029882286225469346
1,A549,0,2,4,control,0.24627773917186618,-0.07623939311460703
2,A549,0,2,4,control,0.1842158223493881,-0.13830130993708512
3,A549,0,2,4,control,0.4656567253430953,0.1431395930566221
1,A549,0,2,5,control,0.4166337466614841,0.0941166143750109
2,A549,0,2,5,control,0.4175519789285381,0.09503484664206491
1,A549,0,2,6,control,0.26277698644609926,-0.05974014584037396
1,A549,0,2,7,control,0.26405492014394494,-0.05846221214252828
2,A549,0,2,7,control,0.5374472620514658,0.21493012976499254
1,A549,0,2,8,control,0.2887273641046241,-0.033789768181849145
2,A549,0,2,8,control,0.5872850091081336,0.2647678768216604
1,A549,0,2,9,control,0.2467378693997396,-0.07577926288673362
2,A549,0,2,9,control,0.8400606723419765,0.5175435400555033
3,A549,0,2,9,control,0.1844666353840658,-0.13805049690240742
