ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,9,4,0,OSI,0.5899607966718037,0.26744366438533046
2,A549,9,4,0,OSI,0.6966042215072858,0.37408708922081263
3,A549,9,4,0,OSI,0.5650292946519115,0.24251216236543832
1,A549,9,4,1,OSI,0.027202767628917112,-0.2953143646575561
2,A549,9,4,1,OSI,0.11050110547783683,-0.2120160268086364
1,A549,9,4,10,OSI,0.6056995513223983,0.28318241903592506
2,A549,9,4,10,OSI,0.5200667654273202,0.197549633140847
3,A549,9,4,10,OSI,0.6039611099617814,0.2814439776753082
1,A549,9,4,11,OSI,0.6562154271812173,0.33369829489474406
2,A549,9,4,11,OSI,0.8100792500985854,0.4875621178121122
1,A549,9,4,12,OSI,0.8530641267348434,0.5305469944483703
1,A549,9,4,13,OSI,0.2905958378926926,-0.03192129439378061
2,A549,9,4,13,OSI,0.3855351297802903,0.06301799749381709
1,A549,9,4,14,OSI,0.6470960263593579,0.3245788940728847
2,A549,9,4,14,OSI,0.5659834239638938,0.24346629167742057
3,A549,9,4,14,OSI,0.5758637908340996,0.25334665854762634
4,A549,9,4,14,OSI,0.47193430753475185,0.14941717524827863
5,A549,9,4,14,OSI,0.4809225652516339,0.1584054329651607
1,A549,9,4,15,OSI,0.16509486005725796,-0.15742227222921526
2,A549,9,4,15,OSI,0.41412495302228985,0.09160782073581664
3,A549,9,4,15,OSI,0.260710142516469,-0.061806989770004206
4,A549,9,4,15,OSI,0.35142958726975715,0.02891245498328393
1,A549,9,4,16,OSI,0.37165952780813377,0.049142395521660553
2,A549,9,4,16,OSI,0.6167485471450027,0.2942314148585295
3,A549,9,4,16,OSI,0.788522794146077,0.46600566185960374
1,A549,9,4,17,OSI,0.8791412649598623,0.5566241326733892
2,A549,9,4,17,OSI,0.7751765862698187,0.45265945398334545
3,A549,9,4,17,OSI,0.13375945403818815,-0.18875767824828507
1,A549,9,4,18,OSI,0.2970681807059767,-0.025448951580496537
2,A549,9,4,18,OSI,0.4348142936089966,0.11229716132252338
3,A549,9,4,18,OSI,0.2893830589169747,-0.03313407336949853
4,A549,9,4,18,OSI,0.31970762989515633,-0.002809502391316887
5,A549,9,4,18,OSI,0.34977155671107135,0.027254424424598134
1,A549,9,4,19,OSI,0.7376002406992181,0.4150831084127449
2,A549,9,4,19,OSI,0.6388066505361178,0.31628951824964463
3,A549,9,4,19,OSI,0.6547022443171866,0.3321851120307134
4,A549,9,4,19,OSI,0.717915937673075,0.3953988053866018
5,A549,9,4,19,OSI,0.6129677798764869,0.29045064759001366
1,A549,9,4,2,OSI,0.8399084923417292,0.517391360055256
2,A549,9,4,2,OSI,0.5479558017674118,0.22543866948093855
3,A549,9,4,2,OSI,0.7012994495833261,0.3787823172968529
1,A549,9,4,20,OSI,0.44096493963610833,0.11844780734963511
2,A549,9,4,20,OSI,0.5106162054340596,0.1880990731475864
3,A549,9,4,20,OSI,0.6162705183843376,0.29375338609786433
4,A549,9,4,20,OSI,0.6115433095574269,0.28902617727095364
1,A549,9,4,3,OSI,0.6126441834266516,0.2901270511401784
2,A549,9,4,3,OSI,0.46777307773881144,0.14525594545233822
3,A549,9,4,3,OSI,0.1593055596663892,-0.163211572620084
4,A549,9,4,3,OSI,0.36508251898199084,0.042565386695517626
5,A549,9,4,3,OSI,0.5717318672093719,0.24921473492289864
6,A549,9,4,3,OSI,0.49386705703298694,0.17134992474651373
7,A549,9,4,3,OSI,0.5029378526553571,0.18042072036888385
1,A549,9,4,4,OSI,0.670875982084983,0.3483588497985098
2,A549,9,4,4,OSI,0.706588785615011,0.3840716533285378
3,A549,9,4,4,OSI,0.4478752499494451,0.1253581176629719
1,A549,9,4,5,OSI,0.4634775919607714,0.14096045967429816
2,A549,9,4,5,OSI,0.5804394281361877,0.25792229584971443
3,A549,9,4,5,OSI,0.7220155980373477,0.3994984657508745
