ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
2,A549,20,2,18,VIN,0.7376371946985352,0.49007919111099774
3,A549,20,2,18,VIN,0.8507179572225182,0.6031599536349808
4,A549,20,2,18,VIN,0.8211618228370889,0.5736038192495515
5,A549,20,2,18,VIN,0.5428989210014534,0.295340917413916
6,A549,20,2,18,VIN,0.5661243787459844,0.318566375158447
7,A549,20,2,18,VIN,0.801159504938093,0.5536015013505555
8,A549,20,2,18,VIN,0.3421882383649553,0.09463023477741792
9,A549,20,2,18,VIN,0.9294008536790684,0.681842850091531
10,A549,20,2,18,VIN,0.26654658210944177,0.01898857852190436
1,A549,20,2,19,VIN,0.37769020175796675,0.13013219817042934
2,A549,20,2,19,VIN,0.4378204635283526,0.19026245994081517
3,A549,20,2,19,VIN,0.44189711609843485,0.19433911251089744
4,A549,20,2,19,VIN,0.49630129234804,0.24874328876050258
1,A549,20,2,2,VIN,0.4458039033114961,0.1982458997239587
2,A549,20,2,2,VIN,0.7251934612266779,0.4776354576391405
3,A549,20,2,2,VIN,0.28273594003321667,0.035177936445679264
1,A549,20,2,3,VIN,0.823410082023598,0.5758520784360606
2,A549,20,2,3,VIN,0.7948362939639966,0.5472782903764591
3,A549,20,2,3,VIN,0.5442004093523316,0.29664240576479417
1,A549,20,2,4,VIN,0.2819141929481949,0.03435618936065751
2,A549,20,2,4,VIN,0.4739863828286933,0.2264283792411559
3,A549,20,2,4,VIN,0.23406085783796832,-0.01349714574956909
4,A549,20,2,4,VIN,0.8180690760031093,0.5705110724155719
1,A549,20,2,5,VIN,0.8104559071234709,0.5628979035359335
2,A549,20,2,5,VIN,0.6520697561094586,0.4045117525219212
3,A549,20,2,5,VIN,0.6811535047823343,0.43359550119479684
4,A549,20,2,5,VIN,0.7549643531832629,0.5074063495957255
1,A549,20,2,6,VIN,0.7775455341139235,0.529987530526386
2,A549,20,2,6,VIN,0.8890770978055865,0.6415190942180491
3,A549,20,2,6,VIN,0.7208113333292773,0.47325332974173984
4,A549,20,2,6,VIN,0.49565085881132037,0.24809285522378297
5,A549,20,2,6,VIN,0.7479385113448114,0.5003805077572739
1,A549,20,2,7,VIN,0.8999868233738265,0.6524288197862891
2,A549,20,2,7,VIN,0.23330156011689435,-0.01425644347064306
1,A549,20,2,8,VIN,0.49799938180871167,0.2504413782211743
2,A549,20,2,8,VIN,0.4412366896662733,0.19367868607873587
3,A549,20,2,8,VIN,0.28678541512470107,0.039227411537163664
1,A549,20,2,9,VIN,0.5105605965890583,0.26300259300152085
2,A549,20,2,9,VIN,0.875684816441097,0.6281268128535595
3,A549,20,2,9,VIN,0.8290513049441885,0.5814933013566511
4,A549,20,2,9,VIN,0.8205495934317769,0.5729915898442395
1,A549,0,2,0,control,0.3186362904906683,0.07107828690313087
2,A549,0,2,0,control,0.5136636895014294,0.26610568591389194
1,A549,0,2,1,control,0.4792706216776571,0.2317126180901197
2,A549,0,2,1,control,0.13596382297857443,-0.11159418060896298
1,A549,0,2,10,control,0.2511611542018332,0.003603150614295808
2,A549,0,2,10,control,0.4066045595063471,0.1590465559188097
3,A549,0,2,10,control,0.19864275557260075,-0.04891524801493666
4,A549,0,2,10,control,0.12956567635688118,-0.11799232723065622
5,A549,0,2,10,control,0.15747870675067493,-0.09007929683686247
6,A549,0,2,10,control,0.1675333853842756,-0.08002461820326182
1,A549,0,2,11,control,0.6718191143851376,0.4242611107976002
1,A549,0,2,12,control,0.12753761762141036,-0.12002038596612705
2,A549,0,2,12,control,0.28729747589298743,0.039739472305450024
3,A549,0,2,12,control,0.1691804595428887,-0.0783775440446487
1,A549,0,2,13,control,0.0937008991083312,-0.1538571044792062
2,A549,0,2,13,control,0.18296763259700038,-0.06459037099053702
3,A549,0,2,13,control,0.1392551948391338,-0.10830280874840362
4,A549,0,2,13,control,0.20271598445084082,-0.04484201913669658
5,A549,0,2,13,control,0.5029545362497412,0.25539653266220375
6,A549,0,2,13,control,0.5497835360069985,0.30222553241946104
1,A549,0,2,14,control,0.7905544391199149,0.5429964355323774
2,A549,0,2,14,control,0.13005353899926214,-0.11750446458827526
3,A549,0,2,14,control,0.14507108438462973,-0.10248691920290767
4,A549,0,2,14,control,0.279932175936262,0.03237417234872461
5,A549,0,2,14,control,0.4063684506674442,0.1588104470799068
1,A549,0,2,15,control,0.19115446458295554,-0.056403539004581865
2,A549,0,2,15,control,0.21892729381258302,-0.028630709774954383
3,A549,0,2,15,control,0.0881695329170604,-0.159388470670477
4,A549,0,2,15,control,0.17944011118153583,-0.06811789240600158
