ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,20,6,0,VIN,0.09151290627217486,-0.15604509731536254
2,A549,20,6,0,VIN,0.9149619801853843,0.6674039765978469
3,A549,20,6,0,VIN,0.7455764553357839,0.49801845174824644
1,A549,20,6,1,VIN,0.4941348569885964,0.24657685340105898
2,A549,20,6,1,VIN,0.6723016700618195,0.4247436664742821
1,A549,20,6,10,VIN,0.9589466082901212,0.7113886047025838
2,A549,20,6,10,VIN,0.6648914178735265,0.417333414285989
1,A549,20,6,11,VIN,0.6347021003936278,0.3871440968060904
2,A549,20,6,11,VIN,0.17464595673050004,-0.07291204685703737
3,A549,20,6,11,VIN,0.3509523100630698,0.10339430647553241
1,A549,20,6,12,VIN,0.4496604073181006,0.20210240373056318
2,A549,20,6,12,VIN,0.3632320798592656,0.11567407627172818
3,A549,20,6,12,VIN,0.2503346846467941,0.002776681059256686
1,A549,20,6,13,VIN,0.3928177083279447,0.1452597047404073
2,A549,20,6,13,VIN,0.7336489018142086,0.4860908982266712
3,A549,20,6,13,VIN,0.8649844005227729,0.6174263969352355
4,A549,20,6,13,VIN,0.88131282834379,0.6337548247562526
1,A549,20,6,14,VIN,0.381583739817848,0.13402573623031058
2,A549,20,6,14,VIN,0.2882998148852851,0.040741811297747704
3,A549,20,6,14,VIN,0.8720617851272305,0.6245037815396931
1,A549,20,6,15,VIN,0.07934276889585205,-0.16821523469168537
2,A549,20,6,15,VIN,0.915795271798124,0.6682372682105866
3,A549,20,6,15,VIN,0.3741785584809162,0.12662055489337878
1,A549,20,6,16,VIN,0.8097878386037205,0.5622298350161831
2,A549,20,6,16,VIN,0.7557429343385902,0.5081849307510528
3,A549,20,6,16,VIN,0.5080739207453464,0.260515917157809
4,A549,20,6,16,VIN,0.5466030612606254,0.299045057673088
1,A549,20,6,17,VIN,0.7746184737835271,0.5270604701959897
