ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
4,A549,0,2,17,control,0.35066730189987033,0.028150169613397114
1,A549,0,2,18,control,0.476350420508277,0.15383328822180375
1,A549,0,2,19,control,0.1945325514126254,-0.12798458087384781
2,A549,0,2,19,control,0.3600118726807303,0.0374947403942571
3,A549,0,2,19,control,0.35381088464980226,0.03129375236332904
4,A549,0,2,19,control,0.43067667139569094,0.10815953910921772
1,A549,0,2,2,control,0.36375488724168603,0.04123775495521281
2,A549,0,2,2,control,0.20344583480283526,-0.11907129748363796
3,A549,0,2,2,control,0.25892511513509203,-0.06359201715138119
4,A549,0,2,2,control,0.49000614356402317,0.16748901127754995
5,A549,0,2,2,control,0.2429426866961565,-0.0795744455903167
1,A549,0,2,3,control,0.15565527951505626,-0.16686185277141696
2,A549,0,2,3,control,0.2134896701298163,-0.10902746215665693
3,A549,0,2,3,control,0.3358288833744604,0.013311751087987156
4,A549,0,2,3,control,0.2926348460610039,-0.029882286225469346
1,A549,0,2,4,control,0.24627773917186618,-0.07623939311460703
2,A549,0,2,4,control,0.1842158223493881,-0.13830130993708512
3,A549,0,2,4,control,0.4656567253430953,0.1431395930566221
1,A549,0,2,5,control,0.4166337466614841,0.0941166143750109
2,A549,0,2,5,control,0.4175519789285381,0.09503484664206491
1,A549,0,2,6,control,0.26277698644609926,-0.05974014584037396
1,A549,0,2,7,control,0.26405492014394494,-0.05846221214252828
2,A549,0,2,7,control,0.5374472620514658,0.21493012976499254
1,A549,0,2,8,control,0.2887273641046241,-0.033789768181849145
2,A549,0,2,8,control,0.5872850091081336,0.2647678768216604
1,A549,0,2,9,control,0.2467378693997396,-0.07577926288673362
2,A549,0,2,9,control,0.8400606723419763,0.5175435400555031
3,A549,0,2,9,control,0.1844666353840658,-0.13805049690240742
