Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Rc,Ed,cell_Ed
MCF7,2.0,A133,0,1,60.0,0.0,0.0,0.0
MCF7,2.0,A133,0,1,60.0,0.01,,0.07974439114332199
MCF7,2.0,A133,0,1,60.0,0.02,0.07100684195756912,0.08137115091085434
MCF7,2.0,A133,0,1,60.0,0.03,0.07779308408498764,0.08328432589769363
MCF7,2.0,A133,0,1,60.0,0.04,0.08018643409013748,0.08350373059511185
MCF7,2.0,A133,0,1,60.0,0.05,0.08172620832920074,0.08289257436990738
MCF7,2.0,A133,0,1,60.0,0.06,0.08364015072584152,0.08302970230579376
MCF7,2.0,A133,0,1,60.0,0.07,0.08599751442670822,0.08473362028598785
MCF7,2.0,A133,0,1,60.0,0.08,0.08936059474945068,0.08845891803503036
MCF7,2.0,A133,0,1,60.0,0.09,0.09579665958881378,0.10008648037910461
MCF7,2.0,A133,0,1,60.0,0.1,0.10644235461950302,0.11345595866441727
MCF7,2.0,A133,0,1,60.0,0.11,0.11003534495830536,0.12037792801856995
MCF7,2.0,A133,0,1,60.0,0.12,0.11029977351427078,0.1211966946721077
MCF7,2.0,A133,0,1,60.0,0.13,0.11445984244346619,0.1253209412097931
MCF7,2.0,A133,0,1,60.0,0.14,0.11326076835393906,0.1260537952184677
MCF7,2.0,A133,0,1,60.0,0.15,0.11141259968280792,0.12790071964263916
MCF7,2.0,A133,0,1,60.0,0.16,0.11582303047180176,0.13012638688087463
MCF7,2.0,A133,0,1,60.0,0.17,0.11358120292425156,0.13213421404361725
MCF7,2.0,A133,0,1,60.0,0.18,0.1157132238149643,0.132512167096138
MCF7,2.0,A133,0,1,60.0,0.19,0.11376267671585083,0.13583731651306152
MCF7,2.0,A133,0,1,60.0,0.2,0.11610107123851776,0.13762354850769043
MCF7,2.0,A133,0,1,60.0,0.21,0.10974988341331482,0.14158497750759125
MCF7,2.0,A133,0,1,60.0,0.22,0.11513152718544006,0.13956284523010254
MCF7,2.0,A133,0,1,60.0,0.23,0.10678565502166748,0.142715722322464
MCF7,2.0,A133,0,1,60.0,0.24,0.10884249210357666,0.1390942931175232
MCF7,2.0,A133,0,1,60.0,0.25,0.10071692615747452,0.14087563753128052
MCF7,2.0,A133,0,1,60.0,0.26,0.10830617696046829,0.13908651471138
MCF7,2.0,A133,0,1,60.0,0.27,0.10038825124502182,0.13841034471988678
