Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_region_mean_value,Cell_Ed_region_variance,Cell_Ed_region_max_value,Cell_Ed_region_min_value,Cell_Ed_region_top_50_value,Cell_Ed_region_top_25_value,Cell_Ed_not_region_mean_value,Cell_Ed_not_region_variance,Cell_Ed_not_region_max_value,Cell_Ed_not_region_min_value,Cell_Ed_not_region_top_50_value,Cell_Ed_not_region_top_25_value,Fp_mito_ratio_mean,Fp_non_mito_ratio_mean,Fp_whole_cell_ratio_mean,Fp_mito_pixels,Fp_non_mito_pixels,Fp_whole_cell_pixels
MCF7,2.0,A133,10,1,60.0,6,0.05673978477716446,0.00010732315422501415,0.05673978477716446,0.00010732315422501415,0.05545131117105484,0.00010098027996718884,0.09044820070266724,0.019648578017950058,0.06355626,0.06846502,0.05728652700781822,0.00010901125642703846,0.10663308203220367,0.023226158693432808,0.06550055,0.07116654,0.16939205,0.1660356,0.16703555,10277,24219,34496
MCF7,2.0,A133,10,1,60.0,7,0.04793473705649376,0.000114199094241485,0.04793473705649376,0.000114199094241485,0.05132638290524483,8.744293882045895e-05,0.08815015107393265,0.014794966205954552,0.058600746,0.06274094,0.047290291637182236,0.00011668197839753702,0.10936809331178665,0.006261112168431282,0.055468865,0.06133236,0.24056244,0.16893701,0.18037347,6466,34030,40496
MCF7,2.0,A133,10,1,60.0,8,0.044795356690883636,0.000246434414293617,0.04500339552760124,0.00023821623472031206,0.04476703703403473,0.00027643487555906177,0.10802052915096283,0.0,0.05811402,0.06734023,0.04479910060763359,0.00024246567045338452,0.14140628278255463,0.0,0.056260616,0.064496376,0.094603345,0.11377506,0.111535236,5105,38591,43696
MCF7,2.0,A133,10,1,60.0,9,0.058503273874521255,0.00028245500288903713,0.058503273874521255,0.00028245500288903713,0.06149640306830406,0.00023708266962785274,0.1237262710928917,0.00426970049738884,0.07343799,0.081428826,0.0571102611720562,0.0002974614908453077,0.13174952566623688,0.0034092457499355078,0.07027431,0.07984913,0.35091567,0.28108793,0.3032648,11596,24916,36512
MCF7,2.0,A133,10,1,60.0,10,0.04486312344670296,0.00017026108980644494,0.04492867365479469,0.00016756486729718745,0.048773445188999176,0.00020816983305849135,0.09566348046064377,0.0,0.05989781,0.06592957,0.0442124605178833,0.00016098558262456208,0.12271860986948013,0.0,0.05396175,0.06024114,0.16289288,0.13695502,0.14065525,8507,51125,59632
MCF7,2.0,A133,2,1,60.0,1,0.0402098223567009,0.000164318029419519,0.040211763232946396,0.00016424758359789848,0.042263906449079514,0.00027046812465414405,0.09920831769704819,0.0020998078398406506,0.056220103,0.06297831,0.03983994945883751,0.00014430753071792424,0.09865530580282211,0.0,0.048913166,0.05550225,0.08826159,0.1019476,0.09987319,3126,17498,20624
MCF7,2.0,A133,2,1,60.0,2,0.04214823618531227,7.846568041713908e-05,0.042150165885686874,7.838781311875209e-05,0.043681107461452484,5.191117088543251e-05,0.07179764658212662,0.016617845743894577,0.04943125,0.052860714,0.041372962296009064,9.010658686747774e-05,0.08213772624731064,0.0,0.04884026,0.05349196,0.18601218,0.19536024,0.19222035,7325,14483,21808
MCF7,2.0,A133,2,1,60.0,3,0.04418117552995682,0.00017878407379612327,0.044267766177654266,0.00017530136392451823,0.04384752735495567,0.0003173296863678843,0.09213820099830627,0.0,0.05822308,0.06505976,0.04420842230319977,0.00016746082110330462,0.13227947056293488,0.0,0.053790156,0.06017,0.090899564,0.10224183,0.101385556,1621,19851,21472
MCF7,2.0,A133,2,1,60.0,4,0.045406777411699295,0.00018398828979115933,0.04561229050159454,0.00017544720321893692,0.048339102417230606,9.607740503270179e-05,0.08501467108726501,0.006085677538067102,0.056015715,0.06010092,0.04415668919682503,0.00021623751672450453,0.09779491275548935,0.0,0.055740777,0.06222662,0.36341083,0.2782855,0.3037288,9818,23030,32848
MCF7,2.0,A133,3,1,60.0,1,0.08675678074359894,0.0020167725160717964,0.09866656363010406,0.001118532265536487,0.08729972690343857,0.0006342761917039752,0.1994486004114151,0.011327333748340607,0.107275434,0.12026278,0.08663273602724075,0.002332538366317749,0.31802329421043396,0.0,0.12374829,0.14293903,0.881742,0.76356506,0.7855429,7192,31480,38672
MCF7,2.0,A133,3,1,60.0,2,0.054408565163612366,0.00031768594635650516,0.054458796977996826,0.000315243611112237,0.053911589086055756,0.00023754169524181634,0.09629495441913605,0.010997109115123749,0.06637267,0.07262936,0.05446682497859001,0.00032704908517189324,0.15704025328159332,0.0,0.0685655,0.07806377,0.26478764,0.27930292,0.27777982,3754,32022,35776
MCF7,2.0,A133,3,1,60.0,3,0.06331551820039749,0.0005631700623780489,0.0635371059179306,0.000551061995793134,0.06412269175052643,0.0005945235607214272,0.15334919095039368,0.0,0.083388336,0.09447087,0.0631214827299118,0.0005554386880248785,0.1788848638534546,0.0,0.08167367,0.09387763,0.67187625,0.5497339,0.5734053,6335,26353,32688
MCF7,2.0,A133,4,1,60.0,1,0.09273739904165268,0.0011360003845766187,0.09347720444202423,0.0010759076103568077,0.09181061387062073,0.000622499268501997,0.19489112496376038,0.0,0.11163539,0.123537794,0.09311619400978088,0.0013453863793984056,0.37114790081977844,0.0,0.122010864,0.13931216,0.48037255,0.5668324,0.5441397,14824,41656,56480
MCF7,2.0,A133,4,1,60.0,2,0.07957111299037933,0.0005225088680163026,0.08070298284292221,0.0004385953943710774,0.08131615817546844,0.0002713471476454288,0.1477792114019394,0.0,0.09446384,0.10254153,0.0791957899928093,0.000575730693526566,0.19164824485778809,0.0,0.09743865,0.10786956,0.2662159,0.34420356,0.3303995,8077,37555,45632
MCF7,2.0,A133,4,1,60.0,3,0.0851898044347763,0.0004743053868878633,0.08527866750955582,0.0004672220384236425,0.08670356124639511,0.0002273995487485081,0.15075983107089996,0.028344642370939255,0.098685816,0.10600889,0.08454252779483795,0.0005784807144664228,0.2183486819267273,0.0,0.10333339,0.114894435,0.26194152,0.37360546,0.34016007,13797,32267,46064
MCF7,2.0,A133,4,1,60.0,4,0.09512132406234741,0.001182439737021923,0.09888284653425217,0.0008572470396757126,0.09794439375400543,0.0004400088218972087,0.17690731585025787,0.0042232973501086235,0.11450389,0.12430055,0.09426611661911011,0.0014042005641385913,0.2914447784423828,0.0,0.1224064,0.13851699,0.3159387,0.40744403,0.386169,12994,42894,55888
MCF7,2.0,A133,5,1,60.0,1,0.045642316341400146,6.028849384165369e-05,0.045642316341400146,6.028849384165369e-05,0.050103090703487396,4.788487058249302e-05,0.07653363794088364,0.02448657713830471,0.05566187,0.05891932,0.04469186067581177,5.778820923296735e-05,0.1146811842918396,0.009503746405243874,0.05061798,0.054247227,0.23669714,0.16666268,0.17890297,8241,38911,47152
MCF7,2.0,A133,5,1,60.0,2,0.045132096856832504,7.710159115958959e-05,0.04518429934978485,7.48319725971669e-05,0.04962322115898132,3.88192456739489e-05,0.07430749386548996,0.023532679304480553,0.054635677,0.05773478,0.044654253870248795,7.880033808760345e-05,0.13580405712127686,0.0,0.05108535,0.05527975,0.17092197,0.12796356,0.13209467,7824,73536,81360
MCF7,2.0,A133,5,1,60.0,3,0.04551136866211891,0.00022779674327466637,0.04795264080166817,0.0001229504559887573,0.03466920927166939,0.0005254833959043026,0.09545721858739853,0.0,0.05243196,0.05716236,0.04727024585008621,0.00015734082262497395,0.0995241105556488,0.0,0.056602404,0.06192748,0.14065503,0.14295399,0.14295179,38,39738,39776
MCF7,2.0,A133,5,1,60.0,4,0.048859853297472,9.634428715799004e-05,0.04892352968454361,9.335472714155912e-05,0.05205376446247101,0.00011279212048975751,0.09623761475086212,0.0,0.060028292,0.06463286,0.048082511872053146,8.92541283974424e-05,0.09985454380512238,0.016478324308991432,0.05551891,0.059976786,0.2288914,0.17059746,0.18200806,6768,27808,34576
MCF7,2.0,A133,5,1,60.0,5,0.059558577835559845,0.000343031162628904,0.05961880460381508,0.00033978724968619645,0.05889806151390076,0.00015654583694413304,0.09833832085132599,0.013095968402922153,0.068897925,0.07425194,0.05979839339852333,0.00041052381857298315,0.13383623957633972,0.0,0.07602004,0.08681409,0.6467171,0.5656738,0.58726096,3955,10893,14848
MCF7,2.0,A133,5,1,60.0,6,0.07450667023658752,0.0005398390931077302,0.07450667023658752,0.0005398390931077302,0.07253221422433853,0.00040006640483625233,0.13369499146938324,0.008381729945540428,0.088571705,0.09745422,0.075180284678936,0.0005857405485585332,0.16337436437606812,0.010110948234796524,0.09518121,0.10633173,0.98615485,0.7825455,0.8343393,3602,10558,14160
MCF7,2.0,A133,6,1,60.0,1,0.04133319854736328,5.0013888539979234e-05,0.04133319854736328,5.0013888539979234e-05,0.04694671928882599,2.6641760996426456e-05,0.06381381303071976,0.02092641592025757,0.050980892,0.053182807,0.04041437432169914,4.783737313118763e-05,0.06988522410392761,0.012642432935535908,0.045865323,0.049325217,0.15304728,0.10303982,0.11007375,5399,32985,38384
MCF7,2.0,A133,6,1,60.0,2,0.03873065114021301,8.002180402399972e-05,0.03873065114021301,8.002180402399972e-05,0.04090411961078644,5.727230745833367e-05,0.0687306821346283,0.010338001884520054,0.046636507,0.04978283,0.03806045651435852,8.513087959727272e-05,0.07725144177675247,0.0044570378959178925,0.04530314,0.04992252,0.09451323,0.08418021,0.0866155,7176,23272,30448
MCF7,2.0,A133,6,1,60.0,3,0.04476451873779297,7.739874126855284e-05,0.04476451873779297,7.739874126855284e-05,0.048536717891693115,7.337704300880432e-05,0.07399468868970871,0.0036843442358076572,0.055281583,0.058843162,0.04389400780200958,7.428531534969807e-05,0.08766670525074005,0.004830976016819477,0.050548825,0.05505346,0.12745382,0.10088128,0.10586363,6315,27365,33680
