Metadata_treatment,Metadata_hour,Metadata_concentration,S_BF,S_Nulcei,S_Mit,S,E
control,2,0,0,,,0,0
control,4,0,0,,,0,0
control,6,0,0,,,0,0
A1331852,2,60,0.19287990821940135,,,0.19287990821940135,0.0351
A1331852,4,60,0.23420359805653382,,,0.23420359805653382,0.263
A1331852,6,60,0.3273989889625432,,,0.3273989889625432,0.2349
ABT-199,2,70,0.14810985168198837,,,0.14810985168198837,0.7016
ABT-199,4,70,0.18299207265196724,,,0.18299207265196724,0.7719
ABT-199,6,70,0.23990847361005263,,,0.23990847361005263,1.1345
