Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff
MCF7,2,A199,0,1,90,1,0.1341821104288101,0.5346977,0.87996763,0.9539938,False,0.12821336319198237,0.0
MCF7,2,A199,0,1,90,2,0.1443980932235717,0.42585003,0.86397326,0.953362,False,0.1099083408091663,0.0
MCF7,2,A199,0,1,90,3,0.1264649778604507,0.49387485,0.98001647,0.99379855,False,0.12166075678963333,0.0
MCF7,2,A199,0,1,90,4,0.1683628261089325,0.83056456,0.98020536,0.9962021,False,0.16696912240014086,0.0
MCF7,2,A199,0,1,90,5,0.148761361837387,0.55455834,0.9539732,0.9872894,False,0.13127681597333943,0.0
MCF7,2,A199,1,1,90,1,0.168123111128807,0.8383716,0.83270884,0.95964074,False,0.16782284321624638,0.0
MCF7,2,A199,1,1,90,2,0.1325301676988601,0.45321903,0.6693224,0.9332206,False,0.11476907444571517,0.0
MCF7,2,A199,1,1,90,3,0.1977265924215316,1.4545445,0.91945857,0.9676833,False,0.21807401576952465,0.0
MCF7,2,A199,1,1,90,4,0.161514014005661,0.73320454,0.81945574,0.97403544,False,0.15567653124195024,0.0
MCF7,2,A199,1,1,90,5,0.1873950362205505,0.5412025,0.9037343,0.97328115,False,0.12922540678463731,0.0
MCF7,2,A199,1,1,90,6,0.1774140298366546,0.5837085,0.9401012,0.9853291,False,0.1356340058792385,0.0
MCF7,2,A199,10,1,90,1,,0.3056261,0.87988704,0.971864,False,0.08614288945357328,0.0
MCF7,2,A199,10,1,90,2,,0.40411603,0.93005073,0.9791722,False,0.10591339737072869,0.0
MCF7,2,A199,10,1,90,3,0.1079589948058128,0.5301945,0.85301435,0.95209265,False,0.12750769657059938,0.0
MCF7,2,A199,11,1,90,1,0.147919163107872,0.6594232,0.9601265,0.9863175,False,0.14623619677005842,0.0
MCF7,2,A199,11,1,90,2,0.2453149110078811,1.7503949,0.899954,0.96730965,False,0.23420103171366413,0.0
MCF7,2,A199,11,1,90,3,,0.32202765,0.9493989,0.9910222,False,0.08963971003178338,0.0
MCF7,2,A199,12,1,90,1,,0.3310634,0.696348,0.88638943,False,0.09152932249508175,0.0
MCF7,2,A199,12,1,90,2,0.122702956199646,0.5603016,0.6947511,0.8692505,False,0.13214816212455335,0.0
MCF7,2,A199,12,1,90,3,0.1532762348651886,0.5638463,0.9823343,0.99377775,False,0.1326827568668353,0.0
MCF7,2,A199,12,1,90,4,0.134969875216484,0.49959245,0.8953485,0.96680427,False,0.12259999148435297,0.0
MCF7,2,A199,12,1,90,5,0.1500442028045654,0.5454746,0.98410434,0.99576855,False,0.12988544282772424,0.0
MCF7,2,A199,12,1,90,6,0.1402987986803054,0.5141324,0.96537673,0.992369,False,0.12495652507006652,0.0
