Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean_value,Ed_variance,Ed_not_zero_mean_value,Ed_not_zero_variance,Ed_region_mean,Ed_region_variance,Ed_region_max_value,Ed_region_min_value,Ed_region_top_50_value,Ed_region_top_25_value,Ed_not_region_mean_value,Ed_not_region_variance,Ed_not_region_max_value,Ed_not_region_min_value,Ed_not_region_top_50_value,Ed_not_region_top_25_value,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
MCF7,2,A199,0,1,90,1,0.13163934648036957,0.004158570896834135,0.14102987945079803,0.003130879020318389,0.13418211042881012,0.0009181934292428195,0.24893756210803986,0.014992074109613895,0.15795205533504486,0.17194323241710663,0.13127174973487854,0.004625943023711443,0.5009496808052063,0,0.18362918,0.21596324,1.0602034,1.2226042,1.1934708,6323,28924,35247,0.9477703,0.87996763,0.9539938,0.9927322,0.9850676,0.5974591,1.6953367,0,0.044241685,0.5346977,0.81512177,0.3654887,0.003689787,0.6111787,1.6953367,0,0.052057028
MCF7,2,A199,0,1,90,2,0.13575023412704468,0.0023245736956596375,0.1367330402135849,0.0022070230916142464,0.14439809322357178,0.0007069554994814098,0.21174094080924988,0.07091236859560013,0.1655816286802292,0.17848141491413116,0.13567528128623962,0.0023379395715892315,0.45272547006607056,0,0.17149195,0.1976984,1.0024854,1.1024421,1.0688074,10299,20308,30607,0.92329735,0.86397326,0.953362,0.99095786,0.98728347,0.4780441,1.4174168,0,0.013159699,0.42585003,0.6364187,0.2550558,0.002676295,0.5045125,1.4174168,0,0.016393922
MCF7,2,A199,0,1,90,3,0.12697383761405945,0.0005795303732156754,0.12697383761405945,0.0005795303732156754,0.12646497786045074,0.00033403816632926464,0.17527048289775848,0.06131477653980255,0.1410263478755951,0.14786803722381592,0.1270601898431778,0.0006211325526237488,0.22233998775482178,0.041683223098516464,0.14726537,0.15818375,0.95027983,0.87341493,0.9057067,5256,7255,12511,0.9502628,0.98001647,0.99379855,0.998092,0.9973363,0.48758325,0.64887595,0.36692834,0.001506236,0.49387485,0.6274134,0.39401048,0.000934938,0.48302582,0.64887595,0.36692834,0.001870621
MCF7,2,A199,0,1,90,4,0.15916568040847778,0.0011333855800330639,0.15916568040847778,0.0011333855800330639,0.1683628261089325,0.00043945052311755717,0.22936515510082245,0.09680071473121643,0.18473590910434723,0.1926923543214798,0.15311479568481445,0.0014976704260334373,0.2897345721721649,0.056817688047885895,0.18462552,0.20606287,0.9566741,0.8310767,0.88092136,5562,8453,14015,0.9804035,0.98020536,0.9962021,0.9988704,0.9981087,0.77943456,1.0488408,0.5121836,0.006375841,0.83056456,0.993125,0.66764575,0.001952045,0.7457954,1.0488408,0.5121836,0.006434759
MCF7,2,A199,0,1,90,5,0.16014567017555237,0.00125164317432791,0.16014567017555237,0.00125164317432791,0.14876136183738708,0.0004609068564604968,0.2279554009437561,0.07366835325956345,0.16582804918289185,0.17570967972278595,0.16381928324699402,0.001451487885788083,0.3699578642845154,0.013849833980202675,0.19373521,0.21282847,1.0925099,1.4233775,1.3368868,8921,25206,34127,0.98822135,0.9539732,0.9872894,0.9968712,0.99277973,0.6599732,1.3099681,0.3872815,0.014005714,0.55455834,0.69980913,0.41649485,0.001455323,0.6972806,1.3099681,0.3872815,0.013122831
MCF7,2,A199,1,1,90,1,0.1603652834892273,0.008453749120235443,0.1890038102865219,0.004550653044134378,0.16812311112880707,0.0010578607907518744,0.29798582196235657,0.02608509548008442,0.19382335245609283,0.2099488228559494,0.15730617940425873,0.011337019503116608,0.5096749663352966,0,0.2437521,0.28800368,1.0376962,1.0543274,1.0496237,14181,35962,50143,0.9681374,0.83270884,0.95964074,0.9939085,0.98757875,0.9749959,3.4698484,0,0.30110857,0.8383716,1.2646646,0.5494596,0.008470641,1.0288697,3.4698484,0,0.40623927
MCF7,2,A199,1,1,90,2,0.14524832367897034,0.0029173782095313072,0.1460588574409485,0.002815275453031063,0.13253016769886017,0.0006611055578105152,0.2504356801509857,0.06171648949384689,0.15306901931762695,0.16577358543872833,0.14575491845607758,0.0030005492735654116,0.5026029348373413,0,0.18588902,0.21759778,0.55837935,0.8194763,0.7369785,9964,21571,31535,0.96974415,0.6693224,0.9332206,0.9881664,0.97613966,0.63262004,2.4250314,0,0.050426055,0.45321903,1.0226,0.27580023,0.003725296,0.7154844,2.4250314,0,0.050264448
MCF7,2,A199,1,1,90,3,0.19652561843395233,0.002081723650917411,0.1965746283531189,0.0020726078655570745,0.19772659242153168,0.0010200683027505875,0.3230888545513153,0.0741916075348854,0.22318264842033386,0.23790650069713593,0.19589725136756897,0.002636064775288105,0.4875788986682892,0,0.2351884,0.2615292,0.8894759,0.7442403,0.7941308,8266,15797,24063,0.8011861,0.91945857,0.9676833,0.99066544,0.986307,1.5384762,3.5155602,0,0.05577672,1.4545445,2.5737112,0.9059934,0.02178556,1.5823917,3.5155602,0,0.06794747
MCF7,2,A199,1,1,90,4,0.16086913645267487,0.0004815364954993129,0.16086913645267487,0.0004815364954993129,0.161514014005661,0.0003638837661128491,0.22689387202262878,0.07942382991313934,0.17703358829021454,0.18504352867603302,0.16044433414936066,0.0005585855105891824,0.262909859418869,0.06277328729629517,0.17932439,0.18947847,1.1080667,1.1146766,1.1120516,16165,24538,40703,0.9711995,0.81945574,0.97403544,0.9935577,0.99320024,0.7471617,0.96748793,0.57056737,0.002686612,0.73320454,0.901702,0.57658297,0.002982636,0.75635594,0.96748793,0.57056737,0.002278747
MCF7,2,A199,1,1,90,5,0.17162153124809265,0.0031215741764754057,0.17180496454238892,0.0030933970119804144,0.18739503622055054,0.0016459842445328832,0.3255786895751953,0.02717180736362934,0.21903569996356964,0.23674769699573517,0.16744516789913177,0.0034289497416466475,0.4665103852748871,0,0.21233301,0.24468504,0.95639104,0.87784994,0.900355,9930,24725,34655,0.908366,0.9037343,0.97328115,0.99102664,0.9881697,0.5358282,1.4786805,0,0.007721975,0.5412025,0.79780096,0.33313805,0.00357511,0.5336698,1.4786805,0,0.009371104
