ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
1,0,130,4,VIN,0.6508165647606987,False,0.3281316408586504,0.2733164131641388,3.150325298309326,0.8859900236129761,0.4403574,VIN,0.3119079495582822,0.0258317542409491,0.0258317542409491,0.05739089151584933,0.14967829381183279,0.11400997638702393,0.13184413509942836
2,0,130,4,VIN,0.4513461153380825,False,0.1286611914360342,0.3300181329250335,2.6086041927337646,0.4796549379825592,0.41976213,control,0.3216457324390947,0.0,0.0,0.3550711957382583,0.214686155668955,0.5203450620174408,0.3675156088431979
3,0,130,4,VIN,0.3828731672781837,False,0.0601882433761354,0.3583967685699463,2.958801031112671,0.8843238353729248,0.39637202,control,0.3325530548783753,0.0,0.0,0.5040571687884209,0.28750167425696815,0.1156761646270752,0.20158891944202167
1,1,130,4,VIN,0.6364395868093407,False,0.3137546629072923,0.4501391053199768,3.373952388763428,0.3976773023605346,0.32348934,control,0.3432209218515569,0.0,0.0,0.9856984105177148,0.3587186269238038,0.6023226976394653,0.4805206622816346
2,1,130,4,VIN,0.5392584847530414,False,0.216573560850993,0.3209116458892822,4.123610973358154,0.4768849015235901,0.35496768,VIN,0.330715629570819,0.0273893784330042,0.0273893784330042,0.3072627369713793,0.27523532040328363,0.5231150984764099,0.39917520943984675
3,1,130,4,VIN,0.6004925048768152,True,0.2778075809747668,0.3169210851192474,2.806729316711426,0.4231473803520202,0.60531485,control,0.3280631036287303,0.0,0.0,0.28631255505359465,0.2575274866873046,0.5768526196479797,0.4171900531676421
4,1,130,4,VIN,0.2917463076109109,True,-0.0309386162911373,,0.0824963077902793,0.1887717396020889,0.4011814,,,,,,,0.8112282603979111,
5,1,130,4,VIN,0.6843033952834021,False,0.3616184713813538,0.1145602762699127,1.5438777208328247,0.7543140649795532,0.67111677,VIN,0.2493847248582363,0.0206536734094395,0.0206536734094395,0.3760683990864841,0.0,0.24568593502044678,0.12284296751022339
6,1,130,4,VIN,0.633694462899862,False,0.3110095389978136,0.1863328218460083,1.9225608110427856,0.4495056271553039,0.53138685,VIN,0.2703147285404089,0.0223870653032521,0.0223870653032521,0.0,0.0,0.550494372844696,0.275247186422348
1,10,130,4,VIN,0.5812537247340173,False,0.2585688008319689,0.1749255806207656,1.3703203201293943,0.5654270648956299,0.4884482,VIN,0.2375572224162967,0.0196741371815329,0.0196741371815329,0.05915451641386005,0.0,0.4345729351043701,0.21728646755218506
2,10,130,4,VIN,0.6149917549984949,False,0.2923068310964465,0.1378648281097412,0.949695348739624,0.399504005908966,0.6948281,VIN,0.2001569782629495,0.0165767043751906,0.0165767043751906,0.2537210327155706,0.19635309683261148,0.6004959940910339,0.3984245454618227
3,10,130,4,VIN,0.6671912314766292,False,0.3445063075745808,0.1505467295646667,1.0548324584960938,0.94294536113739,0.78990936,VIN,0.2109406346667286,0.0174697908208415,0.0174697908208415,0.18714188310352617,0.12436315267470169,0.057054638862609974,0.09070889576865583
4,10,130,4,VIN,0.6912001399615827,False,0.3685152160595343,0.1704866290092468,1.12086284160614,0.8692640066146851,0.92884797,VIN,0.2171666186223711,0.0179854175872577,0.0179854175872577,0.08245872079633076,0.08279949184277151,0.13073599338531494,0.10676774261404323
1,11,130,4,VIN,0.6023302601564119,True,0.2796453362543635,0.3183189034461975,2.492255449295044,-0.053270261734724,0.44074172,control,0.3175377810175176,0.0,0.0,0.2936510094526647,0.1872621371014583,0.946729738265276,0.5669959376833671
2,11,130,4,VIN,0.3756255556399123,False,0.052940631737864,0.24978107213974,2.848950147628784,0.9098355770111084,0.6327592,VIN,0.3041555491205263,0.0251897119231143,0.0251897119231143,0.0,0.09792452368909195,0.0901644229888916,0.09404447333899177
3,11,130,4,VIN,0.710337241290738,False,0.3876523173886897,0.2008837163448333,1.9987972974777224,0.846980094909668,0.56127626,VIN,0.2738891469295028,0.0226830933381649,0.0226830933381649,0.0,0.0,0.15301990509033203,0.07650995254516602
4,11,130,4,VIN,0.5834304507270115,True,0.2607455268249631,0.1157793626189231,0.4535411298274994,0.6408063769340515,0.6193391,VIN,0.1282160912362142,0.0106186667035561,0.0106186667035561,0.3696682758313676,0.6766188105946156,0.3591936230659485,0.517906216830282
5,11,130,4,VIN,0.4045935536391146,True,0.0819086297370662,0.1321221441030502,0.8091122508049011,0.1684363186359405,0.7238487,VIN,0.1837792364756943,0.0152203240666116,0.0152203240666116,0.28386974653542757,0.30568824926606447,0.8315636813640594,0.5686259653150619
