ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
1,0,9,4,OSI,0.6303138499547818,False,0.3147548007071208,0.0801945403218269,0.8915978670120239,0.5577187538146973,0.20629293,OSI,0.049856961166767,0.1598674869412728,0.1598674869412728,0.5564862554582488,1.0,0.44228124618530273,0.7211406230926514
2,0,9,4,OSI,0.7183060977742292,False,0.4027470485265682,0.1749449521303177,4.117022037506104,0.2029410004615783,0.22930835,OSI,0.2302183702329314,0.1277748148840395,0.1277748148840395,0.05905281726115308,0.0,0.7970589995384216,0.3985294997692108
3,0,9,4,OSI,0.7113579450745963,True,0.3957988958269353,0.1382027119398117,3.995805740356445,0.0034996550530195,0.23253223,OSI,0.223440116893202,0.1324432402888617,0.1324432402888617,0.25194716480201595,0.040918633135738826,0.9965003449469805,0.5187094890413596
1,1,9,4,OSI,0.1076179050364845,True,-0.2079411442111764,,7.827252388000488,-0.6850305795669556,0.48067164,,,,,,,0.31496942043304443,
2,1,9,4,OSI,0.1248886606530562,True,-0.1906703885946047,0.1436371952295303,1.7181557416915894,-0.0150858685374259,0.27264547,OSI,0.0960769728835838,0.1851759509605242,0.1851759509605242,0.22341648450172052,0.8911743610366244,0.9849141314625741,0.9380442462495993
1,10,9,4,OSI,0.6805361324914767,True,0.3649770832438158,0.0870792791247367,0.7538478374481201,0.5283480882644653,0.5183815,OSI,0.0421541636065796,0.1490954809745799,0.1490954809745799,0.5203418289755188,1.0,0.47165191173553467,0.7358259558677673
2,10,9,4,OSI,0.627087694055526,False,0.3115286448078651,0.1250495910644531,0.5850393772125244,-0.2541953325271606,0.29138094,control,0.1642305310569703,0.0,0.0,0.32100018541870645,0.436192241488979,0.7458046674728394,0.5909984544809092
3,10,9,4,OSI,0.5797244951479378,False,0.2641654459002768,0.0979731008410453,0.3951314389705658,0.2718303799629211,0.5287674,control,0.1260187929626355,0.0,0.0,0.4631499805389935,0.6912876181020365,0.7281696200370789,0.7097286190695578
1,11,9,4,OSI,0.6499438653412186,False,0.3343848160935577,0.3990141153335571,4.966792583465576,0.0947382301092147,0.48612207,control,0.3703769386605582,0.0,0.0,0.7172955712969367,0.5400077982800199,0.9052617698907853,0.7226347840854026
2,11,9,4,OSI,0.7409507758665175,False,0.4253917266188565,0.1529930531978607,1.4551488161087036,-0.0499298647046089,0.29843614,OSI,0.0813699770948648,0.182347215484189,0.182347215484189,0.17429884471903806,0.9893558836961797,0.9500701352953911,0.9697130094957853
