ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
1,A549,62,5,4,0,GEF,0.5885133151259778,0.18680757102727424
2,A549,62,5,4,0,GEF,0.6172244352854379,0.21551869118673433
3,A549,62,5,4,0,GEF,0.6731649450053849,0.27145920090668135
4,A549,62,5,4,0,GEF,0.7826585784826283,0.38095283438392474
5,A549,62,5,4,0,GEF,0.5539918411928498,0.15228609709414626
1,A549,62,5,4,1,GEF,0.6467190825090301,0.24501333841032652
2,A549,62,5,4,1,GEF,0.6900421502760186,0.288336406177315
1,A549,62,5,4,10,GEF,0.597940070503868,0.19623432640516442
2,A549,62,5,4,10,GEF,0.47326363979451375,0.07155789569581017
3,A549,62,5,4,10,GEF,0.46697888449592595,0.06527314039722237
4,A549,62,5,4,10,GEF,0.6322879054024162,0.23058216130371262
1,A549,62,5,4,11,GEF,0.4533449507133363,0.05163920661463273
2,A549,62,5,4,11,GEF,0.41662264708784685,0.014916902989143277
3,A549,62,5,4,11,GEF,0.8356654927857438,0.4339597486870402
4,A549,62,5,4,11,GEF,0.39722800094409927,-0.004477743154604308
1,A549,62,5,4,12,GEF,0.5587884011187356,0.15708265702003205
2,A549,62,5,4,12,GEF,0.5846939588597376,0.18298821476103405
3,A549,62,5,4,12,GEF,0.3824507728641145,-0.01925497123458908
1,A549,62,5,4,13,GEF,0.543738197533049,0.1420324534343454
2,A549,62,5,4,13,GEF,0.38538660943194153,-0.016319134666762047
3,A549,62,5,4,13,GEF,0.5211031503819019,0.11939740628319834
4,A549,62,5,4,13,GEF,0.5172807763787922,0.11557503228008864
1,A549,62,5,4,14,GEF,0.5982685308402749,0.1965627867415713
2,A549,62,5,4,14,GEF,0.5392593099659693,0.1375535658672657
3,A549,62,5,4,14,GEF,0.7033975590650942,0.3016918149663906
4,A549,62,5,4,14,GEF,0.7015384228686908,0.29983267876998726
5,A549,62,5,4,14,GEF,0.7258296266577198,0.3241238825590162
1,A549,62,5,4,15,GEF,0.3909736776815884,-0.01073206641711516
2,A549,62,5,4,15,GEF,0.2980637766688502,-0.10364196742985338
3,A549,62,5,4,15,GEF,0.5204414545854567,0.11873571048675308
4,A549,62,5,4,15,GEF,0.6168833125286847,0.2151775684299811
5,A549,62,5,4,15,GEF,0.3422732556579625,-0.05943248844074106
6,A549,62,5,4,15,GEF,0.5437739953339669,0.1420682512352633
7,A549,62,5,4,15,GEF,0.5645877294895719,0.16288198539086834
1,A549,62,5,4,16,GEF,0.4271573308966562,0.02545158679795262
2,A549,62,5,4,16,GEF,0.5187099261194666,0.11700418202076307
1,A549,62,5,4,17,GEF,0.5989080963947514,0.19720235229604782
2,A549,62,5,4,17,GEF,0.7203122187810509,0.3186064746823473
3,A549,62,5,4,17,GEF,0.7421005434765124,0.34039479937780887
4,A549,62,5,4,17,GEF,0.7373864631767544,0.3356807190780508
1,A549,62,5,4,18,GEF,0.5801552189618895,0.1784494748631859
2,A549,62,5,4,18,GEF,0.5934966415578304,0.19179089745912686
3,A549,62,5,4,18,GEF,0.476477201127505,0.07477145702880145
4,A549,62,5,4,18,GEF,0.6919938271144598,0.2902880830157562
5,A549,62,5,4,18,GEF,0.6449233355791825,0.2432175914804789
6,A549,62,5,4,18,GEF,0.504088110856514,0.10238236675781037
7,A549,62,5,4,18,GEF,0.606116756444803,0.20441101234609943
8,A549,62,5,4,18,GEF,0.6881358808381431,0.28643013673943957
9,A549,62,5,4,18,GEF,0.5575129952492561,0.15580725115055255
1,A549,62,5,4,19,GEF,0.5556530471120572,0.15394730301335363
2,A549,62,5,4,19,GEF,0.821394320834194,0.41968857673549037
3,A549,62,5,4,19,GEF,0.6625859872555301,0.2608802431568265
4,A549,62,5,4,19,GEF,0.7895332056212635,0.3878274615225599
5,A549,62,5,4,19,GEF,0.6850290956003702,0.2833233515016666
6,A549,62,5,4,19,GEF,0.6382217775350104,0.23651603343630684
1,A549,62,5,4,2,GEF,0.6220834802701916,0.22037773617148798
2,A549,62,5,4,2,GEF,0.542990675001346,0.14128493090264244
3,A549,62,5,4,2,GEF,0.4797549751687294,0.07804923107002582
4,A549,62,5,4,2,GEF,0.6152722767159545,0.21356653261725095
1,A549,62,5,4,20,GEF,0.42695231841904385,0.025246574320340276
2,A549,62,5,4,20,GEF,0.7351200433891102,0.3334142992904066
3,A549,62,5,4,20,GEF,0.7713542643062439,0.3696485202075403
1,A549,62,5,4,3,GEF,0.508190795852533,0.10648505175382944
2,A549,62,5,4,3,GEF,0.5061366059814594,0.1044308618827558
3,A549,62,5,4,3,GEF,0.38008812125463975,-0.021617622844063822
4,A549,62,5,4,3,GEF,0.6007160271911237,0.19901028309242014
1,A549,62,5,4,4,GEF,0.6663651474857668,0.26465940338706323
2,A549,62,5,4,4,GEF,0.5132173474114736,0.11151160331277005
3,A549,62,5,4,4,GEF,0.6618906145567066,0.26018487045800304
1,A549,62,5,4,5,GEF,0.4693178301726257,0.0676120860739221
2,A549,62,5,4,5,GEF,0.5387570502878513,0.13705130618914768
3,A549,62,5,4,5,GEF,0.7149428541336313,0.31323711003492777
4,A549,62,5,4,5,GEF,0.5544399115717958,0.15273416747309226
5,A549,62,5,4,5,GEF,0.5472974370813004,0.14559169298259683
6,A549,62,5,4,5,GEF,0.7657147966237864,0.3640090525250828
7,A549,62,5,4,5,GEF,0.545451762530164,0.14374601843146045
1,A549,62,5,4,6,GEF,0.45752883946745726,0.055823095368753683
2,A549,62,5,4,6,GEF,0.5595949691317826,0.15788922503307906
3,A549,62,5,4,6,GEF,0.6540639195482113,0.2523581754495077
4,A549,62,5,4,6,GEF,0.5766776670438631,0.17497192294515956
1,A549,62,5,4,7,GEF,0.593860587251297,0.1921548431525934
2,A549,62,5,4,7,GEF,0.5018896516971963,0.10018390759849277
3,A549,62,5,4,7,GEF,0.3378332669743059,-0.0638724771243977
4,A549,62,5,4,7,GEF,0.6120706621782643,0.21036491807956076
5,A549,62,5,4,7,GEF,0.5134475182792004,0.11174177418049686
6,A549,62,5,4,7,GEF,0.5203976021534306,0.11869185805472698
1,A549,62,5,4,8,GEF,0.5048041457736634,0.10309840167495982
2,A549,62,5,4,8,GEF,0.48630275043960935,0.08459700634090578
3,A549,62,5,4,8,GEF,0.5132240274307811,0.11151828333207753
1,A549,62,5,4,9,GEF,0.5792514434078618,0.17754569930915826
2,A549,62,5,4,9,GEF,0.5107647611307123,0.10905901703200876
3,A549,62,5,4,9,GEF,0.4717507964730224,0.07004505237431885
4,A549,62,5,4,9,GEF,0.4688302392584113,0.0671244951597077
1,A549,0,1,2,0,control,0.37256587334476615,-0.029139870753937425
2,A549,0,1,2,0,control,0.38758621638380036,-0.014119527714903213
1,A549,0,1,2,1,control,0.7904327406940821,0.3887269965953785
2,A549,0,1,2,1,control,0.6068928751326799,0.2051871310339763
1,A549,0,1,2,10,control,0.32880117579455137,-0.0729045683041522
2,A549,0,1,2,10,control,0.5552076595970378,0.1535019154983342
3,A549,0,1,2,10,control,0.37698821711789376,-0.024717526980809812
4,A549,0,1,2,10,control,0.3207270451376968,-0.08097869896100679
5,A549,0,1,2,10,control,0.584507333493895,0.18280158939519148
6,A549,0,1,2,10,control,0.47800742777428856,0.07630168367558499
1,A549,0,1,2,11,control,0.4804970524482341,0.07879130834953052
1,A549,0,1,2,12,control,0.38808821362583473,-0.013617530472868844
