ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
6,A549,0,1,2,10,control,0.47800742777428856,0.07630168367558499
1,A549,0,1,2,11,control,0.4804970524482341,0.07879130834953052
1,A549,0,1,2,12,control,0.38808821362583473,-0.013617530472868844
2,A549,0,1,2,12,control,0.442938868260236,0.04123312416153241
3,A549,0,1,2,12,control,0.307867481455767,-0.0938382626429366
1,A549,0,1,2,13,control,0.45356872096335143,0.05186297686464786
2,A549,0,1,2,13,control,0.38514550562239747,-0.01656023847630611
3,A549,0,1,2,13,control,0.3415107722270287,-0.060194971871674885
4,A549,0,1,2,13,control,0.33487436112855196,-0.06683138297015162
5,A549,0,1,2,13,control,0.48519822275818936,0.08349247865948578
6,A549,0,1,2,13,control,0.37739046953394767,-0.024315274564755907
1,A549,0,1,2,14,control,0.5101468981697173,0.10844115407101368
2,A549,0,1,2,14,control,0.34362553485025077,-0.05808020924845281
3,A549,0,1,2,14,control,0.4040582060936247,0.002352461994921118
4,A549,0,1,2,14,control,0.559387564195481,0.1576818200967774
5,A549,0,1,2,14,control,0.4468776360423295,0.04517189194362592
1,A549,0,1,2,15,control,0.4826685516286979,0.0809628075299943
2,A549,0,1,2,15,control,0.4139018868939206,0.012196142795217024
3,A549,0,1,2,15,control,0.40120280775338396,-0.0005029363453196156
4,A549,0,1,2,15,control,0.32269411570951595,-0.07901162838918763
5,A549,0,1,2,15,control,0.4718133092721912,0.0701075651734876
1,A549,0,1,2,16,control,0.5636622149080314,0.1619564708093278
2,A549,0,1,2,16,control,0.46934863394948234,0.06764288985077876
1,A549,0,1,2,17,control,0.3903836366935135,-0.011322107405190074
2,A549,0,1,2,17,control,0.35873357106089987,-0.04297217303780371
3,A549,0,1,2,17,control,0.45276548571928166,0.05105974162057808
4,A549,0,1,2,17,control,0.4029764457819988,0.001270701683295239
1,A549,0,1,2,18,control,0.4388878543586111,0.03718211025990753
1,A549,0,1,2,19,control,0.27103902336732216,-0.1306667207313814
2,A549,0,1,2,19,control,0.39862717647038165,-0.0030785676283219265
3,A549,0,1,2,19,control,0.47355288148209845,0.07184713738339488
4,A549,0,1,2,19,control,0.42591617088330597,0.02421042678460239
1,A549,0,1,2,2,control,0.35369393983530867,-0.04801180426339491
2,A549,0,1,2,2,control,0.37435105969498333,-0.027354684403720242
3,A549,0,1,2,2,control,0.4118797582194519,0.01017401412074831
4,A549,0,1,2,2,control,0.49889536945267227,0.09718962535396869
5,A549,0,1,2,2,control,0.4150159771968479,0.01331023309814433
1,A549,0,1,2,3,control,0.45272694384417855,0.05102119974547498
2,A549,0,1,2,3,control,0.5363495948866095,0.13464385078790592
3,A549,0,1,2,3,control,0.43449044067271514,0.03278469657401156
4,A549,0,1,2,3,control,0.3813549970082678,-0.020350747090435772
1,A549,0,1,2,4,control,0.29337712940921223,-0.10832861468949134
2,A549,0,1,2,4,control,0.40714114649963984,0.005435402400936262
3,A549,0,1,2,4,control,0.4891286002439935,0.08742285614528994
1,A549,0,1,2,5,control,0.3411580509702864,-0.06054769312841718
2,A549,0,1,2,5,control,0.22779061357008384,-0.17391513052861973
1,A549,0,1,2,6,control,0.3667902373412195,-0.03491550675748406
1,A549,0,1,2,7,control,0.42656130754814364,0.024855563449440066
2,A549,0,1,2,7,control,0.526202552962461,0.12449680886375741
1,A549,0,1,2,8,control,0.49897236597431804,0.09726662187561447
2,A549,0,1,2,8,control,0.4631302631758961,0.06142451907719254
1,A549,0,1,2,9,control,0.45888743237815516,0.05718168827945158
2,A549,0,1,2,9,control,0.332709198256688,-0.06899654584201559
3,A549,0,1,2,9,control,0.3087230985923006,-0.09298264550640295
1,A549,0,3,2,0,control,0.4327087837530234,0.03100303965431983
1,A549,0,3,2,1,control,0.2553130281406933,-0.1463927159580103
2,A549,0,3,2,1,control,0.332715426707601,-0.06899031739110256
3,A549,0,3,2,1,control,0.43031765711776027,0.02861191301905669
4,A549,0,3,2,1,control,0.3731271870482511,-0.02857855705045248
5,A549,0,3,2,1,control,0.33906606369774706,-0.06263968040095652
6,A549,0,3,2,1,control,0.31875449264270683,-0.08295125145599674
1,A549,0,3,2,10,control,0.3958233718891761,-0.0058823722095274755
2,A549,0,3,2,10,control,0.26901790164495565,-0.13268784245374793
3,A549,0,3,2,10,control,0.3661261126570897,-0.03557963144161386
4,A549,0,3,2,10,control,0.2461944300157204,-0.1555113140829832
1,A549,0,3,2,11,control,0.489472348096322,0.08776660399761843
2,A549,0,3,2,11,control,0.44452746538947546,0.042821721290771886
1,A549,0,3,2,12,control,0.251041650267574,-0.15066409383112955
2,A549,0,3,2,12,control,0.3960473820385212,-0.005658362060182387
3,A549,0,3,2,12,control,0.306099305508722,-0.09560643858998158
1,A549,0,3,2,13,control,0.39336272834502195,-0.008343015753681626
2,A549,0,3,2,13,control,0.4537994624846446,0.05209371838594101
3,A549,0,3,2,13,control,0.2962920969446302,-0.10541364715407336
1,A549,0,3,2,14,control,0.3317166595978377,-0.06998908450086588
2,A549,0,3,2,14,control,0.30257287034520675,-0.09913287375349683
1,A549,0,3,2,2,control,0.29396382394140314,-0.10774192015730044
2,A549,0,3,2,2,control,0.2598655176820234,-0.1418402264166802
3,A549,0,3,2,2,control,0.3809897785158863,-0.020715965582817297
1,A549,0,3,2,4,control,0.3750220903936459,-0.026683653705057653
2,A549,0,3,2,4,control,0.45176988595762496,0.050064141858921385
3,A549,0,3,2,4,control,0.3308571610811352,-0.07084858301756836
4,A549,0,3,2,4,control,0.5021037269297088,0.10039798283100526
5,A549,0,3,2,4,control,0.3287854119784105,-0.07292033212029309
1,A549,0,3,2,5,control,0.3908479986332674,-0.010857745465436164
2,A549,0,3,2,5,control,0.3659113090809714,-0.03579443501773216
3,A549,0,3,2,5,control,0.44940568115161394,0.04769993705291037
4,A549,0,3,2,5,control,0.3457416378654512,-0.055964106233252375
1,A549,0,3,2,6,control,0.40074186439892057,-0.0009638796997830101
2,A549,0,3,2,6,control,0.3954496562808969,-0.006256087817806677
3,A549,0,3,2,6,control,0.3983891726671083,-0.00331657143159525
1,A549,0,3,2,7,control,0.4205664967524399,0.018860752653736323
2,A549,0,3,2,7,control,0.3044209733828165,-0.09728477071588709
3,A549,0,3,2,7,control,0.3309530107030499,-0.07075273339565369
4,A549,0,3,2,7,control,0.26080204818896,-0.14090369590974355
1,A549,0,3,2,8,control,0.41699028378039216,0.01528453968168858
2,A549,0,3,2,8,control,0.36343502274460315,-0.03827072135410042
3,A549,0,3,2,8,control,0.4228827869991127,0.021177042900409115
4,A549,0,3,2,8,control,0.48164284008403013,0.07993709598532656
5,A549,0,3,2,8,control,0.3744268423725948,-0.02727890172610875
1,A549,0,3,2,9,control,0.4755774463253049,0.07387170222660133
2,A549,0,3,2,9,control,0.5247254617309408,0.12301971763223724
3,A549,0,3,2,9,control,0.43660563907785377,0.03489989497915019
4,A549,0,3,2,9,control,0.42570428831784446,0.023998544219140883
5,A549,0,3,2,9,control,0.3954270026727554,-0.006278741425948198
6,A549,0,3,2,9,control,0.2659576277170566,-0.13574811638164697
