Metadata_treatment,Metadata_hour,Metadata_concentration,S_BF,S_Nulcei,S_Mit,S,ED_STD,E
control,1,0,0,0,0,0,0,0
afa,1,25.84,0.446715075,0.165585562,0.156855658,0.256385431,1.07541204,0.657004754
alm,1,5.66,0.542877795,0.390308932,0.444490113,0.459225613,1.264125522,0.772296056
dac,1,20.55,0.156864168,0.112394875,0.14169454,0.136984528,1.636840577,1
gef,1,85.79,0.190076354,0.030037512,0.291367014,0.170493627,1.605394312,0.980788438
osi,1,11.75,0.299172127,0.144360844,0.327080575,0.256871182,1.481064788,0.904831423
vin,1,39.29,0.40875253,0.432016172,0.753309533,0.531359411,0.690581831,0.321460574
