Metadata_treatment,Metadata_hour,Metadata_concentration,S_BF,S_Nulcei,S_Mit,S,Foxo3a,E_STD,E_std_normal,E
control,8,0,0,0,0,0,0,,,0
afa,8,25.84,0.754193515,0.596016123,0.64651868,0.665576106,1,,,1
alm,8,5.66,0.382318,0.850304714,0.886379838,0.706334184,0.360621186,,,0.360621186
dac,8,20.55,0.364442421,0.599918913,0.471783718,0.478715017,0.810238671,,,0.810238671
gef,8,85.79,0.222692347,0.576136984,0.519233506,0.439354279,0.232254284,,,0.232254284
osi,8,11.75,0.220713506,0.69563936,0.635975518,0.517442795,0.617577353,,,0.617577353
vin,8,39.29,0.348033512,0.660035278,0.688334063,0.565467618,0.215253218,,,0.215253218
