Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_agg_mean_value,Cell_Ed_agg_variance,Cell_Ed_agg_max_value,Cell_Ed_agg_min_value,Cell_Ed_agg_top_50_value,Cell_Ed_agg_top_25_value,Nuclei_Ed_mean_value,Nuclei_Ed_variance,Nuclei_Ed_not_zero_mean_value,Nuclei_Ed_not_zero_variance,Nuclei_Ed_agg_mean_value,Nuclei_Ed_agg_variance,Nuclei_Ed_agg_max_value,Nuclei_Ed_agg_min_value,Nuclei_Ed_agg_top_50_value,Nuclei_Ed_agg_top_25_value,Mit_Ed_mean_value,Mit_Ed_variance,Mit_Ed_not_zero_mean_value,Mit_Ed_not_zero_variance,Mit_Ed_agg_mean_value,Mit_Ed_agg_variance,Mit_Ed_agg_max_value,Mit_Ed_agg_min_value,Mit_Ed_agg_top_50_value,Mit_Ed_agg_top_25_value,ObjectNumber
A549,4.0,afa,0,1,25.84,0.058450568467378616,0.0046421438455581665,0.10698956996202469,0.003303944133222103,0.06278643757104874,0.0030626007355749607,0.2986271381378174,0.0,0.10575839877128601,0.14176367223262787,0.07774720340967178,0.004066699184477329,0.10371268540620804,0.0027319174259901047,0.03869473561644554,0.0010067488765344024,0.12413442879915237,0.0,0.06580714881420135,0.08133507519960403,0.054856643080711365,0.0046670506708323956,0.10788937658071518,0.0034572600852698088,0.06437049061059952,0.0031193471513688564,0.2986271381378174,0.0,0.10801320523023605,0.14406660199165344,1
A549,4.0,afa,0,1,25.84,0.034599702805280685,0.005319062154740095,0.14746442437171936,0.006026390474289656,0.11218488961458206,0.004394348245114088,0.3752039074897766,0.0,0.16297119855880737,0.202702596783638,0.007240680046379566,0.001512913964688778,0.18910609185695648,0.005121177993714809,0.13895994424819946,0.003464390756562352,0.2635057270526886,0.0004621589323505759,0.18577173352241516,0.21288685500621796,0.043062977492809296,0.0061932881362736225,0.1457945704460144,0.005990365985780954,0.1104816347360611,0.004437509924173355,0.3752039074897766,0.0,0.16103892028331757,0.2014085054397583,2
A549,4.0,afa,1,1,25.84,0.041049376130104065,0.005625221412628889,0.14266914129257202,0.005052730441093445,0.0743948370218277,0.005372448358684778,0.3529399633407593,0.0,0.12965068221092224,0.18140126764774323,0.10026591271162033,0.00923130102455616,0.15837353467941284,0.005378453992307186,0.12289953976869583,0.006475228350609541,0.35008570551872253,0.0,0.18955554068088531,0.23551790416240692,0.025592997670173645,0.003529809881001711,0.12953443825244904,0.004401510581374168,0.06834228336811066,0.0045106979086995125,0.3529399633407593,0.0,0.1197928860783577,0.16859979927539825,1
A549,4.0,afa,1,1,25.84,0.02030862495303154,0.0009824334410950541,0.04578869417309761,0.0010483373189345002,0.018170559778809547,0.0005463011912070215,0.14979524910449982,0.0,0.035235531628131866,0.05221294239163399,0.03257826715707779,0.0012177751632407308,0.04766048118472099,0.0010627227602526546,0.028228789567947388,0.0007606258150190115,0.11259289085865021,0.0,0.05062801018357277,0.06825677305459976,0.018754828721284866,0.0009311515023000538,0.04539649933576584,0.0010444351937621832,0.016348041594028473,0.0004625987494364381,0.1212591603398323,0.0,0.031871356070041656,0.047963693737983704,2
A549,4.0,afa,1,1,25.84,0.016497652977705002,0.0025569938588887453,0.12908139824867249,0.005474035628139973,0.10128381848335266,0.004469157662242651,0.34101417660713196,0.0,0.15456333756446838,0.19507566094398499,0.005100655369460583,0.000987543142400682,0.1620495468378067,0.005941083189100027,0.12571994960308075,0.004452853463590145,0.28116530179977417,0.0,0.17578667402267456,0.21470987796783447,0.017790639773011208,0.002718640025705099,0.12823283672332764,0.005433319136500359,0.10128381848335266,0.004469157662242651,0.34101417660713196,0.0,0.15456333756446838,0.19507566094398499,3
A549,4.0,afa,1,1,25.84,0.006197210401296616,0.0005396457272581756,0.07301286607980728,0.0014794719172641635,0.07694919407367706,0.0010078409686684608,0.16071248054504395,0.0,0.10245736688375473,0.11783833801746368,0.00027058194973506033,2.685470462893136e-05,0.09397772699594498,0.0005207111826166511,0.08076609671115875,0.00031570164719596505,0.11097431182861328,0.04211045429110527,0.09591596573591232,0.10185738652944565,0.008256031200289726,0.0007013410213403404,0.07282789796590805,0.001484018750488758,0.07645440101623535,0.0010607396252453327,0.16071248054504395,0.0,0.10266827046871185,0.11867384612560272,4
A549,4.0,afa,12,1,25.84,0.12711012363433838,0.0063923136331140995,0.1587713360786438,0.0029576492961496115,0.08029291778802872,0.0008751820423640311,0.17329952120780945,0.009701965376734734,0.1043357327580452,0.1216956153512001,0.050220176577568054,0.009271178394556046,0.22344055771827698,0.0025450403336435556,0.14297816157341003,0.001815692288801074,0.2644716501235962,0.05033573880791664,0.17864370346069336,0.19469806551933289,0.15259113907814026,0.002826971234753728,0.15389908850193024,0.0026499119121581316,0.08029291778802872,0.0008751820423640311,0.17329952120780945,0.009701965376734734,0.1043357327580452,0.1216956153512001,1
A549,4.0,afa,12,1,25.84,0.10697466880083084,0.004304011818021536,0.12081769853830338,0.0031884899362921715,0.1014111265540123,0.0022104219533503056,0.247452050447464,0.0,0.14024798572063446,0.16391797363758087,0.1263035088777542,0.010109363123774529,0.19024799764156342,0.0030621918849647045,0.15858572721481323,0.0025379846338182688,0.27638259530067444,0.037160538136959076,0.19903551042079926,0.21834659576416016,0.10380476713180542,0.003280618228018284,0.11261659115552902,0.002566746436059475,0.10257673263549805,0.0022044111974537373,0.247452050447464,0.0,0.14131559431552887,0.16449537873268127,2
A549,4.0,afa,12,1,25.84,0.03407900780439377,0.000793625193182379,0.040770065039396286,0.0006766504375264049,0.021832657977938652,0.00046097885933704674,0.11028754711151123,0.0,0.03923735395073891,0.052411600947380066,0.04333110526204109,0.0008577898261137307,0.047107718884944916,0.0007546449196524918,0.012180555611848831,0.00035900683724321425,0.09419818967580795,0.0,0.024361109361052513,0.04000827670097351,0.0318269208073616,0.0007520982180722058,0.03902992233633995,0.0006411788635887206,0.022303098812699318,0.0004573111655190587,0.11028754711151123,0.0,0.03968220576643944,0.052651889622211456,3
A549,4.0,afa,13,1,25.84,0.06278052181005478,0.012153342366218567,0.24148288369178772,0.003593810135498643,0.18408799171447754,0.0033408119343221188,0.3882417380809784,0.0703614130616188,0.2291373312473297,0.2636430859565735,0.005770223680883646,0.001613945933058858,0.27794602513313293,0.002092017326503992,0.2362605333328247,0.0007193807396106422,0.29999473690986633,0.1862758994102478,0.2582542598247528,0.2761657238006592,0.08644752204418182,0.014595873653888702,0.24035324156284332,0.0035897111520171165,0.1782652735710144,0.0032921968959271908,0.3882417380809784,0.0703614130616188,0.22110037505626678,0.25744789838790894,1
A549,4.0,afa,13,1,25.84,0.12264548242092133,0.014471197500824928,0.21654291450977325,0.005217526573687792,0.19045253098011017,0.006044173613190651,0.4216439425945282,0.0,0.2539316415786743,0.29313766956329346,0.19010116159915924,0.00376076134853065,0.19086989760398865,0.003629238111898303,0.13088896870613098,0.001907647936604917,0.23647092282772064,0.005418562330305576,0.1662684828042984,0.18749529123306274,0.10332853347063065,0.01380922645330429,0.213069349527359,0.005093006882816553,0.1701865792274475,0.005462813191115856,0.3863256275653839,0.0,0.22986729443073273,0.268686980009079,2
A549,4.0,afa,13,1,25.84,0.13368546962738037,0.018746420741081238,0.25779685378074646,0.0041547613218426704,0.21726460754871368,0.002715951995924115,0.40820011496543884,0.06815369427204132,0.25867295265197754,0.2850860059261322,0.18899591267108917,0.011060887016355991,0.2233816236257553,0.005392157007008791,0.18889181315898895,0.005232074297964573,0.3970075845718384,0.020821649581193924,0.2450747787952423,0.28082770109176636,0.09643491357564926,0.01865559071302414,0.2734246850013733,0.004501362331211567,0.2243572324514389,0.0033879431430250406,0.40820011496543884,0.057319819927215576,0.270410418510437,0.30217090249061584,3
A549,4.0,afa,13,1,25.84,0.1404992640018463,0.004739738069474697,0.1433439999818802,0.0044279275462031364,0.11827938258647919,0.0035465098917484283,0.31752702593803406,0.0,0.1675654649734497,0.19821040332317352,0.21004760265350342,0.010005920194089413,0.2435666173696518,0.003438538173213601,0.21198111772537231,0.0019464468350633979,0.31555014848709106,0.0798545703291893,0.24767933785915375,0.26672664284706116,0.1273374706506729,0.004155963659286499,0.13043224811553955,0.003853311762213707,0.11006321012973785,0.0038341288454830647,0.31752702593803406,0.0,0.1601801961660385,0.19635047018527985,4
