ImageNumber,ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Texture_AngularSecondMoment_BFRescaleIntensity_10_00_256,Texture_AngularSecondMoment_BFRescaleIntensity_10_01_256,Texture_AngularSecondMoment_BFRescaleIntensity_10_02_256,Texture_AngularSecondMoment_BFRescaleIntensity_10_03_256,Texture_AngularSecondMoment_BFRescaleIntensity_25_00_256,Texture_AngularSecondMoment_BFRescaleIntensity_25_01_256,Texture_AngularSecondMoment_BFRescaleIntensity_25_02_256,Texture_AngularSecondMoment_BFRescaleIntensity_25_03_256,Texture_AngularSecondMoment_BFRescaleIntensity_3_00_256,Texture_AngularSecondMoment_BFRescaleIntensity_3_01_256,Texture_AngularSecondMoment_BFRescaleIntensity_3_02_256,Texture_AngularSecondMoment_BFRescaleIntensity_3_03_256,Texture_AngularSecondMoment_BFRescaleIntensity_5_00_256,Texture_AngularSecondMoment_BFRescaleIntensity_5_01_256,Texture_AngularSecondMoment_BFRescaleIntensity_5_02_256,Texture_AngularSecondMoment_BFRescaleIntensity_5_03_256,Texture_Contrast_BFRescaleIntensity_10_00_256,Texture_Contrast_BFRescaleIntensity_10_01_256,Texture_Contrast_BFRescaleIntensity_10_02_256,Texture_Contrast_BFRescaleIntensity_10_03_256,Texture_Contrast_BFRescaleIntensity_25_00_256,Texture_Contrast_BFRescaleIntensity_25_01_256,Texture_Contrast_BFRescaleIntensity_25_02_256,Texture_Contrast_BFRescaleIntensity_25_03_256,Texture_Contrast_BFRescaleIntensity_3_00_256,Texture_Contrast_BFRescaleIntensity_3_01_256,Texture_Contrast_BFRescaleIntensity_3_02_256,Texture_Contrast_BFRescaleIntensity_3_03_256,Texture_Contrast_BFRescaleIntensity_5_00_256,Texture_Contrast_BFRescaleIntensity_5_01_256,Texture_Contrast_BFRescaleIntensity_5_02_256,Texture_Contrast_BFRescaleIntensity_5_03_256,Texture_Correlation_BFRescaleIntensity_10_00_256,Texture_Correlation_BFRescaleIntensity_10_01_256,Texture_Correlation_BFRescaleIntensity_10_02_256,Texture_Correlation_BFRescaleIntensity_10_03_256,Texture_Correlation_BFRescaleIntensity_25_00_256,Texture_Correlation_BFRescaleIntensity_25_01_256,Texture_Correlation_BFRescaleIntensity_25_02_256,Texture_Correlation_BFRescaleIntensity_25_03_256,Texture_Correlation_BFRescaleIntensity_3_00_256,Texture_Correlation_BFRescaleIntensity_3_01_256,Texture_Correlation_BFRescaleIntensity_3_02_256,Texture_Correlation_BFRescaleIntensity_3_03_256,Texture_Correlation_BFRescaleIntensity_5_00_256,Texture_Correlation_BFRescaleIntensity_5_01_256,Texture_Correlation_BFRescaleIntensity_5_02_256,Texture_Correlation_BFRescaleIntensity_5_03_256,Texture_DifferenceEntropy_BFRescaleIntensity_10_00_256,Texture_DifferenceEntropy_BFRescaleIntensity_10_01_256,Texture_DifferenceEntropy_BFRescaleIntensity_10_02_256,Texture_DifferenceEntropy_BFRescaleIntensity_10_03_256,Texture_DifferenceEntropy_BFRescaleIntensity_25_00_256,Texture_DifferenceEntropy_BFRescaleIntensity_25_01_256,Texture_DifferenceEntropy_BFRescaleIntensity_25_02_256,Texture_DifferenceEntropy_BFRescaleIntensity_25_03_256,Texture_DifferenceEntropy_BFRescaleIntensity_3_00_256,Texture_DifferenceEntropy_BFRescaleIntensity_3_01_256,Texture_DifferenceEntropy_BFRescaleIntensity_3_02_256,Texture_DifferenceEntropy_BFRescaleIntensity_3_03_256,Texture_DifferenceEntropy_BFRescaleIntensity_5_00_256,Texture_DifferenceEntropy_BFRescaleIntensity_5_01_256,Texture_DifferenceEntropy_BFRescaleIntensity_5_02_256,Texture_DifferenceEntropy_BFRescaleIntensity_5_03_256,Texture_DifferenceVariance_BFRescaleIntensity_10_00_256,Texture_DifferenceVariance_BFRescaleIntensity_10_01_256,Texture_DifferenceVariance_BFRescaleIntensity_10_02_256,Texture_DifferenceVariance_BFRescaleIntensity_10_03_256,Texture_DifferenceVariance_BFRescaleIntensity_25_00_256,Texture_DifferenceVariance_BFRescaleIntensity_25_01_256,Texture_DifferenceVariance_BFRescaleIntensity_25_02_256,Texture_DifferenceVariance_BFRescaleIntensity_25_03_256,Texture_DifferenceVariance_BFRescaleIntensity_3_00_256,Texture_DifferenceVariance_BFRescaleIntensity_3_01_256,Texture_DifferenceVariance_BFRescaleIntensity_3_02_256,Texture_DifferenceVariance_BFRescaleIntensity_3_03_256,Texture_DifferenceVariance_BFRescaleIntensity_5_00_256,Texture_DifferenceVariance_BFRescaleIntensity_5_01_256,Texture_DifferenceVariance_BFRescaleIntensity_5_02_256,Texture_DifferenceVariance_BFRescaleIntensity_5_03_256,Texture_Entropy_BFRescaleIntensity_10_00_256,Texture_Entropy_BFRescaleIntensity_10_01_256,Texture_Entropy_BFRescaleIntensity_10_02_256,Texture_Entropy_BFRescaleIntensity_10_03_256,Texture_Entropy_BFRescaleIntensity_25_00_256,Texture_Entropy_BFRescaleIntensity_25_01_256,Texture_Entropy_BFRescaleIntensity_25_02_256,Texture_Entropy_BFRescaleIntensity_25_03_256,Texture_Entropy_BFRescaleIntensity_3_00_256,Texture_Entropy_BFRescaleIntensity_3_01_256,Texture_Entropy_BFRescaleIntensity_3_02_256,Texture_Entropy_BFRescaleIntensity_3_03_256,Texture_Entropy_BFRescaleIntensity_5_00_256,Texture_Entropy_BFRescaleIntensity_5_01_256,Texture_Entropy_BFRescaleIntensity_5_02_256,Texture_Entropy_BFRescaleIntensity_5_03_256,Texture_InfoMeas1_BFRescaleIntensity_10_00_256,Texture_InfoMeas1_BFRescaleIntensity_10_01_256,Texture_InfoMeas1_BFRescaleIntensity_10_02_256,Texture_InfoMeas1_BFRescaleIntensity_10_03_256,Texture_InfoMeas1_BFRescaleIntensity_25_00_256,Texture_InfoMeas1_BFRescaleIntensity_25_01_256,Texture_InfoMeas1_BFRescaleIntensity_25_02_256,Texture_InfoMeas1_BFRescaleIntensity_25_03_256,Texture_InfoMeas1_BFRescaleIntensity_3_00_256,Texture_InfoMeas1_BFRescaleIntensity_3_01_256,Texture_InfoMeas1_BFRescaleIntensity_3_02_256,Texture_InfoMeas1_BFRescaleIntensity_3_03_256,Texture_InfoMeas1_BFRescaleIntensity_5_00_256,Texture_InfoMeas1_BFRescaleIntensity_5_01_256,Texture_InfoMeas1_BFRescaleIntensity_5_02_256,Texture_InfoMeas1_BFRescaleIntensity_5_03_256,Texture_InfoMeas2_BFRescaleIntensity_10_00_256,Texture_InfoMeas2_BFRescaleIntensity_10_01_256,Texture_InfoMeas2_BFRescaleIntensity_10_02_256,Texture_InfoMeas2_BFRescaleIntensity_10_03_256,Texture_InfoMeas2_BFRescaleIntensity_25_00_256,Texture_InfoMeas2_BFRescaleIntensity_25_01_256,Texture_InfoMeas2_BFRescaleIntensity_25_02_256,Texture_InfoMeas2_BFRescaleIntensity_25_03_256,Texture_InfoMeas2_BFRescaleIntensity_3_00_256,Texture_InfoMeas2_BFRescaleIntensity_3_01_256,Texture_InfoMeas2_BFRescaleIntensity_3_02_256,Texture_InfoMeas2_BFRescaleIntensity_3_03_256,Texture_InfoMeas2_BFRescaleIntensity_5_00_256,Texture_InfoMeas2_BFRescaleIntensity_5_01_256,Texture_InfoMeas2_BFRescaleIntensity_5_02_256,Texture_InfoMeas2_BFRescaleIntensity_5_03_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_10_00_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_10_01_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_10_02_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_10_03_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_25_00_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_25_01_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_25_02_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_25_03_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_3_00_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_3_01_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_3_02_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_3_03_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_5_00_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_5_01_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_5_02_256,Texture_InverseDifferenceMoment_BFRescaleIntensity_5_03_256,Texture_SumAverage_BFRescaleIntensity_10_00_256,Texture_SumAverage_BFRescaleIntensity_10_01_256,Texture_SumAverage_BFRescaleIntensity_10_02_256,Texture_SumAverage_BFRescaleIntensity_10_03_256,Texture_SumAverage_BFRescaleIntensity_25_00_256,Texture_SumAverage_BFRescaleIntensity_25_01_256,Texture_SumAverage_BFRescaleIntensity_25_02_256,Texture_SumAverage_BFRescaleIntensity_25_03_256,Texture_SumAverage_BFRescaleIntensity_3_00_256,Texture_SumAverage_BFRescaleIntensity_3_01_256,Texture_SumAverage_BFRescaleIntensity_3_02_256,Texture_SumAverage_BFRescaleIntensity_3_03_256,Texture_SumAverage_BFRescaleIntensity_5_00_256,Texture_SumAverage_BFRescaleIntensity_5_01_256,Texture_SumAverage_BFRescaleIntensity_5_02_256,Texture_SumAverage_BFRescaleIntensity_5_03_256,Texture_SumEntropy_BFRescaleIntensity_10_00_256,Texture_SumEntropy_BFRescaleIntensity_10_01_256,Texture_SumEntropy_BFRescaleIntensity_10_02_256,Texture_SumEntropy_BFRescaleIntensity_10_03_256,Texture_SumEntropy_BFRescaleIntensity_25_00_256,Texture_SumEntropy_BFRescaleIntensity_25_01_256,Texture_SumEntropy_BFRescaleIntensity_25_02_256,Texture_SumEntropy_BFRescaleIntensity_25_03_256,Texture_SumEntropy_BFRescaleIntensity_3_00_256,Texture_SumEntropy_BFRescaleIntensity_3_01_256,Texture_SumEntropy_BFRescaleIntensity_3_02_256,Texture_SumEntropy_BFRescaleIntensity_3_03_256,Texture_SumEntropy_BFRescaleIntensity_5_00_256,Texture_SumEntropy_BFRescaleIntensity_5_01_256,Texture_SumEntropy_BFRescaleIntensity_5_02_256,Texture_SumEntropy_BFRescaleIntensity_5_03_256,Texture_SumVariance_BFRescaleIntensity_10_00_256,Texture_SumVariance_BFRescaleIntensity_10_01_256,Texture_SumVariance_BFRescaleIntensity_10_02_256,Texture_SumVariance_BFRescaleIntensity_10_03_256,Texture_SumVariance_BFRescaleIntensity_25_00_256,Texture_SumVariance_BFRescaleIntensity_25_01_256,Texture_SumVariance_BFRescaleIntensity_25_02_256,Texture_SumVariance_BFRescaleIntensity_25_03_256,Texture_SumVariance_BFRescaleIntensity_3_00_256,Texture_SumVariance_BFRescaleIntensity_3_01_256,Texture_SumVariance_BFRescaleIntensity_3_02_256,Texture_SumVariance_BFRescaleIntensity_3_03_256,Texture_SumVariance_BFRescaleIntensity_5_00_256,Texture_SumVariance_BFRescaleIntensity_5_01_256,Texture_SumVariance_BFRescaleIntensity_5_02_256,Texture_SumVariance_BFRescaleIntensity_5_03_256,Texture_Variance_BFRescaleIntensity_10_00_256,Texture_Variance_BFRescaleIntensity_10_01_256,Texture_Variance_BFRescaleIntensity_10_02_256,Texture_Variance_BFRescaleIntensity_10_03_256,Texture_Variance_BFRescaleIntensity_25_00_256,Texture_Variance_BFRescaleIntensity_25_01_256,Texture_Variance_BFRescaleIntensity_25_02_256,Texture_Variance_BFRescaleIntensity_25_03_256,Texture_Variance_BFRescaleIntensity_3_00_256,Texture_Variance_BFRescaleIntensity_3_01_256,Texture_Variance_BFRescaleIntensity_3_02_256,Texture_Variance_BFRescaleIntensity_3_03_256,Texture_Variance_BFRescaleIntensity_5_00_256,Texture_Variance_BFRescaleIntensity_5_01_256,Texture_Variance_BFRescaleIntensity_5_02_256,Texture_Variance_BFRescaleIntensity_5_03_256
1,1,A549,25.84,1,4,0,afa,123920,193280,1388,796,784,476,1055.8137508069722,615.3825048418335,2.11925821412399,136554,0.871534276295259,397.21511097084584,1,0.6411423841059603,0.4718632176746602,594.5596827188892,626.7774724732853,142.59382875847047,49.8109027818174,44.77722635447622,304.1923911565746,291.5331752808953,-76.80199808,1816.6345596729059,0.9074798248312023,0.4016287244077419,0.07884084031027028,0.14652963079533504,0.06878168738216009,0.05644758802621227,0.01683329107233513,0.01077587147791524,0.04390420604789435,0.021420101683772747,0.02247191854095055,0.017577457816906797,0.005526106663767934,0.007789506315185629,0.007287213335441361,0.020476856329696803,0.010750581199389883,0.0029493571982882757,0.009897118335572011,0.0050079582840277135,0.0040777241357189365,0.005952953985356914,0.009557899488651683,0.015363303975447202,0.011819070203409778,0.006371238556607013,0.004756322523585005,0.005836278324357313,0.0031244886377944014,0.004479436402537643,0.004090590289934392,1055.8137508069722,615.3825048418335,0.0022960868683131654,0.0022395294857810084,0.002205198300738123,0.002200004904642838,0.0022591682808034263,0.002176610942270996,0.0021470486834505886,0.002155711776117642,0.003197879990016161,0.0026694413532595855,0.003037578460232518,0.0027927518403177537,0.002650492789235779,0.0023181870302077926,0.0025001505800513247,0.0023684291875220647,65.82096164056279,81.17102768297308,75.10662662866449,79.6847778042229,66.79228959025471,73.96144506902222,75.50689699507751,76.29970006992235,21.477957689178194,35.3657580499053,23.93398466930914,30.76315897503263,36.73997741851027,58.823014827292894,42.25828784119106,53.08615119534784,0.17816395992511289,-0.009311599,0.07031126059929733,0.016812133549962957,0.1552610145591167,0.08791640284652065,0.08044634226871093,0.058358595131647664,0.7333726425908201,0.5591505408076887,0.7028530387939437,0.6182785530739499,0.543178079082907,0.2648193653020018,0.47516004408611867,0.3421711185090135,4.0983729567319696,4.250798983493196,4.206770709565458,4.239769432690054,4.119303152886546,4.192441330846128,4.207469316547124,4.215042824976956,3.3457959223674862,3.6837928618552382,3.423030104326915,3.5878145325810045,3.7065366288412758,4.031159373140219,3.810515802015961,3.9601710923289977,0.0005393439529575694,0.0004726903417110946,0.00047998430264676657,0.00047567027435517826,0.0005188192757307666,0.0004864654775988695,0.00048052983022478475,0.0004783597139070607,0.0009197392734878162,0.0007203738170083448,0.000861427556307215,0.0007739865933260918,0.0007143114911249666,0.0005572745782149202,0.0006494214044022608,0.0005898115431869744,9.347192408190393,9.380707924919685,9.387007278005889,9.39601720357638,9.346702188969624,9.39493379414603,9.410769293654237,9.40057005094149,8.840794063721248,9.114487768887114,8.906836562788637,9.046907658416856,9.133601049517054,9.321208392886616,9.204158645537193,9.299730833821794,-0.010604689,-0.004495931,-0.004778404,-0.003905873,-0.007519672,-0.004487842,-0.004576901,-0.003557093,-0.120123901,-0.060636178,-0.106015717,-0.076420248,-0.057361164,-0.015761483,-0.042636037,-0.023081068,0.3079741217868519,0.20344316020468817,0.20968192630930524,0.19000948736599432,0.2609947948729526,0.20341431256339623,0.20555378237404315,0.1815032265821683,0.8227507870255969,0.659124285149584,0.7943925243598409,0.716016543404113,0.6456721822586571,0.3709993594699684,0.574747300630563,0.4418074403285884,0.15853008760902862,0.14112103675134696,0.1440330773917732,0.1426224205846721,0.15116813792691675,0.14206590403318303,0.1429333364577867,0.14149437414299856,0.2405127611988111,0.19854921447869148,0.22927034397716406,0.20850257098945688,0.19730879507125515,0.16153287909310496,0.18433147947634873,0.16931834339907392,172.64756437483408,172.53807701589272,172.62739210097718,172.65094692462003,172.62877214839423,172.45796527857445,172.55749944897508,172.77699370698855,172.7221236777868,172.65982047270035,172.69196940413408,172.6930598773389,172.7037652179605,172.60093900628786,172.66169561621177,172.67189648602528,5.32313302260093,5.197332154461292,5.253263583649052,5.224646020861897,5.297694541857474,5.273263851849077,5.280649676332819,5.256092184332637,5.598356782997025,5.518954269503125,5.584361093617882,5.548231659054959,5.514727276262218,5.366553751874408,5.480582584518799,5.415534120653122,94.35931381819682,79.67330968166061,86.46707744153537,82.40993577668632,91.34481723545832,88.21984028650331,88.71820582571672,85.75710770308797,139.63047392775115,125.07793678732924,137.1579179512919,130.418033346039,124.11034843602829,101.20028298836769,118.77475609923567,108.31190440546561,40.04506886468971,40.21108434115922,40.393426017551974,40.52367839522685,39.53427670642668,40.54532133888097,41.05627570519937,40.514201943250555,40.27710790423225,40.110923709312374,40.27297565515346,40.295298080269276,40.212581463638344,40.0058244539141,40.25826098511152,40.34951390020069
1,2,A549,25.84,1,4,0,afa,54720,79488,1388,880,1100,604,1254.7140350877194,761.0122807017544,1.7303321601045667,56496,0.6360520254451636,263.95391243152295,1,0.6884057971014492,0.5779237206916206,304.08641803959966,322.8157369150395,112.17842929904127,39.777418538222165,35.35533905932738,237,234.64712165215553,-52.89528077,1090.79393923934,0.9685641461342396,0.6657488818372324,0.12439458992545949,0.15001856607749403,0.03642399529189755,0.018965713312698,0.01729297730364351,0.02496669392647822,0.032700252539467026,0.028883160798568883,0.03246801879509004,0.008858729618997656,0.005954821949567493,0.016003087244801772,0.004166542799211546,0.007366606457270089,0.004560524231951719,0.0032298778990127756,0.010183624598477041,0.010796604343699072,0.0018657375663648898,0.00873587529398593,0.00828090509910704,0.009380620083989717,0.0025606030358181673,0.004093101704711531,0.0029647333311148476,0.006230321719167709,0.0033210357293388436,0.0070785073876768025,0.0012009995677570997,1254.7140350877194,761.0122807017544,0.0021187113171979455,0.002040099243377013,0.002093580789322055,0.002084748691663192,0.002064121198993798,0.0019326386019612358,0.001998064494369859,0.002007162631877363,0.0029164478498879876,0.0024580259588435683,0.0028445841389141704,0.0025741048476614296,0.002400728452250555,0.0021637461830412083,0.0023335103539282136,0.002208169608804878,79.5481450123153,92.76978503184714,88.76753742861554,90.35895935720414,82.27267228433173,83.5444340505145,78.79333780835711,86.91659464131374,24.770652415942997,41.61921661409042,27.056509139545252,35.74944886597169,44.13218972628421,69.77715462973562,49.15203184856907,62.506506014995,0.08371812703827261,-0.049519843,-0.021229091,-0.039402416,0.0661774057332479,0.09777867885704421,0.11975856661058802,0.02790307208209223,0.7115342376018117,0.5166635102907824,0.6846224656482068,0.5840523212545125,0.4878242805233974,0.19475432462126396,0.4287285683865495,0.2758797496561654,4.237597211398096,4.339954249131834,4.311621133097737,4.32024858329928,4.2631469599844225,4.276678479608963,4.228872809694824,4.306405254235358,3.4418327118249006,3.7937024660883143,3.5087522559638082,3.6913829189494223,3.8356495526028525,4.147755771063281,3.9110609390073647,4.071063309272803,0.00043913998403349614,0.00040893947997338264,0.00041552680713256076,0.0004140821108024698,0.0004270591138154509,0.00041861195322744115,0.0004329770732516377,0.0004093894507418702,0.0007792688547323391,0.000609975859648915,0.0007413953218249432,0.0006550447376996971,0.000588239109886692,0.0004713770702059587,0.0005571670470529029,0.0004967497834090266,9.463063758198091,9.49600519823149,9.466641424994803,9.46989740255854,9.490665700298399,9.560771243317747,9.504872835784008,9.516704994154706,8.966194508495585,9.242075015149256,9.011168174102908,9.164931734188833,9.271654781506822,9.436391173920619,9.313065292638687,9.400990024841864,-0.008019355,-0.007156872,-0.008064521,-0.007028514,-0.006640314,-0.00734862,-0.00911155,-0.005925674,-0.109388438,-0.052253604,-0.099751085,-0.067767883,-0.046086125,-0.013345915,-0.037111424,-0.019307071,0.27085570355651184,0.25677176989855416,0.2716409813602335,0.2541892354865659,0.24753452682880492,0.2609379976315425,0.2886578283184553,0.23450088221806567,0.8035401630899603,0.6252759099804398,0.7821328705877623,0.6886358078691848,0.5952054344477413,0.34507309969138533,0.5448204368461306,0.40921960694385556,0.1417624260061102,0.1360474938501994,0.13905835179529294,0.13714864450412517,0.13644158347574067,0.13428973001657518,0.1368841092953913,0.13446136779381215,0.22316920458257333,0.18473880113646782,0.22171841160293473,0.19694419367976454,0.1794835496486752,0.15351893905237196,0.17520755655998654,0.15701369167396972,178.04714439655174,177.97484076433125,177.98180660595773,178.004095483267,178.04987068246288,177.80741061854025,177.8436398724618,177.8780466724287,178.00809025458324,178.02352786540482,178.01560410164956,178.0050629600568,178.01801649793777,178.02716416771585,178.02035604296555,178.0063454892259,5.309164017235596,5.240488544373312,5.241221009247106,5.234040529151212,5.313051852995926,5.375217741932687,5.36507166674099,5.302803205372818,5.624916112053457,5.539863819486153,5.613593082605053,5.570313239534538,5.525322602902389,5.376023029298745,5.497472922853139,5.417487399985244,94.08433066941507,84.01541000649013,85.07697645526423,83.50817419355735,93.93354244948932,101.65277220632561,100.23331287987457,91.9063028396522,146.97002287258147,130.59710679707132,144.5252060587518,136.14452094193257,128.2000316112717,103.52934489765903,122.92740054925889,110.13472583927069,43.40811892043166,44.196298759578895,43.461128470970834,43.46678338769016,44.051553683456405,46.2993015642096,44.756662672057246,44.705724370241114,42.935168822131345,43.05408085279032,42.89542879957389,42.97349245197347,43.08305533439034,43.32662488184906,43.01985809945836,43.1603079635679
2,1,A549,25.84,1,4,1,afa,84720,139872,776,472,400,100,579.1423040604344,271.46789423984893,1.963197227039804,89736,0.8475925258805524,328.4339419578357,1,0.6056966369251887,0.5093731726118238,457.9294533048636,455.40531397865794,112.36102527122117,43.99101788943056,40.22437072223753,256.0469839466298,242.9991803317671,-49.62632488,1445.7056274847714,0.9441027012570206,0.5197068455313616,0.06997074784103088,0.16441458901522815,0.08796999269014105,0.044925384401390885,0.02014254398603637,0.004907961782293836,0.04133568049984636,0.023360687686601482,0.00879755664329056,0.012965969738216896,0.0035632399919747156,0.004257807072658757,0.010738341659578675,0.005009129250426085,0.017087597600475866,0.014678862032101784,0.013434180320761945,0.009004831451973389,0.0005642837884982614,0.0022399595375979385,0.0011694290213763855,0.004577484284725289,0.00704506416263569,0.008806580576211406,0.010388666280873244,0.011589555361877502,0.011499740160410195,0.003851743240945671,0.0023016592833670912,579.1423040604344,271.46789423984893,0.0023817096189371343,0.002312979813713574,0.0023628858949291055,0.0023255355009575793,0.0022284822930716316,0.002203536683846525,0.0022477950356829366,0.002157842841213541,0.003125032674281972,0.002689108185033401,0.0031198734302101093,0.002868495102545223,0.0026345196820528436,0.002431903452223073,0.0026306376430173845,0.0024993394876999457,122.54405950380547,133.31243932348883,123.86091758078862,136.1586033491875,124.04282456512516,116.56310496177656,128.13939450222878,142.13539336994637,36.04134960516871,59.94763062115331,35.05652069873176,50.111963687452715,68.07640666505678,100.5437797633659,66.358217424901,91.09354155317476,0.06192293850687307,-0.045557607,0.057987533815573214,-0.004438287,-0.004125238,0.030845016704002855,-0.022829225,0.0034500950103224333,0.7270986127824657,0.5422010540304845,0.7336606398771449,0.6222688335289255,0.48294048675039025,0.2298802267370065,0.49469473411160503,0.3167910445975884,4.355648775884196,4.443024459961729,4.351017221057831,4.355471828447867,4.358677605537588,4.39674028285971,4.413177588561561,4.440301029461912,3.5956776375334654,3.9308875579781,3.585951238607799,3.768537542110529,3.985180200179692,4.261750586006478,3.979488251710785,4.123800016209914,0.00030951859642564916,0.0002867246866459494,0.0003065013569666506,0.00030864134483587043,0.0003019568958948898,0.0002859048480728125,0.00029187267572817707,0.0002860854579451533,0.0005138555394586891,0.00041054738541814465,0.0005090615999505047,0.0004561192207271454,0.00039796972618642515,0.0003278125109148232,0.0003930251286219689,0.000360256490802396,9.558386624118725,9.58001685643094,9.571128795672145,9.598545830000269,9.613622220041206,9.60613985493098,9.61808043800115,9.695613235442286,9.133390719020827,9.381791394815085,9.125631960779666,9.269164488211105,9.413478478957835,9.540939984620067,9.41012314263292,9.494891107750428,-0.02441799,-0.020144749,-0.023164126,-0.023199695,-0.017053568,-0.011858405,-0.015083415,-0.01705694,-0.111160033,-0.059425238,-0.113097497,-0.084628234,-0.053451706,-0.026891447,-0.054629599,-0.039629679,0.45873902784068776,0.420861893532371,0.4482503946957411,0.4491332771179133,0.3903953539906986,0.32904551048745845,0.3687740483707347,0.39195811894382204,0.8116084157585312,0.6611074614736157,0.8155416005899697,0.747775590575328,0.6353607311846198,0.47853909221421176,0.6407150547679575,0.5646158042420301,0.15227648858659154,0.143907428800272,0.1528267768550999,0.15207215993750206,0.1465238177254564,0.13979509565723555,0.1478596343787228,0.13928228866751124,0.22479322527494205,0.1884653306141377,0.22655444586281828,0.20562364677174833,0.1844384359597722,0.15996598464165507,0.1865576937939702,0.17115242020567156,162.8325343481269,162.78106637371624,162.8140750074118,162.84315546967895,162.638497030123,162.72498037961805,162.67240235618763,162.72135247799906,162.9094041636755,162.864185439112,162.89026082794928,162.889729457113,162.88118811881188,162.83984240758014,162.85459528639043,162.86817989225835,5.366431597357925,5.304520649327949,5.390353724899553,5.422637382612513,5.426961513890087,5.393890647386004,5.390555502459014,5.454806101610099,5.704845933321008,5.612446785763067,5.708793117298486,5.672419235685923,5.594240180112076,5.439913996709974,5.600526051701415,5.541548965924283,138.7224494730981,121.69491462595761,139.10994963604026,134.95532200892558,123.02361662101248,123.98274574490279,122.41933282983155,143.11955002682225,228.09325207379516,201.94738311328183,228.19049380610522,215.21940494500086,195.2449515948938,160.56827904629972,196.287837958007,175.57023922095686,65.31662724422404,63.751838487360146,65.74271680420497,67.77848133952739,61.766610296534054,60.136462676669,62.639681833016766,71.31373584919311,66.0336504197412,65.47375343361182,65.81175362620525,66.33284215811454,65.83033956498639,65.27801470241593,65.66151384572458,66.66594519353112
