ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_std,E_Ed_diff,E_Fp,E
7,11,40,2,A199,0.7647722494788611,False,0.1260912534726067,0.0778754949569702,0.36890963,0.6881085,0.909132,True,0.0648849708516057,0.0342879335277724,0.0,0.0342879335277724,0.3118915,0.17308971676388618
8,11,40,2,A199,0.8004912171613539,False,0.1618102211550994,0.066327579319477,0.27279308,0.7580098,0.93845624,False,0.0788720924221241,0.0,0.0,0.0,0.24199020000000004,0.12099510000000002
1,12,40,2,A199,0.8272457786555671,False,0.1885647826493127,0.136690616607666,0.6246933,0.91114324,0.95870936,False,0.141495711467512,0.0,1.0,0.0,0.08885675999999998,0.04442837999999999
2,12,40,2,A199,0.7156508568087177,False,0.0769698608024632,0.1373671740293502,0.6967778,0.92661977,0.97629344,False,0.1511183316990592,0.0,1.0,0.0,0.07338023000000005,0.03669011500000002
3,12,40,2,A199,0.782115191522836,False,0.1434341955165816,0.1083930358290672,0.7238099,0.9384143,0.9860717,True,0.0947808526956722,0.0597385309092136,0.787683586038536,0.0597385309092136,0.061585699999999965,0.060662115454606785
4,12,40,2,A199,0.8695983029687087,True,0.2309173069624542,0.0899075716733932,0.40500677,0.9860005,0.9862671,False,0.1060795538800144,0.0,0.3080521588194962,0.0,0.013999500000000054,0.006999750000000027
5,12,40,2,A199,0.807515472654354,True,0.1688344766480995,,,,,,,,,,,
1,13,40,2,A199,0.7628588479357415,False,0.1241778519294871,0.076918326318264,0.31904024,0.7518407,0.885344,False,0.0890092695883182,0.0,0.0,0.0,0.24815929999999997,0.12407964999999999
2,13,40,2,A199,0.7949269256480271,True,0.1562459296417727,0.1148980259895324,0.39994532,0.97782046,0.99406844,False,0.1051325902928837,0.0,0.9564647260972816,0.0,0.022179539999999998,0.011089769999999999
3,13,40,2,A199,0.8370788312730678,False,0.1983978352668134,0.1235813647508621,0.3725761,0.98731947,0.99343365,False,0.0998910040762038,0.0,1.0,0.0,0.012680530000000023,0.006340265000000012
4,13,40,2,A199,0.789773696401824,False,0.1510927003955696,,,,,,,,,,,
5,13,40,2,A199,0.8182664788772191,False,0.1795854828709647,,,,,,,,,,,
1,14,40,2,A199,0.7944367371326678,False,0.1557557411264134,0.1365576535463333,0.72869533,0.9717039,0.9905573,False,0.1551226967449492,0.0,1.0,0.0,0.028296100000000046,0.014148050000000023
2,14,40,2,A199,0.801426771742052,False,0.1627457757357976,0.1515113264322281,0.9708634,0.9049139,0.967771,False,0.1812798041711059,0.0,1.0,0.0,0.09508609999999995,0.047543049999999976
3,14,40,2,A199,0.7735004209736023,True,0.1348194249673479,0.1009676307439804,0.30385184,0.9764003,0.99540937,False,0.0857593429633845,0.0,0.5950209832146556,0.0,0.0235997,0.01179985
4,14,40,2,A199,0.7998338598895984,False,0.161152863883344,0.1653888374567031,1.0310867,0.8853011,0.9679109,False,0.1868162031684812,0.0,1.0,0.0,0.11469890000000005,0.057349450000000024
5,14,40,2,A199,0.7732545679944937,False,0.1345735719882392,0.1064275503158569,0.51218915,0.42230266,0.71101755,False,0.1246442002311681,0.0,0.736686293574552,0.0,0.5776973400000001,0.28884867000000003
6,14,40,2,A199,0.7393759793025463,True,0.1006949832962919,0.1170834153890609,0.28770116,0.9409599,0.9878602,False,0.0822194078632343,0.0,1.0,0.0,0.05904010000000004,0.02952005000000002
1,15,40,2,A199,0.7530588891049866,False,0.1143778930987322,0.1075049713253974,0.38578138,0.85168946,0.969761,False,0.1024458474395146,0.0,0.7646415005506813,0.0,0.14831054,0.07415527
2,15,40,2,A199,0.7987862969665122,False,0.1601053009602577,0.1248551681637764,0.29521915,0.95270544,0.97698784,False,0.0838781971375268,0.0,1.0,0.0,0.047294559999999986,0.023647279999999993
