Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_agg_mean_value,Cell_Ed_agg_variance,Cell_Ed_agg_max_value,Cell_Ed_agg_min_value,Cell_Ed_agg_top_50_value,Cell_Ed_agg_top_25_value,ObjectNumber
MCF7,4,A133,0,1,60,0.04031655564904213,0.000880286272149533,0.045924585312604904,0.0007451876881532371,0.03368639573454857,0.0001658741239225492,0.0750703439116478,0.011121622286736965,0.04353351518511772,0.051076170057058334,1
MCF7,4,A133,0,1,60,0.03164108470082283,0.0005204642657190561,0.038916923105716705,0.00035699145519174635,0.03942308947443962,0.0001034575907397084,0.07356595993041992,0.012393126264214516,0.047239720821380615,0.05226905271410942,2
MCF7,4,A133,0,1,60,0.03191707283258438,0.0017151694046333432,0.055545348674058914,0.0016724722227081656,0.032804545015096664,0.0006467817001976073,0.11529609560966492,0,0.05359920859336853,0.06710494309663773,3
MCF7,4,A133,0,1,60,0.025483936071395874,0.0015630185371264815,0.055734653025865555,0.0017323869979009032,0.029909772798419,0.000515452295076102,0.10355491191148758,0,0.04874531552195549,0.06216615065932274,4
MCF7,4,A133,0,1,60,0.05195882171392441,0.0009160850313492119,0.053775984793901443,0.000850403681397438,0.0713067427277565,0.0013786077033728361,0.1515588015317917,0,0.10344249755144119,0.11936413496732712,5
MCF7,4,A133,0,1,60,0.0875840112566948,0.002814688952639699,0.09291965514421463,0.002490374492481351,0.1338576078414917,0.0013751575024798512,0.20200034976005554,0.02294025383889675,0.16191250085830688,0.17496740818023682,6
MCF7,4,A133,0,1,60,0.05560491606593132,0.004393745679408312,0.09480530768632889,0.0037748459726572037,0.06868907809257507,0.0038662850856781006,0.3358064889907837,0,0.1124422624707222,0.15585307776927948,7
MCF7,4,A133,0,1,60,0.048546213656663895,0.0006807332974858582,0.05082464963197708,0.0005968817858956754,0.04161139577627182,6.123468483565375e-05,0.0610908567905426,0.01631905511021614,0.04784514382481575,0.0514189787209034,8
MCF7,4,A133,0,1,60,0.02904261276125908,0.0005444013513624668,0.03925111144781113,0.0003350638726260513,0.03144518658518791,5.720030458178371e-05,0.04995321109890938,0.014614630490541458,0.03778235241770744,0.0411517471075058,9
MCF7,4,A133,0,1,60,0.04168929159641266,0.0018792810151353478,0.06184973195195198,0.0015411609783768654,0.03291124105453491,0.00034994870657101274,0.06157916784286499,0,0.04987587779760361,0.0549832358956337,10
MCF7,4,A133,0,1,60,0.02835017628967762,0.0008710678666830063,0.0436505563557148,0.0006733065820299089,0.03494075685739517,4.9771351768868044e-05,0.05134163796901703,0.018701238557696342,0.04067392647266388,0.043581824749708176,11
MCF7,4,A133,0,1,60,0.046520769596099854,0.0010313934180885553,0.052130717784166336,0.0008633185643702745,0.041695330291986465,5.85246853006538e-05,0.0598510280251503,0.025020115077495575,0.04757975414395332,0.05168647691607475,12
MCF7,4,A133,1,1,60,0.09019477665424347,0.0040053375996649265,0.11244954913854599,0.002491079969331622,0.08878341317176819,0.00015144939243327826,0.12114901095628738,0.06802139431238174,0.09862791746854782,0.10605870932340622,1
MCF7,4,A133,1,1,60,0.07805792987346649,0.0007577636861242354,0.08003321290016174,0.0006188515690155327,0.06934784352779388,6.153684807941318e-05,0.08960795402526855,0.0493304505944252,0.0755310207605362,0.07927501201629639,2
MCF7,4,A133,1,1,60,0.06963349133729935,0.006164638791233301,0.12434838712215424,0.004204827826470137,0.07920822501182556,0.0021569563541561365,0.19065022468566895,0,0.1166091039776802,0.14171765744686127,3
MCF7,4,A133,1,1,60,0.10211043804883957,0.0014999163104221225,0.10284466296434402,0.0014351904392242432,0.09667706489562988,0.0011256345314905047,0.18451310694217682,0,0.12208332121372223,0.139555886387825,4
MCF7,4,A133,1,1,60,0.09779278934001923,0.0007799328304827213,0.09785258024930954,0.0007745589828118682,0.08752045035362244,0.0004747483180835843,0.1439892053604126,0.02445363812148571,0.10479497909545898,0.11370979994535446,5
MCF7,4,A133,1,1,60,0.06751569360494614,0.0018339981324970722,0.08107861876487732,0.0011027585715055466,0.07278575003147125,0.00012459470599424094,0.10023386776447296,0.05681593716144562,0.08217905461788177,0.0897127017378807,6
MCF7,4,A133,1,1,60,0.1085103377699852,0.015336737036705017,0.21441657841205597,0.007597359362989664,0.1996670514345169,0.005890073720365763,0.3164728581905365,0,0.2628578841686249,0.28644677996635437,7
MCF7,4,A133,1,1,60,0.1362280398607254,0.00675553223118186,0.15768668055534363,0.004435921553522348,0.16354739665985107,0.0004191769694443792,0.20145562291145325,0.09673436731100082,0.1800670474767685,0.18778471648693085,8
MCF7,4,A133,1,1,60,0.12457530200481415,0.002832784317433834,0.1262912154197693,0.002655098680406809,0.11602120846509933,0.0008627420756965876,0.18981696665287018,0.06403236091136932,0.14039860665798187,0.1568489670753479,9
MCF7,4,A133,1,1,60,0.05573499947786331,0.00798601470887661,0.167886883020401,0.005226914770901203,0.07259971648454666,0.0004544764815364033,0.10498961806297302,0.03681369498372078,0.09229980409145355,0.1025218814611435,10
MCF7,4,A133,1,1,60,0.08256445080041885,0.0011823487002402544,0.08374369889497757,0.00110048137139529,0.0928116962313652,0.00011658151197480038,0.12235156446695328,0.07380634546279907,0.10142476111650467,0.10712221264839172,11
MCF7,4,A133,1,1,60,0.09541675448417664,0.0008761184872128069,0.09558727592229843,0.0008613857789896429,0.08575903624296188,0.00010365774505771697,0.1178639605641365,0.06379304081201553,0.09390639513731003,0.09888914972543716,12
MCF7,4,A133,1,1,60,0.08472144603729248,0.0011293694842606783,0.08501556515693665,0.0011082853889092803,0.07415421307086945,0.0002896235673688352,0.109572634100914,0.030298486351966858,0.08827885240316391,0.09557853639125824,13
MCF7,4,A133,1,1,60,0.07770638912916183,0.0011486189905554056,0.07900705933570862,0.0010650818003341556,0.06442053616046906,0.00032455736072734,0.09789400547742844,0.01793825812637806,0.07845740020275116,0.08415155857801437,14
MCF7,4,A133,10,1,60,0.06613840907812119,0.004753231070935726,0.10351704806089401,0.0035702306777238846,0.0829487219452858,0.0016925155650824308,0.20629502832889557,0.017744405195116997,0.11431781947612762,0.14175274968147278,1
MCF7,4,A133,10,1,60,0.11885396391153336,0.003533782670274377,0.12772248685359955,0.0026647530030459166,0.12684354186058044,0.0007593121845275164,0.17117366194725037,0.06752866506576538,0.14928948879241943,0.15690700709819794,2
MCF7,4,A133,10,1,60,0.078268863260746,0.004243259783834219,0.0931202694773674,0.0036654449068009853,0.1832999736070633,0.0002978799748234451,0.22930803894996643,0.1532217115163803,0.19799789786338806,0.20734846591949463,3
MCF7,4,A133,10,1,60,0.04357408732175827,0.00032516580540686846,0.04391726478934288,0.0003126553783658892,0.03876780718564987,8.817102207103744e-05,0.06769559532403946,0.01564873196184635,0.04638509079813957,0.05103074014186859,4
MCF7,4,A133,10,1,60,0.04526788741350174,0.00038854475133121014,0.04565909504890442,0.00037403995520435274,0.03696948289871216,0.0001178464008262381,0.0641196221113205,0.012331009842455387,0.045899443328380585,0.05167965218424797,5
MCF7,4,A133,10,1,60,0.05573917552828789,0.001955056097358465,0.07031497359275818,0.0014414070174098015,0.03625188022851944,0.00038006671820767224,0.0819205716252327,0.004603396635502577,0.051416460424661636,0.06381509453058243,6
