Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_agg_mean_value,Cell_Ed_agg_variance,Cell_Ed_agg_max_value,Cell_Ed_agg_min_value,Cell_Ed_agg_top_50_value,Cell_Ed_agg_top_25_value,ObjectNumber
MCF7,2,0509_control,2,3,0,0.01896294392645359,0.00029815908055752516,0.023069169372320175,0.00026799505576491356,0.011739911511540413,9.770583710633218e-05,0.041200559586286545,0,0.019977141171693802,0.025265883654356003,1
MCF7,2,0509_control,2,3,0,0.015021556057035923,0.00018816933152265847,0.018723133951425552,0.00016523245722055435,0.009253923781216145,5.737473475164734e-05,0.030312558636069298,0,0.01555087324231863,0.019933750852942467,2
MCF7,2,0509_control,2,3,0,0.03323983773589134,0.00034041228354908526,0.03383396193385124,0.00032639523851685226,0.020551154389977455,4.36425325460732e-05,0.03511027991771698,0.006618751212954521,0.025983167812228203,0.029744429513812065,3
MCF7,2,0509_control,2,3,0,0.018868103623390198,0.00030100048752501607,0.022743528708815575,0.00027468378539197147,0.008620590902864933,7.769397052470595e-05,0.038378871977329254,0,0.01584557443857193,0.0213815625756979,4
MCF7,2,0509_control,2,3,0,0.03701041266322136,0.0004086945846211165,0.038443174213171005,0.00036943613667972386,0.034495364874601364,0.00022991708829067647,0.07400909811258316,0,0.04707576707005501,0.053669534623622894,5
MCF7,2,0509_control,2,3,0,0.02293594554066658,0.0003906180209014565,0.027711983770132065,0.00033960436121560633,0.011062989942729473,9.157128806691617e-05,0.03976971283555031,0,0.018825288861989975,0.02434954233467579,6
MCF7,2,0509_control,2,3,0,0.03570883721113205,0.000600688683334738,0.037785280495882034,0.0005571592482738197,0.01751106232404709,0.0001412447600159794,0.04356886446475983,0,0.02756895124912262,0.033424489200115204,7
MCF7,2,0509_control,3,3,0,0.03415665775537491,0.002774778986349702,0.07708481699228287,0.0029530180618166924,0.03886626288294792,0.0014175574760884047,0.21835704147815704,0,0.0691165030002594,0.09148217737674713,1
MCF7,2,0509_control,3,3,0,0.0123179005458951,0.00028831884264945984,0.01925155147910118,0.00031712770578451455,0.011878804303705692,1.4392732737178449e-05,0.02042851224541664,0.0030878863763064146,0.014960849657654762,0.016657881438732147,2
MCF7,2,0509_control,3,3,0,0.027590053156018257,0.0004909511189907789,0.03208216279745102,0.0004267692565917969,0.018689336255192757,0.0001085372205125168,0.049222059547901154,0,0.026993298903107643,0.03238232433795929,3
MCF7,2,0509_control,3,3,0,0.010310281068086624,0.00010244821169180796,0.013408447615802288,9.1691552370321e-05,0.008566209115087986,3.324691715533845e-05,0.031107023358345032,0,0.013274946250021458,0.016145162284374237,4
