Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_agg_mean_value,Cell_Ed_agg_variance,Cell_Ed_agg_max_value,Cell_Ed_agg_min_value,Cell_Ed_agg_top_50_value,Cell_Ed_agg_top_25_value,Nuclei_Ed_mean_value,Nuclei_Ed_variance,Nuclei_Ed_not_zero_mean_value,Nuclei_Ed_not_zero_variance,Nuclei_Ed_agg_mean_value,Nuclei_Ed_agg_variance,Nuclei_Ed_agg_max_value,Nuclei_Ed_agg_min_value,Nuclei_Ed_agg_top_50_value,Nuclei_Ed_agg_top_25_value,Mit_Ed_mean_value,Mit_Ed_variance,Mit_Ed_not_zero_mean_value,Mit_Ed_not_zero_variance,Mit_Ed_agg_mean_value,Mit_Ed_agg_variance,Mit_Ed_agg_max_value,Mit_Ed_agg_min_value,Mit_Ed_agg_top_50_value,Mit_Ed_agg_top_25_value
H1975,2.0,Afa,10,6,22.0,3,0.06292945891618729,0.005416996777057648,0.11493890732526779,0.0039160833694040775,0.10376092046499252,0.0023954613134264946,0.2709982097148895,0.0,0.14263339340686798,0.16642515361309052,0.06215788424015045,0.005322066135704517,0.11289657652378082,0.003938176669180393,0.09004847705364227,0.00198074197396636,0.2304801195859909,0.0,0.12567484378814697,0.1478963941335678,0.06215788424015045,0.005322066135704517,0.11289657652378082,0.003938176669180393,0.09004847705364227,0.00198074197396636,0.2304801195859909,0.0,0.12567484378814697,0.1478963941335678
H1975,2.0,Afa,10,6,22.0,4,0.19109280407428741,0.0060548437759280205,0.19120784103870392,0.006036491598933935,0.07324724644422531,0.000561092107091099,0.14063458144664764,0.019006352871656418,0.09228869527578354,0.10441822558641434,0.23447106778621674,0.005211955867707729,0.23447106778621674,0.005211955867707729,0.0,0.0,0.0,0.0,0.0,0.0,0.23447106778621674,0.005211955867707729,0.23447106778621674,0.005211955867707729,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,10,6,22.0,5,0.13720567524433136,0.00698614027351141,0.1508564054965973,0.005621901247650385,0.11652818322181702,0.0024674623273313046,0.2717757225036621,0.0,0.1565045416355133,0.1795484721660614,0.14984765648841858,0.004902807530015707,0.15149284899234772,0.004707400221377611,0.0,0.0,0.0,0.0,0.0,0.0,0.14984765648841858,0.004902807530015707,0.15149284899234772,0.004707400221377611,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,10,6,22.0,6,0.19782514870166779,0.015053519047796726,0.21706153452396393,0.012341834604740143,0.11349920183420181,0.0025943382643163204,0.2704741060733795,0.0,0.15386611223220825,0.17901715636253357,0.25617653131484985,0.01607021503150463,0.2788855731487274,0.01116154994815588,0.16272500157356262,0.0026510769966989756,0.2898316979408264,0.02683807536959648,0.20445358753204346,0.22839178144931793,0.25617653131484985,0.01607021503150463,0.2788855731487274,0.01116154994815588,0.16272500157356262,0.0026510769966989756,0.2898316979408264,0.02683807536959648,0.20445358753204346,0.22839178144931793
H1975,2.0,Afa,10,6,22.0,7,0.05620981380343437,0.005733429454267025,0.11930814385414124,0.00464134756475687,0.13247202336788177,0.002374607138335705,0.3091434836387634,0.013383336365222931,0.1712808609008789,0.19518299400806427,0.12011181563138962,0.00465511716902256,0.12698185443878174,0.004049007315188646,0.11986037343740463,0.001782711478881538,0.24793203175067902,0.013383336365222931,0.1537359356880188,0.17363151907920837,0.12337277829647064,0.00437918771058321,0.12698185443878174,0.004049007315188646,0.11986037343740463,0.001782711478881538,0.24793203175067902,0.013383336365222931,0.1537359356880188,0.17363151907920837
H1975,2.0,Afa,11,6,22.0,1,0.022782156243920326,0.0017171360086649656,0.06598208844661713,0.0021227782126516104,0.010876358486711979,0.00045588164357468486,0.14132238924503326,0.0,0.021752718836069107,0.042542070150375366,0.04265753552317619,0.0024987501092255116,0.068660669028759,0.002236543456092477,0.0,0.0,0.0,0.0,0.0,0.0,0.04265753552317619,0.0024987501092255116,0.068660669028759,0.002236543456092477,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,11,6,22.0,2,0.14446942508220673,0.006923360284417868,0.15039567649364471,0.006316079758107662,0.083551786839962,0.0014891127357259393,0.20517897605895996,0.0,0.11478268355131149,0.1340356469154358,0.17257966101169586,0.007669917307794094,0.1792394071817398,0.006772208493202925,0.07590608298778534,0.001219942350871861,0.14915728569030762,0.0008916608057916164,0.10456645488739014,0.12287581712007523,0.17257966101169586,0.007669917307794094,0.1792394071817398,0.006772208493202925,0.07590608298778534,0.001219942350871861,0.14915728569030762,0.0008916608057916164,0.10456645488739014,0.12287581712007523
H1975,2.0,Afa,12,6,22.0,1,0.07501707226037979,0.005814075469970703,0.12119761854410172,0.0037962528876960278,0.08073072135448456,0.0004883260698989034,0.14427244663238525,0.02055179513990879,0.09856142103672028,0.10960398614406586,0.0681726261973381,0.005788068752735853,0.11547000706195831,0.004342334344983101,0.0,0.0,0.0,0.0,0.0,0.0,0.0681726261973381,0.005788068752735853,0.11547000706195831,0.004342334344983101,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,12,6,22.0,2,0.12191659957170486,0.006728349253535271,0.13562840223312378,0.005625368561595678,0.08897072076797485,0.0014867665013298392,0.21109378337860107,0.0,0.12007558345794678,0.138350710272789,0.14961929619312286,0.008317805826663971,0.16279739141464233,0.006905058398842812,0.0,0.0,0.0,0.0,0.0,0.0,0.15038460493087769,0.008245261386036873,0.16279739141464233,0.006905058398842812,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,12,6,22.0,3,0.228202223777771,0.016202613711357117,0.26534631848335266,0.008983836509287357,0.1515664905309677,0.003200927283614874,0.30764129757881165,0.0,0.1980338841676712,0.22293953597545624,0.2638765871524811,0.01881449855864048,0.30760976672172546,0.00847992766648531,0.0,0.0,0.0,0.0,0.0,0.0,0.2727777659893036,0.017021114006638527,0.30760976672172546,0.00847992766648531,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,12,6,22.0,4,0.09572591632604599,0.0018246753606945276,0.09776851534843445,0.0016639090608805418,0.0653855949640274,0.00041592001798562706,0.12356572598218918,0.00030965724727138877,0.0816999226808548,0.09145660698413849,0.11082014441490173,0.0015558790182694793,0.11094333976507187,0.001543941325508058,0.0766715481877327,0.000635921023786068,0.14060208201408386,0.01574203185737133,0.09667592495679855,0.1089852899312973,0.11082014441490173,0.0015558790182694793,0.11094333976507187,0.001543941325508058,0.0766715481877327,0.000635921023786068,0.14060208201408386,0.01574203185737133,0.09667592495679855,0.1089852899312973
H1975,2.0,Afa,13,6,22.0,1,0.031041419133543968,0.0015177670866250992,0.05539422482252121,0.0013594903284683824,0.027512380853295326,0.00046231079613789916,0.10775195807218552,0.0,0.04488777741789818,0.05651009455323219,0.03278006613254547,0.0016647025477141142,0.058217138051986694,0.001475625205785036,0.025752786546945572,0.0002645466011017561,0.05690188705921173,0.0,0.03966232389211655,0.046800289303064346,0.03495486080646515,0.001699127722531557,0.058217138051986694,0.001475625205785036,0.022329291328787804,0.00022488180547952652,0.04729502275586128,0.0,0.03544071689248085,0.04222828149795532
H1975,2.0,Afa,13,6,22.0,2,0.10041342675685883,0.022788280621170998,0.2893243134021759,0.011004070751369,0.0,0.0,0.0,0.0,0.0,0.0,0.06541769951581955,0.01567801460623741,0.2623767554759979,0.011203783564269543,0.0,0.0,0.0,0.0,0.0,0.0,0.06804172694683075,0.01612834818661213,0.2623767554759979,0.011203783564269543,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,13,6,22.0,3,0.019282545894384384,0.0009909739019349217,0.05026944726705551,0.0010257664835080504,0.03779144212603569,0.0007160651730373502,0.15335647761821747,0.0,0.059400301426649094,0.07331670075654984,0.01780194789171219,0.0009391763596795499,0.0500609315931797,0.0010261470451951027,0.03331296518445015,0.0009022541344165802,0.12757882475852966,0.0,0.05868730694055557,0.07523909211158752,0.01780194789171219,0.0009391763596795499,0.0500609315931797,0.0010261470451951027,0.03331296518445015,0.0009022541344165802,0.12757882475852966,0.0,0.05868730694055557,0.07523909211158752
H1975,2.0,Afa,14,6,22.0,1,0.10999814420938492,0.007264475338160992,0.13121598958969116,0.005881618242710829,0.0907837450504303,0.002618545899167657,0.22031186521053314,0.0,0.1333313286304474,0.15690886974334717,0.13665422797203064,0.007869124412536621,0.15155093371868134,0.006469329819083214,0.08949749171733856,0.002518570749089122,0.2901470363140106,0.0,0.12988239526748657,0.15604917705059052,0.13665422797203064,0.007869124412536621,0.15155093371868134,0.006469329819083214,0.08949749171733856,0.002518570749089122,0.2901470363140106,0.0,0.12988239526748657,0.15604917705059052
H1975,2.0,Afa,14,6,22.0,2,0.10495012998580933,0.00570122804492712,0.11722050607204437,0.00492945546284318,0.066834956407547,0.001469337148591876,0.187636137008667,0.0,0.09783948957920074,0.11672841012477875,0.12064991146326065,0.006769930012524128,0.1353541612625122,0.005604736506938934,0.0,0.0,0.0,0.0,0.0,0.0,0.12064991146326065,0.006769930012524128,0.1353541612625122,0.005604736506938934,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,14,6,22.0,3,0.11113083362579346,0.004213686101138592,0.1141425147652626,0.0039841183461248875,0.05305058881640434,0.0005310060805641115,0.1358046680688858,0.0,0.0709475427865982,0.0821477398276329,0.14307259023189545,0.004696405492722988,0.14366057515144348,0.004631235264241695,0.0,0.0,0.0,0.0,0.0,0.0,0.14307259023189545,0.004696405492722988,0.14366057515144348,0.004631235264241695,0.0,0.0,0.0,0.0,0.0,0.0
H1975,2.0,Afa,14,6,22.0,4,0.0525420643389225,0.003763594664633274,0.08969154208898544,0.003092621685937047,0.0803111270070076,0.0014855400659143925,0.2488308846950531,0.0,0.11115391552448273,0.13075456023216248,0.06430207192897797,0.003330789739266038,0.08398637920618057,0.00269720540381968,0.06971179693937302,0.0011195293627679348,0.1568785309791565,0.0,0.09700651466846466,0.11340805888175964,0.06430207192897797,0.003330789739266038,0.08398637920618057,0.00269720540381968,0.06971179693937302,0.0011195293627679348,0.1568785309791565,0.0,0.09700651466846466,0.11340805888175964
H1975,2.0,Afa,15,6,22.0,1,0.09228790551424026,0.0042237634770572186,0.10235106945037842,0.0036543519236147404,0.0539216622710228,0.0010779093718156219,0.15442156791687012,0.0,0.0811053067445755,0.09734362363815308,0.11003939062356949,0.004123474936932325,0.11325229704380035,0.0038800020702183247,0.0,0.0,0.0,0.0,0.0,0.0,0.11003939062356949,0.004123474936932325,0.11325229704380035,0.0038800020702183247,0.0,0.0,0.0,0.0,0.0,0.0
